"strong","lemma","gloss","freq","vu","updatedAt"
"G0001","Ἀλφα","Alpha","3","true","2024-11-01 08:15:49.825"
"G0002","Ἀαρών","Aaron = «Haut placé, ou éclairé»","5","false","null"
"G0003","Ἀβαδδών","Abaddon = «le destructeur»","1","false","null"
"G0004","ἀβαρής","non à charge","1","false","null"
"G0005","ἀββά","Abba = «père»","3","false","null"
"G0006","Ἄβελ","Abel = «souffle - vapeur»","4","false","null"
"G0007","Ἀβιά","Abia = «L’Éternel est un père»","3","false","null"
"G0008","Ἀβιαθάρ","Abiathar = «père de l’abondance»","1","false","null"
"G0009","Ἀβιληνή","Abilène = «prairie»","1","false","null"
"G0010","Ἀβιούδ","Abiud = «père de l’éloge ou père loué»","2","false","null"
"G0011","Ἀβραάμ","Abraham = «père d’une multitude»","73","true","2024-11-01 08:15:49.825"
"G0012","ἄβυσσος","abîme, lieu inférieur d’obscurité","9","false","null"
"G0013","Ἄγαβος","Agabus = «sauterelle»","2","false","null"
"G0014","ἀγαθοεργέω","faire du bien","2","false","null"
"G0015","ἀγαθοποιέω","faire du bien","9","false","null"
"G0016","ἀγαθοποιΐα","bien, bienfaisance","1","false","null"
"G0017","ἀγαθοποιός","qui fait le bien","1","false","null"
"G0018","ἀγαθός","bon, bien","102","true","2024-11-01 08:15:49.825"
"G0019","ἀγαθωσύνη","bonté, bien, bienveillance","4","false","null"
"G0020","ἀγαλλίασις","joie extrême, allégresse","5","true","2024-11-01 08:15:49.825"
"G0021","ἀγαλλιάω","se réjouir; se réjouir avec allégresse; tressaillir de joie","11","false","null"
"G0022","ἄγαμος","celui qui n’est pas marié","4","false","null"
"G0023","ἀγανακτέω","être indigné, s’indigner, être révolté, être en colère","7","false","null"
"G0024","ἀγανάκτησις","indignation, irritation, vexation","1","false","null"
"G0025","ἀγαπάω","aimer; (participe) bien-aimé","143","false","null"
"G0026","ἀγάπη","amour fraternel, affection, (pluriel) agapes","116","true","2024-11-01 08:15:49.825"
"G0027","ἀγαπητός","bien-aimé","61","true","2024-11-01 08:15:49.825"
"G0028","Ἄγαρ","Agar = «fuite»","2","false","null"
"G0029","ἀγγαρεύω","contraindre, requérir, forcer","3","false","null"
