strong,lemma,inflectionEndings,pos,gloss,freq,updatedAt
G0001,Ἀλφα,,n.,Alpha,3,2024-11-01T08:15:49.825Z
G0002,Ἀαρών,,n. pr. m.,"Aaron = «Haut placé, ou éclairé»",5,
G0003,Ἀβαδδών,-ονος,n. pr.,Abaddon = «le destructeur»,1,
G0004,ἀβαρής,-ές,adj.,non à charge,1,
G0005,ἀββά,,n. m.,Abba = «père»,3,
G0006,Ἄβελ,,n. pr. m.,Abel = «souffle - vapeur»,4,
G0007,Ἀβιά,,n. pr. m.,Abia = «L’Éternel est un père»,3,
G0008,Ἀβιαθάρ,,n. pr. m.,Abiathar = «père de l’abondance»,1,
G0009,Ἀβιληνή,-ῆς,n. pr. f.,Abilène = «prairie»,1,
G0010,Ἀβιούδ,,n. pr. m.,Abiud = «père de l’éloge ou père loué»,2,
G0011,Ἀβραάμ,,n. pr. m.,Abraham = «père d’une multitude»,73,2024-11-01T08:15:49.825Z
G0012,ἄβυσσος,-ου,n. f.,"abîme, lieu inférieur d’obscurité",9,
G0013,Ἄγαβος,-ου,n. pr. m.,Agabus = «sauterelle»,2,
G0014,ἀγαθοεργέω,,vb.,faire du bien,2,
G0015,ἀγαθοποιέω,,vb.,faire du bien,9,
G0016,ἀγαθοποιΐα,-ας,n. f.,"bien, bienfaisance",1,
G0017,ἀγαθοποιός,-οῦ,n. f.,qui fait le bien,1,
G0018,ἀγαθός,"-ή, -όν",adj. / adv.,"bon, bien",102,2024-11-01T08:15:49.825Z
G0019,ἀγαθωσύνη,-ης,n. f.,"bonté, bien, bienveillance",4,
G0020,ἀγαλλίασις,-εως,n. f.,"joie extrême, allégresse",5,2024-11-01T08:15:49.825Z
G0021,ἀγαλλιάω,,vb.,se réjouir ; se réjouir avec allégresse ; tressaillir de joie,11,
G0022,ἄγαμος,-ου,n. m./f.,celui qui n’est pas marié,4,
G0023,ἀγανακτέω,,vb.,"être indigné, s’indigner, être révolté, être en colère",7,
G0024,ἀγανάκτησις,-εως,n. f.,"indignation, irritation, vexation",1,
G0025,ἀγαπάω,,vb.,aimer ; (participe) bien-aimé,143,
G0026,ἀγάπη,-ης,n. f.,"amour fraternel, affection, (pluriel) agapes",116,2024-11-01T08:15:49.825Z
G0027,ἀγαπητός,"-ή, -όν",adj.,bien-aimé,61,2024-11-01T08:15:49.825Z
G0028,Ἄγαρ,,n. pr. f.,Agar = «fuite»,2,
G0029,ἀγγαρεύω,,vb.,"contraindre, requérir, forcer",3,
G0030,ἀγγεῖον,-ου,n. m.,"vaisseau, vase, récipient",1,
G0031,ἀγγελία,-ας,n. f.,message,2,
G0032,ἄγγελος,-ου,n. m.,"l'ange, le messager",175,2024-11-01T08:15:49.825Z
G0034,ἀγέλη,-ης,n. f.,troupeau,7,
G0035,ἀγενεαλόγητος,-ον,adj.,sans généalogie,1,
G0036,ἀγενής,-ές,adj.,"vil, sans renommée, méprisable",1,
G0037,ἁγιάζω,,vb.,"sanctifier, consacrer",28,
G0038,ἁγιασμός,-οῦ,n. f.,"sainteté, sanctification, pureté morale",10,
G0039,ἅγιος,,adj.,ce qui est saint ; lieu saint ; sanctuaire,12,
G0040,ἅγιος,"-α, -ον",adj.,saint,224,
G0041,ἁγιότης,-ητος,n. f.,sainteté,1,
G0042,ἁγιωσύνη,-ης,n. f.,"sainteté, mise à part",3,
