strong,chapter
G0011,burnet_1
G0018,burnet_5
G0025,burnet_19
G0026,burnet_3
G0027,burnet_5
G0032,burnet_2
G0037,burnet_15
G0040,burnet_5
G0059,burnet_14
G0068,burnet_17
G0071,burnet_2
G0079,burnet_3
G0080,burnet_2
G0091,burnet_18
G0093,burnet_18
G0125,burnet_8
G0129,burnet_12
G0142,burnet_11
G0154,burnet_6
G0165,burnet_12
G0166,burnet_5
G0169,burnet_18
G0189,burnet_16
G0190,burnet_7
G0191,burnet_2
G0225,burnet_10
G0227,burnet_13
G0228,burnet_10
G0230,burnet_20
G0235,burnet_5
G0240,burnet_9
G0243,burnet_9
G0264,burnet_11
G0266,burnet_3
G0268,burnet_14
G0281,burnet_1
G0290,burnet_14
G0302,burnet_17
G0305,burnet_11
G0308,burnet_4
G0314,burnet_11
G0321,burnet_7
G0337,burnet_17
G0386,burnet_13
G0417,burnet_17
G0435,burnet_12
G0444,burnet_2
G0450,burnet_19
G0455,burnet_6
G0473,burnet_4
G0514,burnet_18
G0518,burnet_11
G0537,burnet_13
G0565,burnet_8
G0571,burnet_18
G0575,burnet_4
G0591,burnet_19
G0599,burnet_11
G0601,burnet_6
G0611,burnet_15
G0615,burnet_11
G0622,burnet_19
G0630,burnet_4
G0649,burnet_11
G0652,burnet_7
G0681,burnet_8
G0686,burnet_9
G0720,burnet_8
G0721,burnet_9
G0737,burnet_6
G0740,burnet_2
G0746,burnet_3
G0749,burnet_13
G0757,burnet_8
G0758,burnet_12
G0769,burnet_16
G0770,burnet_15
G0772,burnet_13
G0782,burnet_8
G0792,burnet_12
G0837,burnet_18
G0846,burnet_3
G0863,burnet_19
G0891,burnet_17
G0906,burnet_2
G0907,burnet_6
G0921,burnet_8
G0932,burnet_3
G0935,burnet_13
G0941,burnet_15
G0975,burnet_3
G0987,burnet_14
G0991,burnet_2
G1014,burnet_15
G1056,burnet_5
G1060,burnet_15
G1063,burnet_9
G1065,burnet_9
G1074,burnet_17
G1080,burnet_19
G1093,burnet_3
G1096,burnet_11
G1097,burnet_11
G1100,burnet_17
G1107,burnet_15
G1108,burnet_13
G1122,burnet_13
G1124,burnet_17
G1125,burnet_6
G1135,burnet_12
G1138,burnet_1
G1140,burnet_3
G1161,burnet_9
G1163,burnet_7
G1166,burnet_19
G1176,burnet_16
G1186,burnet_9
G1188,burnet_18
G1208,burnet_16
G1209,burnet_8
G1210,burnet_7
G1223,burnet_4
G1228,burnet_15
G1242,burnet_17
G1247,burnet_14
G1248,burnet_17
G1249,burnet_17
G1260,burnet_14
G1320,burnet_14
G1321,burnet_2
G1322,burnet_16
G1325,burnet_19
G1330,burnet_8
G1342,burnet_5
G1343,burnet_7
G1344,burnet_19
G1352,burnet_9
G1360,burnet_9
G1372,burnet_19
G1377,burnet_6
G1380,burnet_7
G1391,burnet_3
G1392,burnet_6
G1398,burnet_15
G1401,burnet_2
G1410,burnet_18
G1411,burnet_13
G1415,burnet_18
G1417,burnet_6
G1427,burnet_16
G1437,burnet_17
G1438,burnet_9
G1448,burnet_10
G1451,burnet_10
G1453,burnet_11
G1473,burnet_9
G1484,burnet_13
G1487,burnet_5
G1492,burnet_18
G1504,burnet_14
G1510,burnet_5
G1515,burnet_5
G1519,burnet_4
G1520,burnet_13
G1525,burnet_8
G1535,burnet_9
G1537,burnet_4
G1538,burnet_5
G1540,burnet_16
G1544,burnet_4
G1563,burnet_10
G1564,burnet_10
G1565,burnet_9
G1577,burnet_3
G1607,burnet_15
G1632,burnet_15
G1646,burnet_20
G1653,burnet_7
G1656,burnet_13
G1658,burnet_18
G1672,burnet_14
G1679,burnet_14
G1680,burnet_12
G1683,burnet_9
G1699,burnet_9
G1700,burnet_9
G1715,burnet_10
G1722,burnet_4
G1746,burnet_15
G1752,burnet_10
G1767,burnet_16
G1785,burnet_7
G1799,burnet_4
G1803,burnet_16
G1831,burnet_8
G1832,burnet_7
G1849,burnet_7
G1854,burnet_4
G1859,burnet_16
G1860,burnet_17
G1893,burnet_9
G1905,burnet_19
G1909,burnet_4
G1921,burnet_11
G1939,burnet_17
G1941,burnet_4
G1992,burnet_16
G1994,burnet_15
G2007,burnet_19
G2008,burnet_19
G2033,burnet_16
G2038,burnet_8
G2041,burnet_3
G2048,burnet_8
G2064,burnet_8
G2065,burnet_19
G2068,burnet_11
G2078,burnet_18
G2087,burnet_5
G2089,burnet_6
G2090,burnet_14
G2094,burnet_13
G2095,burnet_20
G2097,burnet_8
G2098,burnet_3
G2117,burnet_10
G2127,burnet_6
G2147,burnet_11
G2168,burnet_6
G2190,burnet_17
G2192,burnet_2
G2193,burnet_4
G2198,burnet_19
G2212,burnet_2
G2222,burnet_3
G2226,burnet_20
G2228,burnet_5
G2233,burnet_10
G2235,burnet_6
G2240,burnet_15
G2243,burnet_8
G2246,burnet_17
G2250,burnet_3
G2264,burnet_8
G2281,burnet_3
G2288,burnet_7
G2296,burnet_10
G2300,burnet_20
G2307,burnet_12
G2309,burnet_7
G2316,burnet_2
G2323,burnet_10
G2334,burnet_7
G2342,burnet_7
G2344,burnet_5
G2347,burnet_13
G2362,burnet_14
G2364,burnet_12
G2374,burnet_17
G2378,burnet_16
G2379,burnet_20
G2384,burnet_1
G2385,burnet_14
G2390,burnet_19
G2398,burnet_5
G2400,burnet_11
G2409,burnet_13
G2411,burnet_3
G2414,burnet_5
G2419,burnet_1
G2424,burnet_3
G2425,burnet_18
G2440,burnet_7
G2443,burnet_17
G2449,burnet_17
G2453,burnet_5
G2455,burnet_8
G2474,burnet_1
G2476,burnet_19
G2478,burnet_18
G2480,burnet_15
G2491,burnet_8
G2501,burnet_1
G2511,burnet_18
G2513,burnet_18
G2518,burnet_10
G2521,burnet_18
G2523,burnet_18
G2531,burnet_10
G2532,burnet_1
G2537,burnet_5
G2540,burnet_5
G2541,burnet_14
G2556,burnet_5
G2564,burnet_2
G2570,burnet_5
G2573,burnet_10
G2588,burnet_3
G2590,burnet_15
G2596,burnet_4
G2597,burnet_11
G2641,burnet_11
G2673,burnet_7
G2723,burnet_17
G2730,burnet_4
G2744,burnet_20
G2749,burnet_18
G2753,burnet_15
G2776,burnet_5
G2784,burnet_6
G2799,burnet_15
G2842,burnet_5
G2872,burnet_19
G2889,burnet_2
G2896,burnet_6
G2902,burnet_14
G2908,burnet_20
G2917,burnet_14
G2919,burnet_11
G2920,burnet_13
G2962,burnet_2
G2967,burnet_15
G2968,burnet_16
G2974,burnet_6
G2980,burnet_2
G2983,burnet_2
G2992,burnet_2
G3004,burnet_2
G3022,burnet_18
G3037,burnet_14
G3049,burnet_8
G3056,burnet_2
G3062,burnet_18
G3076,burnet_15
G3089,burnet_2
G3101,burnet_8
G3107,burnet_5
G3122,burnet_20
G3123,burnet_20
G3129,burnet_11
G3137,burnet_3
G3140,burnet_7
G3141,burnet_17
G3144,burnet_18
G3162,burnet_16
G3173,burnet_5
G3187,burnet_12
G3195,burnet_7
G3196,burnet_13
G3303,burnet_9
G3306,burnet_11
G3313,burnet_13
G3319,burnet_18
G3326,burnet_4
G3340,burnet_7
G3361,burnet_7
G3366,burnet_7
G3367,burnet_13
G3371,burnet_7
G3379,burnet_9
G3383,burnet_7
G3384,burnet_12
G3398,burnet_20
G3403,burnet_20
G3404,burnet_14
G3408,burnet_18
G3419,burnet_7
G3441,burnet_5
G3466,burnet_9
G3475,burnet_13
G3483,burnet_10
G3485,burnet_15
G3498,burnet_5
G3501,burnet_18
G3507,burnet_16
G3528,burnet_19
G3538,burnet_20
G3551,burnet_2
G3563,burnet_13
G3568,burnet_6
G3571,burnet_12
G3588,burnet_2
G3598,burnet_8
G3614,burnet_3
G3618,burnet_6
G3624,burnet_2
G3631,burnet_17
G3638,burnet_16
G3641,burnet_18
G3650,burnet_9
G3660,burnet_15
G3664,burnet_10
G3668,burnet_10
G3670,burnet_17
G3686,burnet_12
G3694,burnet_7
G3699,burnet_10
G3704,burnet_17
G3708,burnet_11
G3709,burnet_17
G3735,burnet_13
G3739,burnet_10
G3745,burnet_5
G3748,burnet_12
G3752,burnet_17
G3753,burnet_6
G3754,burnet_10
G3756,burnet_4
G3757,burnet_10
G3759,burnet_16
G3761,burnet_10
G3762,burnet_13
G3765,burnet_6
G3767,burnet_9
G3768,burnet_6
G3772,burnet_2
G3775,burnet_14
G3777,burnet_10
G3778,burnet_9
G3779,burnet_10
G3780,burnet_10
G3784,burnet_11
G3788,burnet_7
G3793,burnet_2
G3813,burnet_14
G3816,burnet_14
G3825,burnet_6
G3842,burnet_6
G3844,burnet_4
G3850,burnet_7
G3853,burnet_11
G3854,burnet_11
G3860,burnet_19
G3870,burnet_4
G3874,burnet_13
G3880,burnet_4
G3918,burnet_18
G3928,burnet_8
G3936,burnet_19
G3952,burnet_16
G3954,burnet_7
G3956,burnet_13
G3957,burnet_14
G3958,burnet_11
G3962,burnet_12
G3972,burnet_3
G3982,burnet_6
G3983,burnet_19
G3985,burnet_14
G3992,burnet_6
G4002,burnet_16
G4008,burnet_10
G4012,burnet_4
G4043,burnet_4
G4052,burnet_15
G4061,burnet_16
G4074,burnet_3
G4091,burnet_10
G4095,burnet_11
G4098,burnet_11
G4100,burnet_3
G4102,burnet_13
G4103,burnet_5
G4105,burnet_19
G4119,burnet_12
G4128,burnet_13
G4130,burnet_19
G4133,burnet_10
G4137,burnet_19
G4143,burnet_3
G4145,burnet_18
G4151,burnet_12
G4152,burnet_18
G4159,burnet_10
G4160,burnet_2
G4166,burnet_20
G4169,burnet_9
G4172,burnet_13
G4183,burnet_5
G4190,burnet_5
G4202,burnet_16
G4214,burnet_9
G4218,burnet_6
G4221,burnet_9
G4226,burnet_4
G4228,burnet_12
G4238,burnet_14
G4245,burnet_14
G4253,burnet_4
G4263,burnet_7
G4314,burnet_4
G4334,burnet_8
G4335,burnet_16
G4336,burnet_8
G4337,burnet_6
G4341,burnet_8
G4352,burnet_4
G4374,burnet_11
