strong,chapter
G0011,duff_1
G0018,duff_5
G0025,duff_19
G0026,duff_3
G0027,duff_5
G0032,duff_2
G0037,duff_15
G0040,duff_5
G0059,duff_14
G0068,duff_17
G0071,duff_2
G0079,duff_3
G0080,duff_2
G0091,duff_18
G0093,duff_18
G0125,duff_8
G0129,duff_12
G0142,duff_11
G0154,duff_6
G0165,duff_12
G0166,duff_5
G0169,duff_18
G0189,duff_16
G0190,duff_7
G0191,duff_2
G0225,duff_10
G0227,duff_13
G0228,duff_10
G0230,duff_20
G0235,duff_5
G0240,duff_9
G0243,duff_9
G0264,duff_11
G0266,duff_3
G0268,duff_14
G0281,duff_1
G0290,duff_14
G0302,duff_17
G0305,duff_11
G0308,duff_4
G0314,duff_11
G0321,duff_7
G0337,duff_17
G0386,duff_13
G0417,duff_17
G0435,duff_12
G0444,duff_2
G0450,duff_19
G0455,duff_6
G0514,duff_18
G0518,duff_11
G0537,duff_13
G0565,duff_8
G0571,duff_18
G0575,duff_4
G0591,duff_19
G0599,duff_11
G0601,duff_6
G0611,duff_15
G0615,duff_11
G0622,duff_19
G0630,duff_4
G0649,duff_11
G0652,duff_7
G0681,duff_8
G0686,duff_9
G0720,duff_8
G0721,duff_9
G0737,duff_6
G0740,duff_2
G0746,duff_3
G0749,duff_13
G0757,duff_8
G0758,duff_12
G0769,duff_16
G0770,duff_15
G0772,duff_13
G0782,duff_8
G0792,duff_12
G0837,duff_18
G0846,duff_3
G0863,duff_19
G0891,duff_17
G0906,duff_2
G0907,duff_6
G0921,duff_8
G0932,duff_3
G0935,duff_13
G0941,duff_15
G0975,duff_3
G0987,duff_14
G0991,duff_2
G1014,duff_15
G1056,duff_5
G1060,duff_15
G1063,duff_9
G1065,duff_9
G1074,duff_17
G1080,duff_19
G1093,duff_3
G1096,duff_11
G1097,duff_11
G1100,duff_17
G1107,duff_15
G1108,duff_13
G1122,duff_13
G1124,duff_17
G1125,duff_6
G1135,duff_12
G1138,duff_1
G1140,duff_3
G1161,duff_9
G1163,duff_7
G1166,duff_19
G1176,duff_16
G1186,duff_9
G1188,duff_18
G1208,duff_16
G1209,duff_8
G1210,duff_7
G1223,duff_4
G1228,duff_15
G1242,duff_17
G1247,duff_14
G1248,duff_17
G1249,duff_17
G1260,duff_14
G1320,duff_14
G1321,duff_2
G1322,duff_16
G1325,duff_19
G1330,duff_8
G1342,duff_5
G1343,duff_7
G1344,duff_19
G1352,duff_9
G1360,duff_9
G1372,duff_19
G1377,duff_6
G1380,duff_7
G1391,duff_3
G1392,duff_6
G1398,duff_15
G1401,duff_2
G1410,duff_18
G1411,duff_13
G1415,duff_18
G1417,duff_6
G1427,duff_16
G1437,duff_17
G1438,duff_9
G1448,duff_10
G1451,duff_10
G1453,duff_11
G1473,duff_9
G1484,duff_13
G1487,duff_5
G1492,duff_18
G1504,duff_14
G1510,duff_5
G1515,duff_5
G1519,duff_4
G1520,duff_13
G1525,duff_8
G1535,duff_9
G1537,duff_4
G1538,duff_5
G1540,duff_16
G1544,duff_4
G1563,duff_10
G1564,duff_10
G1565,duff_9
G1577,duff_3
G1607,duff_15
G1632,duff_15
G1646,duff_20
G1653,duff_7
G1656,duff_13
G1658,duff_18
G1672,duff_14
G1679,duff_14
G1680,duff_12
G1683,duff_9
G1699,duff_9
G1700,duff_9
G1715,duff_10
G1722,duff_4
G1746,duff_15
G1752,duff_10
G1767,duff_16
G1785,duff_7
G1799,duff_4
G1803,duff_16
G1831,duff_8
G1832,duff_7
G1849,duff_7
G1854,duff_4
G1859,duff_16
G1860,duff_17
G1893,duff_9
G1905,duff_19
G1909,duff_4
G1921,duff_11
G1939,duff_17
G1941,duff_4
G1992,duff_16
G1994,duff_15
G2007,duff_19
G2008,duff_19
G2033,duff_16
G2038,duff_8
G2041,duff_3
G2048,duff_8
G2064,duff_8
G2065,duff_19
G2068,duff_11
G2078,duff_18
G2087,duff_5
G2089,duff_6
G2090,duff_14
G2094,duff_13
G2095,duff_20
G2097,duff_8
G2098,duff_3
G2117,duff_10
G2127,duff_6
G2147,duff_11
G2168,duff_6
G2190,duff_17
G2192,duff_2
G2193,duff_4
G2198,duff_19
G2212,duff_2
G2222,duff_3
G2226,duff_20
G2228,duff_5
G2233,duff_10
G2235,duff_6
G2240,duff_15
G2243,duff_8
G2246,duff_17
G2250,duff_3
G2264,duff_8
G2281,duff_3
G2288,duff_7
G2296,duff_10
G2300,duff_20
G2307,duff_12
G2309,duff_7
G2316,duff_2
G2323,duff_10
G2334,duff_7
G2342,duff_7
G2347,duff_13
G2362,duff_14
G2364,duff_12
G2374,duff_17
G2378,duff_16
G2379,duff_20
G2384,duff_1
G2385,duff_14
G2390,duff_19
G2398,duff_5
G2400,duff_11
G2409,duff_13
G2411,duff_3
G2414,duff_5
G2424,duff_3
G2425,duff_18
G2440,duff_7
G2443,duff_17
G2449,duff_17
G2453,duff_5
G2455,duff_8
G2474,duff_1
G2476,duff_19
G2478,duff_18
G2480,duff_15
G2491,duff_8
G2501,duff_1
G2511,duff_18
G2513,duff_18
G2518,duff_10
G2521,duff_18
G2523,duff_18
G2531,duff_10
G2532,duff_1
G2537,duff_5
G2540,duff_5
G2541,duff_14
G2556,duff_5
G2564,duff_2
G2570,duff_5
G2573,duff_10
G2588,duff_3
G2590,duff_15
G2596,duff_4
G2597,duff_11
G2641,duff_11
G2673,duff_7
G2723,duff_17
G2730,duff_4
G2744,duff_20
G2749,duff_18
G2753,duff_15
G2776,duff_5
G2784,duff_6
G2799,duff_15
G2872,duff_19
G2889,duff_2
G2896,duff_6
G2902,duff_14
G2908,duff_20
G2917,duff_14
G2919,duff_11
G2920,duff_13
G2962,duff_2
G2967,duff_15
G2968,duff_16
G2974,duff_5
G2980,duff_2
G2983,duff_2
G2992,duff_2
G3004,duff_2
G3022,duff_18
G3037,duff_14
G3049,duff_8
G3056,duff_2
G3062,duff_18
G3076,duff_15
G3089,duff_2
G3101,duff_8
G3107,duff_5
G3122,duff_20
G3123,duff_20
G3129,duff_11
G3137,duff_3
G3140,duff_7
G3141,duff_17
G3144,duff_18
G3162,duff_16
G3173,duff_5
G3195,duff_7
G3196,duff_13
G3303,duff_9
G3306,duff_11
