,bhsa2021_word_n,book,chapter,verse,orig,lex,strong,freq
391260,391261,1 Chroniques,1,1,אָדָ֥ם ,אָדָם,H121,8
391261,391262,1 Chroniques,1,1,שֵׁ֖ת ,שֵׁת,H8352,8
391262,391263,1 Chroniques,1,1,אֱנֹֽושׁ׃ ,אֱנֹושׁ,H583,7
391263,391264,1 Chroniques,1,2,קֵינָ֥ן ,קֵינָן,H7018,6
391264,391265,1 Chroniques,1,2,מַהֲלַלְאֵ֖ל ,מַהֲלַלְאֵל,H4111,7
391265,391266,1 Chroniques,1,2,יָֽרֶד׃ ,יֶרֶד,H3382,7
391266,391267,1 Chroniques,1,3,חֲנֹ֥וךְ ,חֲנֹוךְ,H2585,15
391267,391268,1 Chroniques,1,3,מְתוּשֶׁ֖לַח ,מְתוּשֶׁלַח,H4968,6
391268,391269,1 Chroniques,1,3,לָֽמֶךְ׃ ,לֶמֶךְ,H3929,11
391269,391270,1 Chroniques,1,4,נֹ֥חַ ,נֹחַ,H5146,46
391270,391271,1 Chroniques,1,4,שֵׁ֖ם ,שֵׁם,H8035,17
391271,391272,1 Chroniques,1,4,חָ֥ם ,חָם,H2526,16
391272,391273,1 Chroniques,1,4,וָ,וְ,H9000,50272
391273,391274,1 Chroniques,1,4,יָֽפֶת׃ ס ,יֶפֶת,H3315,11
391274,391275,1 Chroniques,1,5,בְּנֵ֣י ,בֵּן,H1121,4937
391275,391276,1 Chroniques,1,5,יֶ֔פֶת ,יֶפֶת,H3315,11
391276,391277,1 Chroniques,1,5,גֹּ֣מֶר ,גֹּמֶר,H1586,5
391277,391278,1 Chroniques,1,5,וּ,וְ,H9000,50272
391278,391279,1 Chroniques,1,5,מָגֹ֔וג ,מָגֹוג,H4031,4
391279,391280,1 Chroniques,1,5,וּ,וְ,H9000,50272
391280,391281,1 Chroniques,1,5,מָדַ֖י ,מָדַי,H4074,16
391281,391282,1 Chroniques,1,5,וְ,וְ,H9000,50272
391282,391283,1 Chroniques,1,5,יָוָ֣ן ,יָוָן,H3120,11
391283,391284,1 Chroniques,1,5,וְ,וְ,H9000,50272
391284,391285,1 Chroniques,1,5,תֻבָ֑ל ,תֻּבַל,H8422,8
391285,391286,1 Chroniques,1,5,וּ,וְ,H9000,50272
391286,391287,1 Chroniques,1,5,מֶ֖שֶׁךְ ,מֶשֶׁךְ,H4902,9
391287,391288,1 Chroniques,1,5,וְ,וְ,H9000,50272
391288,391289,1 Chroniques,1,5,תִירָֽס׃ ס ,תִּירָס,H8494,2
391289,391290,1 Chroniques,1,6,וּ,וְ,H9000,50272
391290,391291,1 Chroniques,1,6,בְנֵ֖י ,בֵּן,H1121,4937
391291,391292,1 Chroniques,1,6,גֹּ֑מֶר ,גֹּמֶר,H1586,5
391292,391293,1 Chroniques,1,6,אַשְׁכֲּנַ֥ז ,אַשְׁכֲּנַז,H813,3
391293,391294,1 Chroniques,1,6,וְ,וְ,H9000,50272
391294,391295,1 Chroniques,1,6,דִיפַ֖ת ,דִּיפַת,H7384,1
391295,391296,1 Chroniques,1,6,וְ,וְ,H9000,50272
391296,391297,1 Chroniques,1,6,תֹוגַרְמָֽה׃ ,תֹּוגַרְמָה,H8425,4
391297,391298,1 Chroniques,1,7,וּ,וְ,H9000,50272
391298,391299,1 Chroniques,1,7,בְנֵ֥י ,בֵּן,H1121,4937
391299,391300,1 Chroniques,1,7,יָוָ֖ן ,יָוָן,H3120,11
391300,391301,1 Chroniques,1,7,אֱלִישָׁ֣ה ,אֱלִישָׁה,H473,3
391301,391302,1 Chroniques,1,7,וְ,וְ,H9000,50272
391302,391303,1 Chroniques,1,7,תַרְשִׁ֑ישָׁה ,תַּרְשִׁישׁ,H8659,26
391303,391304,1 Chroniques,1,7,כִּתִּ֖ים ,כתי֜,H3794,8
391304,391305,1 Chroniques,1,7,וְ,וְ,H9000,50272
391305,391306,1 Chroniques,1,7,רֹודָנִֽים׃ ס ,רודני֜,H1721,1
391306,391307,1 Chroniques,1,8,בְּנֵ֖י ,בֵּן,H1121,4937
391307,391308,1 Chroniques,1,8,חָ֑ם ,חָם,H2526,16
391308,391309,1 Chroniques,1,8,כּ֥וּשׁ ,כּוּשׁ,H3568,25
391309,391310,1 Chroniques,1,8,וּ,וְ,H9000,50272
391310,391311,1 Chroniques,1,8,מִצְרַ֖יִם ,מִצְרַיִם,H4714,681
391311,391312,1 Chroniques,1,8,פּ֥וּט ,פּוּט,H6316,7
391312,391313,1 Chroniques,1,8,וּ,וְ,H9000,50272
391313,391314,1 Chroniques,1,8,כְנָֽעַן׃ ,כְּנַעַן,H3667,93
391314,391315,1 Chroniques,1,9,וּ,וְ,H9000,50272
391315,391316,1 Chroniques,1,9,בְנֵ֣י ,בֵּן,H1121,4937
391316,391317,1 Chroniques,1,9,כ֔וּשׁ ,כּוּשׁ,H3568,5
391317,391318,1 Chroniques,1,9,סְבָא֙ ,סְבָא,H5434,4
391318,391319,1 Chroniques,1,9,וַ,וְ,H9000,50272
391319,391320,1 Chroniques,1,9,חֲוִילָ֔ה ,חֲוִילָה,H2341,7
391320,391321,1 Chroniques,1,9,וְ,וְ,H9000,50272
391321,391322,1 Chroniques,1,9,סַבְתָּ֥א ,סַבְתָּא,H5454,2
391322,391323,1 Chroniques,1,9,וְ,וְ,H9000,50272
391323,391324,1 Chroniques,1,9,רַעְמָ֖א ,רַעְמָה,H7484,5
391324,391325,1 Chroniques,1,9,וְ,וְ,H9000,50272
391325,391326,1 Chroniques,1,9,סַבְתְּכָ֑א ,סַבְתְּכָא,H5455,2
391326,391327,1 Chroniques,1,9,וּ,וְ,H9000,50272
391327,391328,1 Chroniques,1,9,בְנֵ֥י ,בֵּן,H1121,4937
391328,391329,1 Chroniques,1,9,רַעְמָ֖א ,רַעְמָה,H7484,5
391329,391330,1 Chroniques,1,9,שְׁבָ֥א ,שְׁבָא,H7614,23
391330,391331,1 Chroniques,1,9,וּ,וְ,H9000,50272
391331,391332,1 Chroniques,1,9,דְדָֽן׃ ס ,דְּדָן,H1719,11
391332,391333,1 Chroniques,1,10,וְ,וְ,H9000,50272
391333,391334,1 Chroniques,1,10,כ֖וּשׁ ,כּוּשׁ,H3568,5
391334,391335,1 Chroniques,1,10,יָלַ֣ד ,ילד,H3205,492
391335,391336,1 Chroniques,1,10,אֶת־,אֵת,H853,10987
391336,391337,1 Chroniques,1,10,נִמְרֹ֑וד ,נִמְרֹד,H5248,4
391337,391338,1 Chroniques,1,10,ה֣וּא ,הוּא,H1931,1394
391338,391339,1 Chroniques,1,10,הֵחֵ֔ל ,חלל,H2490,134
391339,391340,1 Chroniques,1,10,לִ,לְ,H9005,20069
391340,391341,1 Chroniques,1,10,הְיֹ֥ות ,היה,H1961,3561
391341,391342,1 Chroniques,1,10,גִּבֹּ֖ור ,גִּבֹּור,H1368,159
391342,391343,1 Chroniques,1,10,בָּ,בְּ,H9003,15542
391343,391344,1 Chroniques,1,10,,הַ,H9009,30386
391344,391345,1 Chroniques,1,10,אָֽרֶץ׃ ס ,אֶרֶץ,H776,2504
391345,391346,1 Chroniques,1,11,וּ,וְ,H9000,50272
391346,391347,1 Chroniques,1,11,מִצְרַ֡יִם ,מִצְרַיִם,H4714,681
391347,391348,1 Chroniques,1,11,יָלַ֞ד ,ילד,H3205,492
391348,391349,1 Chroniques,1,11,אֶת־,אֵת,H853,10987
