,tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
89858,93235,1 Corinthiens,1,1,Παῦλος,Παῦλος,G3972,158
89859,93236,1 Corinthiens,1,1,κλητὸς,κλητός,G2822,10
89860,93237,1 Corinthiens,1,1,ἀπόστολος,ἀπόστολος,G0652,79
89861,93238,1 Corinthiens,1,1,Χριστοῦ,Χριστός,G5547,529
89862,93239,1 Corinthiens,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
89863,93240,1 Corinthiens,1,1,διὰ,διά,G1223,666
89864,93241,1 Corinthiens,1,1,θελήματος,θέλημα,G2307,62
89865,93242,1 Corinthiens,1,1,θεοῦ,θεός,G2316,1311
89866,93243,1 Corinthiens,1,1,καὶ,καί,G2532,9130
89867,93244,1 Corinthiens,1,1,Σωσθένης,Σωσθένης,G4988,2
89868,93245,1 Corinthiens,1,1,ὁ,ὁ,G3588,19785
89869,93246,1 Corinthiens,1,1,ἀδελφὸς,ἀδελφός,G0080,343
89870,93247,1 Corinthiens,1,2,τῆ,ὁ,G3588,19785
89871,93248,1 Corinthiens,1,2,ἐκκλησίᾳ,ἐκκλησία,G1577,114
89872,93249,1 Corinthiens,1,2,τοῦ,ὁ,G3588,19785
89873,93250,1 Corinthiens,1,2,θεοῦ,θεός,G2316,1311
89874,93251,1 Corinthiens,1,2,τῆ,ὁ,G3588,19785
89875,93252,1 Corinthiens,1,2,οὔσῃ,εἰμί,G1510,2458
89876,93253,1 Corinthiens,1,2,ἐν,ἐν,G1722,2728
89877,93254,1 Corinthiens,1,2,Κορίνθῳ,Κόρινθος,G2882,6
89878,93255,1 Corinthiens,1,2,ἡγιασμένοις,ἁγιάζω,G0037,28
89879,93256,1 Corinthiens,1,2,ἐν,ἐν,G1722,2728
89880,93257,1 Corinthiens,1,2,Χριστῷ,Χριστός,G5547,529
89881,93258,1 Corinthiens,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
89882,93259,1 Corinthiens,1,2,κλητοῖς,κλητός,G2822,10
89883,93260,1 Corinthiens,1,2,ἁγίοις,ἅγιος,G0040,224
89884,93261,1 Corinthiens,1,2,σὺν,σύν,G4862,127
89885,93262,1 Corinthiens,1,2,πᾶσιν,πᾶς,G3956,1236
89886,93263,1 Corinthiens,1,2,τοῖς,ὁ,G3588,19785
89887,93264,1 Corinthiens,1,2,ἐπικαλουμένοις,ἐπικαλέω,G1941,30
89888,93265,1 Corinthiens,1,2,τὸ,ὁ,G3588,19785
89889,93266,1 Corinthiens,1,2,ὄνομα,ὄνομα,G3686,229
89890,93267,1 Corinthiens,1,2,τοῦ,ὁ,G3588,19785
89891,93268,1 Corinthiens,1,2,κυρίου,κύριος,G2962,716
89892,93269,1 Corinthiens,1,2,ἡμῶν,ἐγώ,G1473,2462
89893,93270,1 Corinthiens,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
89894,93271,1 Corinthiens,1,2,Χριστοῦ,Χριστός,G5547,529
89895,93272,1 Corinthiens,1,2,ἐν,ἐν,G1722,2728
89896,93273,1 Corinthiens,1,2,παντὶ,πᾶς,G3956,1236
89897,93274,1 Corinthiens,1,2,τόπῳ,τόπος,G5117,94
89898,93275,1 Corinthiens,1,2,αὐτῶν,αὐτός,G0846,5558
89899,93277,1 Corinthiens,1,2,καὶ,καί,G2532,9130
89900,93278,1 Corinthiens,1,2,ἡμῶν,ἐγώ,G1473,2462
89901,93279,1 Corinthiens,1,3,χάρις,χάρις,G5485,154
89902,93280,1 Corinthiens,1,3,ὑμῖν,σύ,G4771,2896
89903,93281,1 Corinthiens,1,3,καὶ,καί,G2532,9130
89904,93282,1 Corinthiens,1,3,εἰρήνη,εἰρήνη,G1515,92
89905,93283,1 Corinthiens,1,3,ἀπὸ,ἀπό,G0575,640
89906,93284,1 Corinthiens,1,3,θεοῦ,θεός,G2316,1311
89907,93285,1 Corinthiens,1,3,πατρὸς,πατήρ,G3962,414
89908,93286,1 Corinthiens,1,3,ἡμῶν,ἐγώ,G1473,2462
89909,93287,1 Corinthiens,1,3,καὶ,καί,G2532,9130
89910,93288,1 Corinthiens,1,3,κυρίου,κύριος,G2962,716
89911,93289,1 Corinthiens,1,3,Ἰησοῦ,Ἰησοῦς,G2424,910
89912,93290,1 Corinthiens,1,3,Χριστοῦ,Χριστός,G5547,529
89913,93291,1 Corinthiens,1,4,Εὐχαριστῶ,εὐχαριστέω,G2168,38
89914,93292,1 Corinthiens,1,4,τῷ,ὁ,G3588,19785
89915,93293,1 Corinthiens,1,4,θεῷ,θεός,G2316,1311
89916,93294,1 Corinthiens,1,4,μου,ἐγώ,G1473,2462
89917,93295,1 Corinthiens,1,4,πάντοτε,πάντοτε,G3842,41
89918,93296,1 Corinthiens,1,4,περὶ,περί,G4012,331
89919,93297,1 Corinthiens,1,4,ὑμῶν,σύ,G4771,2896
89920,93298,1 Corinthiens,1,4,ἐπὶ,ἐπί,G1909,884
89921,93299,1 Corinthiens,1,4,τῆ,ὁ,G3588,19785
89922,93300,1 Corinthiens,1,4,χάριτι,χάρις,G5485,154
89923,93301,1 Corinthiens,1,4,τοῦ,ὁ,G3588,19785
