,tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
124520,128779,1 Jean,1,1,Ὃ,ὅς,G3739,1408
124521,128780,1 Jean,1,1,ἦν,εἰμί,G1510,2458
124522,128781,1 Jean,1,1,ἀπ᾽,ἀπό,G0575,640
124523,128782,1 Jean,1,1,ἀρχῆς,ἀρχή,G0746,55
124524,128783,1 Jean,1,1,ὃ,ὅς,G3739,1408
124525,128784,1 Jean,1,1,ἀκηκόαμεν,ἀκούω,G0191,426
124526,128785,1 Jean,1,1,ὃ,ὅς,G3739,1408
124527,128786,1 Jean,1,1,ἑωράκαμεν,ὁράω,G3708,113
124528,128787,1 Jean,1,1,τοῖς,ὁ,G3588,19785
124529,128788,1 Jean,1,1,ὀφθαλμοῖς,ὀφθαλμός,G3788,100
124530,128789,1 Jean,1,1,ἡμῶν,ἐγώ,G1473,2462
124531,128790,1 Jean,1,1,ὃ,ὅς,G3739,1408
124532,128791,1 Jean,1,1,ἐθεασάμεθα,θεάομαι,G2300,22
124533,128792,1 Jean,1,1,καὶ,καί,G2532,9108
124534,128793,1 Jean,1,1,αἱ,ὁ,G3588,19785
124535,128794,1 Jean,1,1,χεῖρες,χείρ,G5495,177
124536,128795,1 Jean,1,1,ἡμῶν,ἐγώ,G1473,2462
124537,128796,1 Jean,1,1,ἐψηλάφησαν,ψηλαφάω,G5584,4
124538,128797,1 Jean,1,1,περὶ,περί,G4012,331
124539,128798,1 Jean,1,1,τοῦ,ὁ,G3588,19785
124540,128799,1 Jean,1,1,λόγου,λόγος,G3056,330
124541,128800,1 Jean,1,1,τῆς,ὁ,G3588,19785
124542,128801,1 Jean,1,1,ζωῆς,ζωή,G2222,135
124543,128802,1 Jean,1,2,καὶ,καί,G2532,9108
124544,128803,1 Jean,1,2,ἡ,ὁ,G3588,19785
124545,128804,1 Jean,1,2,ζωὴ,ζωή,G2222,135
124546,128805,1 Jean,1,2,ἐφανερώθη,φανερόω,G5319,49
124547,128806,1 Jean,1,2,καὶ,καί,G2532,9108
124548,128807,1 Jean,1,2,ἑωράκαμεν,ὁράω,G3708,113
124549,128808,1 Jean,1,2,καὶ,καί,G2532,9108
124550,128809,1 Jean,1,2,μαρτυροῦμεν,μαρτυρέω,G3140,76
124551,128810,1 Jean,1,2,καὶ,καί,G2532,9108
124552,128811,1 Jean,1,2,ἀπαγγέλλομεν,ἀπαγγέλλω,G0518,45
124553,128812,1 Jean,1,2,ὑμῖν,σύ,G4771,2896
124554,128813,1 Jean,1,2,τὴν,ὁ,G3588,19785
124555,128814,1 Jean,1,2,ζωὴν,ζωή,G2222,135
124556,128815,1 Jean,1,2,τὴν,ὁ,G3588,19785
124557,128816,1 Jean,1,2,αἰώνιον,αἰώνιος,G0166,70
124558,128817,1 Jean,1,2,ἥτις,ὅστις,G3748,144
124559,128818,1 Jean,1,2,ἦν,εἰμί,G1510,2458
124560,128819,1 Jean,1,2,πρὸς,πρός,G4314,699
124561,128820,1 Jean,1,2,τὸν,ὁ,G3588,19785
124562,128821,1 Jean,1,2,πατέρα,πατήρ,G3962,414
124563,128822,1 Jean,1,2,καὶ,καί,G2532,9108
124564,128823,1 Jean,1,2,ἐφανερώθη,φανερόω,G5319,49
124565,128824,1 Jean,1,2,ἡμῖν,ἐγώ,G1473,2462
124566,128825,1 Jean,1,3,ὃ,ὅς,G3739,1408
124567,128826,1 Jean,1,3,ἑωράκαμεν,ὁράω,G3708,113
124568,128827,1 Jean,1,3,καὶ,καί,G2532,9108
124569,128828,1 Jean,1,3,ἀκηκόαμεν,ἀκούω,G0191,426
124570,128829,1 Jean,1,3,ἀπαγγέλλομεν,ἀπαγγέλλω,G0518,45
124571,128830,1 Jean,1,3,καὶ,καί,G2532,9108
124572,128831,1 Jean,1,3,ὑμῖν,σύ,G4771,2896
124573,128832,1 Jean,1,3,ἵνα,ἵνα,G2443,668
124574,128833,1 Jean,1,3,καὶ,καί,G2532,9108
124575,128834,1 Jean,1,3,ὑμεῖς,σύ,G4771,2896
124576,128835,1 Jean,1,3,κοινωνίαν,κοινωνία,G2842,19
124577,128836,1 Jean,1,3,ἔχητε,ἔχω,G2192,706
124578,128837,1 Jean,1,3,μεθ᾽,μετά,G3326,468
124579,128838,1 Jean,1,3,ἡμῶν,ἐγώ,G1473,2462
124580,128839,1 Jean,1,3,καὶ,καί,G2532,9108
124581,128840,1 Jean,1,3,ἡ,ὁ,G3588,19785
124582,128841,1 Jean,1,3,κοινωνία,κοινωνία,G2842,19
124583,128842,1 Jean,1,3,δὲ,δέ,G1161,2771
124584,128843,1 Jean,1,3,ἡ,ὁ,G3588,19785
124585,128844,1 Jean,1,3,ἡμετέρα,ἡμέτερος,G2251,7
124586,128845,1 Jean,1,3,μετὰ,μετά,G3326,468
124587,128846,1 Jean,1,3,τοῦ,ὁ,G3588,19785
124588,128847,1 Jean,1,3,πατρὸς,πατήρ,G3962,414
124589,128848,1 Jean,1,3,καὶ,καί,G2532,9108
124590,128849,1 Jean,1,3,μετὰ,μετά,G3326,468
124591,128850,1 Jean,1,3,τοῦ,ὁ,G3588,19785
124592,128851,1 Jean,1,3,υἱοῦ,υἱός,G5207,372
124593,128852,1 Jean,1,3,αὐτοῦ,αὐτός,G0846,5558
124594,128853,1 Jean,1,3,Ἰησοῦ,Ἰησοῦς,G2424,910
124595,128854,1 Jean,1,3,Χριστοῦ,Χριστός,G5547,529
124596,128855,1 Jean,1,4,καὶ,καί,G2532,9108
124597,128856,1 Jean,1,4,ταῦτα,οὗτος,G3778,1380
124598,128857,1 Jean,1,4,γράφομεν,γράφω,G1125,190
124599,128858,1 Jean,1,4,ἡμεῖς,ἐγώ,G1473,2462
124600,128859,1 Jean,1,4,ἵνα,ἵνα,G2443,668
124601,128860,1 Jean,1,4,ἡ,ὁ,G3588,19785
124602,128861,1 Jean,1,4,χαρὰ,χαρά,G5479,59
124603,128862,1 Jean,1,4,ἡμῶν,ἐγώ,G1473,2462
124604,128863,1 Jean,1,4,ᾖ,εἰμί,G1510,2458
124605,128864,1 Jean,1,4,πεπληρωμένη,πληρόω,G4137,85
124606,128865,1 Jean,1,5,καὶ,καί,G2532,9108
124607,128866,1 Jean,1,5,ἔστιν,εἰμί,G1510,2458
124608,128867,1 Jean,1,5,αὕτη,οὗτος,G3778,1380
124609,128868,1 Jean,1,5,ἡ,ὁ,G3588,19785
124610,128869,1 Jean,1,5,ἀγγελία,ἀγγελία,G0031,2
124611,128870,1 Jean,1,5,ἣν,ὅς,G3739,1408
124612,128871,1 Jean,1,5,ἀκηκόαμεν,ἀκούω,G0191,426
124613,128872,1 Jean,1,5,ἀπ᾽,ἀπό,G0575,640
124614,128873,1 Jean,1,5,αὐτοῦ,αὐτός,G0846,5558
124615,128874,1 Jean,1,5,καὶ,καί,G2532,9108
124616,128875,1 Jean,1,5,ἀναγγέλλομεν,ἀναγγέλλω,G0312,14
124617,128876,1 Jean,1,5,ὑμῖν,σύ,G4771,2896
124618,128877,1 Jean,1,5,ὅτι,ὅτι,G3754,1291
124619,128878,1 Jean,1,5,ὁ,ὁ,G3588,19785
124620,128879,1 Jean,1,5,θεὸς,θεός,G2316,1311
124621,128880,1 Jean,1,5,φῶς,φῶς,G5457,73
124622,128881,1 Jean,1,5,ἐστιν,εἰμί,G1510,2458
124623,128882,1 Jean,1,5,καὶ,καί,G2532,9108
124624,128883,1 Jean,1,5,σκοτία,σκοτία,G4653,16
124625,128884,1 Jean,1,5,ἐν,ἐν,G1722,2728
124626,128885,1 Jean,1,5,αὐτῷ,αὐτός,G0846,5558
124627,128886,1 Jean,1,5,οὐκ,οὐ,G3756,1667
124628,128887,1 Jean,1,5,ἔστιν,εἰμί,G1510,2458
