,tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
111262,115175,1 Timothée,1,1,Παῦλος,Παῦλος,G3972,158
111263,115176,1 Timothée,1,1,ἀπόστολος,ἀπόστολος,G0652,79
111264,115178,1 Timothée,1,1,Χριστοῦ,Χριστός,G5547,529
111265,115179,1 Timothée,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
111266,115180,1 Timothée,1,1,κατ᾽,κατά,G2596,472
111267,115181,1 Timothée,1,1,ἐπιταγὴν,ἐπιταγή,G2003,7
111268,115182,1 Timothée,1,1,θεοῦ,θεός,G2316,1311
111269,115183,1 Timothée,1,1,σωτῆρος,σωτήρ,G4990,24
111270,115184,1 Timothée,1,1,ἡμῶν,ἐγώ,G1473,2462
111271,115185,1 Timothée,1,1,καὶ,καί,G2532,9108
111272,115187,1 Timothée,1,1,Χριστοῦ,Χριστός,G5547,529
111273,115188,1 Timothée,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
111274,115189,1 Timothée,1,1,τῆς,ὁ,G3588,19785
111275,115190,1 Timothée,1,1,ἐλπίδος,ἐλπίς,G1680,53
111276,115191,1 Timothée,1,1,ἡμῶν,ἐγώ,G1473,2462
111277,115192,1 Timothée,1,2,Τιμοθέῳ,Τιμόθεος,G5095,24
111278,115193,1 Timothée,1,2,γνησίῳ,γνήσιος,G1103,4
111279,115194,1 Timothée,1,2,τέκνῳ,τέκνον,G5043,98
111280,115195,1 Timothée,1,2,ἐν,ἐν,G1722,2728
111281,115196,1 Timothée,1,2,πίστει,πίστις,G4102,242
111282,115197,1 Timothée,1,2,χάρις,χάρις,G5485,154
111283,115198,1 Timothée,1,2,ἔλεος,ἔλεος,G1656,27
111284,115199,1 Timothée,1,2,εἰρήνη,εἰρήνη,G1515,92
111285,115200,1 Timothée,1,2,ἀπὸ,ἀπό,G0575,640
111286,115201,1 Timothée,1,2,θεοῦ,θεός,G2316,1311
111287,115202,1 Timothée,1,2,πατρὸς,πατήρ,G3962,414
111288,115204,1 Timothée,1,2,καὶ,καί,G2532,9108
111289,115205,1 Timothée,1,2,Χριστοῦ,Χριστός,G5547,529
111290,115206,1 Timothée,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
111291,115207,1 Timothée,1,2,τοῦ,ὁ,G3588,19785
111292,115208,1 Timothée,1,2,κυρίου,κύριος,G2962,716
111293,115209,1 Timothée,1,2,ἡμῶν,ἐγώ,G1473,2462
111294,115210,1 Timothée,1,3,Καθὼς,καθώς,G2531,182
111295,115211,1 Timothée,1,3,παρεκάλεσά,παρακαλέω,G3870,108
111296,115212,1 Timothée,1,3,σε,σύ,G4771,2896
111297,115213,1 Timothée,1,3,προσμεῖναι,προσμένω,G4357,7
111298,115214,1 Timothée,1,3,ἐν,ἐν,G1722,2728
111299,115215,1 Timothée,1,3,Ἐφέσῳ,Ἔφεσος,G2181,16
111300,115216,1 Timothée,1,3,πορευόμενος,πορεύω,G4198,150
111301,115217,1 Timothée,1,3,εἰς,εἰς,G1519,1757
111302,115218,1 Timothée,1,3,Μακεδονίαν,Μακεδονία,G3109,22
111303,115219,1 Timothée,1,3,ἵνα,ἵνα,G2443,668
111304,115220,1 Timothée,1,3,παραγγείλῃς,παραγγέλλω,G3853,31
111305,115221,1 Timothée,1,3,τισὶν,τις,G5100,525
111306,115222,1 Timothée,1,3,μὴ,μή,G3361,1065
111307,115223,1 Timothée,1,3,ἑτεροδιδασκαλεῖν,ἑτεροδιδασκαλέω,G2085,2
111308,115224,1 Timothée,1,4,μηδὲ,μηδέ,G3366,57
111309,115225,1 Timothée,1,4,προσέχειν,προσέχω,G4337,24
111310,115226,1 Timothée,1,4,μύθοις,μῦθος,G3454,5
111311,115227,1 Timothée,1,4,καὶ,καί,G2532,9108
111312,115228,1 Timothée,1,4,γενεαλογίαις,γενεαλογία,G1076,2
111313,115229,1 Timothée,1,4,ἀπεράντοις,ἀπέραντος,G0562,1
111314,115230,1 Timothée,1,4,αἵτινες,ὅστις,G3748,144
111315,115231,1 Timothée,1,4,ἐκζητήσεις,ἐκζήτησις,G6027,1
111316,115232,1 Timothée,1,4,παρέχουσιν,παρέχω,G3930,16
111317,115233,1 Timothée,1,4,μᾶλλον,μᾶλλον,G3123,81
111318,115234,1 Timothée,1,4,ἢ,ἤ,G2228,346
111319,115235,1 Timothée,1,4,οἰκονομίαν,οἰκονομία,G3622,9
111320,115236,1 Timothée,1,4,θεοῦ,θεός,G2316,1311
111321,115237,1 Timothée,1,4,τὴν,ὁ,G3588,19785
111322,115238,1 Timothée,1,4,ἐν,ἐν,G1722,2728
111323,115239,1 Timothée,1,4,πίστει,πίστις,G4102,242
111324,115240,1 Timothée,1,5,τὸ,ὁ,G3588,19785
111325,115241,1 Timothée,1,5,δὲ,δέ,G1161,2771
111326,115242,1 Timothée,1,5,τέλος,τέλος,G5056,40
111327,115243,1 Timothée,1,5,τῆς,ὁ,G3588,19785
111328,115244,1 Timothée,1,5,παραγγελίας,παραγγελία,G3852,5
111329,115245,1 Timothée,1,5,ἐστὶν,εἰμί,G1510,2458
111330,115246,1 Timothée,1,5,ἀγάπη,ἀγάπη,G0026,116
111331,115247,1 Timothée,1,5,ἐκ,ἐκ,G1537,912
111332,115248,1 Timothée,1,5,καθαρᾶς,καθαρός,G2513,27
111333,115249,1 Timothée,1,5,καρδίας,καρδία,G2588,155
111334,115250,1 Timothée,1,5,καὶ,καί,G2532,9108
111335,115251,1 Timothée,1,5,συνειδήσεως,συνείδησις,G4893,30
111336,115252,1 Timothée,1,5,ἀγαθῆς,ἀγαθός,G0018,102
111337,115253,1 Timothée,1,5,καὶ,καί,G2532,9108
111338,115254,1 Timothée,1,5,πίστεως,πίστις,G4102,242
111339,115255,1 Timothée,1,5,ἀνυποκρίτου,ἀνυπόκριτος,G0505,6
111340,115256,1 Timothée,1,6,ὧν,ὅς,G3739,1408
111341,115257,1 Timothée,1,6,τινες,τις,G5100,525
111342,115258,1 Timothée,1,6,ἀστοχήσαντες,ἀστοχέω,G0795,3
111343,115259,1 Timothée,1,6,ἐξετράπησαν,ἐκτρέπω,G1624,5
111344,115260,1 Timothée,1,6,εἰς,εἰς,G1519,1757
111345,115261,1 Timothée,1,6,ματαιολογίαν,ματαιολογία,G3150,1
111346,115262,1 Timothée,1,7,θέλοντες,θέλω,G2309,208
111347,115263,1 Timothée,1,7,εἶναι,εἰμί,G1510,2458
111348,115264,1 Timothée,1,7,νομοδιδάσκαλοι,νομοδιδάσκαλος,G3547,3
111349,115265,1 Timothée,1,7,μὴ,μή,G3361,1065
111350,115266,1 Timothée,1,7,νοοῦντες,νοέω,G3539,14
111351,115267,1 Timothée,1,7,μήτε,μήτε,G3383,34
111352,115268,1 Timothée,1,7,ἃ,ὅς,G3739,1408
111353,115269,1 Timothée,1,7,λέγουσιν,λέγω,G3004,1318
111354,115270,1 Timothée,1,7,μήτε,μήτε,G3383,34
111355,115271,1 Timothée,1,7,περὶ,περί,G4012,331
111356,115272,1 Timothée,1,7,τίνων,τίς,G5101,558
111357,115273,1 Timothée,1,7,διαβεβαιοῦνται,διαβεβαιόω,G1226,2
