Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
147838,1Chroniques,1,1,אָדָ֥ם,אָדָם,H0121,12
147839,1Chroniques,1,1,שֵׁ֖ת,שֵׁת,H8352,9
147840,1Chroniques,1,1,אֱנֽוֹשׁ׃,אֱנוֹשׁ,H0583,7
147841,1Chroniques,1,2,קֵינָ֥ן,קֵינָן,H7018,6
147842,1Chroniques,1,2,מַהֲלַלְאֵ֖ל,מַהֲלַלְאֵל,H4111,7
147843,1Chroniques,1,2,יָֽרֶד׃,יֶ֫רֶד,H3382,7
147844,1Chroniques,1,3,חֲנ֥וֹךְ,חֲנוֹךְ,H2585,16
147845,1Chroniques,1,3,מְתוּשֶׁ֖לַח,מְתוּשֶׁ֫לַח,H4968,6
147846,1Chroniques,1,3,לָֽמֶךְ׃,לֶ֫מֶךְ,H3929,11
147847,1Chroniques,1,4,נֹ֥חַ,נֹחַ,H5146,46
147848,1Chroniques,1,4,שֵׁ֖ם,שֵׁם,H8035,17
147849,1Chroniques,1,4,חָ֥ם,חָם,H2526,16
147850,1Chroniques,1,4,וָיָֽפֶת׃ ס,יֶ֫פֶת,H3315,11
147851,1Chroniques,1,5,בְּנֵ֣י,בֵּן,H1121,4959
147852,1Chroniques,1,5,יֶ֔פֶת,יֶ֫פֶת,H3315,11
147853,1Chroniques,1,5,גֹּ֣מֶר,גֹּ֫מֶר,H1586,6
147854,1Chroniques,1,5,וּמָג֔וֹג,מָגוֹג,H4031,4
147855,1Chroniques,1,5,וּמָדַ֖י,מָדַי,H4074,16
147856,1Chroniques,1,5,וְיָוָ֣ן,יָוָן,H3120,11
147857,1Chroniques,1,5,וְתֻבָ֑ל,תּוּבַל,H8422,8
147858,1Chroniques,1,5,וּמֶ֖שֶׁךְ,מֶ֫שֶׁךְ,H4902,9
147859,1Chroniques,1,5,וְתִירָֽס׃ ס,תִּירָ֑ס,H8494,2
147860,1Chroniques,1,6,וּבְנֵ֖י,בֵּן,H1121,4959
147861,1Chroniques,1,6,גֹּ֑מֶר,גֹּ֫מֶר,H1586,6
147862,1Chroniques,1,6,אַשְׁכֲּנַ֥ז,אַשְׁכְּנַז,H0813,3
147863,1Chroniques,1,6,וְדִיפַ֖ת,דִּיפַת,H7384,2
147864,1Chroniques,1,6,וְתוֹגַרְמָֽה׃,תֹּגַרְמָה,H8425,4
147865,1Chroniques,1,7,וּבְנֵ֥י,בֵּן,H1121,4959
147866,1Chroniques,1,7,יָוָ֖ן,יָוָן,H3120,11
147867,1Chroniques,1,7,אֱלִישָׁ֣ה,אֱלִישָׁה,H0473,3
147868,1Chroniques,1,7,וְתַרְשִׁ֑ישָׁה,תַּרְשִׁישׁ,H8659,28
147869,1Chroniques,1,7,כִּתִּ֖ים,כִּתִּי,H3794,8
147870,1Chroniques,1,7,וְרוֹדָנִֽים׃ ס,רוֹדָנִים,H1721,2
147871,1Chroniques,1,8,בְּנֵ֖י,בֵּן,H1121,4959
147872,1Chroniques,1,8,חָ֑ם,חָם,H2526,16
147873,1Chroniques,1,8,כּ֥וּשׁ,כּוּשׁ,H3568,30
147874,1Chroniques,1,8,וּמִצְרַ֖יִם,מִצְרַ֫יִם,H4714,641
147875,1Chroniques,1,8,פּ֥וּט,פּוּט,H6316,7
147876,1Chroniques,1,8,וּכְנָֽעַן׃,כְּנַ֫עַן,H3667,94
147877,1Chroniques,1,9,וּבְנֵ֣י,בֵּן,H1121,4959
147878,1Chroniques,1,9,כ֔וּשׁ,כּוּשׁ,H3568,30
147879,1Chroniques,1,9,סְבָא֙,סְבָא,H5434,4
147880,1Chroniques,1,9,וַחֲוִילָ֔ה,חֲוִילָה,H2341,7
147881,1Chroniques,1,9,וְסַבְתָּ֥א,סַבְתָּה,H5454,2
