tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
125933,1Pierre,1,1,Πέτρος,Πέτρος,G4074,155
125934,1Pierre,1,1,ἀπόστολος,ἀπόστολος,G0652,79
125935,1Pierre,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
125936,1Pierre,1,1,Χριστοῦ,Χριστός,G5547,529
125937,1Pierre,1,1,ἐκλεκτοῖς,ἐκλεκτός,G1588,22
125938,1Pierre,1,1,παρεπιδήμοις,παρεπίδημος,G3927,3
125939,1Pierre,1,1,διασπορᾶς,διασπορά,G1290,3
125940,1Pierre,1,1,Πόντου,Πόντος,G4195,2
125941,1Pierre,1,1,Γαλατίας,Γαλατία,G1053,4
125942,1Pierre,1,1,Καππαδοκίας,Καππαδοκία,G2587,2
125943,1Pierre,1,1,Ἀσίας,Ἀσία,G0773,19
125944,1Pierre,1,1,καὶ,καί,G2532,9108
125945,1Pierre,1,1,Βιθυνίας,Βιθυνία,G0978,2
125946,1Pierre,1,2,κατὰ,κατά,G2596,472
125947,1Pierre,1,2,πρόγνωσιν,πρόγνωσις,G4268,2
125948,1Pierre,1,2,θεοῦ,θεός,G2316,1311
125949,1Pierre,1,2,πατρὸς,πατήρ,G3962,414
125950,1Pierre,1,2,ἐν,ἐν,G1722,2728
125951,1Pierre,1,2,ἁγιασμῷ,ἁγιασμός,G0038,10
125952,1Pierre,1,2,πνεύματος,πνεῦμα,G4151,378
125953,1Pierre,1,2,εἰς,εἰς,G1519,1757
125954,1Pierre,1,2,ὑπακοὴν,ὑπακοή,G5218,15
125955,1Pierre,1,2,καὶ,καί,G2532,9108
125956,1Pierre,1,2,ῥαντισμὸν,ῥαντισμός,G4473,2
125957,1Pierre,1,2,αἵματος,αἷμα,G0129,97
125958,1Pierre,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
125959,1Pierre,1,2,Χριστοῦ,Χριστός,G5547,529
125960,1Pierre,1,2,χάρις,χάρις,G5485,154
125961,1Pierre,1,2,ὑμῖν,σύ,G4771,2896
125962,1Pierre,1,2,καὶ,καί,G2532,9108
125963,1Pierre,1,2,εἰρήνη,εἰρήνη,G1515,92
125964,1Pierre,1,2,πληθυνθείη,πληθύνω,G4129,12
125965,1Pierre,1,3,Εὐλογητὸς,εὐλογητός,G2128,8
125966,1Pierre,1,3,ὁ,ὁ,G3588,19785
125967,1Pierre,1,3,θεὸς,θεός,G2316,1311
125968,1Pierre,1,3,καὶ,καί,G2532,9108
125969,1Pierre,1,3,πατὴρ,πατήρ,G3962,414
125970,1Pierre,1,3,τοῦ,ὁ,G3588,19785
125971,1Pierre,1,3,κυρίου,κύριος,G2962,716
125972,1Pierre,1,3,ἡμῶν,ἐγώ,G1473,2462
125973,1Pierre,1,3,Ἰησοῦ,Ἰησοῦς,G2424,910
125974,1Pierre,1,3,Χριστοῦ,Χριστός,G5547,529
125975,1Pierre,1,3,ὁ,ὁ,G3588,19785
125976,1Pierre,1,3,κατὰ,κατά,G2596,472
125977,1Pierre,1,3,τὸ,ὁ,G3588,19785
125978,1Pierre,1,3,πολὺ,πολύς,G4183,365
125979,1Pierre,1,3,αὐτοῦ,αὐτός,G0846,5558
125980,1Pierre,1,3,ἔλεος,ἔλεος,G1656,27
125981,1Pierre,1,3,ἀναγεννήσας,ἀναγεννάω,G0313,2
125982,1Pierre,1,3,ἡμᾶς,ἐγώ,G1473,2462
125983,1Pierre,1,3,εἰς,εἰς,G1519,1757
125984,1Pierre,1,3,ἐλπίδα,ἐλπίς,G1680,53
125985,1Pierre,1,3,ζῶσαν,ζάω,G2198,139
125986,1Pierre,1,3,δι᾽,διά,G1223,666
125987,1Pierre,1,3,ἀναστάσεως,ἀνάστασις,G0386,42
125988,1Pierre,1,3,Ἰησοῦ,Ἰησοῦς,G2424,910
125989,1Pierre,1,3,Χριστοῦ,Χριστός,G5547,529
