w,book,chapter,verse,orig,lex,strong,freq
125614,1Rois,1,1,וְהַמֶּ֤לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125615,1Rois,1,1,דָּוִד֙,דָּוִד,H1732,1075.0
125616,1Rois,1,1,זָקֵ֔ן,זָקֵן,H2204,27.0
125617,1Rois,1,1,בָּ֖א,בּוֹא,H0935,2572.0
125618,1Rois,1,1,בַּיָּמִ֑ים,יוֹם,H3117,2306.0
125619,1Rois,1,1,וַיְכַסֻּ֙הוּ֙,כָּסָה,H3680,152.0
125620,1Rois,1,1,בַּבְּגָדִ֔ים,בֶּ֫גֶד,H0899,217.0
125621,1Rois,1,1,וְלֹ֥א,לֹא,H3808,5170.0
125622,1Rois,1,1,יִחַ֖ם,חָמַם,H2552,21.0
125623,1Rois,1,1,לֽוֹ׃,,H9033,1549.0
125624,1Rois,1,2,וַיֹּ֧אמְרוּ,אָמַר,H0559,5309.0
125625,1Rois,1,2,ל֣וֹ,,H9033,1549.0
125626,1Rois,1,2,עֲבָדָ֗יו,עֶ֫בֶד,H5650,801.0
125627,1Rois,1,2,יְבַקְשׁ֞וּ,בָּקַשׁ,H1245,225.0
125628,1Rois,1,2,לַאדֹנִ֤י,אָדוֹן,H0113,333.0
125629,1Rois,1,2,הַמֶּ֙לֶךְ֙,מֶ֫לֶךְ,H4428,2526.0
125630,1Rois,1,2,נַעֲרָ֣ה,נַעֲרָה,H5291,63.0
125631,1Rois,1,2,בְתוּלָ֔ה,בְּתוּלָה,H1330,50.0
125632,1Rois,1,2,וְעָֽמְדָה֙,עָמַד,H5975,521.0
125633,1Rois,1,2,לִפְנֵ֣י,פָּנֶה,H6440,2127.0
125634,1Rois,1,2,הַמֶּ֔לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125635,1Rois,1,2,וּתְהִי־,הָיָה,H1961,3562.0
125636,1Rois,1,2,ל֖וֹ,,H9033,1549.0
125637,1Rois,1,2,סֹכֶ֑נֶת,סָכַן,H5532,12.0
125638,1Rois,1,2,וְשָׁכְבָ֣ה,שָׁכַב,H7901,212.0
125639,1Rois,1,2,בְחֵיקֶ֔ךָ,חֵיק,H2436,38.0
125640,1Rois,1,2,וְחַ֖ם,חָמַם,H2552,21.0
125641,1Rois,1,2,לַאדֹנִ֥י,אָדוֹן,H0113,333.0
125642,1Rois,1,2,הַמֶּֽלֶךְ׃,מֶ֫לֶךְ,H4428,2526.0
125643,1Rois,1,3,וַיְבַקְשׁוּ֙,בָּקַשׁ,H1245,225.0
125644,1Rois,1,3,נַעֲרָ֣ה,נַעֲרָה,H5291,63.0
125645,1Rois,1,3,יָפָ֔ה,יָפֶה,H3303,42.0
125646,1Rois,1,3,בְּכֹ֖ל,כֹּל,H3605,5415.0
125647,1Rois,1,3,גְּב֣וּל,גְּבוּל,H1366,240.0
125648,1Rois,1,3,יִשְׂרָאֵ֑ל,יִשְׂרָאֵל,H3478,2508.0
125649,1Rois,1,3,וַֽיִּמְצְא֗וּ,מָצָא,H4672,455.0
125650,1Rois,1,3,אֶת־,אֵת,H0853,10946.0
125651,1Rois,1,3,אֲבִישַׁג֙,אֲבִישַׁג,H0049,5.0
125652,1Rois,1,3,הַשּׁ֣וּנַמִּ֔ית,שׁוּנַמִּית,H7767,8.0
125653,1Rois,1,3,וַיָּבִ֥אוּ,בּוֹא,H0935,2572.0
125654,1Rois,1,3,אֹתָ֖הּ,אֵת,H0853,10946.0
125655,1Rois,1,3,לַמֶּֽלֶךְ׃,מֶ֫לֶךְ,H4428,2526.0
125656,1Rois,1,4,וְהַֽנַּעֲרָ֖ה,נַעֲרָה,H5291,63.0
125657,1Rois,1,4,יָפָ֣ה,יָפֶה,H3303,42.0
125658,1Rois,1,4,עַד־,עַד,H5704,1261.0
125659,1Rois,1,4,מְאֹ֑ד,מְאֹד,H3966,300.0
125660,1Rois,1,4,וַתְּהִ֨י,הָיָה,H1961,3562.0
125661,1Rois,1,4,לַמֶּ֤לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125662,1Rois,1,4,סֹכֶ֙נֶת֙,סָכַן,H5532,12.0
125663,1Rois,1,4,וַתְּשָׁ֣רְתֵ֔הוּ,שָׁרַת,H8334,97.0
125664,1Rois,1,4,וְהַמֶּ֖לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125665,1Rois,1,4,לֹ֥א,לֹא,H3808,5170.0
125666,1Rois,1,4,יְדָעָֽהּ׃,יָדַע,H3045,946.0
125667,1Rois,1,5,וַאֲדֹנִיָּ֧ה,אֲדֹנִיָּ֫הוּ,H0138,26.0
125668,1Rois,1,5,בֶן־,בֵּן,H1121,4959.0
125669,1Rois,1,5,חַגִּ֛ית,חַגִּית,H2294,5.0
125670,1Rois,1,5,מִתְנַשֵּׂ֥א,נָשָׂא,H5375,656.0
125671,1Rois,1,5,לֵאמֹ֖ר,אָמַר,H0559,5309.0
125672,1Rois,1,5,אֲנִ֣י,,H0589,874.0
125673,1Rois,1,5,אֶמְלֹ֑ךְ,מָלַךְ,H4427,348.0
125674,1Rois,1,5,וַיַּ֣עַשׂ,עָשָׂה,H6213,2629.0
125675,1Rois,1,5,ל֗וֹ,,H9033,1549.0
125676,1Rois,1,5,רֶ֚כֶב,רֶ֫כֶב,H7393,119.0
125677,1Rois,1,5,וּפָ֣רָשִׁ֔ים,פָּרָשׁ,H6571,57.0
125678,1Rois,1,5,וַחֲמִשִּׁ֥ים,חֲמִשִּׁים,H2572,163.0
125679,1Rois,1,5,אִ֖ישׁ,אִישׁ,H0376,1663.0
125680,1Rois,1,5,רָצִ֥ים,רוּץ,H7323,103.0
125681,1Rois,1,5,לְפָנָֽיו׃,פָּנֶה,H6440,2127.0
125682,1Rois,1,6,וְלֹֽא־,לֹא,H3808,5170.0
125683,1Rois,1,6,עֲצָב֨וֹ,עָצַב,H6087,17.0
125684,1Rois,1,6,אָבִ֤יו,אָב,H0001,1213.0
125685,1Rois,1,6,מִיָּמָיו֙,יוֹם,H3117,2306.0
125686,1Rois,1,6,לֵאמֹ֔ר,אָמַר,H0559,5309.0
125687,1Rois,1,6,מַדּ֖וּעַ,מַדּוּעַ,H4069,72.0
125688,1Rois,1,6,כָּ֣כָה,כָּ֫כָה,H3602,37.0
125689,1Rois,1,6,עָשִׂ֑יתָ,עָשָׂה,H6213,2629.0
125690,1Rois,1,6,וְגַם־,גַּם,H1571,769.0
125691,1Rois,1,6,ה֤וּא,הוּא,H1931,1878.0
125692,1Rois,1,6,טֽוֹב־,טוֹב,H2896,562.0
125693,1Rois,1,6,תֹּ֙אַר֙,תֹּ֫אַר,H8389,15.0
125694,1Rois,1,6,מְאֹ֔ד,מְאֹד,H3966,300.0
125695,1Rois,1,6,וְאֹת֥וֹ,אֵת,H0853,10946.0
125696,1Rois,1,6,יָלְדָ֖ה,יָלַד,H3205,496.0
125697,1Rois,1,6,אַחֲרֵ֥י,אַחַר,H0310,716.0
125698,1Rois,1,6,אַבְשָׁלֽוֹם׃,אֲבִישָׁלוֹם,H0053,111.0
125699,1Rois,1,7,וַיִּהְי֣וּ,הָיָה,H1961,3562.0
125700,1Rois,1,7,דְבָרָ֔יו,דָּבָר,H1697,1442.0
125701,1Rois,1,7,עִ֚ם,עִם,H5973,1052.0
125702,1Rois,1,7,יוֹאָ֣ב,יוֹאָב,H3097,145.0
125703,1Rois,1,7,בֶּן־,בֵּן,H1121,4959.0
125704,1Rois,1,7,צְרוּיָ֔ה,צְרוּיָה,H6870,26.0
125705,1Rois,1,7,וְעִ֖ם,עִם,H5973,1052.0
125706,1Rois,1,7,אֶבְיָתָ֣ר,אֶבְיָתָר,H0054,30.0
125707,1Rois,1,7,הַכֹּהֵ֑ן,כֹּהֵן,H3548,750.0
125708,1Rois,1,7,וַֽיַּעְזְר֔וּ,עָזַר,H5826,81.0
