tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
112817,1Thessaloniciens,1,1,Παῦλος,Παῦλος,G3972,158
112818,1Thessaloniciens,1,1,καὶ,καί,G2532,9108
112819,1Thessaloniciens,1,1,Σιλουανὸς,Σιλουανός,G4610,4
112820,1Thessaloniciens,1,1,καὶ,καί,G2532,9108
112821,1Thessaloniciens,1,1,Τιμόθεος,Τιμόθεος,G5095,24
112822,1Thessaloniciens,1,1,τῆ,ὁ,G3588,19785
112823,1Thessaloniciens,1,1,ἐκκλησίᾳ,ἐκκλησία,G1577,114
112824,1Thessaloniciens,1,1,Θεσσαλονικέων,Θεσσαλονικεύς,G2331,4
112825,1Thessaloniciens,1,1,ἐν,ἐν,G1722,2728
112826,1Thessaloniciens,1,1,θεῷ,θεός,G2316,1311
112827,1Thessaloniciens,1,1,πατρὶ,πατήρ,G3962,414
112828,1Thessaloniciens,1,1,καὶ,καί,G2532,9108
112829,1Thessaloniciens,1,1,κυρίῳ,κύριος,G2962,716
112830,1Thessaloniciens,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
112831,1Thessaloniciens,1,1,Χριστῷ,Χριστός,G5547,529
112832,1Thessaloniciens,1,1,χάρις,χάρις,G5485,154
112833,1Thessaloniciens,1,1,ὑμῖν,σύ,G4771,2896
112834,1Thessaloniciens,1,1,καὶ,καί,G2532,9108
112835,1Thessaloniciens,1,1,εἰρήνη,εἰρήνη,G1515,92
112844,1Thessaloniciens,1,2,Εὐχαριστοῦμεν,εὐχαριστέω,G2168,38
112845,1Thessaloniciens,1,2,τῷ,ὁ,G3588,19785
112846,1Thessaloniciens,1,2,θεῷ,θεός,G2316,1311
112847,1Thessaloniciens,1,2,πάντοτε,πάντοτε,G3842,41
112848,1Thessaloniciens,1,2,περὶ,περί,G4012,331
112849,1Thessaloniciens,1,2,πάντων,πᾶς,G3956,1236
112850,1Thessaloniciens,1,2,ὑμῶν,σύ,G4771,2896
112851,1Thessaloniciens,1,2,μνείαν,μνεία,G3417,7
112853,1Thessaloniciens,1,2,ποιούμενοι,ποιέω,G4160,568
112854,1Thessaloniciens,1,2,ἐπὶ,ἐπί,G1909,884
112855,1Thessaloniciens,1,2,τῶν,ὁ,G3588,19785
112856,1Thessaloniciens,1,2,προσευχῶν,προσευχή,G4335,36
112857,1Thessaloniciens,1,2,ἡμῶν,ἐγώ,G1473,2462
112858,1Thessaloniciens,1,2,ἀδιαλείπτως,ἀδιαλείπτως,G0089,4
112859,1Thessaloniciens,1,3,μνημονεύοντες,μνημονεύω,G3421,21
112860,1Thessaloniciens,1,3,ὑμῶν,σύ,G4771,2896
112861,1Thessaloniciens,1,3,τοῦ,ὁ,G3588,19785
112862,1Thessaloniciens,1,3,ἔργου,ἔργον,G2041,169
112863,1Thessaloniciens,1,3,τῆς,ὁ,G3588,19785
112864,1Thessaloniciens,1,3,πίστεως,πίστις,G4102,242
112865,1Thessaloniciens,1,3,καὶ,καί,G2532,9108
112866,1Thessaloniciens,1,3,τοῦ,ὁ,G3588,19785
112867,1Thessaloniciens,1,3,κόπου,κόπος,G2873,18
112868,1Thessaloniciens,1,3,τῆς,ὁ,G3588,19785
112869,1Thessaloniciens,1,3,ἀγάπης,ἀγάπη,G0026,116
112870,1Thessaloniciens,1,3,καὶ,καί,G2532,9108
112871,1Thessaloniciens,1,3,τῆς,ὁ,G3588,19785
112872,1Thessaloniciens,1,3,ὑπομονῆς,ὑπομονή,G5281,32
112873,1Thessaloniciens,1,3,τῆς,ὁ,G3588,19785
112874,1Thessaloniciens,1,3,ἐλπίδος,ἐλπίς,G1680,53
112875,1Thessaloniciens,1,3,τοῦ,ὁ,G3588,19785
112876,1Thessaloniciens,1,3,κυρίου,κύριος,G2962,716
112877,1Thessaloniciens,1,3,ἡμῶν,ἐγώ,G1473,2462
112878,1Thessaloniciens,1,3,Ἰησοῦ,Ἰησοῦς,G2424,910
112879,1Thessaloniciens,1,3,Χριστοῦ,Χριστός,G5547,529
112880,1Thessaloniciens,1,3,ἔμπροσθεν,ἔμπροσθεν,G1715,48
112881,1Thessaloniciens,1,3,τοῦ,ὁ,G3588,19785
112882,1Thessaloniciens,1,3,θεοῦ,θεός,G2316,1311
112883,1Thessaloniciens,1,3,καὶ,καί,G2532,9108
112884,1Thessaloniciens,1,3,πατρὸς,πατήρ,G3962,414
112885,1Thessaloniciens,1,3,ἡμῶν,ἐγώ,G1473,2462
112886,1Thessaloniciens,1,4,εἰδότες,εἴδω,G6063,280
112887,1Thessaloniciens,1,4,ἀδελφοὶ,ἀδελφός,G0080,343
112888,1Thessaloniciens,1,4,ἠγαπημένοι,ἀγαπάω,G0025,143
112889,1Thessaloniciens,1,4,ὑπὸ,ὑπό,G5259,219
112891,1Thessaloniciens,1,4,θεοῦ,θεός,G2316,1311
112892,1Thessaloniciens,1,4,τὴν,ὁ,G3588,19785
112893,1Thessaloniciens,1,4,ἐκλογὴν,ἐκλογή,G1589,7
112894,1Thessaloniciens,1,4,ὑμῶν,σύ,G4771,2896
112895,1Thessaloniciens,1,5,ὅτι,ὅτι,G3754,1291
112896,1Thessaloniciens,1,5,τὸ,ὁ,G3588,19785
112897,1Thessaloniciens,1,5,εὐαγγέλιον,εὐαγγέλιον,G2098,76
112898,1Thessaloniciens,1,5,ἡμῶν,ἐγώ,G1473,2462
112899,1Thessaloniciens,1,5,οὐκ,οὐ,G3756,1667
