tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
115175,1Timothée,1,1,Παῦλος,Παῦλος,G3972,158
115176,1Timothée,1,1,ἀπόστολος,ἀπόστολος,G0652,79
115178,1Timothée,1,1,Χριστοῦ,Χριστός,G5547,529
115179,1Timothée,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
115180,1Timothée,1,1,κατ᾽,κατά,G2596,472
115181,1Timothée,1,1,ἐπιταγὴν,ἐπιταγή,G2003,7
115182,1Timothée,1,1,θεοῦ,θεός,G2316,1311
115183,1Timothée,1,1,σωτῆρος,σωτήρ,G4990,24
115184,1Timothée,1,1,ἡμῶν,ἐγώ,G1473,2462
115185,1Timothée,1,1,καὶ,καί,G2532,9108
115187,1Timothée,1,1,Χριστοῦ,Χριστός,G5547,529
115188,1Timothée,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
115189,1Timothée,1,1,τῆς,ὁ,G3588,19785
115190,1Timothée,1,1,ἐλπίδος,ἐλπίς,G1680,53
115191,1Timothée,1,1,ἡμῶν,ἐγώ,G1473,2462
115192,1Timothée,1,2,Τιμοθέῳ,Τιμόθεος,G5095,24
115193,1Timothée,1,2,γνησίῳ,γνήσιος,G1103,4
115194,1Timothée,1,2,τέκνῳ,τέκνον,G5043,98
115195,1Timothée,1,2,ἐν,ἐν,G1722,2728
115196,1Timothée,1,2,πίστει,πίστις,G4102,242
115197,1Timothée,1,2,χάρις,χάρις,G5485,154
115198,1Timothée,1,2,ἔλεος,ἔλεος,G1656,27
115199,1Timothée,1,2,εἰρήνη,εἰρήνη,G1515,92
115200,1Timothée,1,2,ἀπὸ,ἀπό,G0575,640
115201,1Timothée,1,2,θεοῦ,θεός,G2316,1311
115202,1Timothée,1,2,πατρὸς,πατήρ,G3962,414
115204,1Timothée,1,2,καὶ,καί,G2532,9108
115205,1Timothée,1,2,Χριστοῦ,Χριστός,G5547,529
115206,1Timothée,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
115207,1Timothée,1,2,τοῦ,ὁ,G3588,19785
115208,1Timothée,1,2,κυρίου,κύριος,G2962,716
