,tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
123428,127667,2 Pierre,1,1,Συμεὼν,Συμεών,G4826,7
123429,127668,2 Pierre,1,1,Πέτρος,Πέτρος,G4074,155
123430,127669,2 Pierre,1,1,δοῦλος,δοῦλος,G1401,129
123431,127670,2 Pierre,1,1,καὶ,καί,G2532,9108
123432,127671,2 Pierre,1,1,ἀπόστολος,ἀπόστολος,G0652,79
123433,127672,2 Pierre,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
123434,127673,2 Pierre,1,1,Χριστοῦ,Χριστός,G5547,529
123435,127674,2 Pierre,1,1,τοῖς,ὁ,G3588,19785
123436,127675,2 Pierre,1,1,ἰσότιμον,ἰσότιμος,G2472,1
123437,127676,2 Pierre,1,1,ἡμῖν,ἐγώ,G1473,2462
123438,127677,2 Pierre,1,1,λαχοῦσιν,λαγχάνω,G2975,4
123439,127678,2 Pierre,1,1,πίστιν,πίστις,G4102,242
123440,127679,2 Pierre,1,1,ἐν,ἐν,G1722,2728
123441,127680,2 Pierre,1,1,δικαιοσύνῃ,δικαιοσύνη,G1343,92
123442,127681,2 Pierre,1,1,τοῦ,ὁ,G3588,19785
123443,127682,2 Pierre,1,1,θεοῦ,θεός,G2316,1311
123444,127683,2 Pierre,1,1,ἡμῶν,ἐγώ,G1473,2462
123445,127684,2 Pierre,1,1,καὶ,καί,G2532,9108
123446,127685,2 Pierre,1,1,σωτῆρος,σωτήρ,G4990,24
123447,127686,2 Pierre,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
123448,127687,2 Pierre,1,1,Χριστοῦ,Χριστός,G5547,529
123449,127688,2 Pierre,1,2,Χάρις,χάρις,G5485,154
123450,127689,2 Pierre,1,2,ὑμῖν,σύ,G4771,2896
123451,127690,2 Pierre,1,2,καὶ,καί,G2532,9108
123452,127691,2 Pierre,1,2,εἰρήνη,εἰρήνη,G1515,92
123453,127692,2 Pierre,1,2,πληθυνθείη,πληθύνω,G4129,12
123454,127693,2 Pierre,1,2,ἐν,ἐν,G1722,2728
123455,127694,2 Pierre,1,2,ἐπιγνώσει,ἐπίγνωσις,G1922,20
123456,127695,2 Pierre,1,2,τοῦ,ὁ,G3588,19785
123457,127696,2 Pierre,1,2,θεοῦ,θεός,G2316,1311
123458,127697,2 Pierre,1,2,καὶ,καί,G2532,9108
123459,127698,2 Pierre,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
123460,127699,2 Pierre,1,2,τοῦ,ὁ,G3588,19785
123461,127700,2 Pierre,1,2,κυρίου,κύριος,G2962,716
123462,127701,2 Pierre,1,2,ἡμῶν,ἐγώ,G1473,2462
123463,127702,2 Pierre,1,3,ὡς,ὡς,G5613,501
123464,127703,2 Pierre,1,3,πάντα,πᾶς,G3956,1236
123465,127704,2 Pierre,1,3,ἡμῖν,ἐγώ,G1473,2462
123466,127705,2 Pierre,1,3,τῆς,ὁ,G3588,19785
