,bhsa2021_word_n,book,chapter,verse,orig,lex,strong,freq
160468,160469,2 Samuel,1,1,וַ,וְ,H9000,50272
160469,160470,2 Samuel,1,1,יְהִ֗י ,היה,H1961,3561
160470,160471,2 Samuel,1,1,אַֽחֲרֵי֙ ,אַחַר,H310,715
160471,160472,2 Samuel,1,1,מֹ֣ות ,מָוֶת,H4191,161
160472,160473,2 Samuel,1,1,שָׁא֔וּל ,שָׁאוּל,H7586,406
160473,160474,2 Samuel,1,1,וְ,וְ,H9000,50272
160474,160475,2 Samuel,1,1,דָוִ֣ד ,דָּוִד,H1732,1075
160475,160476,2 Samuel,1,1,שָׁ֔ב ,שׁוב,H7725,1038
160476,160477,2 Samuel,1,1,מֵ,מִן,H4480,7562
160477,160478,2 Samuel,1,1,הַכֹּ֖ות ,נכה,H5221,500
160478,160479,2 Samuel,1,1,אֶת־,אֵת,H853,10987
160479,160480,2 Samuel,1,1,הָ,הַ,H9009,30386
160480,160481,2 Samuel,1,1,עֲמָלֵ֑ק ,עֲמָלֵק,H6002,39
160481,160482,2 Samuel,1,1,וַ,וְ,H9000,50272
160482,160483,2 Samuel,1,1,יֵּ֧שֶׁב ,ישׁב,H3427,1082
160483,160484,2 Samuel,1,1,דָּוִ֛ד ,דָּוִד,H1732,1075
160484,160485,2 Samuel,1,1,בְּ,בְּ,H9003,15542
160485,160486,2 Samuel,1,1,צִקְלָ֖ג ,צִקְלַג,H6860,15
160486,160487,2 Samuel,1,1,יָמִ֥ים ,יֹום,H3117,2304
160487,160488,2 Samuel,1,1,שְׁנָֽיִם׃ ,שְׁנַיִם,H8147,768
160488,160489,2 Samuel,1,2,וַ,וְ,H9000,50272
160489,160490,2 Samuel,1,2,יְהִ֣י׀ ,היה,H1961,3561
160490,160491,2 Samuel,1,2,בַּ,בְּ,H9003,15542
160491,160492,2 Samuel,1,2,,הַ,H9009,30386
160492,160493,2 Samuel,1,2,יֹּ֣ום ,יֹום,H3117,2304
160493,160494,2 Samuel,1,2,הַ,הַ,H9009,30386
160494,160495,2 Samuel,1,2,שְּׁלִישִׁ֗י ,שְׁלִישִׁי,H7992,83
160495,160496,2 Samuel,1,2,וְ,וְ,H9000,50272
160496,160497,2 Samuel,1,2,הִנֵּה֩ ,הִנֵּה,H2009,1060
160497,160498,2 Samuel,1,2,אִ֨ישׁ ,אִישׁ,H376,2186
160498,160499,2 Samuel,1,2,בָּ֤א ,בוא,H935,2570
160499,160500,2 Samuel,1,2,מִן־,מִן,H4480,7562
160500,160501,2 Samuel,1,2,הַֽ,הַ,H9009,30386
