,tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
110442,114333,2 Thessaloniciens,1,1,Παῦλος,Παῦλος,G3972,158
110443,114334,2 Thessaloniciens,1,1,καὶ,καί,G2532,9130
110444,114335,2 Thessaloniciens,1,1,Σιλουανὸς,Σιλουανός,G4610,4
110445,114336,2 Thessaloniciens,1,1,καὶ,καί,G2532,9130
110446,114337,2 Thessaloniciens,1,1,Τιμόθεος,Τιμόθεος,G5095,24
110447,114338,2 Thessaloniciens,1,1,τῆ,ὁ,G3588,19785
110448,114339,2 Thessaloniciens,1,1,ἐκκλησίᾳ,ἐκκλησία,G1577,114
110449,114340,2 Thessaloniciens,1,1,Θεσσαλονικέων,Θεσσαλονικεύς,G2331,4
110450,114341,2 Thessaloniciens,1,1,ἐν,ἐν,G1722,2728
110451,114342,2 Thessaloniciens,1,1,θεῷ,θεός,G2316,1311
110452,114343,2 Thessaloniciens,1,1,πατρὶ,πατήρ,G3962,414
110453,114344,2 Thessaloniciens,1,1,ἡμῶν,ἐγώ,G1473,2462
110454,114345,2 Thessaloniciens,1,1,καὶ,καί,G2532,9130
110455,114346,2 Thessaloniciens,1,1,κυρίῳ,κύριος,G2962,716
110456,114347,2 Thessaloniciens,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
110457,114348,2 Thessaloniciens,1,1,Χριστῷ,Χριστός,G5547,529
110458,114349,2 Thessaloniciens,1,2,χάρις,χάρις,G5485,154
110459,114350,2 Thessaloniciens,1,2,ὑμῖν,σύ,G4771,2896
110460,114351,2 Thessaloniciens,1,2,καὶ,καί,G2532,9130
110461,114352,2 Thessaloniciens,1,2,εἰρήνη,εἰρήνη,G1515,92
110462,114353,2 Thessaloniciens,1,2,ἀπὸ,ἀπό,G0575,640
110463,114354,2 Thessaloniciens,1,2,θεοῦ,θεός,G2316,1311
110464,114355,2 Thessaloniciens,1,2,πατρὸς,πατήρ,G3962,414
110465,114356,2 Thessaloniciens,1,2,ἡμῶν,ἐγώ,G1473,2462
110466,114357,2 Thessaloniciens,1,2,καὶ,καί,G2532,9130
110467,114358,2 Thessaloniciens,1,2,κυρίου,κύριος,G2962,716
110468,114359,2 Thessaloniciens,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
110469,114360,2 Thessaloniciens,1,2,Χριστοῦ,Χριστός,G5547,529
110470,114361,2 Thessaloniciens,1,3,Εὐχαριστεῖν,εὐχαριστέω,G2168,38
110471,114362,2 Thessaloniciens,1,3,ὀφείλομεν,ὀφείλω,G3784,35
110472,114363,2 Thessaloniciens,1,3,τῷ,ὁ,G3588,19785
110473,114364,2 Thessaloniciens,1,3,θεῷ,θεός,G2316,1311
110474,114365,2 Thessaloniciens,1,3,πάντοτε,πάντοτε,G3842,41
110475,114366,2 Thessaloniciens,1,3,περὶ,περί,G4012,331
110476,114367,2 Thessaloniciens,1,3,ὑμῶν,σύ,G4771,2896
110477,114368,2 Thessaloniciens,1,3,ἀδελφοί,ἀδελφός,G0080,343
110478,114369,2 Thessaloniciens,1,3,καθὼς,καθώς,G2531,182
110479,114370,2 Thessaloniciens,1,3,ἄξιόν,ἄξιος,G0514,41
110480,114371,2 Thessaloniciens,1,3,ἐστιν,εἰμί,G1510,2458
110481,114372,2 Thessaloniciens,1,3,ὅτι,ὅτι,G3754,1291
110482,114373,2 Thessaloniciens,1,3,ὑπεραυξάνει,ὑπεραυξάνω,G5232,1
110483,114374,2 Thessaloniciens,1,3,ἡ,ὁ,G3588,19785
