,bhsa2021_word_n,book,chapter,verse,orig,lex,strong,freq
406826,406827,2 Chroniques,1,1,וַ,וְ,H9000,50272
406827,406828,2 Chroniques,1,1,יִּתְחַזֵּ֛ק ,חזק,H2388,290
406828,406829,2 Chroniques,1,1,שְׁלֹמֹ֥ה ,שְׁלֹמֹה,H8010,293
406829,406830,2 Chroniques,1,1,בֶן־,בֵּן,H1121,4937
406830,406831,2 Chroniques,1,1,דָּוִ֖יד ,דָּוִד,H1732,1075
406831,406832,2 Chroniques,1,1,עַל־,עַל,H5921,5766
406832,406833,2 Chroniques,1,1,מַלְכוּתֹ֑ו ,מַלְכוּת,H4438,91
406833,406834,2 Chroniques,1,1,וַ,וְ,H9000,50272
406834,406835,2 Chroniques,1,1,יהוָ֤ה ,יְהוָה,H3068,6828
406835,406836,2 Chroniques,1,1,אֱלֹהָיו֙ ,אֱלֹהִים,H430,2601
406836,406837,2 Chroniques,1,1,עִמֹּ֔ו ,עִם,H5973,1049
406837,406838,2 Chroniques,1,1,וַֽ,וְ,H9000,50272
406838,406839,2 Chroniques,1,1,יְגַדְּלֵ֖הוּ ,גדל,H1431,117
406839,406840,2 Chroniques,1,1,לְ,לְ,H9005,20069
406840,406841,2 Chroniques,1,1,מָֽעְלָה׃ ,מַעַל,H4605,140
406841,406842,2 Chroniques,1,2,וַ,וְ,H9000,50272
406842,406843,2 Chroniques,1,2,יֹּ֣אמֶר ,אמר,H559,5307
406843,406844,2 Chroniques,1,2,שְׁלֹמֹ֣ה ,שְׁלֹמֹה,H8010,293
406844,406845,2 Chroniques,1,2,לְ,לְ,H9005,20069
406845,406846,2 Chroniques,1,2,כָל־,כֹּל,H3605,5412
406846,406847,2 Chroniques,1,2,יִשְׂרָאֵ֡ל ,יִשְׂרָאֵל,H3478,2506
406847,406848,2 Chroniques,1,2,לְ,לְ,H9005,20069
406848,406849,2 Chroniques,1,2,שָׂרֵי֩ ,שַׂר,H8269,421
406849,406850,2 Chroniques,1,2,הָ,הַ,H9009,30386
406850,406851,2 Chroniques,1,2,אֲלָפִ֨ים ,אֶלֶף,H505,492
406851,406852,2 Chroniques,1,2,וְ,וְ,H9000,50272
406852,406853,2 Chroniques,1,2,הַ,הַ,H9009,30386
406853,406854,2 Chroniques,1,2,מֵּאֹ֜ות ,מֵאָה,H3967,579
406854,406855,2 Chroniques,1,2,וְ,וְ,H9000,50272
406855,406856,2 Chroniques,1,2,לַ,לְ,H9005,20069
406856,406857,2 Chroniques,1,2,,הַ,H9009,30386
406857,406858,2 Chroniques,1,2,שֹּֽׁפְטִ֗ים ,שׁפט,H8199,202
406858,406859,2 Chroniques,1,2,וּ,וְ,H9000,50272
406859,406860,2 Chroniques,1,2,לְ,לְ,H9005,20069
406860,406861,2 Chroniques,1,2,כֹ֛ל ,כֹּל,H3605,5412
