tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
100222,2Corinthiens,1,1,Παῦλος,Παῦλος,G3972,158
100223,2Corinthiens,1,1,ἀπόστολος,ἀπόστολος,G0652,79
100224,2Corinthiens,1,1,Χριστοῦ,Χριστός,G5547,529
100225,2Corinthiens,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
100226,2Corinthiens,1,1,διὰ,διά,G1223,666
100227,2Corinthiens,1,1,θελήματος,θέλημα,G2307,62
100228,2Corinthiens,1,1,θεοῦ,θεός,G2316,1311
100229,2Corinthiens,1,1,καὶ,καί,G2532,9108
100230,2Corinthiens,1,1,Τιμόθεος,Τιμόθεος,G5095,24
100231,2Corinthiens,1,1,ὁ,ὁ,G3588,19785
100232,2Corinthiens,1,1,ἀδελφὸς,ἀδελφός,G0080,343
100233,2Corinthiens,1,1,τῆ,ὁ,G3588,19785
100234,2Corinthiens,1,1,ἐκκλησίᾳ,ἐκκλησία,G1577,114
100235,2Corinthiens,1,1,τοῦ,ὁ,G3588,19785
100236,2Corinthiens,1,1,θεοῦ,θεός,G2316,1311
100237,2Corinthiens,1,1,τῆ,ὁ,G3588,19785
100238,2Corinthiens,1,1,οὔσῃ,εἰμί,G1510,2458
100239,2Corinthiens,1,1,ἐν,ἐν,G1722,2728
100240,2Corinthiens,1,1,Κορίνθῳ,Κόρινθος,G2882,6
100241,2Corinthiens,1,1,σὺν,σύν,G4862,127
100242,2Corinthiens,1,1,τοῖς,ὁ,G3588,19785
100243,2Corinthiens,1,1,ἁγίοις,ἅγιος,G0040,224
100244,2Corinthiens,1,1,πᾶσιν,πᾶς,G3956,1236
100245,2Corinthiens,1,1,τοῖς,ὁ,G3588,19785
100246,2Corinthiens,1,1,οὖσιν,εἰμί,G1510,2458
100247,2Corinthiens,1,1,ἐν,ἐν,G1722,2728
100248,2Corinthiens,1,1,ὅλῃ,ὅλος,G3650,109
100249,2Corinthiens,1,1,τῆ,ὁ,G3588,19785
100250,2Corinthiens,1,1,Ἀχαΐᾳ,Ἀχαΐα,G0882,10
100251,2Corinthiens,1,2,χάρις,χάρις,G5485,154
100252,2Corinthiens,1,2,ὑμῖν,σύ,G4771,2896
100253,2Corinthiens,1,2,καὶ,καί,G2532,9108
100254,2Corinthiens,1,2,εἰρήνη,εἰρήνη,G1515,92
100255,2Corinthiens,1,2,ἀπὸ,ἀπό,G0575,640
100256,2Corinthiens,1,2,θεοῦ,θεός,G2316,1311
100257,2Corinthiens,1,2,πατρὸς,πατήρ,G3962,414
100258,2Corinthiens,1,2,ἡμῶν,ἐγώ,G1473,2462
100259,2Corinthiens,1,2,καὶ,καί,G2532,9108
100260,2Corinthiens,1,2,κυρίου,κύριος,G2962,716
100261,2Corinthiens,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
100262,2Corinthiens,1,2,Χριστοῦ,Χριστός,G5547,529
100263,2Corinthiens,1,3,Εὐλογητὸς,εὐλογητός,G2128,8
100264,2Corinthiens,1,3,ὁ,ὁ,G3588,19785
100265,2Corinthiens,1,3,θεὸς,θεός,G2316,1311
100266,2Corinthiens,1,3,καὶ,καί,G2532,9108
100267,2Corinthiens,1,3,πατὴρ,πατήρ,G3962,414
100268,2Corinthiens,1,3,τοῦ,ὁ,G3588,19785
100269,2Corinthiens,1,3,κυρίου,κύριος,G2962,716
100270,2Corinthiens,1,3,ἡμῶν,ἐγώ,G1473,2462
100271,2Corinthiens,1,3,Ἰησοῦ,Ἰησοῦς,G2424,910
100272,2Corinthiens,1,3,Χριστοῦ,Χριστός,G5547,529
100273,2Corinthiens,1,3,ὁ,ὁ,G3588,19785
100274,2Corinthiens,1,3,πατὴρ,πατήρ,G3962,414
100275,2Corinthiens,1,3,τῶν,ὁ,G3588,19785
100276,2Corinthiens,1,3,οἰκτιρμῶν,οἰκτιρμός,G3628,5
100277,2Corinthiens,1,3,καὶ,καί,G2532,9108
100278,2Corinthiens,1,3,θεὸς,θεός,G2316,1311
100279,2Corinthiens,1,3,πάσης,πᾶς,G3956,1236
100280,2Corinthiens,1,3,παρακλήσεως,παράκλησις,G3874,29
100281,2Corinthiens,1,4,ὁ,ὁ,G3588,19785
100282,2Corinthiens,1,4,παρακαλῶν,παρακαλέω,G3870,108
100283,2Corinthiens,1,4,ἡμᾶς,ἐγώ,G1473,2462
100284,2Corinthiens,1,4,ἐπὶ,ἐπί,G1909,884
100285,2Corinthiens,1,4,πάσῃ,πᾶς,G3956,1236
100286,2Corinthiens,1,4,τῆ,ὁ,G3588,19785
100287,2Corinthiens,1,4,θλίψει,θλῖψις,G2347,45
100288,2Corinthiens,1,4,ἡμῶν,ἐγώ,G1473,2462
100289,2Corinthiens,1,4,εἰς,εἰς,G1519,1757
100290,2Corinthiens,1,4,τὸ,ὁ,G3588,19785
100291,2Corinthiens,1,4,δύνασθαι,δύναμαι,G1410,209
100292,2Corinthiens,1,4,ἡμᾶς,ἐγώ,G1473,2462
100293,2Corinthiens,1,4,παρακαλεῖν,παρακαλέω,G3870,108
100294,2Corinthiens,1,4,τοὺς,ὁ,G3588,19785
100295,2Corinthiens,1,4,ἐν,ἐν,G1722,2728
100296,2Corinthiens,1,4,πάσῃ,πᾶς,G3956,1236
100297,2Corinthiens,1,4,θλίψει,θλῖψις,G2347,45
100298,2Corinthiens,1,4,διὰ,διά,G1223,666
100299,2Corinthiens,1,4,τῆς,ὁ,G3588,19785
100300,2Corinthiens,1,4,παρακλήσεως,παράκλησις,G3874,29
100301,2Corinthiens,1,4,ἧς,ὅς,G3739,1408
100302,2Corinthiens,1,4,παρακαλούμεθα,παρακαλέω,G3870,108
100303,2Corinthiens,1,4,αὐτοὶ,αὐτός,G0846,5558
100304,2Corinthiens,1,4,ὑπὸ,ὑπό,G5259,219
100305,2Corinthiens,1,4,τοῦ,ὁ,G3588,19785
100306,2Corinthiens,1,4,θεοῦ,θεός,G2316,1311
100307,2Corinthiens,1,5,ὅτι,ὅτι,G3754,1291
100308,2Corinthiens,1,5,καθὼς,καθώς,G2531,182
100309,2Corinthiens,1,5,περισσεύει,περισσεύω,G4052,39
100310,2Corinthiens,1,5,τὰ,ὁ,G3588,19785
100311,2Corinthiens,1,5,παθήματα,πάθημα,G3804,16
100312,2Corinthiens,1,5,τοῦ,ὁ,G3588,19785
100313,2Corinthiens,1,5,Χριστοῦ,Χριστός,G5547,529
100314,2Corinthiens,1,5,εἰς,εἰς,G1519,1757
100315,2Corinthiens,1,5,ἡμᾶς,ἐγώ,G1473,2462
100316,2Corinthiens,1,5,οὕτως,οὕτω,G3779,207
100317,2Corinthiens,1,5,διὰ,διά,G1223,666
100318,2Corinthiens,1,5,τοῦ,ὁ,G3588,19785
100319,2Corinthiens,1,5,Χριστοῦ,Χριστός,G5547,529
100320,2Corinthiens,1,5,περισσεύει,περισσεύω,G4052,39
100321,2Corinthiens,1,5,καὶ,καί,G2532,9108
100322,2Corinthiens,1,5,ἡ,ὁ,G3588,19785
100323,2Corinthiens,1,5,παράκλησις,παράκλησις,G3874,29
100324,2Corinthiens,1,5,ἡμῶν,ἐγώ,G1473,2462
100325,2Corinthiens,1,6,εἴτε,εἴτε,G1535,65
100326,2Corinthiens,1,6,δὲ,δέ,G1161,2771
100327,2Corinthiens,1,6,θλιβόμεθα,θλίβω,G2346,10
100328,2Corinthiens,1,6,ὑπὲρ,ὑπέρ,G5228,153
100329,2Corinthiens,1,6,τῆς,ὁ,G3588,19785
100330,2Corinthiens,1,6,ὑμῶν,σύ,G4771,2896
100331,2Corinthiens,1,6,παρακλήσεως,παράκλησις,G3874,29
100332,2Corinthiens,1,6,καὶ,καί,G2532,9108
100333,2Corinthiens,1,6,σωτηρίας,σωτηρία,G4991,47
100334,2Corinthiens,1,6,εἴτε,εἴτε,G1535,65
100335,2Corinthiens,1,6,παρακαλούμεθα,παρακαλέω,G3870,108
100336,2Corinthiens,1,6,ὑπὲρ,ὑπέρ,G5228,153
100337,2Corinthiens,1,6,τῆς,ὁ,G3588,19785
100338,2Corinthiens,1,6,ὑμῶν,σύ,G4771,2896
100339,2Corinthiens,1,6,παρακλήσεως,παράκλησις,G3874,29
100340,2Corinthiens,1,6,και,καί,G2532,9108
100341,2Corinthiens,1,6,σωτηριας,σωτηρία,G4991,47
100342,2Corinthiens,1,6,τῆς,ὁ,G3588,19785
100343,2Corinthiens,1,6,ἐνεργουμένης,ἐνεργέω,G1754,21
100344,2Corinthiens,1,6,ἐν,ἐν,G1722,2728
100345,2Corinthiens,1,6,ὑπομονῆ,ὑπομονή,G5281,32
100346,2Corinthiens,1,6,τῶν,ὁ,G3588,19785
100347,2Corinthiens,1,6,αὐτῶν,αὐτός,G0846,5558
100348,2Corinthiens,1,6,παθημάτων,πάθημα,G3804,16
100349,2Corinthiens,1,6,ὧν,ὅς,G3739,1408
100350,2Corinthiens,1,6,καὶ,καί,G2532,9108
100351,2Corinthiens,1,6,ἡμεῖς,ἐγώ,G1473,2462
100352,2Corinthiens,1,6,πάσχομεν,πάσχω,G3958,41
100353,2Corinthiens,1,7,καὶ,καί,G2532,9108
100354,2Corinthiens,1,7,ἡ,ὁ,G3588,19785
100355,2Corinthiens,1,7,ἐλπὶς,ἐλπίς,G1680,53
100356,2Corinthiens,1,7,ἡμῶν,ἐγώ,G1473,2462
100357,2Corinthiens,1,7,βεβαία,βέβαιος,G0949,8
100358,2Corinthiens,1,7,ὑπὲρ,ὑπέρ,G5228,153
100359,2Corinthiens,1,7,ὑμῶν,σύ,G4771,2896
100360,2Corinthiens,1,7,εἰδότες,εἴδω,G6063,280
100361,2Corinthiens,1,7,ὅτι,ὅτι,G3754,1291
100362,2Corinthiens,1,7,ὡς,ὡς,G5613,501
100363,2Corinthiens,1,7,κοινωνοί,κοινωνός,G2844,10
100364,2Corinthiens,1,7,ἐστε,εἰμί,G1510,2458
100365,2Corinthiens,1,7,τῶν,ὁ,G3588,19785
100366,2Corinthiens,1,7,παθημάτων,πάθημα,G3804,16
100367,2Corinthiens,1,7,οὕτως,οὕτω,G3779,207
100368,2Corinthiens,1,7,καὶ,καί,G2532,9108
