Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
135718,2Rois,1,1,וַיִּפְשַׁ֤ע,פָּשַׁע,H6586,41
135719,2Rois,1,1,מוֹאָב֙,מוֹאָב,H4124,181
135720,2Rois,1,1,בְּיִשְׂרָאֵ֔ל,יִשְׂרָאֵל,H3478,2508
135721,2Rois,1,1,אַחֲרֵ֖י,אַחַר,H0310,716
135722,2Rois,1,1,מ֥וֹת,מָ֫וֶת,H4194,155
135723,2Rois,1,1,אַחְאָֽב׃,אַחְאָב,H0256,93
135724,2Rois,1,2,וַיִּפֹּ֨ל,נָפַל,H5307,435
135725,2Rois,1,2,אֲחַזְיָ֜ה,אֲחַזְיָ֫הוּ,H0274,37
135726,2Rois,1,2,בְּעַ֣ד,בַּ֫עַד,H1157,105
135727,2Rois,1,2,הַשְּׂבָכָ֗ה,שְׂבָכָה,H7639,16
135728,2Rois,1,2,בַּעֲלִיָּת֛וֹ,עֲלִיָּה,H5944,20
135729,2Rois,1,2,אֲשֶׁ֥ר,אֲשֶׁר,H0834,5499
135730,2Rois,1,2,בְּשֹׁמְר֖וֹן,שֹׁמְרוֹן,H8111,109
135731,2Rois,1,2,וַיָּ֑חַל,חָלָה,H2470,76
135732,2Rois,1,2,וַיִּשְׁלַ֣ח,שָׁלַח,H7971,847
135733,2Rois,1,2,מַלְאָכִ֔ים,מַלְאָךְ,H4397,214
135734,2Rois,1,2,וַיֹּ֤אמֶר,אָמַר,H0559,5309
135735,2Rois,1,2,אֲלֵהֶם֙,אֶל,H0413,5515
135736,2Rois,1,2,לְכ֣וּ,הָלַךְ,H1980,1549
135737,2Rois,1,2,דִרְשׁ֗וּ,דָּרַשׁ,H1875,164
135738,2Rois,1,2,בְּבַ֤עַל,בַּעַל זְבוּב,H1176,8
135739,2Rois,1,2,זְבוּב֙,בַּעַל זְבוּב,H1176,8
135740,2Rois,1,2,אֱלֹהֵ֣י,אֱלֹהִים,H0430,2603
135741,2Rois,1,2,עֶקְר֔וֹן,עֶקְרוֹן,H6138,22
135742,2Rois,1,2,אִם־,אִם,H0518,1073
135743,2Rois,1,2,אֶחְיֶ֖ה,חָיָה,H2421,282
135744,2Rois,1,2,מֵחֳלִ֥י,חֳלִי,H2483,24
135745,2Rois,1,2,זֶֽה׃ ס,זֶה,H2088,1179
135746,2Rois,1,3,וּמַלְאַ֣ךְ,מַלְאָךְ,H4397,214
135747,2Rois,1,3,יְהוָ֗ה,יהוה,H3068,6528
135748,2Rois,1,3,דִּבֶּר֙,דָבַר,H1696,1142
135749,2Rois,1,3,אֶל־,אֶל,H0413,5515
135750,2Rois,1,3,אֵלִיָּ֣ה,אֵלִיָּה,H0452,71
135751,2Rois,1,3,הַתִּשְׁבִּ֔י,תִּשְׁבִּי,H8664,6
135752,2Rois,1,3,ק֣וּם,קוּם,H6965,628
135753,2Rois,1,3,עֲלֵ֔ה,עָלָה,H5927,890
135754,2Rois,1,3,לִקְרַ֖את,קָרָא,H7122,139
135755,2Rois,1,3,מַלְאֲכֵ֣י,מַלְאָךְ,H4397,214
135756,2Rois,1,3,מֶֽלֶךְ־,מֶ֫לֶךְ,H4428,2526
