Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
111976,2Samuel,1,1,וַיְהִ֗י,הָיָה,H1961,3562
111977,2Samuel,1,1,אַֽחֲרֵי֙,אַחַר,H0310,716
111978,2Samuel,1,1,מ֣וֹת,מָ֫וֶת,H4194,155
111979,2Samuel,1,1,שָׁא֔וּל,שָׁאוּל,H7586,407
111980,2Samuel,1,1,וְדָוִ֣ד,דָּוִד,H1732,1075
111981,2Samuel,1,1,שָׁ֔ב,שׁוּב,H7725,1057
111982,2Samuel,1,1,מֵהַכּ֖וֹת,נָכָה,H5221,500
111983,2Samuel,1,1,אֶת־,אֵת,H0853,10947
111984,2Samuel,1,1,הָעֲמָלֵ֑ק,עֲמָלֵק,H6002,39
111985,2Samuel,1,1,וַיֵּ֧שֶׁב,יָשַׁב,H3427,1078
111986,2Samuel,1,1,דָּוִ֛ד,דָּוִד,H1732,1075
111987,2Samuel,1,1,בְּצִקְלָ֖ג,צִקְלַג,H6860,15
111988,2Samuel,1,1,יָמִ֥ים,יוֹם,H3117,2306
111989,2Samuel,1,1,שְׁנָֽיִם׃,שְׁנַ֫יִם,H8147,769
111990,2Samuel,1,2,וַיְהִ֣י׀,הָיָה,H1961,3562
111991,2Samuel,1,2,בַּיּ֣וֹם,יוֹם,H3117,2306
111992,2Samuel,1,2,הַשְּׁלִישִׁ֗י,שְׁלִישִׁי,H7992,107
111993,2Samuel,1,2,וְהִנֵּה֩,הִנֵּה,H2009,843
111994,2Samuel,1,2,אִ֨ישׁ,אִישׁ,H0376,1663
111995,2Samuel,1,2,בָּ֤א,בּוֹא,H0935,2572
111996,2Samuel,1,2,מִן־,מִן־,H4480,1190
111997,2Samuel,1,2,הַֽמַּחֲנֶה֙,מַחֲנֶה,H4264,215
111998,2Samuel,1,2,מֵעִ֣ם,מֵעִם,H5973,1052
111999,2Samuel,1,2,שָׁא֔וּל,שָׁאוּל,H7586,407
112000,2Samuel,1,2,וּבְגָדָ֣יו,בֶּ֫גֶד,H0899,217
112001,2Samuel,1,2,קְרֻעִ֔ים,קָרַע,H7167,63
112002,2Samuel,1,2,וַאֲדָמָ֖ה,אֲדָמָה,H0127,225
112003,2Samuel,1,2,עַל־,עַל,H5921,5774
112004,2Samuel,1,2,רֹאשׁ֑וֹ,רֹאשׁ,H7218,600
112005,2Samuel,1,2,וַיְהִי֙,הָיָה,H1961,3562
112006,2Samuel,1,2,בְּבֹא֣וֹ,בּוֹא,H0935,2572
112007,2Samuel,1,2,אֶל־,אֶל,H0413,5515
112008,2Samuel,1,2,דָּוִ֔ד,דָּוִד,H1732,1075
112009,2Samuel,1,2,וַיִּפֹּ֥ל,נָפַל,H5307,435
112010,2Samuel,1,2,אַ֖רְצָה,אֶ֫רֶץ,H0776,2504
112011,2Samuel,1,2,וַיִּשְׁתָּֽחוּ׃,שָׁחָה,H7812,172
