,tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
112848,116815,2 Timothée,1,1,Παῦλος,Παῦλος,G3972,158
112849,116816,2 Timothée,1,1,ἀπόστολος,ἀπόστολος,G0652,79
112850,116817,2 Timothée,1,1,Χριστοῦ,Χριστός,G5547,529
112851,116818,2 Timothée,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
112852,116819,2 Timothée,1,1,διὰ,διά,G1223,666
112853,116820,2 Timothée,1,1,θελήματος,θέλημα,G2307,62
112854,116821,2 Timothée,1,1,θεοῦ,θεός,G2316,1311
112855,116822,2 Timothée,1,1,κατ᾽,κατά,G2596,472
112856,116823,2 Timothée,1,1,ἐπαγγελίαν,ἐπαγγελία,G1860,52
112857,116824,2 Timothée,1,1,ζωῆς,ζωή,G2222,135
112858,116825,2 Timothée,1,1,τῆς,ὁ,G3588,19785
112859,116826,2 Timothée,1,1,ἐν,ἐν,G1722,2728
112860,116827,2 Timothée,1,1,Χριστῷ,Χριστός,G5547,529
112861,116828,2 Timothée,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
112862,116829,2 Timothée,1,2,Τιμοθέῳ,Τιμόθεος,G5095,24
112863,116830,2 Timothée,1,2,ἀγαπητῷ,ἀγαπητός,G0027,61
112864,116831,2 Timothée,1,2,τέκνῳ,τέκνον,G5043,98
112865,116832,2 Timothée,1,2,χάρις,χάρις,G5485,154
112866,116833,2 Timothée,1,2,ἔλεος,ἔλεος,G1656,27
112867,116834,2 Timothée,1,2,εἰρήνη,εἰρήνη,G1515,92
112868,116835,2 Timothée,1,2,ἀπὸ,ἀπό,G0575,640
112869,116836,2 Timothée,1,2,θεοῦ,θεός,G2316,1311
112870,116837,2 Timothée,1,2,πατρὸς,πατήρ,G3962,414
112871,116838,2 Timothée,1,2,καὶ,καί,G2532,9108
112872,116839,2 Timothée,1,2,Χριστοῦ,Χριστός,G5547,529
112873,116840,2 Timothée,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
112874,116841,2 Timothée,1,2,τοῦ,ὁ,G3588,19785
112875,116842,2 Timothée,1,2,κυρίου,κύριος,G2962,716
112876,116843,2 Timothée,1,2,ἡμῶν,ἐγώ,G1473,2462
112877,116844,2 Timothée,1,3,Χάριν,χάρις,G5485,154
112878,116845,2 Timothée,1,3,ἔχω,ἔχω,G2192,706
112879,116846,2 Timothée,1,3,τῷ,ὁ,G3588,19785
112880,116847,2 Timothée,1,3,θεῷ,θεός,G2316,1311
112881,116848,2 Timothée,1,3,ᾧ,ὅς,G3739,1408
112882,116849,2 Timothée,1,3,λατρεύω,λατρεύω,G3000,20
112883,116850,2 Timothée,1,3,ἀπὸ,ἀπό,G0575,640
112884,116851,2 Timothée,1,3,προγόνων,πρόγονος,G4269,2
112885,116852,2 Timothée,1,3,ἐν,ἐν,G1722,2728
112886,116853,2 Timothée,1,3,καθαρᾷ,καθαρός,G2513,27
112887,116854,2 Timothée,1,3,συνειδήσει,συνείδησις,G4893,30
112888,116855,2 Timothée,1,3,ὡς,ὡς,G5613,501
112889,116856,2 Timothée,1,3,ἀδιάλειπτον,ἀδιάλειπτος,G0088,2
112890,116857,2 Timothée,1,3,ἔχω,ἔχω,G2192,706
112891,116858,2 Timothée,1,3,τὴν,ὁ,G3588,19785
112892,116859,2 Timothée,1,3,περὶ,περί,G4012,331
112893,116860,2 Timothée,1,3,σοῦ,σύ,G4771,2896
112894,116861,2 Timothée,1,3,μνείαν,μνεία,G3417,7
112895,116862,2 Timothée,1,3,ἐν,ἐν,G1722,2728
112896,116863,2 Timothée,1,3,ταῖς,ὁ,G3588,19785
112897,116864,2 Timothée,1,3,δεήσεσίν,δέησις,G1162,18
112898,116865,2 Timothée,1,3,μου,ἐγώ,G1473,2462
112899,116866,2 Timothée,1,3,νυκτὸς,νύξ,G3571,61
112900,116867,2 Timothée,1,3,καὶ,καί,G2532,9108
112901,116868,2 Timothée,1,3,ἡμέρας,ἡμέρα,G2250,388
112902,116869,2 Timothée,1,4,ἐπιποθῶν,ἐπιποθέω,G1971,9
112903,116870,2 Timothée,1,4,σε,σύ,G4771,2896
112904,116871,2 Timothée,1,4,ἰδεῖν,εἴδω,G1492,374
112905,116872,2 Timothée,1,4,μεμνημένος,μιμνήσκω,G3403,23
112906,116873,2 Timothée,1,4,σου,σύ,G4771,2896
112907,116874,2 Timothée,1,4,τῶν,ὁ,G3588,19785
112908,116875,2 Timothée,1,4,δακρύων,δάκρυ,G1144,10
112909,116876,2 Timothée,1,4,ἵνα,ἵνα,G2443,668
112910,116877,2 Timothée,1,4,χαρᾶς,χαρά,G5479,59
112911,116878,2 Timothée,1,4,πληρωθῶ,πληρόω,G4137,85
112912,116879,2 Timothée,1,5,ὑπόμνησιν,ὑπόμνησις,G5280,3
112913,116880,2 Timothée,1,5,λαβὼν,λαμβάνω,G2983,257
112914,116881,2 Timothée,1,5,τῆς,ὁ,G3588,19785
112915,116882,2 Timothée,1,5,ἐν,ἐν,G1722,2728
112916,116883,2 Timothée,1,5,σοὶ,σύ,G4771,2896
112917,116884,2 Timothée,1,5,ἀνυποκρίτου,ἀνυπόκριτος,G0505,6
112918,116885,2 Timothée,1,5,πίστεως,πίστις,G4102,242
112919,116886,2 Timothée,1,5,ἥτις,ὅστις,G3748,144
112920,116887,2 Timothée,1,5,ἐνῴκησεν,ἐνοικέω,G1774,4
112921,116888,2 Timothée,1,5,πρῶτον,πρῶτος,G4413,154
112922,116889,2 Timothée,1,5,ἐν,ἐν,G1722,2728
112923,116890,2 Timothée,1,5,τῆ,ὁ,G3588,19785
112924,116891,2 Timothée,1,5,μάμμῃ,μάμμη,G3125,1
112925,116892,2 Timothée,1,5,σου,σύ,G4771,2896
112926,116893,2 Timothée,1,5,Λωΐδι,Λωΐς,G3090,1
112927,116894,2 Timothée,1,5,καὶ,καί,G2532,9108
112928,116895,2 Timothée,1,5,τῆ,ὁ,G3588,19785
112929,116896,2 Timothée,1,5,μητρί,μήτηρ,G3384,83
112930,116897,2 Timothée,1,5,σου,σύ,G4771,2896
112931,116898,2 Timothée,1,5,Εὐνίκῃ,Εὐνίκη,G2131,1
112932,116899,2 Timothée,1,5,πέπεισμαι,πείθω,G3982,52
112933,116900,2 Timothée,1,5,δὲ,δέ,G1161,2771
112934,116901,2 Timothée,1,5,ὅτι,ὅτι,G3754,1291
