Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
290753,Abdias,1,1,חֲז֖וֹן,חָזוֹן,H2377,35
290754,Abdias,1,1,עֹֽבַדְיָ֑ה,עֹבַדְיָ֫הוּ,H5662,20
290755,Abdias,1,1,כֹּֽה־,כֹּה,H3541,577
290756,Abdias,1,1,אָמַר֩,אָמַר,H0559,5309
290757,Abdias,1,1,אֲדֹנָ֨י,אֲדֹנָי,H0136,440
290758,Abdias,1,1,יְהוִ֜ה,יְהֹוִה,H3069,306
290759,Abdias,1,1,לֶאֱד֗וֹם,אֱדוֹם,H0123,100
290760,Abdias,1,1,שְׁמוּעָ֨ה,שְׁמוּעָה,H8052,27
290761,Abdias,1,1,שָׁמַ֜עְנוּ,שָׁמַע,H8085,1160
290762,Abdias,1,1,מֵאֵ֤ת,אֵת,H0854,929
290763,Abdias,1,1,יְהוָה֙,יהוה,H3068,6528
290764,Abdias,1,1,וְצִיר֙,צִיר,H6735,12
290765,Abdias,1,1,בַּגּוֹיִ֣ם,גּוֹי,H1471,561
290766,Abdias,1,1,שֻׁלָּ֔ח,שָׁלַח,H7971,847
290767,Abdias,1,1,ק֛וּמוּ,קוּם,H6965,628
290768,Abdias,1,1,וְנָק֥וּמָה,קוּם,H6965,628
290769,Abdias,1,1,עָלֶיהָ,עַל,H5921,5774
290770,Abdias,1,1,לַמִּלְחָמָֽה׃,מִלְחָמָה,H4421,320
290771,Abdias,1,2,הִנֵּ֥ה,הִנֵּה,H2009,843
290772,Abdias,1,2,קָטֹ֛ן,קָטֹן,H6996,101
290773,Abdias,1,2,נְתַתִּ֖יךָ,נָתַן,H5414,2011
290774,Abdias,1,2,בַּגּוֹיִ֑ם,גּוֹי,H1471,561
290775,Abdias,1,2,בָּז֥וּי,בָּזָה,H0959,44
290776,Abdias,1,2,אַתָּ֖ה,אַתָּ֫ה,H0859,1094
290777,Abdias,1,2,מְאֹֽד׃,מְאֹד,H3966,300
290778,Abdias,1,3,זְד֤וֹן,זָדוֹן,H2087,11
290779,Abdias,1,3,לִבְּךָ֙,לֵב,H3820,595
290780,Abdias,1,3,הִשִּׁיאֶ֔ךָ,נָשָׁא,H5377,16
290781,Abdias,1,3,שֹׁכְנִ֥י,שָׁכַן,H7931,129
290782,Abdias,1,3,בְחַגְוֵי־,חֲגָוִים,H2288,3
290783,Abdias,1,3,סֶּ֖לַע,סֶ֫לַע,H5553,58
290784,Abdias,1,3,מְר֣וֹם,מָרוֹם,H4791,54
290785,Abdias,1,3,שִׁבְתּ֑וֹ,שֶׁ֫בֶת,H7675,6
290786,Abdias,1,3,אֹמֵ֣ר,אָמַר,H0559,5309
290787,Abdias,1,3,בְּלִבּ֔וֹ,לֵב,H3820,595
290788,Abdias,1,3,מִ֥י,מִי,H4310,424
290789,Abdias,1,3,יוֹרִדֵ֖נִי,יָרַד,H3381,381
290790,Abdias,1,3,אָֽרֶץ׃,אֶ֫רֶץ,H0776,2504
290791,Abdias,1,4,אִם־,אִם,H0518,1073
290792,Abdias,1,4,תַּגְבִּ֣יהַּ,גָּבַהּ,H1361,34
290793,Abdias,1,4,כַּנֶּ֔שֶׁר,נֶשֶׁר,H5404,26
290794,Abdias,1,4,וְאִם־,אִם,H0518,1073
290795,Abdias,1,4,בֵּ֥ין,בַּ֫יִן,H0996,407
290796,Abdias,1,4,כּֽוֹכָבִ֖ים,כּוֹכָב,H3556,37
290797,Abdias,1,4,שִׂ֣ים,שׂוּם,H7760,585
290798,Abdias,1,4,קִנֶּ֑ךָ,קֵן,H7064,13
290799,Abdias,1,4,מִשָּׁ֥ם,שָׁם,H8033,834
290800,Abdias,1,4,אוֹרִֽידְךָ֖,יָרַד,H3381,381
290801,Abdias,1,4,נְאֻם־,נְאֻם,H5002,376
290802,Abdias,1,4,יְהוָֽה׃,יהוה,H3068,6528
290803,Abdias,1,5,אִם־,אִם,H0518,1073
290804,Abdias,1,5,גַּנָּבִ֤ים,גַּנָּב,H1590,17
290805,Abdias,1,5,בָּאֽוּ־,בּוֹא,H0935,2572
290806,Abdias,1,5,אִם־,אִם,H0518,1073
290807,Abdias,1,5,שׁ֣וֹדְדֵי,שָׁדַד,H7703,57
290808,Abdias,1,5,לַ֔יְלָה,לַ֫יְלָה,H3915,233
290809,Abdias,1,5,אֵ֣יךְ,אֵיךְ,H0349,82
290810,Abdias,1,5,נִדְמֵ֔יתָה,דָּמָה,H1820,15
290811,Abdias,1,5,הֲל֥וֹא,לֹא,H3808,5170
290812,Abdias,1,5,יִגְנְב֖וּ,גָּנַב,H1589,40
290813,Abdias,1,5,דַּיָּ֑ם,דַּי,H1767,38
290814,Abdias,1,5,אִם־,אִם,H0518,1073
290815,Abdias,1,5,בֹּֽצְרִים֙,בָּצַר,H1219,37
290816,Abdias,1,5,בָּ֣אוּ,בּוֹא,H0935,2572
290817,Abdias,1,5,הֲל֖וֹא,לֹא,H3808,5170
290818,Abdias,1,5,יַשְׁאִ֥ירוּ,שָׁאַר,H7604,133
290819,Abdias,1,5,עֹלֵלֽוֹת׃,עֹלֵלוֹת,H5955,6
290820,Abdias,1,6,אֵ֚יךְ,אֵיךְ,H0349,82
290821,Abdias,1,6,נֶחְפְּשׂ֣וּ,חָפַשׂ,H2664,23
290822,Abdias,1,6,עֵשָׂ֔ו,עֵשָׂו,H6215,97
290823,Abdias,1,6,נִבְע֖וּ,בָּעָה,H1158,5
290824,Abdias,1,6,מַצְפֻּנָֽיו׃,מַצְפּוֹן,H4710,1
290825,Abdias,1,7,עַֽד־,עַד,H5704,1261
290826,Abdias,1,7,הַגְּב֣וּל,גְּבוּל,H1366,240
290827,Abdias,1,7,שִׁלְּח֗וּךָ,שָׁלַח,H7971,847
290828,Abdias,1,7,כֹּ֚ל,כֹּל,H3605,5415
290829,Abdias,1,7,אַנְשֵׁ֣י,אֱנוֹשׁ,H0582,566
290830,Abdias,1,7,בְרִיתֶ֔ךָ,בְּרִית,H1285,284
290831,Abdias,1,7,הִשִּׁיא֛וּךָ,נָשָׁא,H5377,16
290832,Abdias,1,7,יָכְל֥וּ,יָכֹל,H3201,194
290833,Abdias,1,7,אַנְשֵׁ֣י,אֱנוֹשׁ,H0582,566
290834,Abdias,1,7,שְׁלֹמֶ֑ךָ,שָׁלוֹם,H7965,237
290835,Abdias,1,7,לַחְמְךָ֗,לֶ֫חֶם,H3899,298
290836,Abdias,1,7,יָשִׂ֤ימוּ,שׂוּם,H7760,585
290837,Abdias,1,7,מָזוֹר֙,מָזוֹר,H4204,1
290838,Abdias,1,7,תַּחְתֶּ֔יךָ,תַּחַת,H8478,505
290839,Abdias,1,7,אֵ֥ין,אַ֫יִן,H0369,789
