tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
66984,Actes,1,1,Τὸν,ὁ,G3588,19785
66985,Actes,1,1,μὲν,μέν,G3303,178
66986,Actes,1,1,πρῶτον,πρῶτος,G4413,154
66987,Actes,1,1,λόγον,λόγος,G3056,330
66988,Actes,1,1,ἐποιησάμην,ποιέω,G4160,568
66989,Actes,1,1,περὶ,περί,G4012,331
66990,Actes,1,1,πάντων,πᾶς,G3956,1236
66991,Actes,1,1,ὦ,ὦ,G5599,17
66992,Actes,1,1,Θεόφιλε,Θεόφιλος,G2321,2
66993,Actes,1,1,ὧν,ὅς,G3739,1408
66994,Actes,1,1,ἤρξατο,ἄρχω,G0757,85
66995,Actes,1,1,ὁ,ὁ,G3588,19785
66996,Actes,1,1,Ἰησοῦς,Ἰησοῦς,G2424,910
66997,Actes,1,1,ποιεῖν,ποιέω,G4160,568
66998,Actes,1,1,τε,τε,G5037,212
66999,Actes,1,1,καὶ,καί,G2532,9108
67000,Actes,1,1,διδάσκειν,διδάσκω,G1321,96
67001,Actes,1,2,ἄχρι,ἄχρι,G0891,49
67002,Actes,1,2,ἧς,ὅς,G3739,1408
67003,Actes,1,2,ἡμέρας,ἡμέρα,G2250,388
67004,Actes,1,2,ἐντειλάμενος,ἐντέλλω,G1781,14
67005,Actes,1,2,τοῖς,ὁ,G3588,19785
67006,Actes,1,2,ἀποστόλοις,ἀπόστολος,G0652,79
67007,Actes,1,2,διὰ,διά,G1223,666
67008,Actes,1,2,πνεύματος,πνεῦμα,G4151,378
67009,Actes,1,2,ἁγίου,ἅγιος,G0040,224
67010,Actes,1,2,οὓς,ὅς,G3739,1408
67011,Actes,1,2,ἐξελέξατο,ἐκλέγω,G1586,21
67012,Actes,1,2,ἀνελήμφθη,ἀναλαμβάνω,G0353,13
67013,Actes,1,3,οἷς,ὅς,G3739,1408
67014,Actes,1,3,καὶ,καί,G2532,9108
67015,Actes,1,3,παρέστησεν,παρίστημι,G3936,41
67016,Actes,1,3,ἑαυτὸν,ἑαυτοῦ,G1438,317
67017,Actes,1,3,ζῶντα,ζάω,G2198,139
67018,Actes,1,3,μετὰ,μετά,G3326,468
