Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
295046,Aggée,1,1,בִּשְׁנַ֤ת,שָׁנָה,H8141,877
295047,Aggée,1,1,שְׁתַּ֙יִם֙,שְׁנַ֫יִם,H8147,769
295048,Aggée,1,1,לְדָרְיָ֣וֶשׁ,דָּֽרְיָ֫וֶשׁ,H1867,10
295049,Aggée,1,1,הַמֶּ֔לֶךְ,מֶ֫לֶךְ,H4428,2526
295050,Aggée,1,1,בַּחֹ֙דֶשׁ֙,חֹ֫דֶשׁ,H2320,285
295051,Aggée,1,1,הַשִּׁשִּׁ֔י,שִׁשִּׁי,H8345,28
295052,Aggée,1,1,בְּי֥וֹם,יוֹם,H3117,2306
295053,Aggée,1,1,אֶחָ֖ד,אֶחָד,H0259,971
295054,Aggée,1,1,לַחֹ֑דֶשׁ,חֹ֫דֶשׁ,H2320,285
295055,Aggée,1,1,הָיָ֨ה,הָיָה,H1961,3562
295056,Aggée,1,1,דְבַר־,דָּבָר,H1697,1442
295057,Aggée,1,1,יְהוָ֜ה,יהוה,H3068,6528
295058,Aggée,1,1,בְּיַד־,יָד,H3027,1619
295059,Aggée,1,1,חַגַּ֣י,חַגַּי,H2292,11
295060,Aggée,1,1,הַנָּבִ֗יא,נָבִיא,H5030,315
295061,Aggée,1,1,אֶל־,אֶל,H0413,5515
295062,Aggée,1,1,זְרֻבָּבֶ֤ל,זְרֻבָּבֶ֫ל,H2216,21
295063,Aggée,1,1,בֶּן־,בֵּן,H1121,4959
295064,Aggée,1,1,שְׁאַלְתִּיאֵל֙,שְׁאַלְתִּיאֵל,H7597,9
295065,Aggée,1,1,פַּחַ֣ת,פֶּחָה,H6346,28
295066,Aggée,1,1,יְהוּדָ֔ה,יְהוּדָה,H3063,820
295067,Aggée,1,1,וְאֶל־,אֶל,H0413,5515
295068,Aggée,1,1,יְהוֹשֻׁ֧עַ,יְהוֹשׁוּעַ,H3091,218
295069,Aggée,1,1,בֶּן־,בֵּן,H1121,4959
295070,Aggée,1,1,יְהוֹצָדָ֛ק,יְהוֹצָדָק,H3087,8
295071,Aggée,1,1,הַכֹּהֵ֥ן,כֹּהֵן,H3548,750
295072,Aggée,1,1,הַגָּד֖וֹל,גַּל,H1419,526
295073,Aggée,1,1,לֵאמֹֽר׃,אָמַר,H0559,5309
295074,Aggée,1,2,כֹּ֥ה,כֹּה,H3541,577
295075,Aggée,1,2,אָמַ֛ר,אָמַר,H0559,5309
295076,Aggée,1,2,יְהוָ֥ה,יהוה,H3068,6528
295077,Aggée,1,2,צְבָא֖וֹת,צָבָא,H6635,484
295078,Aggée,1,2,לֵאמֹ֑ר,אָמַר,H0559,5309
295079,Aggée,1,2,הָעָ֤ם,עַם,H5971,1872
295080,Aggée,1,2,הַזֶּה֙,זֶה,H2088,1179
295081,Aggée,1,2,אָֽמְר֔וּ,אָמַר,H0559,5309
295082,Aggée,1,2,לֹ֥א,לֹא,H3808,5170
295083,Aggée,1,2,עֶת־,עֵת,H6256,296
295084,Aggée,1,2,בֹּ֛א,בּוֹא,H0935,2572
295085,Aggée,1,2,עֶת־,עֵת,H6256,296
295086,Aggée,1,2,בֵּ֥ית,בַּ֫יִת,H1004,2049
295087,Aggée,1,2,יְהוָ֖ה,יהוה,H3068,6528
295088,Aggée,1,2,לְהִבָּנֽוֹת׃ פ,בָּנָה,H1129,376
295089,Aggée,1,3,וַֽיְהִי֙,הָיָה,H1961,3562
295090,Aggée,1,3,דְּבַר־,דָּבָר,H1697,1442
295091,Aggée,1,3,יְהוָ֔ה,יהוה,H3068,6528
295092,Aggée,1,3,בְּיַד־,יָד,H3027,1619
295093,Aggée,1,3,חַגַּ֥י,חַגַּי,H2292,11
295094,Aggée,1,3,הַנָּבִ֖יא,נָבִיא,H5030,315
295095,Aggée,1,3,לֵאמֹֽר׃,אָמַר,H0559,5309
295096,Aggée,1,4,הַעֵ֤ת,עֵת,H6256,296
295097,Aggée,1,4,אַתֶּ֔ם,אַתֶּם,H0859,1094
295098,Aggée,1,4,לָשֶׁ֖בֶת,יָשַׁב,H3427,1078
295099,Aggée,1,4,בְּבָתֵּיכֶ֣ם,בַּ֫יִת,H1004,2049
295100,Aggée,1,4,סְפוּנִ֑ים,סָפַן,H5603,6
295101,Aggée,1,4,וְהַבַּ֥יִת,בַּ֫יִת,H1004,2049
295102,Aggée,1,4,הַזֶּ֖ה,זֶה,H2088,1179
295103,Aggée,1,4,חָרֵֽב׃,חָרֵב,H2720,10
295104,Aggée,1,5,וְעַתָּ֕ה,עַתָּ֫ה,H6258,433
295105,Aggée,1,5,כֹּ֥ה,כֹּה,H3541,577
295106,Aggée,1,5,אָמַ֖ר,אָמַר,H0559,5309
295107,Aggée,1,5,יְהוָ֣ה,יהוה,H3068,6528
295108,Aggée,1,5,צְבָא֑וֹת,צָבָא,H6635,484
295109,Aggée,1,5,שִׂ֥ימוּ,שׂוּם,H7760,585
295110,Aggée,1,5,לְבַבְכֶ֖ם,לֵבָב,H3824,252
295111,Aggée,1,5,עַל־,עַל,H5921,5774
295112,Aggée,1,5,דַּרְכֵיכֶֽם׃,דֶּ֫רֶךְ,H1870,708
295113,Aggée,1,6,זְרַעְתֶּ֨ם,זָרַע,H2232,56
295114,Aggée,1,6,הַרְבֵּ֜ה,רָבָה,H7235,227
295115,Aggée,1,6,וְהָבֵ֣א,בּוֹא,H0935,2572
295116,Aggée,1,6,מְעָ֗ט,מְעַט,H4592,101
295117,Aggée,1,6,אָכ֤וֹל,אָכַל,H0398,810
295118,Aggée,1,6,וְאֵין־,אַ֫יִן,H0369,789
295119,Aggée,1,6,לְשָׂבְעָה֙,שׇׂבְעָה,H7654,6
295120,Aggée,1,6,שָׁת֣וֹ,שָׁתָה,H8354,217
295121,Aggée,1,6,וְאֵין־,אַ֫יִן,H0369,789
295122,Aggée,1,6,לְשָׁכְרָ֔ה,שָׁכַר,H7937,19
295123,Aggée,1,6,לָב֖וֹשׁ,לָבֵשׁ,H3847,110
295124,Aggée,1,6,וְאֵין־,אַ֫יִן,H0369,789
295125,Aggée,1,6,לְחֹ֣ם,חָמַם,H2552,21
295126,Aggée,1,6,וְהַ֨מִּשְׂתַּכֵּ֔ר,שָׂכַר,H7936,21
295127,Aggée,1,6,מִשְׂתַּכֵּ֖ר,שָׂכַר,H7936,21
295128,Aggée,1,6,אֶל־,אֶל,H0413,5515
295129,Aggée,1,6,צְר֥וֹר,צְרוֹר,H6872,10
295130,Aggée,1,6,נָקֽוּב׃ פ,נָקַב,H5344,19
295131,Aggée,1,7,כֹּ֥ה,כֹּה,H3541,577
295132,Aggée,1,7,אָמַ֖ר,אָמַר,H0559,5309
295133,Aggée,1,7,יְהוָ֣ה,יהוה,H3068,6528
295134,Aggée,1,7,צְבָא֑וֹת,צָבָא,H6635,484
295135,Aggée,1,7,שִׂ֥ימוּ,שׂוּם,H7760,585
295136,Aggée,1,7,לְבַבְכֶ֖ם,לֵבָב,H3824,252
295137,Aggée,1,7,עַל־,עַל,H5921,5774
295138,Aggée,1,7,דַּרְכֵיכֶֽם׃,דֶּ֫רֶךְ,H1870,708
295139,Aggée,1,8,עֲל֥וּ,עָלָה,H5927,890
295140,Aggée,1,8,הָהָ֛ר,הַר,H2022,547
295141,Aggée,1,8,וַהֲבֵאתֶ֥ם,בּוֹא,H0935,2572
295142,Aggée,1,8,עֵ֖ץ,עֵץ,H6086,330
295143,Aggée,1,8,וּבְנ֣וּ,בָּנָה,H1129,376
295144,Aggée,1,8,הַבָּ֑יִת,בַּ֫יִת,H1004,2049
295145,Aggée,1,8,וְאֶרְצֶה־,רָצָה,H7521,56
295146,Aggée,1,8,וְאֶכָּבְדָ֖,כָּבֵד,H3513,113
295147,Aggée,1,8,אָמַ֥ר,אָמַר,H0559,5309
295148,Aggée,1,8,יְהוָֽה׃,יהוה,H3068,6528
295149,Aggée,1,9,פָּנֹ֤ה,פָּנָה,H6437,135
295150,Aggée,1,9,אֶל־,אֶל,H0413,5515
295151,Aggée,1,9,הַרְבֵּה֙,רָבָה,H7235,227
295152,Aggée,1,9,וְהִנֵּ֣ה,הִנֵּה,H2009,843
295153,Aggée,1,9,לִמְעָ֔ט,מְעַט,H4592,101
295154,Aggée,1,9,וַהֲבֵאתֶ֥ם,בּוֹא,H0935,2572
295155,Aggée,1,9,הַבַּ֖יִת,בַּ֫יִת,H1004,2049
295156,Aggée,1,9,וְנָפַ֣חְתִּי,נָפַח,H5301,12
295157,Aggée,1,9,יַ֣עַן,יַעַן,H3282,99
295158,Aggée,1,9,מֶ֗ה,מָה,H4100,753
295159,Aggée,1,9,נְאֻם֙,נְאֻם,H5002,376
295160,Aggée,1,9,יְהוָ֣ה,יהוה,H3068,6528
295161,Aggée,1,9,צְבָא֔וֹת,צָבָא,H6635,484
295162,Aggée,1,9,יַ֗עַן,יַעַן,H3282,99
295163,Aggée,1,9,בֵּיתִי֙,בַּ֫יִת,H1004,2049
295164,Aggée,1,9,אֲשֶׁר־,אֲשֶׁר,H0834,5499
295165,Aggée,1,9,ה֣וּא,הוּא,H1931,1878
295166,Aggée,1,9,חָרֵ֔ב,חָרֵב,H2720,10
295167,Aggée,1,9,וְאַתֶּ֥ם,אַתֶּם,H0859,1094
295168,Aggée,1,9,רָצִ֖ים,רוּץ,H7323,103
295169,Aggée,1,9,אִ֥ישׁ,אִישׁ,H0376,1663
295170,Aggée,1,9,לְבֵיתֽוֹ׃,בַּ֫יִת,H1004,2049
295171,Aggée,1,10,עַל־,עַל,H5921,5774
295172,Aggée,1,10,כֵּ֣ן,כֵּן,H3651,765
295173,Aggée,1,10,עֲלֵיכֶ֔ם,עַל,H5921,5774
295174,Aggée,1,10,כָּלְא֥וּ,כָּלָא,H3607,17
295175,Aggée,1,10,שָמַ֖יִם,שָׁמַיִם,H8064,421
295176,Aggée,1,10,מִטָּ֑ל,טַל,H2919,31
295177,Aggée,1,10,וְהָאָ֖רֶץ,אֶ֫רֶץ,H0776,2504
295178,Aggée,1,10,כָּלְאָ֥ה,כָּלָא,H3607,17
295179,Aggée,1,10,יְבוּלָֽהּ׃,יְבוּל,H2981,13
295180,Aggée,1,11,וָאֶקְרָ֨א,קָרָא,H7121,733
295181,Aggée,1,11,חֹ֜רֶב,חֹ֫רֶב,H2721,16
295182,Aggée,1,11,עַל־,עַל,H5921,5774
295183,Aggée,1,11,הָאָ֣רֶץ,אֶ֫רֶץ,H0776,2504
295184,Aggée,1,11,וְעַל־,עַל,H5921,5774
295185,Aggée,1,11,הֶהָרִ֗ים,הַר,H2022,547
295186,Aggée,1,11,וְעַל־,עַל,H5921,5774
295187,Aggée,1,11,הַדָּגָן֙,דָּגָן,H1715,40
295188,Aggée,1,11,וְעַל־,עַל,H5921,5774
295189,Aggée,1,11,הַתִּיר֣וֹשׁ,תִּירוֹשׁ,H8492,38
295190,Aggée,1,11,וְעַל־,עַל,H5921,5774
295191,Aggée,1,11,הַיִּצְהָ֔ר,יִצְהָר,H3323,23
295192,Aggée,1,11,וְעַ֛ל,עַל,H5921,5774
295193,Aggée,1,11,אֲשֶׁ֥ר,אֲשֶׁר,H0834,5499
295194,Aggée,1,11,תּוֹצִ֖יא,יָצָא,H3318,1067
295195,Aggée,1,11,הָאֲדָמָ֑ה,אֲדָמָה,H0127,225
295196,Aggée,1,11,וְעַל־,עַל,H5921,5774
295197,Aggée,1,11,הָֽאָדָם֙,אָדָם,H0120,551
295198,Aggée,1,11,וְעַל־,עַל,H5921,5774
295199,Aggée,1,11,הַבְּהֵמָ֔ה,בְּהֵמָה,H0929,190
295200,Aggée,1,11,וְעַ֖ל,עַל,H5921,5774
295201,Aggée,1,11,כָּל־,כֹּל,H3605,5415
295202,Aggée,1,11,יְגִ֥יעַ,יְגִיעַ,H3018,16
295203,Aggée,1,11,כַּפָּֽיִם׃ ס,כַּף,H3709,193
295204,Aggée,1,12,וַיִּשְׁמַ֣ע,שָׁמַע,H8085,1160
295205,Aggée,1,12,זְרֻבָּבֶ֣ל׀,זְרֻבָּבֶ֫ל,H2216,21
295206,Aggée,1,12,בֶּֽן־,בֵּן,H1121,4959
295207,Aggée,1,12,שַׁלְתִּיאֵ֡ל,שַׁלְתִּיאֵל,H7597,9
295208,Aggée,1,12,וִיהוֹשֻׁ֣עַ,יְהוֹשׁוּעַ,H3091,218
295209,Aggée,1,12,בֶּן־,בֵּן,H1121,4959
295210,Aggée,1,12,יְהוֹצָדָק֩,יְהוֹצָדָק,H3087,8
295211,Aggée,1,12,הַכֹּהֵ֨ן,כֹּהֵן,H3548,750
295212,Aggée,1,12,הַגָּד֜וֹל,גַּל,H1419,526
295213,Aggée,1,12,וְכֹ֣ל׀,כֹּל,H3605,5415
295214,Aggée,1,12,שְׁאֵרִ֣ית,שְׁאֵרִית,H7611,66
295215,Aggée,1,12,הָעָ֗ם,עַם,H5971,1872
295216,Aggée,1,12,בְּקוֹל֙,קוֹל,H6963,506
295217,Aggée,1,12,יְהוָ֣ה,יהוה,H3068,6528
295218,Aggée,1,12,אֱלֹֽהֵיהֶ֔ם,אֱלֹהִים,H0430,2603
295219,Aggée,1,12,וְעַל־,עַל,H5921,5774
295220,Aggée,1,12,דִּבְרֵי֙,דָּבָר,H1697,1442
295221,Aggée,1,12,חַגַּ֣י,חַגַּי,H2292,11
295222,Aggée,1,12,הַנָּבִ֔יא,נָבִיא,H5030,315
295223,Aggée,1,12,כַּאֲשֶׁ֥ר,כַּאֲשֶׁר,H0834,5499
295224,Aggée,1,12,שְׁלָח֖וֹ,שָׁלַח,H7971,847
295225,Aggée,1,12,יְהוָ֣ה,יהוה,H3068,6528
295226,Aggée,1,12,אֱלֹהֵיהֶ֑ם,אֱלֹהִים,H0430,2603
295227,Aggée,1,12,וַיִּֽירְא֥וּ,יָרֵא,H3372,314
295228,Aggée,1,12,הָעָ֖ם,עַם,H5971,1872
295229,Aggée,1,12,מִפְּנֵ֥י,פָּנֶה,H6440,2127
295230,Aggée,1,12,יְהוָֽה׃,יהוה,H3068,6528
295231,Aggée,1,13,וַ֠יֹּאמֶר,אָמַר,H0559,5309
295232,Aggée,1,13,חַגַּ֞י,חַגַּי,H2292,11
295233,Aggée,1,13,מַלְאַ֧ךְ,מַלְאָךְ,H4397,214
295234,Aggée,1,13,יְהוָ֛ה,יהוה,H3068,6528
295235,Aggée,1,13,בְּמַלְאֲכ֥וּת,מַלְאָכוּת,H4400,1
295236,Aggée,1,13,יְהוָ֖ה,יהוה,H3068,6528
295237,Aggée,1,13,לָעָ֣ם,עַם,H5971,1872
295238,Aggée,1,13,לֵאמֹ֑ר,אָמַר,H0559,5309
295239,Aggée,1,13,אֲנִ֥י,"אֲנִי, אָֽנֹכִ֫י",H0589,874
295240,Aggée,1,13,אִתְּכֶ֖ם,אֵת,H0854,929
295241,Aggée,1,13,נְאֻם־,נְאֻם,H5002,376
295242,Aggée,1,13,יְהוָֽה׃,יהוה,H3068,6528
295243,Aggée,1,14,וַיָּ֣עַר,עוּר,H5782,80
295244,Aggée,1,14,יְהוָ֡ה,יהוה,H3068,6528
295245,Aggée,1,14,אֶת־,אֵת,H0853,10947
295246,Aggée,1,14,רוּחַ֩,רוּחַ,H7307,378
295247,Aggée,1,14,זְרֻבָּבֶ֨ל,זְרֻבָּבֶ֫ל,H2216,21
295248,Aggée,1,14,בֶּן־,בֵּן,H1121,4959
295249,Aggée,1,14,שַׁלְתִּיאֵ֜ל,שַׁלְתִּיאֵל,H7597,9
295250,Aggée,1,14,פַּחַ֣ת,פֶּחָה,H6346,28
295251,Aggée,1,14,יְהוּדָ֗ה,יְהוּדָה,H3063,820
295252,Aggée,1,14,וְאֶת־,אֵת,H0853,10947
295253,Aggée,1,14,ר֙וּחַ֙,רוּחַ,H7307,378
295254,Aggée,1,14,יְהוֹשֻׁ֤עַ,יְהוֹשׁוּעַ,H3091,218
295255,Aggée,1,14,בֶּן־,בֵּן,H1121,4959
295256,Aggée,1,14,יְהוֹצָדָק֙,יְהוֹצָדָק,H3087,8
295257,Aggée,1,14,הַכֹּהֵ֣ן,כֹּהֵן,H3548,750
295258,Aggée,1,14,הַגָּד֔וֹל,גַּל,H1419,526
295259,Aggée,1,14,וְֽאֶת־,אֵת,H0853,10947
295260,Aggée,1,14,ר֔וּחַ,רוּחַ,H7307,378
295261,Aggée,1,14,כֹּ֖ל,כֹּל,H3605,5415
295262,Aggée,1,14,שְׁאֵרִ֣ית,שְׁאֵרִית,H7611,66
295263,Aggée,1,14,הָעָ֑ם,עַם,H5971,1872
295264,Aggée,1,14,וַיָּבֹ֙אוּ֙,בּוֹא,H0935,2572
295265,Aggée,1,14,וַיַּעֲשׂ֣וּ,עָשָׂה,H6213,2629
295266,Aggée,1,14,מְלָאכָ֔ה,מְלָאכָה,H4399,167
295267,Aggée,1,14,בְּבֵית־,בַּ֫יִת,H1004,2049
295268,Aggée,1,14,יְהוָ֥ה,יהוה,H3068,6528
295269,Aggée,1,14,צְבָא֖וֹת,צָבָא,H6635,484
295270,Aggée,1,14,אֱלֹהֵיהֶֽם׃ פ,אֱלֹהִים,H0430,2603
295271,Aggée,1,15,בְּי֨וֹם,יוֹם,H3117,2306
295272,Aggée,1,15,עֶשְׂרִ֧ים,עֶשְׂרִים,H6242,315
295273,Aggée,1,15,וְאַרְבָּעָ֛ה,אַרְבַּע,H0702,318
295274,Aggée,1,15,לַחֹ֖דֶשׁ,חֹ֫דֶשׁ,H2320,285
295275,Aggée,1,15,בַּשִּׁשִּׁ֑י,שִׁשִּׁי,H8345,28
295276,Aggée,1,15,בִּשְׁנַ֥ת,שָׁנָה,H8141,877
295277,Aggée,1,15,שְׁתַּ֖יִם,שְׁנַ֫יִם,H8147,769
295278,Aggée,1,15,לְדָרְיָ֥וֶשׁ,דָּֽרְיָ֫וֶשׁ,H1867,10
295279,Aggée,1,15,הַמֶּֽלֶךְ׃,מֶ֫לֶךְ,H4428,2526
295280,Aggée,2,1,בַּשְּׁבִיעִ֕י,שְׁבִיעִי,H7637,98
295281,Aggée,2,1,בְּעֶשְׂרִ֥ים,עֶשְׂרִים,H6242,315
295282,Aggée,2,1,וְאֶחָ֖ד,אֶחָד,H0259,971
295283,Aggée,2,1,לַחֹ֑דֶשׁ,חֹ֫דֶשׁ,H2320,285
295284,Aggée,2,1,הָיָה֙,הָיָה,H1961,3562
295285,Aggée,2,1,דְּבַר־,דָּבָר,H1697,1442
295286,Aggée,2,1,יְהוָ֔ה,יהוה,H3068,6528
295287,Aggée,2,1,בְּיַד־,יָד,H3027,1619
295288,Aggée,2,1,חַגַּ֥י,חַגַּי,H2292,11
295289,Aggée,2,1,הַנָּבִ֖יא,נָבִיא,H5030,315
295290,Aggée,2,1,לֵאמֹֽר׃,אָמַר,H0559,5309
295291,Aggée,2,2,אֱמָר־,אָמַר,H0559,5309
295292,Aggée,2,2,נָ֗א,נָא,H4994,405
295293,Aggée,2,2,אֶל־,אֶל,H0413,5515
295294,Aggée,2,2,זְרֻבָּבֶ֤ל,זְרֻבָּבֶ֫ל,H2216,21
