Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
288738,Amos,1,1,דִּבְרֵ֣י,דָּבָר,H1697,1442
288739,Amos,1,1,עָמ֔וֹס,עָמוֹס,H5986,7
288740,Amos,1,1,אֲשֶׁר־,אֲשֶׁר,H0834,5499
288741,Amos,1,1,הָיָ֥ה,הָיָה,H1961,3562
288742,Amos,1,1,בַנֹּקְדִ֖ים,נֹקֵד,H5349,2
288743,Amos,1,1,מִתְּק֑וֹעַ,תְּקוֹעַ,H8620,7
288744,Amos,1,1,אֲשֶׁר֩,אֲשֶׁר,H0834,5499
288745,Amos,1,1,חָזָ֨ה,חָזָה,H2372,55
288746,Amos,1,1,עַל־,עַל,H5921,5774
288747,Amos,1,1,יִשְׂרָאֵ֜ל,יִשְׂרָאֵל,H3478,2508
288748,Amos,1,1,בִּימֵ֣י׀,יוֹם,H3117,2306
288749,Amos,1,1,עֻזִיָּ֣ה,עֻזִּיָּהוּ,H5818,27
288750,Amos,1,1,מֶֽלֶךְ־,מֶ֫לֶךְ,H4428,2526
288751,Amos,1,1,יְהוּדָ֗ה,יְהוּדָה,H3063,820
288752,Amos,1,1,וּבִימֵ֞י,יוֹם,H3117,2306
288753,Amos,1,1,יָרָבְעָ֤ם,יָֽרָבְעָם,H3379,104
288754,Amos,1,1,בֶּן־,בֵּן,H1121,4959
288755,Amos,1,1,יוֹאָשׁ֙,יוֹאָשׁ,H3101,47
288756,Amos,1,1,מֶ֣לֶךְ,מֶ֫לֶךְ,H4428,2526
288757,Amos,1,1,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,H3478,2508
288758,Amos,1,1,שְׁנָתַ֖יִם,שָׁנָה,H8141,877
288759,Amos,1,1,לִפְנֵ֥י,פָּנֶה,H6440,2127
288760,Amos,1,1,הָרָֽעַשׁ׃,רַ֫עַשׁ,H7494,17
288761,Amos,1,2,וַיֹּאמַ֓ר׀,אָמַר,H0559,5309
288762,Amos,1,2,יְהוָה֙,יהוה,H3068,6528
288763,Amos,1,2,מִצִיּ֣וֹן,צִיּוֹן,H6726,154
288764,Amos,1,2,יִשְׁאָ֔ג,שָׁאַג,H7580,20
288765,Amos,1,2,וּמִירוּשָׁלִַ֖ם,"יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם",H3389,643
288766,Amos,1,2,יִתֵּ֣ן,נָתַן,H5414,2011
288767,Amos,1,2,קוֹל֑וֹ,קוֹל,H6963,506
288768,Amos,1,2,וְאָֽבְלוּ֙,אָבַל,H0056,39
288769,Amos,1,2,נְא֣וֹת,נָוָה,H4999,12
288770,Amos,1,2,הָרֹעִ֔ים,רָעָה,H7462,177
288771,Amos,1,2,וְיָבֵ֖שׁ,יָבֵשׁ,H3001,60
288772,Amos,1,2,רֹ֥אשׁ,רֹאשׁ,H7218,600
288773,Amos,1,2,הַכַּרְמֶֽל׃ פ,כַּרְמֶל,H3760,22
288774,Amos,1,3,כֹּ֚ה,כֹּה,H3541,577
288775,Amos,1,3,אָמַ֣ר,אָמַר,H0559,5309
288776,Amos,1,3,יְהוָ֔ה,יהוה,H3068,6528
288777,Amos,1,3,עַל־,עַל,H5921,5774
288778,Amos,1,3,שְׁלֹשָׁה֙,שָׁלֹשׁ,H7969,432
288779,Amos,1,3,פִּשְׁעֵ֣י,פֶּ֫שַׁע,H6588,93
288780,Amos,1,3,דַמֶּ֔שֶׂק,דַּמֶּ֫שֶׂק,H1834,45
288781,Amos,1,3,וְעַל־,עַל,H5921,5774
288782,Amos,1,3,אַרְבָּעָ֖ה,אַרְבַּע,H0702,318
288783,Amos,1,3,לֹ֣א,לֹא,H3808,5170
288784,Amos,1,3,אֲשִׁיבֶ֑נּוּ,שׁוּב,H7725,1057
288785,Amos,1,3,עַל־,עַל,H5921,5774
288786,Amos,1,3,דּוּשָׁ֛ם,דּוּשׁ,H1758,16
288787,Amos,1,3,בַּחֲרֻצ֥וֹת,חָרוּץ,H2742,19
288788,Amos,1,3,הַבַּרְזֶ֖ל,בַּרְזֶל,H1270,76
288789,Amos,1,3,אֶת־,אֵת,H0853,10947
288790,Amos,1,3,הַגִּלְעָֽד׃,גִּלְעָד,H1568,134
288791,Amos,1,4,וְשִׁלַּ֥חְתִּי,שָׁלַח,H7971,847
288792,Amos,1,4,אֵ֖שׁ,אֵשׁ,H0784,378
288793,Amos,1,4,בְּבֵ֣ית,בַּ֫יִת,H1004,2049
288794,Amos,1,4,חֲזָאֵ֑ל,חֲזָהאֵל,H2371,23
288795,Amos,1,4,וְאָכְלָ֖ה,אָכַל,H0398,810
288796,Amos,1,4,אַרְמְנ֥וֹת,אַרְמוֹן,H0759,32
288797,Amos,1,4,בֶּן־,בֶּן־הֲדַד,H1130,50
288798,Amos,1,4,הֲדָֽד׃,בֶּן־הֲדַד,H1130,50
288799,Amos,1,5,וְשָֽׁבַרְתִּי֙,שָׁבַר,H7665,147
288800,Amos,1,5,בְּרִ֣יחַ,בְּרִיחַ,H1280,40
288801,Amos,1,5,דַּמֶּ֔שֶׂק,דַּמֶּ֫שֶׂק,H1834,45
288802,Amos,1,5,וְהִכְרַתִּ֤י,כָּרַת,H3772,288
288803,Amos,1,5,יוֹשֵׁב֙,יָשַׁב,H3427,1078
288804,Amos,1,5,מִבִּקְעַת־,בִּקְעָה,H1237,20
288805,Amos,1,5,אָ֔וֶן,אָ֫וֶן,H0206,2
288806,Amos,1,5,וְתוֹמֵ֥ךְ,תָּמַךְ,H8551,21
