tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
131915,Apocalypse,1,1,Ἀποκάλυψις,ἀποκάλυψις,G0602,18
131916,Apocalypse,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
131917,Apocalypse,1,1,Χριστοῦ,Χριστός,G5547,529
131918,Apocalypse,1,1,ἣν,ὅς,G3739,1408
131919,Apocalypse,1,1,ἔδωκεν,δίδωμι,G1325,409
131920,Apocalypse,1,1,αὐτῷ,αὐτός,G0846,5558
131921,Apocalypse,1,1,ὁ,ὁ,G3588,19785
131922,Apocalypse,1,1,θεὸς,θεός,G2316,1311
131923,Apocalypse,1,1,δεῖξαι,δεικνύω,G1166,33
131924,Apocalypse,1,1,τοῖς,ὁ,G3588,19785
131925,Apocalypse,1,1,δούλοις,δοῦλος,G1401,129
131926,Apocalypse,1,1,αὐτοῦ,αὐτός,G0846,5558
131927,Apocalypse,1,1,ἃ,ὅς,G3739,1408
131928,Apocalypse,1,1,δεῖ,δεῖ,G1163,102
131929,Apocalypse,1,1,γενέσθαι,γίνομαι,G1096,662
131930,Apocalypse,1,1,ἐν,ἐν,G1722,2728
131931,Apocalypse,1,1,τάχει,τάχος,G5034,7
131932,Apocalypse,1,1,καὶ,καί,G2532,9108
131933,Apocalypse,1,1,ἐσήμανεν,σημαίνω,G4591,6
131934,Apocalypse,1,1,ἀποστείλας,ἀποστέλλω,G0649,131
131935,Apocalypse,1,1,διὰ,διά,G1223,666
131936,Apocalypse,1,1,τοῦ,ὁ,G3588,19785
131937,Apocalypse,1,1,ἀγγέλου,ἄγγελος,G0032,175
131938,Apocalypse,1,1,αὐτοῦ,αὐτός,G0846,5558
131939,Apocalypse,1,1,τῷ,ὁ,G3588,19785
131940,Apocalypse,1,1,δούλῳ,δοῦλος,G1401,129
131941,Apocalypse,1,1,αὐτοῦ,αὐτός,G0846,5558
131942,Apocalypse,1,1,Ἰωάννῃ,Ἰωάννης,G2491,135
131943,Apocalypse,1,2,ὃς,ὅς,G3739,1408
131944,Apocalypse,1,2,ἐμαρτύρησεν,μαρτυρέω,G3140,76
131945,Apocalypse,1,2,τὸν,ὁ,G3588,19785
131946,Apocalypse,1,2,λόγον,λόγος,G3056,330
131947,Apocalypse,1,2,τοῦ,ὁ,G3588,19785
131948,Apocalypse,1,2,θεοῦ,θεός,G2316,1311
131949,Apocalypse,1,2,καὶ,καί,G2532,9108
131950,Apocalypse,1,2,τὴν,ὁ,G3588,19785
131951,Apocalypse,1,2,μαρτυρίαν,μαρτυρία,G3141,37
131952,Apocalypse,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
131953,Apocalypse,1,2,Χριστοῦ,Χριστός,G5547,529
131954,Apocalypse,1,2,ὅσα,ὅσος,G3745,110
131956,Apocalypse,1,2,εἶδεν,εἴδω,G1492,374
131957,Apocalypse,1,3,μακάριος,μακάριος,G3107,50
131958,Apocalypse,1,3,ὁ,ὁ,G3588,19785
131959,Apocalypse,1,3,ἀναγινώσκων,ἀναγινώσκω,G0314,32
131960,Apocalypse,1,3,καὶ,καί,G2532,9108
131961,Apocalypse,1,3,οἱ,ὁ,G3588,19785
131962,Apocalypse,1,3,ἀκούοντες,ἀκούω,G0191,426
131963,Apocalypse,1,3,τοὺς,ὁ,G3588,19785
131964,Apocalypse,1,3,λόγους,λόγος,G3056,330
131965,Apocalypse,1,3,τῆς,ὁ,G3588,19785
