Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
220626,Cantiques,1,1,שִׁ֥יר,שִׁיר,H7892,90
220627,Cantiques,1,1,הַשִּׁירִ֖ים,שִׁיר,H7892,90
220628,Cantiques,1,1,אֲשֶׁ֥ר,אֲשֶׁר,H0834,5499
220629,Cantiques,1,1,לִשְׁלֹמֹֽה׃,שְׁלֹמֹה,H8010,293
220630,Cantiques,1,2,יִשָּׁקֵ֙נִי֙,נָשַׁק,H5401,35
220631,Cantiques,1,2,מִנְּשִׁיק֣וֹת,נְשִׁיקָה,H5390,2
220632,Cantiques,1,2,פִּ֔יהוּ,פֶּה,H6310,498
220633,Cantiques,1,2,כִּֽי־,כִּי,H3588,4485
220634,Cantiques,1,2,טוֹבִ֥ים,טוֹב,H2896,562
220635,Cantiques,1,2,דֹּדֶ֖יךָ,דּוֹד,H1730,61
220636,Cantiques,1,2,מִיָּֽיִן׃,יַ֫יִן,H3196,141
220637,Cantiques,1,3,לְרֵ֙יחַ֙,רֵיחַ,H7381,58
220638,Cantiques,1,3,שְׁמָנֶ֣יךָ,שֶׁ֫מֶן,H8081,193
220639,Cantiques,1,3,טוֹבִ֔ים,טוֹב,H2896,562
220640,Cantiques,1,3,שֶׁ֖מֶן,שֶׁ֫מֶן,H8081,193
220641,Cantiques,1,3,תּוּרַ֣ק,רִיק,H7324,19
220642,Cantiques,1,3,שְׁמֶ֑ךָ,שֵׁם,H8034,864
220643,Cantiques,1,3,עַל־,עַל,H5921,5774
220644,Cantiques,1,3,כֵּ֖ן,כֵּן,H3651,765
220645,Cantiques,1,3,עֲלָמ֥וֹת,עַלְמָה,H5959,7
220646,Cantiques,1,3,אֲהֵבֽוּךָ׃,אָהֵב,H0157,211
220647,Cantiques,1,4,מָשְׁכֵ֖נִי,מָשַׁךְ,H4900,36
220648,Cantiques,1,4,אַחֲרֶ֣יךָ,אַחַר,H0310,716
220649,Cantiques,1,4,נָּר֑וּצָה,רוּץ,H7323,103
220650,Cantiques,1,4,הֱבִיאַ֨נִי,בּוֹא,H0935,2572
220651,Cantiques,1,4,הַמֶּ֜לֶךְ,מֶ֫לֶךְ,H4428,2526
220652,Cantiques,1,4,חֲדָרָ֗יו,חֶ֫דֶר,H2315,38
220653,Cantiques,1,4,נָגִ֤ילָה,גִּיל,H1523,45
220654,Cantiques,1,4,וְנִשְׂמְחָה֙,שָׂמַח,H8055,155
220655,Cantiques,1,4,נַזְכִּ֤ירָה,זָכַר,H2142,232
220656,Cantiques,1,4,דֹדֶ֙יךָ֙,דּוֹד,H1730,61
220657,Cantiques,1,4,מִיַּ֔יִן,יַ֫יִן,H3196,141
220658,Cantiques,1,4,מֵישָׁרִ֖ים,מֵישָׁר,H4339,19
220659,Cantiques,1,4,אֲהֵבֽוּךָ׃ ס,אָהֵב,H0157,211
220660,Cantiques,1,5,שְׁחוֹרָ֤ה,שָׁחֹר,H7838,6
220661,Cantiques,1,5,אֲנִי֙,"אֲנִי, אָֽנֹכִ֫י",H0589,874
220662,Cantiques,1,5,וְֽנָאוָ֔ה,נָאוֶה,H5000,10
220663,Cantiques,1,5,בְּנ֖וֹת,בַּת,H1323,588
220664,Cantiques,1,5,יְרוּשָׁלִָ֑ם,"יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם",H3389,643
220665,Cantiques,1,5,כְּאָהֳלֵ֣י,אֹ֫הֶל,H0168,345
220666,Cantiques,1,5,קֵדָ֔ר,קֵדָר,H6938,12
220667,Cantiques,1,5,כִּירִיע֖וֹת,יְרִיעָה,H3407,54
220668,Cantiques,1,5,שְׁלֹמֹֽה׃,שְׁלֹמֹה,H8010,293
220669,Cantiques,1,6,אַל־,אַל,H0408,725
220670,Cantiques,1,6,תִּרְא֙וּנִי֙,רָאָה,H7200,1300
220671,Cantiques,1,6,שֶׁאֲנִ֣י,"אֲנִי, אָֽנֹכִ֫י",H0589,874
220672,Cantiques,1,6,שְׁחַרְחֹ֔רֶת,שְׁחַרְחֹר,H7840,1
220673,Cantiques,1,6,שֶׁשֱּׁזָפַ֖תְנִי,שָׁזַף,H7805,3
220674,Cantiques,1,6,הַשָּׁ֑מֶשׁ,שֶׁ֫מֶשׁ,H8121,134
220675,Cantiques,1,6,בְּנֵ֧י,בֵּן,H1121,4959
220676,Cantiques,1,6,אִמִּ֣י,אֵם,H0517,220
220677,Cantiques,1,6,נִֽחֲרוּ־,חָרָה,H2734,91
220678,Cantiques,1,6,שָׂמֻ֙נִי֙,שׂוּם,H7760,585
220679,Cantiques,1,6,נֹטֵרָ֣ה,נָטַר,H5201,9
220680,Cantiques,1,6,אֶת־,אֵת,H0853,10947
220681,Cantiques,1,6,הַכְּרָמִ֔ים,כֶּרֶם,H3754,92
220682,Cantiques,1,6,כַּרְמִ֥י,כֶּרֶם,H3754,92
220683,Cantiques,1,6,לֹ֥א,לֹא,H3808,5170
220684,Cantiques,1,6,נָטָֽרְתִּי׃,נָטַר,H5201,9
220685,Cantiques,1,7,הַגִּ֣ידָה,נָגַד,H5046,371
220686,Cantiques,1,7,שֶׁ֤אָהֲבָה֙,אָהֵב,H0157,211
220687,Cantiques,1,7,נַפְשִׁ֔י,נֶ֫פֶשׁ,H5315,754
220688,Cantiques,1,7,אֵיכָ֣ה,אֵיכָה,H0349,82
220689,Cantiques,1,7,תִרְעֶ֔ה,רָעָה,H7462,177
220690,Cantiques,1,7,אֵיכָ֖ה,אֵיכָה,H0349,82
220691,Cantiques,1,7,תַּרְבִּ֣יץ,רָבַץ,H7257,30
220692,Cantiques,1,7,בַּֽצָּהֳרָ֑יִם,צֹ֫הַר,H6672,24
220693,Cantiques,1,7,שַׁלָּמָ֤ה,מָה,H4100,753
220694,Cantiques,1,7,אֶֽהְיֶה֙,הָיָה,H1961,3562
220695,Cantiques,1,7,כְּעֹ֣טְיָ֔ה,עָטָה,H5844,17
220696,Cantiques,1,7,עַ֖ל,עַל,H5921,5774
220697,Cantiques,1,7,עֶדְרֵ֥י,עֵ֫דֶר,H5739,38
220698,Cantiques,1,7,חֲבֵרֶֽיךָ׃,חָבֵר,H2270,12
220699,Cantiques,1,8,אִם־,אִם,H0518,1073
220700,Cantiques,1,8,לֹ֤א,לֹא,H3808,5170
220701,Cantiques,1,8,תֵדְעִי֙,יָדַע,H3045,946
220702,Cantiques,1,8,הַיָּפָ֖ה,יָפֶה,H3303,42
220703,Cantiques,1,8,בַּנָּשִׁ֑ים,אִשָּׁה,H0802,781
220704,Cantiques,1,8,צְֽאִי־,יָצָא,H3318,1067
220705,Cantiques,1,8,בְּעִקְבֵ֣י,עָקֵב,H6119,14
220706,Cantiques,1,8,הַצֹּ֗אן,צֹאן,H6629,274
220707,Cantiques,1,8,וּרְעִי֙,רָעָה,H7462,177
220708,Cantiques,1,8,אֶת־,אֵת,H0853,10947
220709,Cantiques,1,8,גְּדִיֹּתַ֔יִךְ,גְּדִיָּה,H1429,1
220710,Cantiques,1,8,עַ֖ל,עַל,H5921,5774
