tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
111181,Colossiens,1,1,Παῦλος,Παῦλος,G3972,158
111182,Colossiens,1,1,ἀπόστολος,ἀπόστολος,G0652,79
111183,Colossiens,1,1,Χριστοῦ,Χριστός,G5547,529
111184,Colossiens,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
111185,Colossiens,1,1,διὰ,διά,G1223,666
111186,Colossiens,1,1,θελήματος,θέλημα,G2307,62
111187,Colossiens,1,1,θεοῦ,θεός,G2316,1311
111188,Colossiens,1,1,καὶ,καί,G2532,9108
111189,Colossiens,1,1,Τιμόθεος,Τιμόθεος,G5095,24
111190,Colossiens,1,1,ὁ,ὁ,G3588,19785
111191,Colossiens,1,1,ἀδελφὸς,ἀδελφός,G0080,343
111192,Colossiens,1,2,τοῖς,ὁ,G3588,19785
111193,Colossiens,1,2,ἐν,ἐν,G1722,2728
111194,Colossiens,1,2,Κολοσσαῖς,Κολοσσαί,G2857,1
111195,Colossiens,1,2,ἁγίοις,ἅγιος,G0040,224
111196,Colossiens,1,2,καὶ,καί,G2532,9108
111197,Colossiens,1,2,πιστοῖς,πιστός,G4103,66
111198,Colossiens,1,2,ἀδελφοῖς,ἀδελφός,G0080,343
111199,Colossiens,1,2,ἐν,ἐν,G1722,2728
111200,Colossiens,1,2,Χριστῷ,Χριστός,G5547,529
111201,Colossiens,1,2,χάρις,χάρις,G5485,154
111202,Colossiens,1,2,ὑμῖν,σύ,G4771,2896
111203,Colossiens,1,2,καὶ,καί,G2532,9108
111204,Colossiens,1,2,εἰρήνη,εἰρήνη,G1515,92
111205,Colossiens,1,2,ἀπὸ,ἀπό,G0575,640
111206,Colossiens,1,2,θεοῦ,θεός,G2316,1311
111207,Colossiens,1,2,πατρὸς,πατήρ,G3962,414
111208,Colossiens,1,2,ἡμῶν,ἐγώ,G1473,2462
111213,Colossiens,1,3,Εὐχαριστοῦμεν,εὐχαριστέω,G2168,38
111214,Colossiens,1,3,τῷ,ὁ,G3588,19785
111215,Colossiens,1,3,θεῷ,θεός,G2316,1311
111216,Colossiens,1,3,καὶ,καί,G2532,9108
