Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
279720,Daniel,1,1,בִּשְׁנַ֣ת,שָׁנָה,H8141,877
279721,Daniel,1,1,שָׁל֔וֹשׁ,שָׁלֹשׁ,H7969,432
279722,Daniel,1,1,לְמַלְכ֖וּת,מַלְכוּת,H4438,91
279723,Daniel,1,1,יְהוֹיָקִ֣ים,יְהוֹיָקִים,H3079,37
279724,Daniel,1,1,מֶֽלֶךְ־,מֶ֫לֶךְ,H4428,2526
279725,Daniel,1,1,יְהוּדָ֑ה,יְהוּדָה,H3063,820
279726,Daniel,1,1,בָּ֣א,בּוֹא,H0935,2572
279727,Daniel,1,1,נְבוּכַדְנֶאצַּ֧ר,"נְבוּכַדְרֶאצַּר, נְבוּכַדְנֶצַּר",H5019,60
279728,Daniel,1,1,מֶֽלֶךְ־,מֶ֫לֶךְ,H4428,2526
279729,Daniel,1,1,בָּבֶ֛ל,"בָּבֶ֫ל, בָּבֶל",H0894,262
279730,Daniel,1,1,יְרוּשָׁלִַ֖ם,"יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם",H3389,643
279731,Daniel,1,1,וַיָּ֥צַר,צוּר,H6696,38
279732,Daniel,1,1,עָלֶֽיהָ׃,עַל,H5921,5774
279733,Daniel,1,2,וַיִּתֵּן֩,נָתַן,H5414,2011
279734,Daniel,1,2,אֲדֹנָ֨י,אֲדֹנָי,H0136,440
279735,Daniel,1,2,בְּיָד֜וֹ,יָד,H3027,1619
279736,Daniel,1,2,אֶת־,אֵת,H0853,10947
279737,Daniel,1,2,יְהוֹיָקִ֣ים,יְהוֹיָקִים,H3079,37
279738,Daniel,1,2,מֶֽלֶךְ־,מֶ֫לֶךְ,H4428,2526
279739,Daniel,1,2,יְהוּדָ֗ה,יְהוּדָה,H3063,820
279740,Daniel,1,2,וּמִקְצָת֙,קְצָת,H7117,7
279741,Daniel,1,2,כְּלֵ֣י,כְּלִי,H3627,325
279742,Daniel,1,2,בֵית־,בַּ֫יִת,H1004,2049
279743,Daniel,1,2,הָֽאֱלֹהִ֔ים,אֱלֹהִים,H0430,2603
279744,Daniel,1,2,וַיְבִיאֵ֥ם,בּוֹא,H0935,2572
279745,Daniel,1,2,אֶֽרֶץ־,אֶ֫רֶץ,H0776,2504
279746,Daniel,1,2,שִׁנְעָ֖ר,שִׁנְעָר,H8152,8
279747,Daniel,1,2,בֵּ֣ית,בַּ֫יִת,H1004,2049
279748,Daniel,1,2,אֱלֹהָ֑יו,אֱלֹהִים,H0430,2603
279749,Daniel,1,2,וְאֶת־,אֵת,H0853,10947
279750,Daniel,1,2,הַכֵּלִ֣ים,כְּלִי,H3627,325
279751,Daniel,1,2,הֵבִ֔יא,בּוֹא,H0935,2572
279752,Daniel,1,2,בֵּ֖ית,בַּ֫יִת,H1004,2049
279753,Daniel,1,2,אוֹצַ֥ר,אוֹצָר,H0214,79
279754,Daniel,1,2,אֱלֹהָֽיו׃,אֱלֹהִים,H0430,2603
279755,Daniel,1,3,וַיֹּ֣אמֶר,אָמַר,H0559,5309
279756,Daniel,1,3,הַמֶּ֔לֶךְ,מֶ֫לֶךְ,H4428,2526
279757,Daniel,1,3,לְאַשְׁפְּנַ֖ז,אַשְׁפְּנַז,H0828,1
279758,Daniel,1,3,רַ֣ב,רַב,H7227,454
279759,Daniel,1,3,סָרִיסָ֑יו,סָרִיס,H5631,42
279760,Daniel,1,3,לְהָבִ֞יא,בּוֹא,H0935,2572
279761,Daniel,1,3,מִבְּנֵ֧י,בֵּן,H1121,4959
279762,Daniel,1,3,יִשְׂרָאֵ֛ל,יִשְׂרָאֵל,H3478,2508
279763,Daniel,1,3,וּמִזֶּ֥רַע,זֶ֫רַע,H2233,229
279764,Daniel,1,3,הַמְּלוּכָ֖ה,מְלוּכָה,H4410,24
279765,Daniel,1,3,וּמִן־,מִן־,H4480,1190
279766,Daniel,1,3,הַֽפַּרְתְּמִֽים׃,פַּרְתְּמִים,H6579,3
279767,Daniel,1,4,יְלָדִ֣ים,יֶ֫לֶד,H3206,89
279768,Daniel,1,4,אֲשֶׁ֣ר,אֲשֶׁר,H0834,5499
279769,Daniel,1,4,אֵֽין־,אַ֫יִן,H0369,789
279770,Daniel,1,4,כָּל־,כֹּל,H3605,5415
279771,Daniel,1,4,מֻאום֩,מאוּם,H3971,21
279772,Daniel,1,4,וְטוֹבֵ֨י,טוֹב,H2896,562
279773,Daniel,1,4,מַרְאֶ֜ה,מַרְאֶה,H4758,103
279774,Daniel,1,4,וּמַשְׂכִּילִ֣ים,שָׂכַל,H7919,62
279775,Daniel,1,4,בְּכָל־,כֹּל,H3605,5415
279776,Daniel,1,4,חָכְמָ֗ה,חׇכְמָה,H2451,153
279777,Daniel,1,4,וְיֹ֤דְעֵי,יָדַע,H3045,946
279778,Daniel,1,4,דַ֙עַת֙,דַּ֫עַת,H1847,91
279779,Daniel,1,4,וּמְבִינֵ֣י,בִּין,H0995,170
279780,Daniel,1,4,מַדָּ֔ע,מַדָּע,H4093,6
279781,Daniel,1,4,וַאֲשֶׁר֙,אֲשֶׁר,H0834,5499
279782,Daniel,1,4,כֹּ֣חַ,כֹּחַ,H3581,126
279783,Daniel,1,4,לַעֲמֹ֖ד,עָמַד,H5975,521
279784,Daniel,1,4,בְּהֵיכַ֣ל,הֵיכָל,H1964,80
279785,Daniel,1,4,הַמֶּ֑לֶךְ,מֶ֫לֶךְ,H4428,2526
279786,Daniel,1,4,וּֽלֲלַמְּדָ֥ם,לָמַד,H3925,86
279787,Daniel,1,4,סֵ֖פֶר,סֵ֫פֶר,H5612,186
279788,Daniel,1,4,וּלְשׁ֥וֹן,לָשׁוֹן,H3956,117
279789,Daniel,1,4,כַּשְׂדִּֽים׃,כַּשְׂדִּים,H3778,80
279790,Daniel,1,5,וַיְמַן֩,מָנָה,H4487,28
279791,Daniel,1,5,הַמֶּ֜לֶךְ,מֶ֫לֶךְ,H4428,2526
279792,Daniel,1,5,דְּבַר־,דָּבָר,H1697,1442
279793,Daniel,1,5,י֣וֹם,יוֹם,H3117,2306
279794,Daniel,1,5,בְּיוֹמ֗וֹ,יוֹם,H3117,2306
279795,Daniel,1,5,מִפַּת־,פַּת־בָּג,H6598,8
279796,Daniel,1,5,בַּ֤ג,פַּת־בָּג,H6598,8
279797,Daniel,1,5,הַמֶּ֙לֶךְ֙,מֶ֫לֶךְ,H4428,2526
279798,Daniel,1,5,וּמִיֵּ֣ין,יַ֫יִן,H3196,141
279799,Daniel,1,5,מִשְׁתָּ֔יו,מִשְׁתֶּה,H4960,46
279800,Daniel,1,5,וּֽלְגַדְּלָ֖ם,גָּדַל,H1431,117
279801,Daniel,1,5,שָׁנִ֣ים,שָׁנָה,H8141,877
279802,Daniel,1,5,שָׁל֑וֹשׁ,שָׁלֹשׁ,H7969,432
279803,Daniel,1,5,וּמִ֨קְצָתָ֔ם,קְצָת,H7117,7
279804,Daniel,1,5,יַֽעַמְד֖וּ,עָמַד,H5975,521
279805,Daniel,1,5,לִפְנֵ֥י,פָּנֶה,H6440,2127
279806,Daniel,1,5,הַמֶּֽלֶךְ׃,מֶ֫לֶךְ,H4428,2526
279807,Daniel,1,6,וַיְהִ֥י,הָיָה,H1961,3562
