Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
64374,Deutéronome,1,1,אֵ֣לֶּה,אֵ֫לֶּה,H0428,746
64375,Deutéronome,1,1,הַדְּבָרִ֗ים,דָּבָר,H1697,1442
64376,Deutéronome,1,1,אֲשֶׁ֨ר,אֲשֶׁר,H0834,5499
64377,Deutéronome,1,1,דִּבֶּ֤ר,דָבַר,H1696,1142
64378,Deutéronome,1,1,מֹשֶׁה֙,מֹשֶׁה,H4872,766
64379,Deutéronome,1,1,אֶל־,אֶל,H0413,5515
64380,Deutéronome,1,1,כָּל־,כֹּל,H3605,5415
64381,Deutéronome,1,1,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,H3478,2508
64382,Deutéronome,1,1,בְּעֵ֖בֶר,עֵ֫בֶר,H5676,90
64383,Deutéronome,1,1,הַיַּרְדֵּ֑ן,יַרְדֵּן,H3383,182
64384,Deutéronome,1,1,בַּמִּדְבָּ֡ר,מִדְבָּר,H4057,271
64385,Deutéronome,1,1,בָּֽעֲרָבָה֩,עֲרָבָה,H6160,61
64386,Deutéronome,1,1,מ֨וֹל,מוּל,H4136,36
64387,Deutéronome,1,1,ס֜וּף,סוּף,H5489,1
64388,Deutéronome,1,1,בֵּֽין־,בַּ֫יִן,H0996,407
64389,Deutéronome,1,1,פָּארָ֧ן,פָּארָן,H6290,11
64390,Deutéronome,1,1,וּבֵֽין־,בַּ֫יִן,H0996,407
64391,Deutéronome,1,1,תֹּ֛פֶל,תֹּ֫פֶל,H8603,1
64392,Deutéronome,1,1,וְלָבָ֥ן,לָבָן,H3837,55
64393,Deutéronome,1,1,וַחֲצֵרֹ֖ת,חֲצֵרוֹת,H2698,6
64394,Deutéronome,1,1,וְדִ֥י,דִּי זָהָב,H1774,2
64395,Deutéronome,1,1,זָהָֽב׃,דִּי זָהָב,H1774,2
64396,Deutéronome,1,2,אַחַ֨ד,אֶחָד,H0259,971
64397,Deutéronome,1,2,עָשָׂ֥ר,עָשָׂר,H6240,339
64398,Deutéronome,1,2,יוֹם֙,יוֹם,H3117,2306
64399,Deutéronome,1,2,מֵֽחֹרֵ֔ב,חֹרֵב,H2722,17
64400,Deutéronome,1,2,דֶּ֖רֶךְ,דֶּ֫רֶךְ,H1870,708
64401,Deutéronome,1,2,הַר־,הַר,H2022,547
64402,Deutéronome,1,2,שֵׂעִ֑יר,שֵׂעִיר,H8165,39
64403,Deutéronome,1,2,עַ֖ד,עַד,H5704,1261
64404,Deutéronome,1,2,קָדֵ֥שׁ,קָדֵשׁ בַּרְנֵעַ,H6947,20
64405,Deutéronome,1,2,בַּרְנֵֽעַ׃,קָדֵשׁ בַּרְנֵעַ,H6947,20
64406,Deutéronome,1,3,וַיְהִי֙,הָיָה,H1961,3562
64407,Deutéronome,1,3,בְּאַרְבָּעִ֣ים,אַרְבָּעִים,H0705,136
64408,Deutéronome,1,3,שָׁנָ֔ה,שָׁנָה,H8141,877
64409,Deutéronome,1,3,בְּעַשְׁתֵּֽי־,עַשְׁתֵּי,H6249,19
64410,Deutéronome,1,3,עָשָׂ֥ר,עָשָׂר,H6240,339
64411,Deutéronome,1,3,חֹ֖דֶשׁ,חֹ֫דֶשׁ,H2320,285
64412,Deutéronome,1,3,בְּאֶחָ֣ד,אֶחָד,H0259,971
64413,Deutéronome,1,3,לַחֹ֑דֶשׁ,חֹ֫דֶשׁ,H2320,285
64414,Deutéronome,1,3,דִּבֶּ֤ר,דָבַר,H1696,1142
64415,Deutéronome,1,3,מֹשֶׁה֙,מֹשֶׁה,H4872,766
64416,Deutéronome,1,3,אֶל־,אֶל,H0413,5515
64417,Deutéronome,1,3,בְּנֵ֣י,בֵּן,H1121,4959
