Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
217691,Ecclésiastes,1,1,דִּבְרֵי֙,דָּבָר,H1697,1442
217692,Ecclésiastes,1,1,קֹהֶ֣לֶת,קֹהֶ֫לֶת,H6953,7
217693,Ecclésiastes,1,1,בֶּן־,בֵּן,H1121,4959
217694,Ecclésiastes,1,1,דָּוִ֔ד,דָּוִד,H1732,1075
217695,Ecclésiastes,1,1,מֶ֖לֶךְ,מֶ֫לֶךְ,H4428,2526
217696,Ecclésiastes,1,1,בִּירוּשָׁלִָֽם׃,"יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם",H3389,643
217697,Ecclésiastes,1,2,הֲבֵ֤ל,הֶ֫בֶל,H1892,73
217698,Ecclésiastes,1,2,הֲבָלִים֙,הֶ֫בֶל,H1892,73
217699,Ecclésiastes,1,2,אָמַ֣ר,אָמַר,H0559,5309
217700,Ecclésiastes,1,2,קֹהֶ֔לֶת,קֹהֶ֫לֶת,H6953,7
217701,Ecclésiastes,1,2,הֲבֵ֥ל,הֶ֫בֶל,H1892,73
217702,Ecclésiastes,1,2,הֲבָלִ֖ים,הֶ֫בֶל,H1892,73
217703,Ecclésiastes,1,2,הַכֹּ֥ל,כֹּל,H3605,5415
217704,Ecclésiastes,1,2,הָֽבֶל׃,הֶ֫בֶל,H1892,73
217705,Ecclésiastes,1,3,מַה־,מָה,H4100,753
217706,Ecclésiastes,1,3,יִּתְר֖וֹן,יִתְרוֹן,H3504,10
217707,Ecclésiastes,1,3,לָֽאָדָ֑ם,אָדָם,H0120,551
217708,Ecclésiastes,1,3,בְּכָל־,כֹּל,H3605,5415
217709,Ecclésiastes,1,3,עֲמָל֔וֹ,עָמָל,H5999,55
217710,Ecclésiastes,1,3,שֶֽׁיַּעֲמֹ֖ל,עָמַל,H5998,11
217711,Ecclésiastes,1,3,תַּ֥חַת,תַּחַת,H8478,505
217712,Ecclésiastes,1,3,הַשָּֽׁמֶשׁ׃,שֶׁ֫מֶשׁ,H8121,134
217713,Ecclésiastes,1,4,דּ֤וֹר,דּוֹר,H1755,167
217714,Ecclésiastes,1,4,הֹלֵךְ֙,הָלַךְ,H1980,1549
217715,Ecclésiastes,1,4,וְד֣וֹר,דּוֹר,H1755,167
217716,Ecclésiastes,1,4,בָּ֔א,בּוֹא,H0935,2572
217717,Ecclésiastes,1,4,וְהָאָ֖רֶץ,אֶ֫רֶץ,H0776,2504
217718,Ecclésiastes,1,4,לְעוֹלָ֥ם,עוֹלָם,H5769,438
217719,Ecclésiastes,1,4,עֹמָֽדֶת׃,עָמַד,H5975,521
217720,Ecclésiastes,1,5,וְזָרַ֥ח,זָרַח,H2224,18
217721,Ecclésiastes,1,5,הַשֶּׁ֖מֶשׁ,שֶׁ֫מֶשׁ,H8121,134
217722,Ecclésiastes,1,5,וּבָ֣א,בּוֹא,H0935,2572
217723,Ecclésiastes,1,5,הַשָּׁ֑מֶשׁ,שֶׁ֫מֶשׁ,H8121,134
217724,Ecclésiastes,1,5,וְאֶ֨ל־,אֶל,H0413,5515
217725,Ecclésiastes,1,5,מְקוֹמ֔וֹ,מָקוֹם,H4725,401
217726,Ecclésiastes,1,5,שׁוֹאֵ֛ף,שָׁאַף,H7602,14
217727,Ecclésiastes,1,5,זוֹרֵ֥חַֽ,זָרַח,H2224,18
217728,Ecclésiastes,1,5,ה֖וּא,הוּא,H1931,1878
217729,Ecclésiastes,1,5,שָֽׁם׃,שָׁם,H8033,834
217730,Ecclésiastes,1,6,הוֹלֵךְ֙,הָלַךְ,H1980,1549
217731,Ecclésiastes,1,6,אֶל־,אֶל,H0413,5515
