Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
171606,Esdras,1,1,וּבִשְׁנַ֣ת,שָׁנָה,H8141,877
171607,Esdras,1,1,אַחַ֗ת,אֶחָד,H0259,971
171608,Esdras,1,1,לְכ֙וֹרֶשׁ֙,כּ֫וֹרֶשׁ,H3566,15
171609,Esdras,1,1,מֶ֣לֶךְ,מֶ֫לֶךְ,H4428,2526
171610,Esdras,1,1,פָּרַ֔ס,פָּרַס,H6539,28
171611,Esdras,1,1,לִכְל֥וֹת,כָּלָה,H3615,208
171612,Esdras,1,1,דְּבַר־,דָּבָר,H1697,1442
171613,Esdras,1,1,יְהוָ֖ה,יהוה,H3068,6528
171614,Esdras,1,1,מִפִּ֣י,פֶּה,H6310,498
171615,Esdras,1,1,יִרְמְיָ֑ה,יִרְמְיָ֫הוּ,H3414,147
171616,Esdras,1,1,הֵעִ֣יר,עוּר,H5782,80
171617,Esdras,1,1,יְהוָ֗ה,יהוה,H3068,6528
171618,Esdras,1,1,אֶת־,אֵת,H0853,10947
171619,Esdras,1,1,ר֙וּחַ֙,רוּחַ,H7307,378
171620,Esdras,1,1,כֹּ֣רֶשׁ,כּ֫וֹרֶשׁ,H3566,15
171621,Esdras,1,1,מֶֽלֶךְ־,מֶ֫לֶךְ,H4428,2526
171622,Esdras,1,1,פָּרַ֔ס,פָּרַס,H6539,28
171623,Esdras,1,1,וַיַּֽעֲבֶר־,עָבַר,H5674,556
171624,Esdras,1,1,קוֹל֙,קוֹל,H6963,506
171625,Esdras,1,1,בְּכָל־,כֹּל,H3605,5415
171626,Esdras,1,1,מַלְכוּת֔וֹ,מַלְכוּת,H4438,91
171627,Esdras,1,1,וְגַם־,גַּם,H1571,769
171628,Esdras,1,1,בְּמִכְתָּ֖ב,מִכְתָּב,H4385,9
171629,Esdras,1,1,לֵאמֹֽר׃,אָמַר,H0559,5309
171630,Esdras,1,2,כֹּ֣ה,כֹּה,H3541,577
171631,Esdras,1,2,אָמַ֗ר,אָמַר,H0559,5309
171632,Esdras,1,2,כֹּ֚רֶשׁ,כּ֫וֹרֶשׁ,H3566,15
171633,Esdras,1,2,מֶ֣לֶךְ,מֶ֫לֶךְ,H4428,2526
171634,Esdras,1,2,פָּרַ֔ס,פָּרַס,H6539,28
171635,Esdras,1,2,כֹּ֚ל,כֹּל,H3605,5415
171636,Esdras,1,2,מַמְלְכ֣וֹת,מַמְלָכָה,H4467,117
171637,Esdras,1,2,הָאָ֔רֶץ,אֶ֫רֶץ,H0776,2504
171638,Esdras,1,2,נָ֣תַן,נָתַן,H5414,2011
171639,Esdras,1,2,יְהוָ֖ה,יהוה,H3068,6528
171640,Esdras,1,2,אֱלֹהֵ֣י,אֱלֹהִים,H0430,2603
171641,Esdras,1,2,הַשָּׁמָ֑יִם,שָׁמַיִם,H8064,421
171642,Esdras,1,2,וְהֽוּא־,הוּא,H1931,1878
171643,Esdras,1,2,פָקַ֤ד,פָּקַד,H6485,303
171644,Esdras,1,2,עָלַי֙,עַל,H5921,5774
171645,Esdras,1,2,לִבְנֽוֹת־,בָּנָה,H1129,376
171646,Esdras,1,2,בַ֔יִת,בַּ֫יִת,H1004,2049
171647,Esdras,1,2,בִּירוּשָׁלִַ֖ם,"יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם",H3389,643
171648,Esdras,1,2,אֲשֶׁ֥ר,אֲשֶׁר,H0834,5499
171649,Esdras,1,2,בִּֽיהוּדָֽה׃,יְהוּדָה,H3063,820
171650,Esdras,1,3,מִֽי־,מִי,H4310,424
171651,Esdras,1,3,מִכָּל־,כֹּל,H3605,5415
171652,Esdras,1,3,עַמּ֗וֹ,עַם,H5971,1872
171653,Esdras,1,3,יְהִ֤י,הָיָה,H1961,3562
171654,Esdras,1,3,אֱלֹהָיו֙,אֱלֹהִים,H0430,2603
171655,Esdras,1,3,עִמּ֔וֹ,עִם,H5973,1052
171656,Esdras,1,3,וְיַ֕עַל,עָלָה,H5927,890
171657,Esdras,1,3,לִירוּשָׁלִַ֖ם,"יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם",H3389,643
171658,Esdras,1,3,אֲשֶׁ֣ר,אֲשֶׁר,H0834,5499
171659,Esdras,1,3,בִּיהוּדָ֑ה,יְהוּדָה,H3063,820
171660,Esdras,1,3,וְיִ֗בֶן,בָּנָה,H1129,376
171661,Esdras,1,3,אֶת־,אֵת,H0853,10947
171662,Esdras,1,3,בֵּ֤ית,בַּ֫יִת,H1004,2049
171663,Esdras,1,3,יְהוָה֙,יהוה,H3068,6528
171664,Esdras,1,3,אֱלֹהֵ֣י,אֱלֹהִים,H0430,2603
171665,Esdras,1,3,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,H3478,2508
171666,Esdras,1,3,ה֥וּא,הוּא,H1931,1878
171667,Esdras,1,3,הָאֱלֹהִ֖ים,אֱלֹהִים,H0430,2603
171668,Esdras,1,3,אֲשֶׁ֥ר,אֲשֶׁר,H0834,5499
171669,Esdras,1,3,בִּירוּשָׁלִָֽם׃,"יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם",H3389,643
171670,Esdras,1,4,וְכָל־,כֹּל,H3605,5415
171671,Esdras,1,4,הַנִּשְׁאָ֗ר,שָׁאַר,H7604,133
171672,Esdras,1,4,מִֽכָּל־,כֹּל,H3605,5415
171673,Esdras,1,4,הַמְּקֹמוֹת֮,מָקוֹם,H4725,401
171674,Esdras,1,4,אֲשֶׁ֣ר,אֲשֶׁר,H0834,5499
171675,Esdras,1,4,ה֣וּא,הוּא,H1931,1878
171676,Esdras,1,4,גָֽר־,גּוּר,H1481,97
171677,Esdras,1,4,שָׁם֒,שָׁם,H8033,834
