Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
180529,Esther,1,1,וַיְהִ֖י,הָיָה,H1961,3562
180530,Esther,1,1,בִּימֵ֣י,יוֹם,H3117,2306
180531,Esther,1,1,אֲחַשְׁוֵר֑וֹשׁ,אֲחַשְׁוֵרוֹשׁ,H0325,31
180532,Esther,1,1,ה֣וּא,הוּא,H1931,1878
180533,Esther,1,1,אֲחַשְׁוֵר֗וֹשׁ,אֲחַשְׁוֵרוֹשׁ,H0325,31
180534,Esther,1,1,הַמֹּלֵךְ֙,מָלַךְ,H4427,348
180535,Esther,1,1,מֵהֹ֣דּוּ,הֹ֫דּוּ,H1912,2
180536,Esther,1,1,וְעַד־,עַד,H5704,1261
180537,Esther,1,1,כּ֔וּשׁ,כּוּשׁ,H3568,30
180538,Esther,1,1,שֶׁ֛בַע,שֶׁ֫בַע,H7651,395
180539,Esther,1,1,וְעֶשְׂרִ֥ים,עֶשְׂרִים,H6242,315
180540,Esther,1,1,וּמֵאָ֖ה,מֵאָה,H3967,581
180541,Esther,1,1,מְדִינָֽה׃,מְדִינָה,H4082,53
180542,Esther,1,2,בַּיָּמִ֖ים,יוֹם,H3117,2306
180543,Esther,1,2,הָהֵ֑ם,הֵ֫מָּה,H1992,552
180544,Esther,1,2,כְּשֶׁ֣בֶת׀,יָשַׁב,H3427,1078
180545,Esther,1,2,הַמֶּ֣לֶךְ,מֶ֫לֶךְ,H4428,2526
180546,Esther,1,2,אֲחַשְׁוֵר֗וֹשׁ,אֲחַשְׁוֵרוֹשׁ,H0325,31
180547,Esther,1,2,עַ֚ל,עַל,H5921,5774
180548,Esther,1,2,כִּסֵּ֣א,כִּסֵּא,H3678,135
180549,Esther,1,2,מַלְכוּת֔וֹ,מַלְכוּת,H4438,91
180550,Esther,1,2,אֲשֶׁ֖ר,אֲשֶׁר,H0834,5499
180551,Esther,1,2,בְּשׁוּשַׁ֥ן,שׁוּשַׁן,H7800,21
180552,Esther,1,2,הַבִּירָֽה׃,בִּירָה,H1002,16
180553,Esther,1,3,בִּשְׁנַ֤ת,שָׁנָה,H8141,877
180554,Esther,1,3,שָׁלוֹשׁ֙,שָׁלֹשׁ,H7969,432
180555,Esther,1,3,לְמָלְכ֔וֹ,מָלַךְ,H4427,348
180556,Esther,1,3,עָשָׂ֣ה,עָשָׂה,H6213,2629
180557,Esther,1,3,מִשְׁתֶּ֔ה,מִשְׁתֶּה,H4960,46
180558,Esther,1,3,לְכָל־,כֹּל,H3605,5415
180559,Esther,1,3,שָׂרָ֖יו,שַׂר,H8269,421
180560,Esther,1,3,וַעֲבָדָ֑יו,עֶ֫בֶד,H5650,801
180561,Esther,1,3,חֵ֣יל׀,חַ֫יִל,H2428,246
180562,Esther,1,3,פָּרַ֣ס,פָּרַס,H6539,28
180563,Esther,1,3,וּמָדַ֗י,מָדַי,H4074,16
180564,Esther,1,3,הַֽפַּרְתְּמִ֛ים,פַּרְתְּמִים,H6579,3
180565,Esther,1,3,וְשָׂרֵ֥י,שַׂר,H8269,421
180566,Esther,1,3,הַמְּדִינ֖וֹת,מְדִינָה,H4082,53
180567,Esther,1,3,לְפָנָֽיו׃,פָּנֶה,H6440,2127
180568,Esther,1,4,בְּהַרְאֹת֗וֹ,רָאָה,H7200,1300
180569,Esther,1,4,אֶת־,אֵת,H0853,10947
180570,Esther,1,4,עֹ֙שֶׁר֙,עֹ֫שֶׁר,H6239,37
180571,Esther,1,4,כְּב֣וֹד,כָּבוֹד,H3519,200
180572,Esther,1,4,מַלְכוּת֔וֹ,מַלְכוּת,H4438,91
180573,Esther,1,4,וְאֶ֨ת־,אֵת,H0853,10947
180574,Esther,1,4,יְקָ֔ר,יְקָר,H3366,17
180575,Esther,1,4,תִּפְאֶ֖רֶת,תִּפְאָרָה,H8597,51
180576,Esther,1,4,גְּדוּלָּת֑וֹ,גְּדוּלָּה,H1420,12
180577,Esther,1,4,יָמִ֣ים,יוֹם,H3117,2306
180578,Esther,1,4,רַבִּ֔ים,רַב,H7227,454
180579,Esther,1,4,שְׁמוֹנִ֥ים,שְׁמֹנִים,H8084,38
180580,Esther,1,4,וּמְאַ֖ת,מֵאָה,H3967,581
180581,Esther,1,4,יֽוֹם׃,יוֹם,H3117,2306
180582,Esther,1,5,וּבִמְל֣וֹאת׀,מָלֵא,H4390,247
180583,Esther,1,5,הַיָּמִ֣ים,יוֹם,H3117,2306
180584,Esther,1,5,הָאֵ֗לֶּה,אֵ֫לֶּה,H0428,746
180585,Esther,1,5,עָשָׂ֣ה,עָשָׂה,H6213,2629
180586,Esther,1,5,הַמֶּ֡לֶךְ,מֶ֫לֶךְ,H4428,2526
180587,Esther,1,5,לְכָל־,כֹּל,H3605,5415
180588,Esther,1,5,הָעָ֣ם,עַם,H5971,1872
180589,Esther,1,5,הַנִּמְצְאִים֩,מָצָא,H4672,455
180590,Esther,1,5,בְּשׁוּשַׁ֨ן,שׁוּשַׁן,H7800,21
180591,Esther,1,5,הַבִּירָ֜ה,בִּירָה,H1002,16
180592,Esther,1,5,לְמִגָּ֧דוֹל,גַּל,H1419,526
180593,Esther,1,5,וְעַד־,עַד,H5704,1261
180594,Esther,1,5,קָטָ֛ן,קָטָן,H6996,101
180595,Esther,1,5,מִשְׁתֶּ֖ה,מִשְׁתֶּה,H4960,46
180596,Esther,1,5,שִׁבְעַ֣ת,שֶׁ֫בַע,H7651,395
180597,Esther,1,5,יָמִ֑ים,יוֹם,H3117,2306
180598,Esther,1,5,בַּחֲצַ֕ר,חָצֵר,H2691,191
180599,Esther,1,5,גִּנַּ֥ת,גִּנָּה,H1594,4
180600,Esther,1,5,בִּיתַ֖ן,בִּיתָן,H1055,3
180601,Esther,1,5,הַמֶּֽלֶךְ׃,מֶ֫לֶךְ,H4428,2526
180602,Esther,1,6,ח֣וּר׀,חוּר,H2353,2
180603,Esther,1,6,כַּרְפַּ֣ס,כַּרְפַּס,H3768,1
180604,Esther,1,6,וּתְכֵ֗לֶת,תְּכֵ֫לֶת,H8504,49
180605,Esther,1,6,אָחוּז֙,אָחַז,H0270,68
180606,Esther,1,6,בְּחַבְלֵי־,חֶ֫בֶל,H2256,62
180607,Esther,1,6,ב֣וּץ,בּוּץ,H0948,8
180608,Esther,1,6,וְאַרְגָּמָ֔ן,אַרְגָּמָן,H0713,38
180609,Esther,1,6,עַל־,עַל,H5921,5774
180610,Esther,1,6,גְּלִ֥ילֵי,גָּלִיל,H1550,4
180611,Esther,1,6,כֶ֖סֶף,כֶּ֫סֶף,H3701,403
180612,Esther,1,6,וְעַמּ֣וּדֵי,עַמּוּד,H5982,111
180613,Esther,1,6,שֵׁ֑שׁ,שֵׁשׁ,H8336,41
180614,Esther,1,6,מִטּ֣וֹת׀,מִטָּה,H4296,29
180615,Esther,1,6,זָהָ֣ב,זָהָב,H2091,389
180616,Esther,1,6,וָכֶ֗סֶף,כֶּ֫סֶף,H3701,403
180617,Esther,1,6,עַ֛ל,עַל,H5921,5774
180618,Esther,1,6,רִֽצְפַ֥ת,רִצְפָּה,H7531,8
180619,Esther,1,6,בַּהַט־,בַּ֫הַט,H0923,1
180620,Esther,1,6,וָשֵׁ֖שׁ,שֵׁשׁ,H8336,41
180621,Esther,1,6,וְדַ֥ר,דַּר,H1858,1
180622,Esther,1,6,וְסֹחָֽרֶת׃,סֹחֶ֫רֶת,H5508,1
180623,Esther,1,7,וְהַשְׁקוֹת֙,שָׁקָה,H8248,61
180624,Esther,1,7,בִּכְלֵ֣י,כְּלִי,H3627,325
180625,Esther,1,7,זָהָ֔ב,זָהָב,H2091,389
180626,Esther,1,7,וְכֵלִ֖ים,כְּלִי,H3627,325
180627,Esther,1,7,מִכֵּלִ֣ים,כְּלִי,H3627,325
180628,Esther,1,7,שׁוֹנִ֑ים,שָׁנָה,H8138,22
180629,Esther,1,7,וְיֵ֥ין,יַ֫יִן,H3196,141
180630,Esther,1,7,מַלְכ֛וּת,מַלְכוּת,H4438,91
180631,Esther,1,7,רָ֖ב,רַב,H7227,454
180632,Esther,1,7,כְּיַ֥ד,יָד,H3027,1619
180633,Esther,1,7,הַמֶּֽלֶךְ׃,מֶ֫לֶךְ,H4428,2526
