Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
20141,Exode,1,1,וְאֵ֗לֶּה,אֵ֫לֶּה,H0428,746
20142,Exode,1,1,שְׁמוֹת֙,שֵׁם,H8034,864
20143,Exode,1,1,בְּנֵ֣י,בֵּן,H1121,4959
20144,Exode,1,1,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,H3478,2508
20145,Exode,1,1,הַבָּאִ֖ים,בּוֹא,H0935,2572
20146,Exode,1,1,מִצְרָ֑יְמָה,מִצְרַ֫יִם,H4714,641
20147,Exode,1,1,אֵ֣ת,אֵת,H0854,929
20148,Exode,1,1,יַעֲקֹ֔ב,יַעֲקֹב,H3290,350
20149,Exode,1,1,אִ֥ישׁ,אִישׁ,H0376,1663
20150,Exode,1,1,וּבֵית֖וֹ,בַּ֫יִת,H1004,2049
20151,Exode,1,1,בָּֽאוּ׃,בּוֹא,H0935,2572
20152,Exode,1,2,רְאוּבֵ֣ן,רְאוּבֵן,H7205,72
20153,Exode,1,2,שִׁמְע֔וֹן,שִׁמְעוֹן,H8095,44
20154,Exode,1,2,לֵוִ֖י,לֵוִי,H3878,59
20155,Exode,1,2,וִיהוּדָֽה׃,יְהוּדָה,H3063,820
20156,Exode,1,3,יִשָּׂשכָ֥ר,יִשָּׂשכָר,H3485,43
20157,Exode,1,3,זְבוּלֻ֖ן,זְבוּלֻן,H2074,45
20158,Exode,1,3,וּבְנְיָמִֽן׃,בִּנְיָמִין,H1144,166
20159,Exode,1,4,דָּ֥ן,דָּן,H1835,70
20160,Exode,1,4,וְנַפְתָּלִ֖י,נַפְתָּלִי,H5321,51
20161,Exode,1,4,גָּ֥ד,גָּד,H1410,72
20162,Exode,1,4,וְאָשֵֽׁר׃,אָשֵׁר,H0836,43
20163,Exode,1,5,וַֽיְהִ֗י,הָיָה,H1961,3562
20164,Exode,1,5,כָּל־,כֹּל,H3605,5415
20165,Exode,1,5,נֶ֛פֶשׁ,נֶ֫פֶשׁ,H5315,754
20166,Exode,1,5,יֹצְאֵ֥י,יָצָא,H3318,1067
20167,Exode,1,5,יֶֽרֶךְ־,יָרֵךְ,H3409,34
20168,Exode,1,5,יַעֲקֹ֖ב,יַעֲקֹב,H3290,350
20169,Exode,1,5,שִׁבְעִ֣ים,שִׁבְעִים,H7657,91
20170,Exode,1,5,נָ֑פֶשׁ,נֶ֫פֶשׁ,H5315,754
20171,Exode,1,5,וְיוֹסֵ֖ף,יוֹסֵף,H3130,213
