Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
261379,Ezékiel,1,1,וַיְהִ֣י׀,הָיָה,H1961,3562
261380,Ezékiel,1,1,בִּשְׁלֹשִׁ֣ים,שְׁלֹשִׁים,H7970,173
261381,Ezékiel,1,1,שָׁנָ֗ה,שָׁנָה,H8141,877
261382,Ezékiel,1,1,בָּֽרְבִיעִי֙,רְבִיעִי,H7243,57
261383,Ezékiel,1,1,בַּחֲמִשָּׁ֣ה,חָמֵשׁ,H2568,344
261384,Ezékiel,1,1,לַחֹ֔דֶשׁ,חֹ֫דֶשׁ,H2320,285
261385,Ezékiel,1,1,וַאֲנִ֥י,"אֲנִי, אָֽנֹכִ֫י",H0589,874
261386,Ezékiel,1,1,בְתֽוֹךְ־,תָּ֫וֶךְ,H8432,418
261387,Ezékiel,1,1,הַגּוֹלָ֖ה,גּוֹלָה,H1473,43
261388,Ezékiel,1,1,עַל־,עַל,H5921,5774
261389,Ezékiel,1,1,נְהַר־,נָהָר,H5104,119
261390,Ezékiel,1,1,כְּבָ֑ר,כְּבָר,H3529,8
261391,Ezékiel,1,1,נִפְתְּחוּ֙,פָּתַח,H6605,144
261392,Ezékiel,1,1,הַשָּׁמַ֔יִם,שָׁמַיִם,H8064,421
261393,Ezékiel,1,1,וָאֶרְאֶ֖ה,רָאָה,H7200,1300
261394,Ezékiel,1,1,מַרְא֥וֹת,מַרְאָה,H4759,12
261395,Ezékiel,1,1,אֱלֹהִֽים׃,אֱלֹהִים,H0430,2603
261396,Ezékiel,1,2,בַּחֲמִשָּׁ֖ה,חָמֵשׁ,H2568,344
261397,Ezékiel,1,2,לַחֹ֑דֶשׁ,חֹ֫דֶשׁ,H2320,285
261398,Ezékiel,1,2,הִ֚יא,הוּא,H1931,1878
261399,Ezékiel,1,2,הַשָּׁנָ֣ה,שָׁנָה,H8141,877
261400,Ezékiel,1,2,הַחֲמִישִׁ֔ית,חֲמִישִׁי,H2549,45
261401,Ezékiel,1,2,לְגָל֖וּת,גָּלוּת,H1546,15
261402,Ezékiel,1,2,הַמֶּ֥לֶךְ,מֶ֫לֶךְ,H4428,2526
261403,Ezékiel,1,2,יוֹיָכִֽין׃,יוֹיָכִין,H3112,1
261404,Ezékiel,1,3,הָיֹ֣ה,הָיָה,H1961,3562
261405,Ezékiel,1,3,הָיָ֣ה,הָיָה,H1961,3562
261406,Ezékiel,1,3,דְבַר־,דָּבָר,H1697,1442
261407,Ezékiel,1,3,יְ֠הוָה,יהוה,H3068,6528
261408,Ezékiel,1,3,אֶל־,אֶל,H0413,5515
261409,Ezékiel,1,3,יְחֶזְקֵ֨אל,יְחֶזְקֵאל,H3168,3
261410,Ezékiel,1,3,בֶּן־,בֵּן,H1121,4959
261411,Ezékiel,1,3,בּוּזִ֧י,בּוּזִי,H0941,1
261412,Ezékiel,1,3,הַכֹּהֵ֛ן,כֹּהֵן,H3548,750
261413,Ezékiel,1,3,בְּאֶ֥רֶץ,אֶ֫רֶץ,H0776,2504
261414,Ezékiel,1,3,כַּשְׂדִּ֖ים,כַּשְׂדִּים,H3778,80
261415,Ezékiel,1,3,עַל־,עַל,H5921,5774
261416,Ezékiel,1,3,נְהַר־,נָהָר,H5104,119
261417,Ezékiel,1,3,כְּבָ֑ר,כְּבָר,H3529,8
261418,Ezékiel,1,3,וַתְּהִ֥י,הָיָה,H1961,3562
261419,Ezékiel,1,3,עָלָ֛יו,עַל,H5921,5774
261420,Ezékiel,1,3,שָׁ֖ם,שָׁם,H8033,834
261421,Ezékiel,1,3,יַד־,יָד,H3027,1619
261422,Ezékiel,1,3,יְהוָֽה׃,יהוה,H3068,6528
261423,Ezékiel,1,4,וָאֵ֡רֶא,רָאָה,H7200,1300
261424,Ezékiel,1,4,וְהִנֵּה֩,הִנֵּה,H2009,843
261425,Ezékiel,1,4,ר֨וּחַ,רוּחַ,H7307,378
261426,Ezékiel,1,4,סְעָרָ֜ה,סְעָרָה,H5591,24
261427,Ezékiel,1,4,בָּאָ֣ה,בּוֹא,H0935,2572
261428,Ezékiel,1,4,מִן־,מִן־,H4480,1190
261429,Ezékiel,1,4,הַצָּפ֗וֹן,צָפוֹן,H6828,153
261430,Ezékiel,1,4,עָנָ֤ן,עָנָן,H6051,87
261431,Ezékiel,1,4,גָּדוֹל֙,גַּל,H1419,526
261432,Ezékiel,1,4,וְאֵ֣שׁ,אֵשׁ,H0784,378
261433,Ezékiel,1,4,מִתְלַקַּ֔חַת,לָקַח,H3947,966
261434,Ezékiel,1,4,וְנֹ֥גַֽהּ,נֹ֫גַהּ,H5051,19
261435,Ezékiel,1,4,סָבִ֑יב,סָבִיב,H5439,336
261436,Ezékiel,1,4,וּמִ֨תּוֹכָ֔הּ,תָּ֫וֶךְ,H8432,418
261437,Ezékiel,1,4,כְּעֵ֥ין,עַ֫יִן,H5869,887
261438,Ezékiel,1,4,הַחַשְׁמַ֖ל,חַשְׁמַל,H2830,3
261439,Ezékiel,1,4,מִתּ֥וֹךְ,תָּ֫וֶךְ,H8432,418
261440,Ezékiel,1,4,הָאֵֽשׁ׃,אֵשׁ,H0784,378
261441,Ezékiel,1,5,וּמִ֨תּוֹכָ֔הּ,תָּ֫וֶךְ,H8432,418
261442,Ezékiel,1,5,דְּמ֖וּת,דְּמוּת,H1823,25
261443,Ezékiel,1,5,אַרְבַּ֣ע,אַרְבַּע,H0702,318
261444,Ezékiel,1,5,חַיּ֑וֹת,חַיָּה,H2416,498
261445,Ezékiel,1,5,וְזֶה֙,זֶה,H2088,1179
261446,Ezékiel,1,5,מַרְאֵֽיהֶ֔ן,מַרְאֶה,H4758,103
261447,Ezékiel,1,5,דְּמ֥וּת,דְּמוּת,H1823,25
261448,Ezékiel,1,5,אָדָ֖ם,אָדָם,H0120,551
261449,Ezékiel,1,6,וְאַרְבָּעָ֥ה,אַרְבַּע,H0702,318
261450,Ezékiel,1,6,פָנִ֖ים,פָּנֶה,H6440,2127
261451,Ezékiel,1,6,לְאֶחָ֑ת,אֶחָד,H0259,971
261452,Ezékiel,1,6,וְאַרְבַּ֥ע,אַרְבַּע,H0702,318
261453,Ezékiel,1,6,כְּנָפַ֖יִם,כָּנָף,H3671,109
261454,Ezékiel,1,6,לְאַחַ֥ת,אֶחָד,H0259,971
261455,Ezékiel,1,7,וְרַגְלֵיהֶ֖ם,רֶ֫גֶל,H7272,245
261456,Ezékiel,1,7,רֶ֣גֶל,רֶ֫גֶל,H7272,245
261457,Ezékiel,1,7,יְשָׁרָ֑ה,כָּבֵד,H3477,119
261458,Ezékiel,1,7,וְכַ֣ף,כַּף,H3709,193
261459,Ezékiel,1,7,רַגְלֵיהֶ֗ם,רֶ֫גֶל,H7272,245
261460,Ezékiel,1,7,כְּכַף֙,כַּף,H3709,193
261461,Ezékiel,1,7,רֶ֣גֶל,רֶ֫גֶל,H7272,245
261462,Ezékiel,1,7,עֵ֔גֶל,עֵ֫גֶל,H5695,35
261463,Ezékiel,1,7,וְנֹ֣צְצִ֔ים,נָצַץ,H5340,1
261464,Ezékiel,1,7,כְּעֵ֖ין,עַ֫יִן,H5869,887
261465,Ezékiel,1,7,נְחֹ֥שֶׁת,נְחֹ֫שֶׁת,H5178,140
261466,Ezékiel,1,7,קָלָֽל׃,קָלָל,H7044,2
261467,Ezékiel,1,8,וִידֵ֣ו,יָד,H3027,1619
261468,Ezékiel,1,8,אָדָ֗ם,אָדָם,H0120,551
261469,Ezékiel,1,8,מִתַּ֙חַת֙,תַּחַת,H8478,505
261470,Ezékiel,1,8,כַּנְפֵיהֶ֔ם,כָּנָף,H3671,109
261471,Ezékiel,1,8,עַ֖ל,עַל,H5921,5774
261472,Ezékiel,1,8,אַרְבַּ֣עַת,אַרְבַּע,H0702,318
261473,Ezékiel,1,8,רִבְעֵיהֶ֑ם,רֶ֫בַע,H7253,7
261474,Ezékiel,1,8,וּפְנֵיהֶ֥ם,פָּנֶה,H6440,2127
261475,Ezékiel,1,8,וְכַנְפֵיהֶ֖ם,כָּנָף,H3671,109
261476,Ezékiel,1,8,לְאַרְבַּעְתָּֽם׃,אַרְבַּע,H0702,318
261477,Ezékiel,1,9,חֹֽבְרֹ֛ת,חָבַר,H2266,29
261478,Ezékiel,1,9,אִשָּׁ֥ה,אִשָּׁה,H0802,781
261479,Ezékiel,1,9,אֶל־,אֶל,H0413,5515
261480,Ezékiel,1,9,אֲחוֹתָ֖הּ,אָחוֹת,H0269,114
261481,Ezékiel,1,9,כַּנְפֵיהֶ֑ם,כָּנָף,H3671,109
261482,Ezékiel,1,9,לֹא־,לֹא,H3808,5170
261483,Ezékiel,1,9,יִסַּ֣בּוּ,סָבַב,H5437,161
261484,Ezékiel,1,9,בְלֶכְתָּ֔ן,הָלַךְ,H1980,1549
261485,Ezékiel,1,9,אִ֛ישׁ,אִישׁ,H0376,1663
261486,Ezékiel,1,9,אֶל־,אֶל,H0413,5515
261487,Ezékiel,1,9,עֵ֥בֶר,עֵ֫בֶר,H5676,90
261488,Ezékiel,1,9,פָּנָ֖יו,פָּנֶה,H6440,2127
261489,Ezékiel,1,9,יֵלֵֽכוּ׃,הָלַךְ,H1980,1549
261490,Ezékiel,1,10,וּדְמ֣וּת,דְּמוּת,H1823,25
261491,Ezékiel,1,10,פְּנֵיהֶם֮,פָּנֶה,H6440,2127
261492,Ezékiel,1,10,פְּנֵ֣י,פָּנֶה,H6440,2127
261493,Ezékiel,1,10,אָדָם֒,אָדָם,H0120,551
261494,Ezékiel,1,10,וּפְנֵ֨י,פָּנֶה,H6440,2127
261495,Ezékiel,1,10,אַרְיֵ֤ה,אַרְיֵה,H0738,80
