tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
104769,Galates,1,1,Παῦλος,Παῦλος,G3972,158
104770,Galates,1,1,ἀπόστολος,ἀπόστολος,G0652,79
104771,Galates,1,1,οὐκ,οὐ,G3756,1667
104772,Galates,1,1,ἀπ᾽,ἀπό,G0575,640
104773,Galates,1,1,ἀνθρώπων,ἄνθρωπος,G0444,549
104774,Galates,1,1,οὐδὲ,οὐδέ,G3761,140
104775,Galates,1,1,δι᾽,διά,G1223,666
104776,Galates,1,1,ἀνθρώπου,ἄνθρωπος,G0444,549
104777,Galates,1,1,ἀλλὰ,ἀλλά,G0235,638
104778,Galates,1,1,διὰ,διά,G1223,666
104779,Galates,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
104780,Galates,1,1,Χριστοῦ,Χριστός,G5547,529
104781,Galates,1,1,καὶ,καί,G2532,9108
104782,Galates,1,1,θεοῦ,θεός,G2316,1311
104783,Galates,1,1,πατρὸς,πατήρ,G3962,414
104784,Galates,1,1,τοῦ,ὁ,G3588,19785
104785,Galates,1,1,ἐγείραντος,ἐγείρω,G1453,143
104786,Galates,1,1,αὐτὸν,αὐτός,G0846,5558
104787,Galates,1,1,ἐκ,ἐκ,G1537,912
104788,Galates,1,1,νεκρῶν,νεκρός,G3498,128
104789,Galates,1,2,καὶ,καί,G2532,9108
104790,Galates,1,2,οἱ,ὁ,G3588,19785
104791,Galates,1,2,σὺν,σύν,G4862,127
104792,Galates,1,2,ἐμοὶ,ἐγώ,G1473,2462
104793,Galates,1,2,πάντες,πᾶς,G3956,1236
104794,Galates,1,2,ἀδελφοὶ,ἀδελφός,G0080,343
104795,Galates,1,2,ταῖς,ὁ,G3588,19785
104796,Galates,1,2,ἐκκλησίαις,ἐκκλησία,G1577,114
104797,Galates,1,2,τῆς,ὁ,G3588,19785
104798,Galates,1,2,Γαλατίας,Γαλατία,G1053,4
104799,Galates,1,3,χάρις,χάρις,G5485,154
104800,Galates,1,3,ὑμῖν,σύ,G4771,2896
104801,Galates,1,3,καὶ,καί,G2532,9108
104802,Galates,1,3,εἰρήνη,εἰρήνη,G1515,92
104803,Galates,1,3,ἀπὸ,ἀπό,G0575,640
104804,Galates,1,3,θεοῦ,θεός,G2316,1311
104805,Galates,1,3,πατρὸς,πατήρ,G3962,414
104806,Galates,1,3,ἡμῶν,ἐγώ,G1473,2462
104807,Galates,1,3,καὶ,καί,G2532,9108
104808,Galates,1,3,κυρίου,κύριος,G2962,716
104809,Galates,1,3,Ἰησοῦ,Ἰησοῦς,G2424,910
104810,Galates,1,3,Χριστοῦ,Χριστός,G5547,529
104811,Galates,1,4,τοῦ,ὁ,G3588,19785
104812,Galates,1,4,δόντος,δίδωμι,G1325,409
104813,Galates,1,4,ἑαυτὸν,ἑαυτοῦ,G1438,317
104815,Galates,1,4,τῶν,ὁ,G3588,19785
104816,Galates,1,4,ἁμαρτιῶν,ἁμαρτία,G0266,173
104817,Galates,1,4,ἡμῶν,ἐγώ,G1473,2462
104818,Galates,1,4,ὅπως,ὅπως,G3704,53
104819,Galates,1,4,ἐξέληται,ἐξαιρέω,G1807,8
104820,Galates,1,4,ἡμᾶς,ἐγώ,G1473,2462
104821,Galates,1,4,ἐκ,ἐκ,G1537,912
104822,Galates,1,4,τοῦ,ὁ,G3588,19785
104823,Galates,1,4,αἰῶνος,αἰών,G0165,123
104824,Galates,1,4,τοῦ,ὁ,G3588,19785
104825,Galates,1,4,ἐνεστῶτος,ἐνίστημι,G1764,7
104826,Galates,1,4,πονηροῦ,πονηρός,G4190,77
104827,Galates,1,4,κατὰ,κατά,G2596,472
104828,Galates,1,4,τὸ,ὁ,G3588,19785
104829,Galates,1,4,θέλημα,θέλημα,G2307,62
