w,book,chapter,verse,orig,lex,strong,freq
0,Genèse,1,1,בְּרֵאשִׁ֖ית,רֵאשִׁית,H7225,51.0
1,Genèse,1,1,בָּרָ֣א,בָּרָא,H1254,55.0
2,Genèse,1,1,אֱלֹהִ֑ים,אֱלֹהִים,H0430,2603.0
3,Genèse,1,1,אֵ֥ת,אֵת,H0853,10946.0
4,Genèse,1,1,הַשָּׁמַ֖יִם,שָׁמַיִם,H8064,421.0
5,Genèse,1,1,וְאֵ֥ת,אֵת,H0853,10946.0
6,Genèse,1,1,הָאָֽרֶץ׃,אֶ֫רֶץ,H0776,2504.0
7,Genèse,1,2,וְהָאָ֗רֶץ,אֶ֫רֶץ,H0776,2504.0
8,Genèse,1,2,הָיְתָ֥ה,הָיָה,H1961,3562.0
9,Genèse,1,2,תֹ֙הוּ֙,תֹּ֫הוּ,H8414,20.0
10,Genèse,1,2,וָבֹ֔הוּ,בֹּהוּ,H0922,3.0
11,Genèse,1,2,וְחֹ֖שֶׁךְ,חֹ֫שֶׁךְ,H2822,80.0
12,Genèse,1,2,עַל־,עַל,H5921,5774.0
13,Genèse,1,2,פְּנֵ֣י,פָּנֶה,H6440,2127.0
14,Genèse,1,2,תְה֑וֹם,תְּהוֹם,H8415,36.0
15,Genèse,1,2,וְר֣וּחַ,רוּחַ,H7307,378.0
16,Genèse,1,2,אֱלֹהִ֔ים,אֱלֹהִים,H0430,2603.0
17,Genèse,1,2,מְרַחֶ֖פֶת,רָחַף,H7363,3.0
18,Genèse,1,2,עַל־,עַל,H5921,5774.0
19,Genèse,1,2,פְּנֵ֥י,פָּנֶה,H6440,2127.0
20,Genèse,1,2,הַמָּֽיִם׃,מַי,H4325,581.0
21,Genèse,1,3,וַיֹּ֥אמֶר,אָמַר,H0559,5309.0
22,Genèse,1,3,אֱלֹהִ֖ים,אֱלֹהִים,H0430,2603.0
23,Genèse,1,3,יְהִ֣י,הָיָה,H1961,3562.0
24,Genèse,1,3,א֑וֹר,אוֹר,H0216,121.0
25,Genèse,1,3,וַֽיְהִי־,הָיָה,H1961,3562.0
26,Genèse,1,3,אֽוֹר׃,אוֹר,H0216,121.0
27,Genèse,1,4,וַיַּ֧רְא,רָאָה,H7200,1300.0
28,Genèse,1,4,אֱלֹהִ֛ים,אֱלֹהִים,H0430,2603.0
29,Genèse,1,4,אֶת־,אֵת,H0853,10946.0
30,Genèse,1,4,הָא֖וֹר,אוֹר,H0216,121.0
31,Genèse,1,4,כִּי־,כִּי,H3588,4483.0
32,Genèse,1,4,ט֑וֹב,טוֹב,H2896,562.0
33,Genèse,1,4,וַיַּבְדֵּ֣ל,בָּדַל,H0914,42.0
34,Genèse,1,4,אֱלֹהִ֔ים,אֱלֹהִים,H0430,2603.0
35,Genèse,1,4,בֵּ֥ין,בַּ֫יִן,H0996,407.0
36,Genèse,1,4,הָא֖וֹר,אוֹר,H0216,121.0
37,Genèse,1,4,וּבֵ֥ין,בַּ֫יִן,H0996,407.0
38,Genèse,1,4,הַחֹֽשֶׁךְ׃,חֹ֫שֶׁךְ,H2822,80.0
39,Genèse,1,5,וַיִּקְרָ֨א,קָרָא,H7121,733.0
40,Genèse,1,5,אֱלֹהִ֤ים׀,אֱלֹהִים,H0430,2603.0
41,Genèse,1,5,לָאוֹר֙,אוֹר,H0216,121.0
42,Genèse,1,5,י֔וֹם,יוֹם,H3117,2306.0
43,Genèse,1,5,וְלַחֹ֖שֶׁךְ,חֹ֫שֶׁךְ,H2822,80.0
44,Genèse,1,5,קָ֣רָא,קָרָא,H7121,733.0
45,Genèse,1,5,לָ֑יְלָה,לַ֫יְלָה,H3915,233.0
46,Genèse,1,5,וַֽיְהִי־,הָיָה,H1961,3562.0
47,Genèse,1,5,עֶ֥רֶב,עֶ֫רֶב,H6153,134.0
48,Genèse,1,5,וַֽיְהִי־,הָיָה,H1961,3562.0
49,Genèse,1,5,בֹ֖קֶר,בֹּ֫קֶר,H1242,214.0
50,Genèse,1,5,י֥וֹם,יוֹם,H3117,2306.0
51,Genèse,1,5,אֶחָֽד׃ פ,אֶחָד,H0259,971.0
52,Genèse,1,6,וַיֹּ֣אמֶר,אָמַר,H0559,5309.0
53,Genèse,1,6,אֱלֹהִ֔ים,אֱלֹהִים,H0430,2603.0
54,Genèse,1,6,יְהִ֥י,הָיָה,H1961,3562.0
