tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
119117,Hébreux,1,1,Πολυμερῶς,πολυμερῶς,G4181,1
119118,Hébreux,1,1,καὶ,καί,G2532,9108
119119,Hébreux,1,1,πολυτρόπως,πολυτρόπως,G4187,1
119120,Hébreux,1,1,πάλαι,πάλαι,G3819,6
119121,Hébreux,1,1,ὁ,ὁ,G3588,19785
119122,Hébreux,1,1,θεὸς,θεός,G2316,1311
119123,Hébreux,1,1,λαλήσας,λαλέω,G2980,296
119124,Hébreux,1,1,τοῖς,ὁ,G3588,19785
119125,Hébreux,1,1,πατράσιν,πατήρ,G3962,414
119126,Hébreux,1,1,ἐν,ἐν,G1722,2728
119127,Hébreux,1,1,τοῖς,ὁ,G3588,19785
119128,Hébreux,1,1,προφήταις,προφήτης,G4396,144
119129,Hébreux,1,2,ἐπ᾽,ἐπί,G1909,884
119130,Hébreux,1,2,ἐσχάτου,ἔσχατος,G2078,52
119131,Hébreux,1,2,τῶν,ὁ,G3588,19785
119132,Hébreux,1,2,ἡμερῶν,ἡμέρα,G2250,388
119133,Hébreux,1,2,τούτων,οὗτος,G3778,1380
119134,Hébreux,1,2,ἐλάλησεν,λαλέω,G2980,296
119135,Hébreux,1,2,ἡμῖν,ἐγώ,G1473,2462
119136,Hébreux,1,2,ἐν,ἐν,G1722,2728
119137,Hébreux,1,2,υἱῷ,υἱός,G5207,372
119138,Hébreux,1,2,ὃν,ὅς,G3739,1408
119139,Hébreux,1,2,ἔθηκεν,τίθημι,G5087,100
119140,Hébreux,1,2,κληρονόμον,κληρονόμος,G2818,15
119141,Hébreux,1,2,πάντων,πᾶς,G3956,1236
119142,Hébreux,1,2,δι᾽,διά,G1223,666
119143,Hébreux,1,2,οὗ,ὅς,G3739,1408
119144,Hébreux,1,2,καὶ,καί,G2532,9108
119145,Hébreux,1,2,ἐποίησεν,ποιέω,G4160,568
119146,Hébreux,1,2,τοὺς,ὁ,G3588,19785
119147,Hébreux,1,2,αἰῶνας,αἰών,G0165,123
119148,Hébreux,1,3,ὃς,ὅς,G3739,1408
119149,Hébreux,1,3,ὢν,εἰμί,G1510,2458
119150,Hébreux,1,3,ἀπαύγασμα,ἀπαύγασμα,G0541,1
119151,Hébreux,1,3,τῆς,ὁ,G3588,19785
119152,Hébreux,1,3,δόξης,δόξα,G1391,166
119153,Hébreux,1,3,καὶ,καί,G2532,9108
119154,Hébreux,1,3,χαρακτὴρ,χαρακτήρ,G5481,1
