tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
50907,Jean,1,1,Ἐν,ἐν,G1722,2728
50908,Jean,1,1,ἀρχῆ,ἀρχή,G0746,55
50909,Jean,1,1,ἦν,εἰμί,G1510,2458
50910,Jean,1,1,ὁ,ὁ,G3588,19785
50911,Jean,1,1,λόγος,λόγος,G3056,330
50912,Jean,1,1,καὶ,καί,G2532,9108
50913,Jean,1,1,ὁ,ὁ,G3588,19785
50914,Jean,1,1,λόγος,λόγος,G3056,330
50915,Jean,1,1,ἦν,εἰμί,G1510,2458
50916,Jean,1,1,πρὸς,πρός,G4314,699
50917,Jean,1,1,τὸν,ὁ,G3588,19785
50918,Jean,1,1,θεόν,θεός,G2316,1311
50919,Jean,1,1,καὶ,καί,G2532,9108
50920,Jean,1,1,θεὸς,θεός,G2316,1311
50921,Jean,1,1,ἦν,εἰμί,G1510,2458
50922,Jean,1,1,ὁ,ὁ,G3588,19785
50923,Jean,1,1,λόγος,λόγος,G3056,330
50924,Jean,1,2,οὗτος,οὗτος,G3778,1380
50925,Jean,1,2,ἦν,εἰμί,G1510,2458
50926,Jean,1,2,ἐν,ἐν,G1722,2728
50927,Jean,1,2,ἀρχῆ,ἀρχή,G0746,55
50928,Jean,1,2,πρὸς,πρός,G4314,699
50929,Jean,1,2,τὸν,ὁ,G3588,19785
50930,Jean,1,2,θεόν,θεός,G2316,1311
50931,Jean,1,3,πάντα,πᾶς,G3956,1236
50932,Jean,1,3,δι᾽,διά,G1223,666
50933,Jean,1,3,αὐτοῦ,αὐτός,G0846,5558
50934,Jean,1,3,ἐγένετο,γίνομαι,G1096,662
50935,Jean,1,3,καὶ,καί,G2532,9108
50936,Jean,1,3,χωρὶς,χωρίς,G5565,40
50937,Jean,1,3,αὐτοῦ,αὐτός,G0846,5558
50938,Jean,1,3,ἐγένετο,γίνομαι,G1096,662
50939,Jean,1,3,οὐδὲ,οὐδέ,G3761,140
50940,Jean,1,3,ἓν,εἷς,G1520,336
50941,Jean,1,3,ὃ,ὅς,G3739,1408
50942,Jean,1,3,γέγονεν,γίνομαι,G1096,662
50943,Jean,1,4,ἐν,ἐν,G1722,2728
50944,Jean,1,4,αὐτῷ,αὐτός,G0846,5558
50945,Jean,1,4,ζωὴ,ζωή,G2222,135
50946,Jean,1,4,ἦν,εἰμί,G1510,2458
50947,Jean,1,4,καὶ,καί,G2532,9108
50948,Jean,1,4,ἡ,ὁ,G3588,19785
50949,Jean,1,4,ζωὴ,ζωή,G2222,135
50950,Jean,1,4,ἦν,εἰμί,G1510,2458
50951,Jean,1,4,τὸ,ὁ,G3588,19785
50952,Jean,1,4,φῶς,φῶς,G5457,73
50953,Jean,1,4,τῶν,ὁ,G3588,19785
50954,Jean,1,4,ἀνθρώπων,ἄνθρωπος,G0444,549
50955,Jean,1,5,καὶ,καί,G2532,9108
50956,Jean,1,5,τὸ,ὁ,G3588,19785
50957,Jean,1,5,φῶς,φῶς,G5457,73
50958,Jean,1,5,ἐν,ἐν,G1722,2728
50959,Jean,1,5,τῆ,ὁ,G3588,19785
50960,Jean,1,5,σκοτίᾳ,σκοτία,G4653,16
50961,Jean,1,5,φαίνει,φαίνω,G5316,31
50962,Jean,1,5,καὶ,καί,G2532,9108
50963,Jean,1,5,ἡ,ὁ,G3588,19785
50964,Jean,1,5,σκοτία,σκοτία,G4653,16
50965,Jean,1,5,αὐτὸ,αὐτός,G0846,5558
50966,Jean,1,5,οὐ,οὐ,G3756,1667
50967,Jean,1,5,κατέλαβεν,καταλαμβάνω,G2638,13
