Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
183528,Job,1,1,אִ֛ישׁ,אִישׁ,H0376,1663
183529,Job,1,1,הָיָ֥ה,הָיָה,H1961,3562
183530,Job,1,1,בְאֶֽרֶץ־,אֶ֫רֶץ,H0776,2504
183531,Job,1,1,ע֖וּץ,עוּץ,H5780,8
183532,Job,1,1,אִיּ֣וֹב,אִיּוֹב,H0347,58
183533,Job,1,1,שְׁמ֑וֹ,שֵׁם,H8034,864
183534,Job,1,1,וְהָיָ֣ה׀,הָיָה,H1961,3562
183535,Job,1,1,הָאִ֣ישׁ,אִישׁ,H0376,1663
183536,Job,1,1,הַה֗וּא,הוּא,H1931,1878
183537,Job,1,1,תָּ֧ם,תָּם,H8535,15
183538,Job,1,1,וְיָשָׁ֛ר,כָּבֵד,H3477,119
183539,Job,1,1,וִירֵ֥א,יָרֵא,H3373,65
183540,Job,1,1,אֱלֹהִ֖ים,אֱלֹהִים,H0430,2603
183541,Job,1,1,וְסָ֥ר,סוּר,H5493,300
183542,Job,1,1,מֵרָֽע׃,רַע,H7451,665
183543,Job,1,2,וַיִּוָּ֥לְדוּ,יָלַד,H3205,496
183544,Job,1,2,שִׁבְעָ֥ה,שֶׁ֫בַע,H7651,395
183545,Job,1,2,בָנִ֖ים,בֵּן,H1121,4959
183546,Job,1,2,וְשָׁל֥וֹשׁ,שָׁלֹשׁ,H7969,432
183547,Job,1,2,בָּנֽוֹת׃,בַּת,H1323,588
183548,Job,1,3,וַיְהִ֣י,הָיָה,H1961,3562
183549,Job,1,3,מִ֠קְנֵהוּ,מִקְנֶה,H4735,76
183550,Job,1,3,שִֽׁבְעַ֨ת,שֶׁ֫בַע,H7651,395
183551,Job,1,3,אַלְפֵי־,אֶ֫לֶף,H0505,506
183552,Job,1,3,צֹ֜אן,צֹאן,H6629,274
183553,Job,1,3,וּשְׁלֹ֧שֶׁת,שָׁלֹשׁ,H7969,432
183554,Job,1,3,אַלְפֵ֣י,אֶ֫לֶף,H0505,506
183555,Job,1,3,גְמַלִּ֗ים,גָּמָל,H1581,54
183556,Job,1,3,וַחֲמֵ֨שׁ,חָמֵשׁ,H2568,344
183557,Job,1,3,מֵא֤וֹת,מֵאָה,H3967,581
183558,Job,1,3,צֶֽמֶד־,צֶ֫מֶד,H6776,15
183559,Job,1,3,בָּקָר֙,בָּקָר,H1241,183
183560,Job,1,3,וַחֲמֵ֣שׁ,חָמֵשׁ,H2568,344
183561,Job,1,3,מֵא֣וֹת,מֵאָה,H3967,581
183562,Job,1,3,אֲתוֹנ֔וֹת,אָתוֹן,H0860,34
183563,Job,1,3,וַעֲבֻדָּ֖ה,עֲבֻדָּה,H5657,2
183564,Job,1,3,רַבָּ֣ה,רַב,H7227,454
183565,Job,1,3,מְאֹ֑ד,מְאֹד,H3966,300
183566,Job,1,3,וַיְהִי֙,הָיָה,H1961,3562
183567,Job,1,3,הָאִ֣ישׁ,אִישׁ,H0376,1663
183568,Job,1,3,הַה֔וּא,הוּא,H1931,1878
183569,Job,1,3,גָּד֖וֹל,גַּל,H1419,526
183570,Job,1,3,מִכָּל־,כֹּל,H3605,5415
183571,Job,1,3,בְּנֵי־,בֵּן,H1121,4959
183572,Job,1,3,קֶֽדֶם׃,קֶ֫דֶם,H6924,87
183573,Job,1,4,וְהָלְכ֤וּ,הָלַךְ,H1980,1549
183574,Job,1,4,בָנָיו֙,בֵּן,H1121,4959
183575,Job,1,4,וְעָשׂ֣וּ,עָשָׂה,H6213,2629
183576,Job,1,4,מִשְׁתֶּ֔ה,מִשְׁתֶּה,H4960,46
183577,Job,1,4,בֵּ֖ית,בַּ֫יִת,H1004,2049
183578,Job,1,4,אִ֣ישׁ,אִישׁ,H0376,1663
183579,Job,1,4,יוֹמ֑וֹ,יוֹם,H3117,2306
183580,Job,1,4,וְשָׁלְח֗וּ,שָׁלַח,H7971,847
183581,Job,1,4,וְקָרְאוּ֙,קָרָא,H7121,733
183582,Job,1,4,לִשְׁלֹ֣שֶׁת,שָׁלֹשׁ,H7969,432
183583,Job,1,4,אַחְיֹֽתֵיהֶ֔ם,אָחוֹת,H0269,114
183584,Job,1,4,לֶאֱכֹ֥ל,אָכַל,H0398,810
183585,Job,1,4,וְלִשְׁתּ֖וֹת,שָׁתָה,H8354,217
183586,Job,1,4,עִמָּהֶֽם׃,עִם,H5973,1052
183587,Job,1,5,וַיְהִ֡י,הָיָה,H1961,3562
183588,Job,1,5,כִּ֣י,כִּי,H3588,4485
183589,Job,1,5,הִקִּיפֽוּ֩,נָקַף,H5362,19
183590,Job,1,5,יְמֵ֨י,יוֹם,H3117,2306
183591,Job,1,5,הַמִּשְׁתֶּ֜ה,מִשְׁתֶּה,H4960,46
183592,Job,1,5,וַיִּשְׁלַ֧ח,שָׁלַח,H7971,847
183593,Job,1,5,אִיּ֣וֹב,אִיּוֹב,H0347,58
183594,Job,1,5,וַֽיְקַדְּשֵׁ֗ם,קָדַשׁ,H6942,171
183595,Job,1,5,וְהִשְׁכִּ֣ים,שָׁכַם,H7925,65
