Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
291037,Jonas,1,1,וַֽיְהִי֙,הָיָה,H1961,3562
291038,Jonas,1,1,דְּבַר־,דָּבָר,H1697,1442
291039,Jonas,1,1,יְהוָ֔ה,יהוה,H3068,6528
291040,Jonas,1,1,אֶל־,אֶל,H0413,5515
291041,Jonas,1,1,יוֹנָ֥ה,יוֹנָה,H3124,19
291042,Jonas,1,1,בֶן־,בֵּן,H1121,4959
291043,Jonas,1,1,אֲמִתַּ֖י,אֲמִתַּי,H0573,2
291044,Jonas,1,1,לֵאמֹֽר׃,אָמַר,H0559,5309
291045,Jonas,1,2,ק֠וּם,קוּם,H6965,628
291046,Jonas,1,2,לֵ֧ךְ,הָלַךְ,H1980,1549
291047,Jonas,1,2,אֶל־,אֶל,H0413,5515
291048,Jonas,1,2,נִֽינְוֵ֛ה,נִינְוֵה,H5210,17
291049,Jonas,1,2,הָעִ֥יר,עִיר,H5892,1089
291050,Jonas,1,2,הַגְּדוֹלָ֖ה,גַּל,H1419,526
291051,Jonas,1,2,וּקְרָ֣א,קָרָא,H7121,733
291052,Jonas,1,2,עָלֶ֑יהָ,עַל,H5921,5774
291053,Jonas,1,2,כִּֽי־,כִּי,H3588,4485
291054,Jonas,1,2,עָלְתָ֥ה,עָלָה,H5927,890
291055,Jonas,1,2,רָעָתָ֖ם,רָעָה,H7451,665
291056,Jonas,1,2,לְפָנָֽי׃,פָּנֶה,H6440,2127
291057,Jonas,1,3,וַיָּ֤קָם,קוּם,H6965,628
291058,Jonas,1,3,יוֹנָה֙,יוֹנָה,H3124,19
291059,Jonas,1,3,לִבְרֹ֣חַ,בָּרַח,H1272,65
291060,Jonas,1,3,תַּרְשִׁ֔ישָׁה,תַּרְשִׁישׁ,H8659,28
291061,Jonas,1,3,מִלִּפְנֵ֖י,פָּנֶה,H6440,2127
291062,Jonas,1,3,יְהוָ֑ה,יהוה,H3068,6528
291063,Jonas,1,3,וַיֵּ֨רֶד,יָרַד,H3381,381
291064,Jonas,1,3,יָפ֜וֹ,יָפוֹ,H3305,4
291065,Jonas,1,3,וַיִּמְצָ֥א,מָצָא,H4672,455
291066,Jonas,1,3,אָנִיָּ֣ה׀,אֳנִיָּה,H0591,31
291067,Jonas,1,3,בָּאָ֣ה,בּוֹא,H0935,2572
291068,Jonas,1,3,תַרְשִׁ֗ישׁ,תַּרְשִׁישׁ,H8659,28
291069,Jonas,1,3,וַיִּתֵּ֨ן,נָתַן,H5414,2011
291070,Jonas,1,3,שְׂכָרָ֜הּ,שָׂכָר,H7939,28
291071,Jonas,1,3,וַיֵּ֤רֶד,יָרַד,H3381,381
291072,Jonas,1,3,לָב֤וֹא,בּוֹא,H0935,2572
291073,Jonas,1,3,עִמָּהֶם֙,עִם,H5973,1052
291074,Jonas,1,3,תַּרְשִׁ֔ישָׁה,תַּרְשִׁישׁ,H8659,28
291075,Jonas,1,3,מִלִּפְנֵ֖י,פָּנֶה,H6440,2127
291076,Jonas,1,3,יְהוָֽה׃,יהוה,H3068,6528
291077,Jonas,1,4,וַֽיהוָ֗ה,יהוה,H3068,6528
291078,Jonas,1,4,הֵטִ֤יל,טוּל,H2904,14
291079,Jonas,1,4,רֽוּחַ־,רוּחַ,H7307,378
291080,Jonas,1,4,גְּדוֹלָה֙,גַּל,H1419,526
291081,Jonas,1,4,אֶל־,אֶל,H0413,5515
291082,Jonas,1,4,הַיָּ֔ם,יָם,H3220,396
291083,Jonas,1,4,וַיְהִ֥י,הָיָה,H1961,3562
291084,Jonas,1,4,סַֽעַר־,סַ֫עַר,H5591,24
291085,Jonas,1,4,גָּד֖וֹל,גַּל,H1419,526
291086,Jonas,1,4,בַּיָּ֑ם,יָם,H3220,396
291087,Jonas,1,4,וְהָ֣אֳנִיָּ֔ה,אֳנִיָּה,H0591,31
291088,Jonas,1,4,חִשְּׁבָ֖ה,חָשַׁב,H2803,124
291089,Jonas,1,4,לְהִשָּׁבֵֽר׃,שָׁבַר,H7665,147
291090,Jonas,1,5,וַיִּֽירְא֣וּ,יָרֵא,H3372,314
291091,Jonas,1,5,הַמַּלָּחִ֗ים,מַלָּח,H4419,4
291092,Jonas,1,5,וַֽיִּזְעֲקוּ֮,זָעַק,H2199,73
291093,Jonas,1,5,אִ֣ישׁ,אִישׁ,H0376,1663
291094,Jonas,1,5,אֶל־,אֶל,H0413,5515
