Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
78219,Josué,1,1,וַיְהִ֗י,הָיָה,H1961,3562
78220,Josué,1,1,אַחֲרֵ֛י,אַחַר,H0310,716
78221,Josué,1,1,מ֥וֹת,מָ֫וֶת,H4194,155
78222,Josué,1,1,מֹשֶׁ֖ה,מֹשֶׁה,H4872,766
78223,Josué,1,1,עֶ֣בֶד,עֶ֫בֶד,H5650,801
78224,Josué,1,1,יְהוָ֑ה,יהוה,H3068,6528
78225,Josué,1,1,וַיֹּ֤אמֶר,אָמַר,H0559,5309
78226,Josué,1,1,יְהוָה֙,יהוה,H3068,6528
78227,Josué,1,1,אֶל־,אֶל,H0413,5515
78228,Josué,1,1,יְהוֹשֻׁ֣עַ,יְהוֹשׁוּעַ,H3091,218
78229,Josué,1,1,בִּן־,בֵּן,H1121,4959
78230,Josué,1,1,נ֔וּן,נוּן,H5126,30
78231,Josué,1,1,מְשָׁרֵ֥ת,שָׁרַת,H8334,97
78232,Josué,1,1,מֹשֶׁ֖ה,מֹשֶׁה,H4872,766
78233,Josué,1,1,לֵאמֹֽר׃,אָמַר,H0559,5309
78234,Josué,1,2,מֹשֶׁ֥ה,מֹשֶׁה,H4872,766
78235,Josué,1,2,עַבְדִּ֖י,עֶ֫בֶד,H5650,801
78236,Josué,1,2,מֵ֑ת,מוּת,H4191,840
78237,Josué,1,2,וְעַתָּה֩,עַתָּ֫ה,H6258,433
78238,Josué,1,2,ק֨וּם,קוּם,H6965,628
78239,Josué,1,2,עֲבֹ֜ר,עָבַר,H5674,556
78240,Josué,1,2,אֶת־,אֵת,H0853,10947
78241,Josué,1,2,הַיַּרְדֵּ֣ן,יַרְדֵּן,H3383,182
78242,Josué,1,2,הַזֶּ֗ה,זֶה,H2088,1179
78243,Josué,1,2,אַתָּה֙,אַתָּ֫ה,H0859,1094
78244,Josué,1,2,וְכָל־,כֹּל,H3605,5415
78245,Josué,1,2,הָעָ֣ם,עַם,H5971,1872
78246,Josué,1,2,הַזֶּ֔ה,זֶה,H2088,1179
78247,Josué,1,2,אֶל־,אֶל,H0413,5515
78248,Josué,1,2,הָאָ֕רֶץ,אֶ֫רֶץ,H0776,2504
78249,Josué,1,2,אֲשֶׁ֧ר,אֲשֶׁר,H0834,5499
78250,Josué,1,2,אָנֹכִ֛י,אָֽנֹכִ֫י,H0595,359
78251,Josué,1,2,נֹתֵ֥ן,נָתַן,H5414,2011
78252,Josué,1,2,לִבְנֵ֥י,בֵּן,H1121,4959
78253,Josué,1,2,יִשְׂרָאֵֽל׃,יִשְׂרָאֵל,H3478,2508
78254,Josué,1,3,כָּל־,כֹּל,H3605,5415
78255,Josué,1,3,מָק֗וֹם,מָקוֹם,H4725,401
78256,Josué,1,3,אֲשֶׁ֨ר,אֲשֶׁר,H0834,5499
78257,Josué,1,3,תִּדְרֹ֧ךְ,דָּרַךְ,H1869,63
78258,Josué,1,3,כַּֽף־,כַּף,H3709,193
78259,Josué,1,3,רַגְלְכֶ֛ם,רֶ֫גֶל,H7272,245
78260,Josué,1,3,נְתַתִּ֑יו,נָתַן,H5414,2011
