Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
287792,Joël,1,1,דְּבַר־,דָּבָר,H1697,1442
287793,Joël,1,1,יְהוָה֙,יהוה,H3068,6528
287794,Joël,1,1,אֲשֶׁ֣ר,אֲשֶׁר,H0834,5499
287795,Joël,1,1,הָיָ֔ה,הָיָה,H1961,3562
287796,Joël,1,1,אֶל־,אֶל,H0413,5515
287797,Joël,1,1,יוֹאֵ֖ל,יוֹאֵל,H3100,20
287798,Joël,1,1,בֶּן־,בֵּן,H1121,4959
287799,Joël,1,1,פְּתוּאֵֽל׃,פְּתוּאֵל,H6602,1
287800,Joël,1,2,שִׁמְעוּ־,שָׁמַע,H8085,1160
287801,Joël,1,2,זֹאת֙,זֹאת,H2063,604
287802,Joël,1,2,הַזְּקֵנִ֔ים,זָקֵן,H2205,178
287803,Joël,1,2,וְהַֽאֲזִ֔ינוּ,אָזַן,H0238,41
287804,Joël,1,2,כֹּ֖ל,כֹּל,H3605,5415
287805,Joël,1,2,יוֹשְׁבֵ֣י,יָשַׁב,H3427,1078
287806,Joël,1,2,הָאָ֑רֶץ,אֶ֫רֶץ,H0776,2504
287807,Joël,1,2,הֶהָ֤יְתָה,הָיָה,H1961,3562
287808,Joël,1,2,זֹּאת֙,זֹאת,H2063,604
287809,Joël,1,2,בִּֽימֵיכֶ֔ם,יוֹם,H3117,2306
287810,Joël,1,2,וְאִ֖ם,אִם,H0518,1073
287811,Joël,1,2,בִּימֵ֥י,יוֹם,H3117,2306
287812,Joël,1,2,אֲבֹֽתֵיכֶֽם׃,אָב,H0001,1213
287813,Joël,1,3,עָלֶ֖יהָ,עַל,H5921,5774
287814,Joël,1,3,לִבְנֵיכֶ֣ם,בֵּן,H1121,4959
287815,Joël,1,3,סַפֵּ֑רוּ,סָפַר,H5608,159
287816,Joël,1,3,וּבְנֵיכֶם֙,בֵּן,H1121,4959
287817,Joël,1,3,לִבְנֵיהֶ֔ם,בֵּן,H1121,4959
