tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
131447,Jude,1,1,Ἰούδας,Ἰούδας,G2455,41
131448,Jude,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
131449,Jude,1,1,Χριστοῦ,Χριστός,G5547,529
131450,Jude,1,1,δοῦλος,δοῦλος,G1401,129
131451,Jude,1,1,ἀδελφὸς,ἀδελφός,G0080,343
131452,Jude,1,1,δὲ,δέ,G1161,2771
131453,Jude,1,1,Ἰακώβου,Ἰάκωβος,G2385,42
131454,Jude,1,1,τοῖς,ὁ,G3588,19785
131455,Jude,1,1,ἐν,ἐν,G1722,2728
131456,Jude,1,1,θεῷ,θεός,G2316,1311
131457,Jude,1,1,πατρὶ,πατήρ,G3962,414
131458,Jude,1,1,ἠγαπημένοις,ἀγαπάω,G0025,143
131459,Jude,1,1,καὶ,καί,G2532,9108
131460,Jude,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
131461,Jude,1,1,Χριστῷ,Χριστός,G5547,529
131462,Jude,1,1,τετηρημένοις,τηρέω,G5083,70
131463,Jude,1,1,κλητοῖς,κλητός,G2822,10
131464,Jude,1,2,ἔλεος,ἔλεος,G1656,27
131465,Jude,1,2,ὑμῖν,σύ,G4771,2896
131466,Jude,1,2,καὶ,καί,G2532,9108
131467,Jude,1,2,εἰρήνη,εἰρήνη,G1515,92
131468,Jude,1,2,καὶ,καί,G2532,9108
131469,Jude,1,2,ἀγάπη,ἀγάπη,G0026,116
131470,Jude,1,2,πληθυνθείη,πληθύνω,G4129,12
131471,Jude,1,3,Ἀγαπητοί,ἀγαπητός,G0027,61
131472,Jude,1,3,πᾶσαν,πᾶς,G3956,1236
131473,Jude,1,3,σπουδὴν,σπουδή,G4710,12
131474,Jude,1,3,ποιούμενος,ποιέω,G4160,568
131475,Jude,1,3,γράφειν,γράφω,G1125,190
131476,Jude,1,3,ὑμῖν,σύ,G4771,2896
131477,Jude,1,3,περὶ,περί,G4012,331
131478,Jude,1,3,τῆς,ὁ,G3588,19785
131479,Jude,1,3,κοινῆς,κοινός,G2839,14
131480,Jude,1,3,ἡμῶν,ἐγώ,G1473,2462
131481,Jude,1,3,σωτηρίας,σωτηρία,G4991,47
131482,Jude,1,3,ἀνάγκην,ἀνάγκη,G0318,17
131483,Jude,1,3,ἔσχον,ἔχω,G2192,706
131484,Jude,1,3,γράψαι,γράφω,G1125,190
131485,Jude,1,3,ὑμῖν,σύ,G4771,2896
131486,Jude,1,3,παρακαλῶν,παρακαλέω,G3870,108
131487,Jude,1,3,ἐπαγωνίζεσθαι,ἐπαγωνίζομαι,G1864,1
131488,Jude,1,3,τῆ,ὁ,G3588,19785
131489,Jude,1,3,ἅπαξ,ἅπαξ,G0530,14
131490,Jude,1,3,παραδοθείσῃ,παραδίδωμι,G3860,118
131491,Jude,1,3,τοῖς,ὁ,G3588,19785
131492,Jude,1,3,ἁγίοις,ἅγιος,G0040,224
131493,Jude,1,3,πίστει,πίστις,G4102,242
131494,Jude,1,4,παρεισέδυσαν,παρεισδύνω,G3921,1
131495,Jude,1,4,γάρ,γάρ,G1063,1039
131496,Jude,1,4,τινες,τις,G5100,525
131497,Jude,1,4,ἄνθρωποι,ἄνθρωπος,G0444,549
131498,Jude,1,4,οἱ,ὁ,G3588,19785
131499,Jude,1,4,πάλαι,πάλαι,G3819,6
131500,Jude,1,4,προγεγραμμένοι,προγράφω,G4270,4
131501,Jude,1,4,εἰς,εἰς,G1519,1757
131502,Jude,1,4,τοῦτο,οὗτος,G3778,1380
131503,Jude,1,4,τὸ,ὁ,G3588,19785
131504,Jude,1,4,κρίμα,κρίμα,G2917,27
131505,Jude,1,4,ἀσεβεῖς,ἀσεβής,G0765,8
131506,Jude,1,4,τὴν,ὁ,G3588,19785
131507,Jude,1,4,τοῦ,ὁ,G3588,19785
131508,Jude,1,4,θεοῦ,θεός,G2316,1311
131509,Jude,1,4,ἡμῶν,ἐγώ,G1473,2462
131510,Jude,1,4,χάριτα,χάρις,G5485,154
131511,Jude,1,4,μετατιθέντες,μετατίθημι,G3346,6
131512,Jude,1,4,εἰς,εἰς,G1519,1757
131513,Jude,1,4,ἀσέλγειαν,ἀσέλγεια,G0766,10
131514,Jude,1,4,καὶ,καί,G2532,9108
131515,Jude,1,4,τὸν,ὁ,G3588,19785
131516,Jude,1,4,μόνον,μόνος,G3441,111
131517,Jude,1,4,δεσπότην,δεσπότης,G1203,10
131519,Jude,1,4,καὶ,καί,G2532,9108
131520,Jude,1,4,κύριον,κύριος,G2962,716
131521,Jude,1,4,ἡμῶν,ἐγώ,G1473,2462
131522,Jude,1,4,Ἰησοῦν,Ἰησοῦς,G2424,910
131523,Jude,1,4,Χριστὸν,Χριστός,G5547,529
131524,Jude,1,4,ἀρνούμενοι,ἀρνέομαι,G0720,33
131525,Jude,1,5,Ὑπομνῆσαι,ὑπομιμνήσκω,G5279,7
131526,Jude,1,5,δὲ,δέ,G1161,2771
131527,Jude,1,5,ὑμᾶς,σύ,G4771,2896
131528,Jude,1,5,βούλομαι,βούλομαι,G1014,37
131529,Jude,1,5,εἰδότας,εἴδω,G6063,280
131531,Jude,1,5,πάντα,πᾶς,G3956,1236
131532,Jude,1,5,ὅτι,ὅτι,G3754,1291
131535,Jude,1,5,ἅπαξ,ἅπαξ,G0530,14
131536,Jude,1,5,λαὸν,λαός,G2992,141
131537,Jude,1,5,ἐκ,ἐκ,G1537,912
131538,Jude,1,5,γῆς,γῆ,G1093,247
131539,Jude,1,5,Αἰγύπτου,Αἴγυπτος,G0125,25
131540,Jude,1,5,σώσας,σῴζω,G4982,106
131541,Jude,1,5,τὸ,ὁ,G3588,19785
131542,Jude,1,5,δεύτερον,δεύτερος,G1208,43
131543,Jude,1,5,τοὺς,ὁ,G3588,19785
131544,Jude,1,5,μὴ,μή,G3361,1065
131545,Jude,1,5,πιστεύσαντας,πιστεύω,G4100,238
131546,Jude,1,5,ἀπώλεσεν,ἀπολλύω,G0622,90
131547,Jude,1,6,ἀγγέλους,ἄγγελος,G0032,175
131548,Jude,1,6,τε,τε,G5037,212
131549,Jude,1,6,τοὺς,ὁ,G3588,19785
131550,Jude,1,6,μὴ,μή,G3361,1065
131551,Jude,1,6,τηρήσαντας,τηρέω,G5083,70
131552,Jude,1,6,τὴν,ὁ,G3588,19785
131553,Jude,1,6,ἑαυτῶν,ἑαυτοῦ,G1438,317
131554,Jude,1,6,ἀρχὴν,ἀρχή,G0746,55
131555,Jude,1,6,ἀλλ᾽,ἀλλά,G0235,638
131556,Jude,1,6,ἀπολιπόντας,ἀπολείπω,G0620,7
131557,Jude,1,6,τὸ,ὁ,G3588,19785
131558,Jude,1,6,ἴδιον,ἴδιος,G2398,113
131559,Jude,1,6,οἰκητήριον,οἰκητήριον,G3613,2
