w,book,chapter,verse,orig,lex,strong,freq
90042,Juges,1,1,וַיְהִ֗י,הָיָה,H1961,3562.0
90043,Juges,1,1,אַחֲרֵי֙,אַחַר,H0310,716.0
90044,Juges,1,1,מ֣וֹת,מָ֫וֶת,H4194,155.0
90045,Juges,1,1,יְהוֹשֻׁ֔עַ,יְהוֹשׁוּעַ,H3091,218.0
90046,Juges,1,1,וַֽיִּשְׁאֲלוּ֙,שָׁאַל,H7592,173.0
90047,Juges,1,1,בְּנֵ֣י,בֵּן,H1121,4959.0
90048,Juges,1,1,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,H3478,2508.0
90049,Juges,1,1,בַּיהוָ֖ה,יהוה,H3068,6528.0
90050,Juges,1,1,לֵאמֹ֑ר,אָמַר,H0559,5309.0
90051,Juges,1,1,מִ֣י,מִי,H4310,423.0
90052,Juges,1,1,יַעֲלֶה־,עָלָה,H5927,890.0
90053,Juges,1,1,לָּ֧נוּ,,H9035,272.0
90054,Juges,1,1,אֶל־,אֶל,H0413,5515.0
90055,Juges,1,1,הַֽכְּנַעֲנִ֛י,כְּנַעֲנִי,H3669,73.0
90056,Juges,1,1,בַּתְּחִלָּ֖ה,תְּחִלָּה,H8462,22.0
90057,Juges,1,1,לְהִלָּ֥חֶם,לָחַם,H3898,177.0
90058,Juges,1,1,בּֽוֹ׃,,H9033,1549.0
90059,Juges,1,2,וַיֹּ֣אמֶר,אָמַר,H0559,5309.0
90060,Juges,1,2,יְהוָ֖ה,יהוה,H3068,6528.0
90061,Juges,1,2,יְהוּדָ֣ה,יְהוּדָה,H3063,820.0
90062,Juges,1,2,יַעֲלֶ֑ה,עָלָה,H5927,890.0
90063,Juges,1,2,הִנֵּ֛ה,הִנֵּה,H2009,843.0
90064,Juges,1,2,נָתַ֥תִּי,נָתַן,H5414,2011.0
90065,Juges,1,2,אֶת־,אֵת,H0853,10946.0
90066,Juges,1,2,הָאָ֖רֶץ,אֶ֫רֶץ,H0776,2504.0
90067,Juges,1,2,בְּיָדֽוֹ׃,יָד,H3027,1619.0
90068,Juges,1,3,וַיֹּ֣אמֶר,אָמַר,H0559,5309.0
90069,Juges,1,3,יְהוּדָה֩,יְהוּדָה,H3063,820.0
90070,Juges,1,3,לְשִׁמְע֨וֹן,שִׁמְעוֹן,H8095,44.0
90071,Juges,1,3,אָחִ֜יו,אָח,H0251,630.0
90072,Juges,1,3,עֲלֵ֧ה,עָלָה,H5927,890.0
90073,Juges,1,3,אִתִּ֣י,אֵת,H0854,929.0
90074,Juges,1,3,בְגוֹרָלִ֗י,גּוֹרָל,H1486,78.0
90075,Juges,1,3,וְנִֽלָּחֲמָה֙,לָחַם,H3898,177.0
90076,Juges,1,3,בַּֽכְּנַעֲנִ֔י,כְּנַעֲנִי,H3669,73.0
90077,Juges,1,3,וְהָלַכְתִּ֧י,הָלַךְ,H1980,1549.0
90078,Juges,1,3,גַם־,גַּם,H1571,769.0
90079,Juges,1,3,אֲנִ֛י,,H0589,874.0
90080,Juges,1,3,אִתְּךָ֖,אֵת,H0854,929.0
90081,Juges,1,3,בְּגוֹרָלֶ֑ךָ,גּוֹרָל,H1486,78.0
90082,Juges,1,3,וַיֵּ֥לֶךְ,הָלַךְ,H1980,1549.0
90083,Juges,1,3,אִתּ֖וֹ,אֵת,H0854,929.0
90084,Juges,1,3,שִׁמְעֽוֹן׃,שִׁמְעוֹן,H8095,44.0
90085,Juges,1,4,וַיַּ֣עַל,עָלָה,H5927,890.0
90086,Juges,1,4,יְהוּדָ֔ה,יְהוּדָה,H3063,820.0
90087,Juges,1,4,וַיִּתֵּ֧ן,נָתַן,H5414,2011.0
90088,Juges,1,4,יְהוָ֛ה,יהוה,H3068,6528.0
90089,Juges,1,4,אֶת־,אֵת,H0853,10946.0
90090,Juges,1,4,הַכְּנַעֲנִ֥י,כְּנַעֲנִי,H3669,73.0
90091,Juges,1,4,וְהַפְּרִזִּ֖י,פְּרִזִּי,H6522,23.0
90092,Juges,1,4,בְּיָדָ֑ם,יָד,H3027,1619.0
90093,Juges,1,4,וַיַּכּ֣וּם,נָכָה,H5221,500.0
90094,Juges,1,4,בְּבֶ֔זֶק,בֶּ֫זֶק,H0966,3.0
90095,Juges,1,4,עֲשֶׂ֥רֶת,עֶשֶׂר,H6235,176.0
90096,Juges,1,4,אֲלָפִ֖ים,אֶ֫לֶף,H0505,506.0
90097,Juges,1,4,אִֽישׁ׃,אִישׁ,H0376,1663.0
90098,Juges,1,5,וַֽ֠יִּמְצְאוּ,מָצָא,H4672,455.0
90099,Juges,1,5,אֶת־,אֵת,H0853,10946.0
90100,Juges,1,5,אֲדֹנִ֥י,אֲדֹנִי־בֶ֫זֶק,H0137,6.0
90101,Juges,1,5,בֶ֙זֶק֙,אֲדֹנִי־בֶ֫זֶק,H0137,6.0
90102,Juges,1,5,בְּבֶ֔זֶק,בֶּ֫זֶק,H0966,3.0
90103,Juges,1,5,וַיִּֽלָּחֲמ֖וּ,לָחַם,H3898,177.0
90104,Juges,1,5,בּ֑וֹ,,H9033,1549.0
90105,Juges,1,5,וַיַּכּ֕וּ,נָכָה,H5221,500.0
90106,Juges,1,5,אֶת־,אֵת,H0853,10946.0
90107,Juges,1,5,הַֽכְּנַעֲנִ֖י,כְּנַעֲנִי,H3669,73.0
90108,Juges,1,5,וְאֶת־,אֵת,H0853,10946.0
90109,Juges,1,5,הַפְּרִזִּֽי׃,פְּרִזִּי,H6522,23.0
90110,Juges,1,6,וַיָּ֙נָס֙,נוּס,H5127,159.0
90111,Juges,1,6,אֲדֹ֣נִי,אֲדֹנִי־בֶ֫זֶק,H0137,6.0
90112,Juges,1,6,בֶ֔זֶק,אֲדֹנִי־בֶ֫זֶק,H0137,6.0
90113,Juges,1,6,וַֽיִּרְדְּפ֖וּ,רָדַף,H7291,143.0
90114,Juges,1,6,אַחֲרָ֑יו,אַחַר,H0310,716.0
90115,Juges,1,6,וַיֹּאחֲז֣וּ,אָחַז,H0270,68.0
90116,Juges,1,6,אֹת֔וֹ,אֵת,H0853,10946.0
90117,Juges,1,6,וַֽיְקַצְּצ֔וּ,קָצַץ,H7112,14.0
90118,Juges,1,6,אֶת־,אֵת,H0853,10946.0
90119,Juges,1,6,בְּהֹנ֥וֹת,בֹּ֫הֶן,H0931,16.0
90120,Juges,1,6,יָדָ֖יו,יָד,H3027,1619.0
