Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
238448,Jérémie,1,1,דִּבְרֵ֥י,דָּבָר,H1697,1442
238449,Jérémie,1,1,יִרְמְיָ֖הוּ,יִרְמְיָ֫הוּ,H3414,147
238450,Jérémie,1,1,בֶּן־,בֵּן,H1121,4959
238451,Jérémie,1,1,חִלְקִיָּ֑הוּ,חִלְקִיָּהוּ,H2518,34
238452,Jérémie,1,1,מִן־,מִן־,H4480,1190
238453,Jérémie,1,1,הַכֹּֽהֲנִים֙,כֹּהֵן,H3548,750
238454,Jérémie,1,1,אֲשֶׁ֣ר,אֲשֶׁר,H0834,5499
238455,Jérémie,1,1,בַּעֲנָת֔וֹת,עֲנָתוֹת,H6068,15
238456,Jérémie,1,1,בְּאֶ֖רֶץ,אֶ֫רֶץ,H0776,2504
238457,Jérémie,1,1,בִּנְיָמִֽן׃,בִּנְיָמִין,H1144,166
238458,Jérémie,1,2,אֲשֶׁ֨ר,אֲשֶׁר,H0834,5499
238459,Jérémie,1,2,הָיָ֤ה,הָיָה,H1961,3562
238460,Jérémie,1,2,דְבַר־,דָּבָר,H1697,1442
238461,Jérémie,1,2,יְהוָה֙,יהוה,H3068,6528
238462,Jérémie,1,2,אֵלָ֔יו,אֶל,H0413,5515
238463,Jérémie,1,2,בִּימֵ֛י,יוֹם,H3117,2306
238464,Jérémie,1,2,יֹאשִׁיָּ֥הוּ,יֹאשִׁיָּ֫הוּ,H2977,53
238465,Jérémie,1,2,בֶן־,בֵּן,H1121,4959
238466,Jérémie,1,2,אָמ֖וֹן,אָמוֹן,H0526,17
238467,Jérémie,1,2,מֶ֣לֶךְ,מֶ֫לֶךְ,H4428,2526
238468,Jérémie,1,2,יְהוּדָ֑ה,יְהוּדָה,H3063,820
238469,Jérémie,1,2,בִּשְׁלֹשׁ־,שָׁלֹשׁ,H7969,432
238470,Jérémie,1,2,עֶשְׂרֵ֥ה,עָשָׂר,H6240,339
238471,Jérémie,1,2,שָׁנָ֖ה,שָׁנָה,H8141,877
238472,Jérémie,1,2,לְמָלְכֽוֹ׃,מָלַךְ,H4427,348
238473,Jérémie,1,3,וַיְהִ֗י,הָיָה,H1961,3562
