Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
259877,Lamentations,1,1,אֵיכָ֣ה׀,אֵיכָה,H0349,82
259878,Lamentations,1,1,יָשְׁבָ֣ה,יָשַׁב,H3427,1078
259879,Lamentations,1,1,בָדָ֗ד,בָּדָד,H0910,11
259880,Lamentations,1,1,הָעִיר֙,עִיר,H5892,1089
259881,Lamentations,1,1,רַבָּ֣תִי,רַב,H7227,454
259882,Lamentations,1,1,עָ֔ם,עַם,H5971,1872
259883,Lamentations,1,1,הָיְתָ֖ה,הָיָה,H1961,3562
259884,Lamentations,1,1,כְּאַלְמָנָ֑ה,אַלְמָנָה,H0490,56
259885,Lamentations,1,1,רַּבָּ֣תִי,רַב,H7227,454
259886,Lamentations,1,1,בַגּוֹיִ֗ם,גּוֹי,H1471,561
259887,Lamentations,1,1,שָׂרָ֙תִי֙,שָׂרָה,H8282,5
259888,Lamentations,1,1,בַּמְּדִינ֔וֹת,מְדִינָה,H4082,53
259889,Lamentations,1,1,הָיְתָ֖ה,הָיָה,H1961,3562
259890,Lamentations,1,1,לָמַֽס׃ ס,מַס,H4522,23
259891,Lamentations,1,2,בָּכ֨וֹ,בָּכָה,H1058,114
259892,Lamentations,1,2,תִבְכֶּ֜ה,בָּכָה,H1058,114
259893,Lamentations,1,2,בַּלַּ֗יְלָה,לַ֫יְלָה,H3915,233
259894,Lamentations,1,2,וְדִמְעָתָהּ֙,דִּמְעָה,H1832,23
259895,Lamentations,1,2,עַ֣ל,עַל,H5921,5774
259896,Lamentations,1,2,לֶֽחֱיָ֔הּ,לְחִי,H3895,21
259897,Lamentations,1,2,אֵֽין־,אַ֫יִן,H0369,789
259898,Lamentations,1,2,מְנַחֵ֖ם,נָחַם,H5162,108
259899,Lamentations,1,2,מִכָּל־,כֹּל,H3605,5415
259900,Lamentations,1,2,אֹהֲבֶ֑יהָ,אָהֵב,H0157,211
259901,Lamentations,1,2,כָּל־,כֹּל,H3605,5415
259902,Lamentations,1,2,רֵעֶ֙יהָ֙,רֵעַ,H7453,188
259903,Lamentations,1,2,בָּ֣גְדוּ,בָּגַד,H0898,49
259904,Lamentations,1,2,הָ֥יוּ,הָיָה,H1961,3562
259905,Lamentations,1,2,לְאֹיְבִֽים׃ ס,אֹיֵב,H0341,283
259906,Lamentations,1,3,גָּֽלְתָ֨ה,גָּלָה,H1540,186
259907,Lamentations,1,3,יְהוּדָ֤ה,יְהוּדָה,H3063,820
259908,Lamentations,1,3,מֵעֹ֙נִי֙,עֳנִי,H6040,36
259909,Lamentations,1,3,וּמֵרֹ֣ב,רֹב,H7230,149
259910,Lamentations,1,3,עֲבֹדָ֔ה,עֲבֹדָה,H5656,145
259911,Lamentations,1,3,הִ֚יא,הוּא,H1931,1878
259912,Lamentations,1,3,יָשְׁבָ֣ה,יָשַׁב,H3427,1078
259913,Lamentations,1,3,בַגּוֹיִ֔ם,גּוֹי,H1471,561
259914,Lamentations,1,3,לֹ֥א,לֹא,H3808,5170
