tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
30766,Luc,1,1,Ἐπειδήπερ,ἐπειδήπερ,G1895,1
30767,Luc,1,1,πολλοὶ,πολύς,G4183,365
30768,Luc,1,1,ἐπεχείρησαν,ἐπιχειρέω,G2021,3
30769,Luc,1,1,ἀνατάξασθαι,ἀνατάσσω,G0392,1
30770,Luc,1,1,διήγησιν,διήγησις,G1335,1
30771,Luc,1,1,περὶ,περί,G4012,331
30772,Luc,1,1,τῶν,ὁ,G3588,19785
30773,Luc,1,1,πεπληροφορημένων,πληροφορέω,G4135,6
30774,Luc,1,1,ἐν,ἐν,G1722,2728
30775,Luc,1,1,ἡμῖν,ἐγώ,G1473,2462
30776,Luc,1,1,πραγμάτων,πρᾶγμα,G4229,11
30777,Luc,1,2,καθὼς,καθώς,G2531,182
30778,Luc,1,2,παρέδοσαν,παραδίδωμι,G3860,118
30779,Luc,1,2,ἡμῖν,ἐγώ,G1473,2462
30780,Luc,1,2,οἱ,ὁ,G3588,19785
30781,Luc,1,2,ἀπ᾽,ἀπό,G0575,640
30782,Luc,1,2,ἀρχῆς,ἀρχή,G0746,55
30783,Luc,1,2,αὐτόπται,αὐτόπτης,G0845,1
30784,Luc,1,2,καὶ,καί,G2532,9108
30785,Luc,1,2,ὑπηρέται,ὑπηρέτης,G5257,20
30786,Luc,1,2,γενόμενοι,γίνομαι,G1096,662
30787,Luc,1,2,τοῦ,ὁ,G3588,19785
30788,Luc,1,2,λόγου,λόγος,G3056,330
30789,Luc,1,3,ἔδοξεν,δοκέω,G1380,62
30790,Luc,1,3,κἀμοὶ,κἀγώ,G2532,9108
30791,Luc,1,3,παρηκολουθηκότι,παρακολουθέω,G3877,3
30792,Luc,1,3,ἄνωθεν,ἄνωθεν,G0509,13
30793,Luc,1,3,πᾶσιν,πᾶς,G3956,1236
30794,Luc,1,3,ἀκριβῶς,ἀκριβῶς,G0199,5
30795,Luc,1,3,καθεξῆς,καθεξῆς,G2517,5
30796,Luc,1,3,σοι,σύ,G4771,2896
30797,Luc,1,3,γράψαι,γράφω,G1125,190
30798,Luc,1,3,κράτιστε,κράτιστος,G2903,4
30799,Luc,1,3,Θεόφιλε,Θεόφιλος,G2321,2
30800,Luc,1,4,ἵνα,ἵνα,G2443,668
30801,Luc,1,4,ἐπιγνῷς,ἐπιγινώσκω,G1921,44
30802,Luc,1,4,περὶ,περί,G4012,331
30803,Luc,1,4,ὧν,ὅς,G3739,1408
30804,Luc,1,4,κατηχήθης,κατηχέω,G2727,8
30805,Luc,1,4,λόγων,λόγος,G3056,330
30806,Luc,1,4,τὴν,ὁ,G3588,19785
30807,Luc,1,4,ἀσφάλειαν,ἀσφάλεια,G0803,3
30808,Luc,1,5,Ἐγένετο,γίνομαι,G1096,662
30809,Luc,1,5,ἐν,ἐν,G1722,2728
30810,Luc,1,5,ταῖς,ὁ,G3588,19785
30811,Luc,1,5,ἡμέραις,ἡμέρα,G2250,388
30812,Luc,1,5,Ἡρῴδου,Ἡρώδης,G2264,43
30814,Luc,1,5,βασιλέως,βασιλεύς,G0935,115
30815,Luc,1,5,τῆς,ὁ,G3588,19785
30816,Luc,1,5,Ἰουδαίας,Ἰουδαία,G2449,44
30817,Luc,1,5,ἱερεύς,ἱερεύς,G2409,30
30818,Luc,1,5,τις,τις,G5100,525
30819,Luc,1,5,ὀνόματι,ὄνομα,G3686,229
30820,Luc,1,5,Ζαχαρίας,Ζαχαρίας,G2197,11
30821,Luc,1,5,ἐξ,ἐκ,G1537,912
30822,Luc,1,5,ἐφημερίας,ἐφημερία,G2183,2
30823,Luc,1,5,Ἀβιά,Ἀβιά,G0007,3
30824,Luc,1,5,καὶ,καί,G2532,9108
30826,Luc,1,5,γυνὴ,γυνή,G1135,211
30827,Luc,1,5,αὐτῷ,αὐτός,G0846,5558
30828,Luc,1,5,ἐκ,ἐκ,G1537,912
30829,Luc,1,5,τῶν,ὁ,G3588,19785
30830,Luc,1,5,θυγατέρων,θυγάτηρ,G2364,27
30831,Luc,1,5,Ἀαρὼν,Ἀαρών,G0002,5
30832,Luc,1,5,καὶ,καί,G2532,9108
30833,Luc,1,5,τὸ,ὁ,G3588,19785
30834,Luc,1,5,ὄνομα,ὄνομα,G3686,229
30835,Luc,1,5,αὐτῆς,αὐτός,G0846,5558
30836,Luc,1,5,Ἐλισάβετ,Ἐλισάβετ,G1665,9
30837,Luc,1,6,ἦσαν,εἰμί,G1510,2458
30838,Luc,1,6,δὲ,δέ,G1161,2771
30839,Luc,1,6,δίκαιοι,δίκαιος,G1342,80
30840,Luc,1,6,ἀμφότεροι,ἀμφότερος,G0297,14
30841,Luc,1,6,ἐναντίον,ἐναντίον,G1726,5
30842,Luc,1,6,τοῦ,ὁ,G3588,19785
30843,Luc,1,6,θεοῦ,θεός,G2316,1311
30844,Luc,1,6,πορευόμενοι,πορεύω,G4198,150
30845,Luc,1,6,ἐν,ἐν,G1722,2728
30846,Luc,1,6,πάσαις,πᾶς,G3956,1236
30847,Luc,1,6,ταῖς,ὁ,G3588,19785
30848,Luc,1,6,ἐντολαῖς,ἐντολή,G1785,68
30849,Luc,1,6,καὶ,καί,G2532,9108
30850,Luc,1,6,δικαιώμασιν,δικαίωμα,G1345,10
30851,Luc,1,6,τοῦ,ὁ,G3588,19785
30852,Luc,1,6,κυρίου,κύριος,G2962,716
30853,Luc,1,6,ἄμεμπτοι,ἄμεμπτος,G0273,5
30854,Luc,1,7,καὶ,καί,G2532,9108
30855,Luc,1,7,οὐκ,οὐ,G3756,1667
30856,Luc,1,7,ἦν,εἰμί,G1510,2458
30857,Luc,1,7,αὐτοῖς,αὐτός,G0846,5558
30858,Luc,1,7,τέκνον,τέκνον,G5043,98
30859,Luc,1,7,καθότι,καθότι,G2530,6
30860,Luc,1,7,ἦν,εἰμί,G1510,2458
30861,Luc,1,7,ἡ,ὁ,G3588,19785
30862,Luc,1,7,Ἐλισάβετ,Ἐλισάβετ,G1665,9
30863,Luc,1,7,στεῖρα,στεῖρα,G4723,4
30864,Luc,1,7,καὶ,καί,G2532,9108
30865,Luc,1,7,ἀμφότεροι,ἀμφότερος,G0297,14
30866,Luc,1,7,προβεβηκότες,προβαίνω,G4260,5
30867,Luc,1,7,ἐν,ἐν,G1722,2728
30868,Luc,1,7,ταῖς,ὁ,G3588,19785
30869,Luc,1,7,ἡμέραις,ἡμέρα,G2250,388
30870,Luc,1,7,αὐτῶν,αὐτός,G0846,5558
30871,Luc,1,7,ἦσαν,εἰμί,G1510,2458
30872,Luc,1,8,Ἐγένετο,γίνομαι,G1096,662
30873,Luc,1,8,δὲ,δέ,G1161,2771
