Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
36556,Lévitique,1,1,וַיִּקְרָ֖א,קָרָא,H7121,733
36557,Lévitique,1,1,אֶל־,אֶל,H0413,5515
36558,Lévitique,1,1,מֹשֶׁ֑ה,מֹשֶׁה,H4872,766
36559,Lévitique,1,1,וַיְדַבֵּ֤ר,דָבַר,H1696,1142
36560,Lévitique,1,1,יְהוָה֙,יהוה,H3068,6528
36561,Lévitique,1,1,אֵלָ֔יו,אֶל,H0413,5515
36562,Lévitique,1,1,מֵאֹ֥הֶל,אֹ֫הֶל,H0168,345
36563,Lévitique,1,1,מוֹעֵ֖ד,מוֹעֵד,H4150,223
36564,Lévitique,1,1,לֵאמֹֽר׃,אָמַר,H0559,5309
36565,Lévitique,1,2,דַּבֵּ֞ר,דָבַר,H1696,1142
36566,Lévitique,1,2,אֶל־,אֶל,H0413,5515
36567,Lévitique,1,2,בְּנֵ֤י,בֵּן,H1121,4959
36568,Lévitique,1,2,יִשְׂרָאֵל֙,יִשְׂרָאֵל,H3478,2508
36569,Lévitique,1,2,וְאָמַרְתָּ֣,אָמַר,H0559,5309
36570,Lévitique,1,2,אֲלֵהֶ֔ם,אֶל,H0413,5515
36571,Lévitique,1,2,אָדָ֗ם,אָדָם,H0120,551
36572,Lévitique,1,2,כִּֽי־,כִּי,H3588,4485
36573,Lévitique,1,2,יַקְרִ֥יב,קָרַב,H7126,280
36574,Lévitique,1,2,קָרְבָּ֖ן,קׇרְבָּן,H7133,82
36575,Lévitique,1,2,לַֽיהוָ֑ה,יהוה,H3068,6528
36576,Lévitique,1,2,מִן־,מִן־,H4480,1190
36577,Lévitique,1,2,הַבְּהֵמָ֗ה,בְּהֵמָה,H0929,190
36578,Lévitique,1,2,מִן־,מִן־,H4480,1190
36579,Lévitique,1,2,הַבָּקָר֙,בָּקָר,H1241,183
36580,Lévitique,1,2,וּמִן־,מִן־,H4480,1190
36581,Lévitique,1,2,הַצֹּ֔אן,צֹאן,H6629,274
36582,Lévitique,1,2,תַּקְרִ֖יבוּ,קָרַב,H7126,280
36583,Lévitique,1,2,אֶת־,אֵת,H0853,10947
36584,Lévitique,1,2,קָרְבַּנְכֶֽם׃,קׇרְבָּן,H7133,82
36585,Lévitique,1,3,אִם־,אִם,H0518,1073
36586,Lévitique,1,3,עֹלָ֤ה,עֹלָה,H5930,287
36587,Lévitique,1,3,קָרְבָּנוֹ֙,קׇרְבָּן,H7133,82
36588,Lévitique,1,3,מִן־,מִן־,H4480,1190
36589,Lévitique,1,3,הַבָּקָ֔ר,בָּקָר,H1241,183
36590,Lévitique,1,3,זָכָ֥ר,זָכָר,H2145,82
36591,Lévitique,1,3,תָּמִ֖ים,תָּמִים,H8549,91
36592,Lévitique,1,3,יַקְרִיבֶ֑נּוּ,קָרַב,H7126,280
36593,Lévitique,1,3,אֶל־,אֶל,H0413,5515
36594,Lévitique,1,3,פֶּ֝תַח,פֶּ֫תַח,H6607,164
36595,Lévitique,1,3,אֹ֤הֶל,אֹ֫הֶל,H0168,345
36596,Lévitique,1,3,מוֹעֵד֙,מוֹעֵד,H4150,223
36597,Lévitique,1,3,יַקְרִ֣יב,קָרַב,H7126,280
36598,Lévitique,1,3,אֹת֔וֹ,אֵת,H0853,10947
36599,Lévitique,1,3,לִרְצֹנ֖וֹ,רָצוֹן,H7522,56
36600,Lévitique,1,3,לִפְנֵ֥י,פָּנֶה,H6440,2127
36601,Lévitique,1,3,יְהוָֽה׃,יהוה,H3068,6528
36602,Lévitique,1,4,וְסָמַ֣ךְ,סָמַךְ,H5564,48
36603,Lévitique,1,4,יָד֔וֹ,יָד,H3027,1619
36604,Lévitique,1,4,עַ֖ל,עַל,H5921,5774
36605,Lévitique,1,4,רֹ֣אשׁ,רֹאשׁ,H7218,600
36606,Lévitique,1,4,הָעֹלָ֑ה,עֹלָה,H5930,287
36607,Lévitique,1,4,וְנִרְצָ֥ה,רָצָה,H7521,56
36608,Lévitique,1,4,לְכַפֵּ֥ר,כִּפֶּר,H3722,102
36609,Lévitique,1,4,עָלָֽיו׃,עַל,H5921,5774
36610,Lévitique,1,5,וְשָׁחַ֛ט,שָׁחַט,H7819,81
36611,Lévitique,1,5,אֶת־,אֵת,H0853,10947
36612,Lévitique,1,5,בֶּ֥ן,בֵּן,H1121,4959
36613,Lévitique,1,5,הַבָּקָ֖ר,בָּקָר,H1241,183
36614,Lévitique,1,5,לִפְנֵ֣י,פָּנֶה,H6440,2127
36615,Lévitique,1,5,יְהוָ֑ה,יהוה,H3068,6528
36616,Lévitique,1,5,וְ֠הִקְרִיבוּ,קָרַב,H7126,280
36617,Lévitique,1,5,בְּנֵ֨י,בֵּן,H1121,4959
36618,Lévitique,1,5,אַהֲרֹ֤ן,אַהֲרֹן,H0175,347
36619,Lévitique,1,5,הַֽכֹּֽהֲנִים֙,כֹּהֵן,H3548,750
36620,Lévitique,1,5,אֶת־,אֵת,H0853,10947
36621,Lévitique,1,5,הַדָּ֔ם,דָּם,H1818,360
36622,Lévitique,1,5,וְזָרְק֨וּ,זָרַק,H2236,35
36623,Lévitique,1,5,אֶת־,אֵת,H0853,10947
