Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
298718,Malachie,1,1,מַשָּׂ֥א,מַשָּׂא,H4853,66
298719,Malachie,1,1,דְבַר־,דָּבָר,H1697,1442
298720,Malachie,1,1,יְהוָ֖ה,יהוה,H3068,6528
298721,Malachie,1,1,אֶל־,אֶל,H0413,5515
298722,Malachie,1,1,יִשְׂרָאֵ֑ל,יִשְׂרָאֵל,H3478,2508
298723,Malachie,1,1,בְּיַ֖ד,יָד,H3027,1619
298724,Malachie,1,1,מַלְאָכִֽי׃,מַלְאָכִי,H4401,1
298725,Malachie,1,2,אָהַ֤בְתִּי,אָהֵב,H0157,211
298726,Malachie,1,2,אֶתְכֶם֙,אֵת,H0853,10947
298727,Malachie,1,2,אָמַ֣ר,אָמַר,H0559,5309
298728,Malachie,1,2,יְהוָ֔ה,יהוה,H3068,6528
298729,Malachie,1,2,וַאֲמַרְתֶּ֖ם,אָמַר,H0559,5309
298730,Malachie,1,2,בַּמָּ֣ה,מָה,H4100,753
298731,Malachie,1,2,אֲהַבְתָּ֑נוּ,אָהֵב,H0157,211
298732,Malachie,1,2,הֲלוֹא־,לֹא,H3808,5170
298733,Malachie,1,2,אָ֨ח,אָח,H0251,630
298734,Malachie,1,2,עֵשָׂ֤ו,עֵשָׂו,H6215,97
298735,Malachie,1,2,לְיַֽעֲקֹב֙,יַעֲקֹב,H3290,350
298736,Malachie,1,2,נְאֻם־,נְאֻם,H5002,376
298737,Malachie,1,2,יְהוָ֔ה,יהוה,H3068,6528
298738,Malachie,1,2,וָאֹהַ֖ב,אָהֵב,H0157,211
298739,Malachie,1,2,אֶֽת־,אֵת,H0853,10947
298740,Malachie,1,2,יַעֲקֹֽב׃,יַעֲקֹב,H3290,350
298741,Malachie,1,3,וְאֶת־,אֵת,H0853,10947
298742,Malachie,1,3,עֵשָׂ֖ו,עֵשָׂו,H6215,97
298743,Malachie,1,3,שָׂנֵ֑אתִי,שָׂנֵא,H8130,146
298744,Malachie,1,3,וָאָשִׂ֤ים,שׂוּם,H7760,585
298745,Malachie,1,3,אֶת־,אֵת,H0853,10947
298746,Malachie,1,3,הָרָיו֙,הַר,H2022,547
298747,Malachie,1,3,שְׁמָמָ֔ה,שְׁמָמָה,H8077,57
298748,Malachie,1,3,וְאֶת־,אֵת,H0853,10947
298749,Malachie,1,3,נַחֲלָת֖וֹ,נַחֲלָה,H5159,222
298750,Malachie,1,3,לְתַנּ֥וֹת,תַּן,H8577,28
298751,Malachie,1,3,מִדְבָּֽר׃,מִדְבָּר,H4057,271
298752,Malachie,1,4,כִּֽי־,כִּי,H3588,4485
298753,Malachie,1,4,תֹאמַ֨ר,אָמַר,H0559,5309
298754,Malachie,1,4,אֱד֜וֹם,אֱדוֹם,H0123,100
298755,Malachie,1,4,רֻשַּׁ֗שְׁנוּ,רָשַׁשׁ,H7567,2
298756,Malachie,1,4,וְנָשׁוּב֙,שׁוּב,H7725,1057
298757,Malachie,1,4,וְנִבְנֶ֣ה,בָּנָה,H1129,376
298758,Malachie,1,4,חֳרָב֔וֹת,חׇרְבָּה,H2723,42
298759,Malachie,1,4,כֹּ֤ה,כֹּה,H3541,577
298760,Malachie,1,4,אָמַר֙,אָמַר,H0559,5309
298761,Malachie,1,4,יְהוָ֣ה,יהוה,H3068,6528
298762,Malachie,1,4,צְבָא֔וֹת,צָבָא,H6635,484
298763,Malachie,1,4,הֵ֥מָּה,הֵ֫מָּה,H1992,552
298764,Malachie,1,4,יִבְנ֖וּ,בָּנָה,H1129,376
298765,Malachie,1,4,וַאֲנִ֣י,"אֲנִי, אָֽנֹכִ֫י",H0589,874
298766,Malachie,1,4,אֶהֱר֑וֹס,הָרַס,H2040,43
298767,Malachie,1,4,וְקָרְא֤וּ,קָרָא,H7121,733
298768,Malachie,1,4,גְּב֣וּל,גְּבוּל,H1366,240
298769,Malachie,1,4,רִשְׁעָ֔ה,רִשְׁעָה,H7564,15
298770,Malachie,1,4,וְהָעָ֛ם,עַם,H5971,1872
298771,Malachie,1,4,אֲשֶׁר־,אֲשֶׁר,H0834,5499
298772,Malachie,1,4,זָעַ֥ם,זָעַם,H2194,12
298773,Malachie,1,4,יְהוָ֖ה,יהוה,H3068,6528
298774,Malachie,1,4,עַד־,עַד,H5704,1261
298775,Malachie,1,4,עוֹלָֽם׃,עוֹלָם,H5769,438
298776,Malachie,1,5,וְעֵינֵיכֶ֖ם,עַ֫יִן,H5869,887
298777,Malachie,1,5,תִּרְאֶ֑ינָה,רָאָה,H7200,1300
298778,Malachie,1,5,וְאַתֶּ֤ם,אַתֶּם,H0859,1094
298779,Malachie,1,5,תֹּֽאמְרוּ֙,אָמַר,H0559,5309
298780,Malachie,1,5,יִגְדַּ֣ל,גָּדַל,H1431,117
298781,Malachie,1,5,יְהוָ֔ה,יהוה,H3068,6528
298782,Malachie,1,5,מֵעַ֖ל,עַל,H5921,5774
298783,Malachie,1,5,לִגְב֥וּל,גְּבוּל,H1366,240
298784,Malachie,1,5,יִשְׂרָאֵֽל׃,יִשְׂרָאֵל,H3478,2508
298785,Malachie,1,6,בֵּ֛ן,בֵּן,H1121,4959
298786,Malachie,1,6,יְכַבֵּ֥ד,כָּבֵד,H3513,113
298787,Malachie,1,6,אָ֖ב,אָב,H0001,1213
298788,Malachie,1,6,וְעֶ֣בֶד,עֶ֫בֶד,H5650,801
298789,Malachie,1,6,אֲדֹנָ֑יו,אָדוֹן,H0113,333
298790,Malachie,1,6,וְאִם־,אִם,H0518,1073
298791,Malachie,1,6,אָ֣ב,אָב,H0001,1213
298792,Malachie,1,6,אָ֣נִי,"אֲנִי, אָֽנֹכִ֫י",H0589,874
298793,Malachie,1,6,אַיֵּ֣ה,אַיֵּה,H0346,45
298794,Malachie,1,6,כְבוֹדִ֡י,כָּבוֹד,H3519,200
298795,Malachie,1,6,וְאִם־,אִם,H0518,1073
298796,Malachie,1,6,אֲדוֹנִ֣ים,אָדוֹן,H0113,333
298797,Malachie,1,6,אָנִי֩,"אֲנִי, אָֽנֹכִ֫י",H0589,874
298798,Malachie,1,6,אַיֵּ֨ה,אַיֵּה,H0346,45
298799,Malachie,1,6,מוֹרָאִ֜י,מוֹרָא,H4172,12
298800,Malachie,1,6,אָמַ֣ר׀,אָמַר,H0559,5309
298801,Malachie,1,6,יְהוָ֣ה,יהוה,H3068,6528
298802,Malachie,1,6,צְבָא֗וֹת,צָבָא,H6635,484
298803,Malachie,1,6,הַכֹּֽהֲנִים֙,כֹּהֵן,H3548,750
298804,Malachie,1,6,בּוֹזֵ֣י,בָּזָה,H0959,44
298805,Malachie,1,6,שְׁמִ֔י,שֵׁם,H8034,864
298806,Malachie,1,6,וַאֲמַרְתֶּ֕ם,אָמַר,H0559,5309
298807,Malachie,1,6,בַּמֶּ֥ה,מָה,H4100,753
298808,Malachie,1,6,בָזִ֖ינוּ,בָּזָה,H0959,44
298809,Malachie,1,6,אֶת־,אֵת,H0853,10947
298810,Malachie,1,6,שְׁמֶֽךָ׃,שֵׁם,H8034,864
298811,Malachie,1,7,מַגִּישִׁ֤ים,נָגַשׁ,H5066,125
298812,Malachie,1,7,עַֽל־,עַל,H5921,5774
298813,Malachie,1,7,מִזְבְּחִי֙,מִזְבֵּחַ,H4196,401
298814,Malachie,1,7,לֶ֣חֶם,לֶ֫חֶם,H3899,298
298815,Malachie,1,7,מְגֹאָ֔ל,גָּאַל,H1351,11
298816,Malachie,1,7,וַאֲמַרְתֶּ֖ם,אָמַר,H0559,5309
298817,Malachie,1,7,בַּמֶּ֣ה,מָה,H4100,753
298818,Malachie,1,7,גֵֽאַלְנ֑וּךָ,גָּאַל,H1351,11
298819,Malachie,1,7,בֶּאֱמָרְכֶ֕ם,אָמַר,H0559,5309
298820,Malachie,1,7,שֻׁלְחַ֥ן,שֻׁלְחָן,H7979,71
298821,Malachie,1,7,יְהוָ֖ה,יהוה,H3068,6528
298822,Malachie,1,7,נִבְזֶ֥ה,בָּזָה,H0959,44
298823,Malachie,1,7,הֽוּא׃,הוּא,H1931,1878
298824,Malachie,1,8,וְכִֽי־,כִּי,H3588,4485
298825,Malachie,1,8,תַגִּשׁ֨וּן,נָגַשׁ,H5066,125
298826,Malachie,1,8,עִוֵּ֤ר,עִוֵּר,H5787,26
298827,Malachie,1,8,לִזְבֹּ֙חַ֙,זָבַח,H2076,134
298828,Malachie,1,8,אֵ֣ין,אַ֫יִן,H0369,789
298829,Malachie,1,8,רָ֔ע,רַע,H7451,665
298830,Malachie,1,8,וְכִ֥י,כִּי,H3588,4485
298831,Malachie,1,8,תַגִּ֛ישׁוּ,נָגַשׁ,H5066,125
298832,Malachie,1,8,פִּסֵּ֥חַ,פִּסֵּחַ,H6455,14
298833,Malachie,1,8,וְחֹלֶ֖ה,חָלָה,H2470,76
298834,Malachie,1,8,אֵ֣ין,אַ֫יִן,H0369,789
298835,Malachie,1,8,רָ֑ע,רַע,H7451,665
298836,Malachie,1,8,הַקְרִיבֵ֨הוּ,קָרַב,H7126,280
298837,Malachie,1,8,נָ֜א,נָא,H4994,405
298838,Malachie,1,8,לְפֶחָתֶ֗ךָ,פֶּחָה,H6346,28
298839,Malachie,1,8,הֲיִּרְצְךָ֙,רָצָה,H7521,56
298840,Malachie,1,8,א֚וֹ,אוֹ,H0176,321
298841,Malachie,1,8,הֲיִשָּׂ֣א,נָשָׂא,H5375,656
298842,Malachie,1,8,פָנֶ֔יךָ,פָּנֶה,H6440,2127
298843,Malachie,1,8,אָמַ֖ר,אָמַר,H0559,5309
298844,Malachie,1,8,יְהוָ֥ה,יהוה,H3068,6528
298845,Malachie,1,8,צְבָאֽוֹת׃,צָבָא,H6635,484
298846,Malachie,1,9,וְעַתָּ֛ה,עַתָּ֫ה,H6258,433
298847,Malachie,1,9,חַלּוּ־,חָלָה,H2470,76
298848,Malachie,1,9,נָ֥א,נָא,H4994,405
298849,Malachie,1,9,פְנֵי־,פָּנֶה,H6440,2127
298850,Malachie,1,9,אֵ֖ל,אֵל,H0410,241
298851,Malachie,1,9,וִֽיחָנֵ֑נוּ,חָנַן,H2603,78
298852,Malachie,1,9,מִיֶּדְכֶם֙,יָד,H3027,1619
298853,Malachie,1,9,הָ֣יְתָה,הָיָה,H1961,3562
298854,Malachie,1,9,זֹּ֔את,זֹאת,H2063,604
298855,Malachie,1,9,הֲיִשָּׂ֤א,נָשָׂא,H5375,656
298856,Malachie,1,9,פָּנִ֔ים,פָּנֶה,H6440,2127
298857,Malachie,1,9,אָמַ֖ר,אָמַר,H0559,5309
298858,Malachie,1,9,יְהוָ֥ה,יהוה,H3068,6528
