tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
18898,Marc,1,1,Ἀρχὴ,ἀρχή,G0746,55
18899,Marc,1,1,τοῦ,ὁ,G3588,19785
18900,Marc,1,1,εὐαγγελίου,εὐαγγέλιον,G2098,76
18901,Marc,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
18902,Marc,1,1,Χριστοῦ,Χριστός,G5547,529
18903,Marc,1,1,υἱοῦ,υἱός,G5207,372
18905,Marc,1,1,θεοῦ,θεός,G2316,1311
18906,Marc,1,2,καθὼς,καθώς,G2531,182
18907,Marc,1,2,γέγραπται,γράφω,G1125,190
18908,Marc,1,2,ἐν,ἐν,G1722,2728
18909,Marc,1,2,τῷ,ὁ,G3588,19785
18910,Marc,1,2,Ἠσαΐᾳ,Ἡσαΐας,G2268,22
18911,Marc,1,2,τῷ,ὁ,G3588,19785
18912,Marc,1,2,προφήτῃ,προφήτης,G4396,144
18913,Marc,1,2,ἰδοὺ,ἰδού,G2400,199
18915,Marc,1,2,ἀποστέλλω,ἀποστέλλω,G0649,131
18916,Marc,1,2,τὸν,ὁ,G3588,19785
18917,Marc,1,2,ἄγγελόν,ἄγγελος,G0032,175
18918,Marc,1,2,μου,ἐγώ,G1473,2462
18919,Marc,1,2,πρὸ,πρό,G4253,47
18920,Marc,1,2,προσώπου,πρόσωπον,G4383,76
18921,Marc,1,2,σου,σύ,G4771,2896
18922,Marc,1,2,ὃς,ὅς,G3739,1408
18923,Marc,1,2,κατασκευάσει,κατασκευάζω,G2680,11
18924,Marc,1,2,τὴν,ὁ,G3588,19785
18925,Marc,1,2,ὁδόν,ὁδός,G3598,101
18926,Marc,1,2,σου,σύ,G4771,2896
18929,Marc,1,3,φωνὴ,φωνή,G5456,138
18930,Marc,1,3,βοῶντος,βοάω,G0994,12
18931,Marc,1,3,ἐν,ἐν,G1722,2728
18932,Marc,1,3,τῆ,ὁ,G3588,19785
18933,Marc,1,3,ἐρήμῳ,ἔρημος,G2048,48
18934,Marc,1,3,ἑτοιμάσατε,ἑτοιμάζω,G2090,40
18935,Marc,1,3,τὴν,ὁ,G3588,19785
18936,Marc,1,3,ὁδὸν,ὁδός,G3598,101
18937,Marc,1,3,κυρίου,κύριος,G2962,716
18938,Marc,1,3,εὐθείας,εὐθύς,G2117,8
18939,Marc,1,3,ποιεῖτε,ποιέω,G4160,568
18940,Marc,1,3,τὰς,ὁ,G3588,19785
18941,Marc,1,3,τρίβους,τρίβος,G5147,3
18942,Marc,1,3,αὐτοῦ,αὐτός,G0846,5558
18943,Marc,1,4,Ἐγένετο,γίνομαι,G1096,662
18944,Marc,1,4,Ἰωάννης,Ἰωάννης,G2491,135
18945,Marc,1,4,ὁ,ὁ,G3588,19785
18946,Marc,1,4,βαπτίζων,βαπτίζω,G0907,76
18947,Marc,1,4,ἐν,ἐν,G1722,2728
18948,Marc,1,4,τῆ,ὁ,G3588,19785
18949,Marc,1,4,ἐρήμῳ,ἔρημος,G2048,48
18950,Marc,1,4,καὶ,καί,G2532,9108
18951,Marc,1,4,κηρύσσων,κηρύσσω,G2784,61
18952,Marc,1,4,βάπτισμα,βάπτισμα,G0908,19
18953,Marc,1,4,μετανοίας,μετάνοια,G3341,22
18954,Marc,1,4,εἰς,εἰς,G1519,1757
18955,Marc,1,4,ἄφεσιν,ἄφεσις,G0859,17
18956,Marc,1,4,ἁμαρτιῶν,ἁμαρτία,G0266,173
18957,Marc,1,5,καὶ,καί,G2532,9108
18958,Marc,1,5,ἐξεπορεύετο,ἐκπορεύω,G1607,32
18959,Marc,1,5,πρὸς,πρός,G4314,699
18960,Marc,1,5,αὐτὸν,αὐτός,G0846,5558
18961,Marc,1,5,πᾶσα,πᾶς,G3956,1236
18962,Marc,1,5,ἡ,ὁ,G3588,19785
18963,Marc,1,5,Ἰουδαία,Ἰουδαία,G2449,44
18964,Marc,1,5,χώρα,χώρα,G5561,28
18965,Marc,1,5,καὶ,καί,G2532,9108
18966,Marc,1,5,οἱ,ὁ,G3588,19785
18967,Marc,1,5,Ἱεροσολυμῖται,Ἱεροσολυμίτης,G2415,2
18968,Marc,1,5,πάντες,πᾶς,G3956,1236
18969,Marc,1,5,καὶ,καί,G2532,9108
18970,Marc,1,5,ἐβαπτίζοντο,βαπτίζω,G0907,76
18971,Marc,1,5,ὑπ᾽,ὑπό,G5259,219
18972,Marc,1,5,αὐτοῦ,αὐτός,G0846,5558
18973,Marc,1,5,ἐν,ἐν,G1722,2728
18974,Marc,1,5,τῷ,ὁ,G3588,19785
18975,Marc,1,5,Ἰορδάνῃ,Ἰορδάνης,G2446,15
18976,Marc,1,5,ποταμῷ,ποταμός,G4215,17
18977,Marc,1,5,ἐξομολογούμενοι,ἐξομολογέομαι,G1843,10
18978,Marc,1,5,τὰς,ὁ,G3588,19785
18979,Marc,1,5,ἁμαρτίας,ἁμαρτία,G0266,173
18980,Marc,1,5,αὐτῶν,αὐτός,G0846,5558
18981,Marc,1,6,καὶ,καί,G2532,9108
18982,Marc,1,6,ἦν,εἰμί,G1510,2458
18984,Marc,1,6,ὁ,ὁ,G3588,19785
18985,Marc,1,6,Ἰωάννης,Ἰωάννης,G2491,135
18986,Marc,1,6,ἐνδεδυμένος,ἐνδύω,G1746,27
18987,Marc,1,6,τρίχας,θρίξ,G2359,15
18988,Marc,1,6,καμήλου,κάμηλος,G2574,6
18989,Marc,1,6,καὶ,καί,G2532,9108
18990,Marc,1,6,ζώνην,ζώνη,G2223,8
18991,Marc,1,6,δερματίνην,δερμάτινος,G1193,2
18992,Marc,1,6,περὶ,περί,G4012,331
18993,Marc,1,6,τὴν,ὁ,G3588,19785
18994,Marc,1,6,ὀσφὺν,ὀσφῦς,G3751,8
18995,Marc,1,6,αὐτοῦ,αὐτός,G0846,5558
18996,Marc,1,6,καὶ,καί,G2532,9108
18997,Marc,1,6,ἐσθίων,ἐσθίω,G2068,64
18998,Marc,1,6,ἀκρίδας,ἀκρίς,G0200,4
18999,Marc,1,6,καὶ,καί,G2532,9108
19000,Marc,1,6,μέλι,μέλι,G3192,4
19001,Marc,1,6,ἄγριον,ἄγριος,G0066,3
19002,Marc,1,7,καὶ,καί,G2532,9108
19003,Marc,1,7,ἐκήρυσσεν,κηρύσσω,G2784,61
19004,Marc,1,7,λέγων,λέγω,G3004,1318
19005,Marc,1,7,ἔρχεται,ἔρχομαι,G2064,630
19006,Marc,1,7,ὁ,ὁ,G3588,19785
19007,Marc,1,7,ἰσχυρότερός,ἰσχυρός,G2478,29
19008,Marc,1,7,μου,ἐγώ,G1473,2462
19009,Marc,1,7,ὀπίσω,ὀπίσω,G3694,35
19010,Marc,1,7,μου,ἐγώ,G1473,2462
19011,Marc,1,7,οὗ,ὅς,G3739,1408
19012,Marc,1,7,οὐκ,οὐ,G3756,1667
19013,Marc,1,7,εἰμὶ,εἰμί,G1510,2458
19014,Marc,1,7,ἱκανὸς,ἱκανός,G2425,39
19015,Marc,1,7,κύψας,κύπτω,G2955,1
19016,Marc,1,7,λῦσαι,λύω,G3089,42
19017,Marc,1,7,τὸν,ὁ,G3588,19785
19018,Marc,1,7,ἱμάντα,ἱμάς,G2438,4
19019,Marc,1,7,τῶν,ὁ,G3588,19785
19020,Marc,1,7,ὑποδημάτων,ὑπόδημα,G5266,10
19021,Marc,1,7,αὐτοῦ,αὐτός,G0846,5558
19022,Marc,1,8,ἐγὼ,ἐγώ,G1473,2462
19024,Marc,1,8,ἐβάπτισα,βαπτίζω,G0907,76
19025,Marc,1,8,ὑμᾶς,σύ,G4771,2896
19026,Marc,1,8,ἐν,ἐν,G1722,2728
19027,Marc,1,8,ὕδατι,ὕδωρ,G5204,76
19028,Marc,1,8,αὐτὸς,αὐτός,G0846,5558
19029,Marc,1,8,δὲ,δέ,G1161,2771
19030,Marc,1,8,βαπτίσει,βαπτίζω,G0907,76
19031,Marc,1,8,ὑμᾶς,σύ,G4771,2896
19032,Marc,1,8,ἐν,ἐν,G1722,2728
19033,Marc,1,8,πνεύματι,πνεῦμα,G4151,378
19034,Marc,1,8,ἁγίῳ,ἅγιος,G0040,224
19035,Marc,1,9,Καὶ,καί,G2532,9108
19036,Marc,1,9,ἐγένετο,γίνομαι,G1096,662
19037,Marc,1,9,ἐν,ἐν,G1722,2728
19038,Marc,1,9,ἐκείναις,ἐκεῖνος,G1565,243
19039,Marc,1,9,ταῖς,ὁ,G3588,19785
19040,Marc,1,9,ἡμέραις,ἡμέρα,G2250,388
19041,Marc,1,9,ἦλθεν,ἔρχομαι,G2064,630
19042,Marc,1,9,Ἰησοῦς,Ἰησοῦς,G2424,910
19043,Marc,1,9,ἀπὸ,ἀπό,G0575,640
19044,Marc,1,9,Ναζαρὲτ,Ναζαρέθ,G3478,12
19045,Marc,1,9,τῆς,ὁ,G3588,19785
19046,Marc,1,9,Γαλιλαίας,Γαλιλαία,G1056,61
19047,Marc,1,9,καὶ,καί,G2532,9108
19048,Marc,1,9,ἐβαπτίσθη,βαπτίζω,G0907,76
19049,Marc,1,9,εἰς,εἰς,G1519,1757
19050,Marc,1,9,τὸν,ὁ,G3588,19785
19051,Marc,1,9,Ἰορδάνην,Ἰορδάνης,G2446,15
19052,Marc,1,9,ὑπὸ,ὑπό,G5259,219
19053,Marc,1,9,Ἰωάννου,Ἰωάννης,G2491,135
19054,Marc,1,10,καὶ,καί,G2532,9108
19055,Marc,1,10,εὐθὺς,εὐθέως,G2112,85
19056,Marc,1,10,ἀναβαίνων,ἀναβαίνω,G0305,81
19057,Marc,1,10,ἐκ,ἐκ,G1537,912
19058,Marc,1,10,τοῦ,ὁ,G3588,19785
19059,Marc,1,10,ὕδατος,ὕδωρ,G5204,76
19060,Marc,1,10,εἶδεν,εἴδω,G1492,374
19061,Marc,1,10,σχιζομένους,σχίζω,G4977,11
19062,Marc,1,10,τοὺς,ὁ,G3588,19785
19063,Marc,1,10,οὐρανοὺς,οὐρανός,G3772,273
19064,Marc,1,10,καὶ,καί,G2532,9108
19065,Marc,1,10,τὸ,ὁ,G3588,19785
19066,Marc,1,10,πνεῦμα,πνεῦμα,G4151,378
19067,Marc,1,10,ὡς,ὡς,G5613,501
19068,Marc,1,10,περιστερὰν,περιστερά,G4058,10
19069,Marc,1,10,καταβαῖνον,καταβαίνω,G2597,79
19070,Marc,1,10,εἰς,εἰς,G1519,1757
19071,Marc,1,10,αὐτόν,αὐτός,G0846,5558
19072,Marc,1,11,καὶ,καί,G2532,9108
19073,Marc,1,11,φωνὴ,φωνή,G5456,138
19074,Marc,1,11,ἐγένετο,γίνομαι,G1096,662
19075,Marc,1,11,ἐκ,ἐκ,G1537,912
19076,Marc,1,11,τῶν,ὁ,G3588,19785
19077,Marc,1,11,οὐρανῶν,οὐρανός,G3772,273
19078,Marc,1,11,σὺ,σύ,G4771,2896
19079,Marc,1,11,εἶ,εἰμί,G1510,2458
19080,Marc,1,11,ὁ,ὁ,G3588,19785
19081,Marc,1,11,υἱός,υἱός,G5207,372
19082,Marc,1,11,μου,ἐγώ,G1473,2462
19083,Marc,1,11,ὁ,ὁ,G3588,19785
19084,Marc,1,11,ἀγαπητός,ἀγαπητός,G0027,61
19085,Marc,1,11,ἐν,ἐν,G1722,2728
19086,Marc,1,11,σοὶ,σύ,G4771,2896
19087,Marc,1,11,εὐδόκησα,εὐδοκέω,G2106,21
19088,Marc,1,12,Καὶ,καί,G2532,9108
19089,Marc,1,12,εὐθὺς,εὐθέως,G2112,85
19090,Marc,1,12,τὸ,ὁ,G3588,19785
19091,Marc,1,12,πνεῦμα,πνεῦμα,G4151,378
19092,Marc,1,12,αὐτὸν,αὐτός,G0846,5558
19093,Marc,1,12,ἐκβάλλει,ἐκβάλλω,G1544,81
19094,Marc,1,12,εἰς,εἰς,G1519,1757
19095,Marc,1,12,τὴν,ὁ,G3588,19785
19096,Marc,1,12,ἔρημον,ἔρημος,G2048,48
19097,Marc,1,13,καὶ,καί,G2532,9108
19098,Marc,1,13,ἦν,εἰμί,G1510,2458
19100,Marc,1,13,ἐν,ἐν,G1722,2728
19101,Marc,1,13,τῆ,ὁ,G3588,19785
19102,Marc,1,13,ἐρήμῳ,ἔρημος,G2048,48
19103,Marc,1,13,τεσσεράκοντα,τεσσαράκοντα,G5062,22
19104,Marc,1,13,ἡμέρας,ἡμέρα,G2250,388
19105,Marc,1,13,πειραζόμενος,πειράζω,G3985,38
19106,Marc,1,13,ὑπὸ,ὑπό,G5259,219
19107,Marc,1,13,τοῦ,ὁ,G3588,19785
19108,Marc,1,13,σατανᾶ,Σατανᾶς,G4567,36
19109,Marc,1,13,καὶ,καί,G2532,9108
19110,Marc,1,13,ἦν,εἰμί,G1510,2458
19111,Marc,1,13,μετὰ,μετά,G3326,468
19112,Marc,1,13,τῶν,ὁ,G3588,19785
19113,Marc,1,13,θηρίων,θηρίον,G2342,45
19114,Marc,1,13,καὶ,καί,G2532,9108
19115,Marc,1,13,οἱ,ὁ,G3588,19785
19116,Marc,1,13,ἄγγελοι,ἄγγελος,G0032,175
19117,Marc,1,13,διηκόνουν,διακονέω,G1247,37
19118,Marc,1,13,αὐτῷ,αὐτός,G0846,5558
