,tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
0,0,Matthieu,1,1,Βίβλος,βίβλος,G0976,10
1,1,Matthieu,1,1,γενέσεως,γένεσις,G1078,5
2,2,Matthieu,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
3,3,Matthieu,1,1,Χριστοῦ,Χριστός,G5547,529
4,4,Matthieu,1,1,υἱοῦ,υἱός,G5207,372
5,5,Matthieu,1,1,Δαυὶδ,Δαυείδ,G1138,59
6,6,Matthieu,1,1,υἱοῦ,υἱός,G5207,372
7,7,Matthieu,1,1,Ἀβραάμ,Ἀβραάμ,G0011,73
8,8,Matthieu,1,2,Ἀβραὰμ,Ἀβραάμ,G0011,73
9,9,Matthieu,1,2,ἐγέννησεν,γεννάω,G1080,97
10,10,Matthieu,1,2,τὸν,ὁ,G3588,19785
11,11,Matthieu,1,2,Ἰσαάκ,Ἰσαάκ,G2464,20
12,12,Matthieu,1,2,Ἰσαὰκ,Ἰσαάκ,G2464,20
13,13,Matthieu,1,2,δὲ,δέ,G1161,2771
14,14,Matthieu,1,2,ἐγέννησεν,γεννάω,G1080,97
15,15,Matthieu,1,2,τὸν,ὁ,G3588,19785
16,16,Matthieu,1,2,Ἰακώβ,Ἰακώβ,G2384,27
17,17,Matthieu,1,2,Ἰακὼβ,Ἰακώβ,G2384,27
18,18,Matthieu,1,2,δὲ,δέ,G1161,2771
19,19,Matthieu,1,2,ἐγέννησεν,γεννάω,G1080,97
20,20,Matthieu,1,2,τὸν,ὁ,G3588,19785
21,21,Matthieu,1,2,Ἰούδαν,Ἰούδας,G2455,41
22,22,Matthieu,1,2,καὶ,καί,G2532,9130
23,23,Matthieu,1,2,τοὺς,ὁ,G3588,19785
24,24,Matthieu,1,2,ἀδελφοὺς,ἀδελφός,G0080,343
25,25,Matthieu,1,2,αὐτοῦ,αὐτός,G0846,5558
26,26,Matthieu,1,3,Ἰούδας,Ἰούδας,G2455,41
27,27,Matthieu,1,3,δὲ,δέ,G1161,2771
28,28,Matthieu,1,3,ἐγέννησεν,γεννάω,G1080,97
29,29,Matthieu,1,3,τὸν,ὁ,G3588,19785
30,30,Matthieu,1,3,Φάρες,Φάρες,G5329,3
31,31,Matthieu,1,3,καὶ,καί,G2532,9130
32,32,Matthieu,1,3,τὸν,ὁ,G3588,19785
33,33,Matthieu,1,3,Ζάρα,Ζαρά,G2196,1
34,34,Matthieu,1,3,ἐκ,ἐκ,G1537,912
35,35,Matthieu,1,3,τῆς,ὁ,G3588,19785
36,36,Matthieu,1,3,Θαμάρ,Θάμαρ,G2283,1
37,37,Matthieu,1,3,Φάρες,Φάρες,G5329,3
38,38,Matthieu,1,3,δὲ,δέ,G1161,2771
39,39,Matthieu,1,3,ἐγέννησεν,γεννάω,G1080,97
40,40,Matthieu,1,3,τὸν,ὁ,G3588,19785
41,41,Matthieu,1,3,Ἑσρώμ,Ἐσρώμ,G2074,3
42,42,Matthieu,1,3,Ἑσρὼμ,Ἐσρώμ,G2074,3
43,43,Matthieu,1,3,δὲ,δέ,G1161,2771
44,44,Matthieu,1,3,ἐγέννησεν,γεννάω,G1080,97
45,45,Matthieu,1,3,τὸν,ὁ,G3588,19785
46,46,Matthieu,1,3,Ἀράμ,Ἀράμ,G0689,2
47,47,Matthieu,1,4,Ἀρὰμ,Ἀράμ,G0689,2
48,48,Matthieu,1,4,δὲ,δέ,G1161,2771
49,49,Matthieu,1,4,ἐγέννησεν,γεννάω,G1080,97
50,50,Matthieu,1,4,τὸν,ὁ,G3588,19785
51,51,Matthieu,1,4,Ἀμιναδάβ,Ἀμιναδάβ,G0284,3
52,52,Matthieu,1,4,Ἀμιναδὰβ,Ἀμιναδάβ,G0284,3
