Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
291704,Michée,1,1,דְּבַר־,דָּבָר,H1697,1442
291705,Michée,1,1,יְהוָ֣ה׀,יהוה,H3068,6528
291706,Michée,1,1,אֲשֶׁ֣ר,אֲשֶׁר,H0834,5499
291707,Michée,1,1,הָיָ֗ה,הָיָה,H1961,3562
291708,Michée,1,1,אֶל־,אֶל,H0413,5515
291709,Michée,1,1,מִיכָה֙,מִיכָה,H4318,33
291710,Michée,1,1,הַמֹּ֣רַשְׁתִּ֔י,מוֹרַשְׁתִּי,H4183,2
291711,Michée,1,1,בִּימֵ֥י,יוֹם,H3117,2306
291712,Michée,1,1,יוֹתָ֛ם,יוֹתָם,H3147,24
291713,Michée,1,1,אָחָ֥ז,אָחָז,H0271,42
291714,Michée,1,1,יְחִזְקִיָּ֖ה,יְחִזְקִיָּה,H3169,4
291715,Michée,1,1,מַלְכֵ֣י,מֶ֫לֶךְ,H4428,2526
291716,Michée,1,1,יְהוּדָ֑ה,יְהוּדָה,H3063,820
291717,Michée,1,1,אֲשֶׁר־,אֲשֶׁר,H0834,5499
291718,Michée,1,1,חָזָ֥ה,חָזָה,H2372,55
291719,Michée,1,1,עַל־,עַל,H5921,5774
291720,Michée,1,1,שֹׁמְר֖וֹן,שֹׁמְרוֹן,H8111,109
291721,Michée,1,1,וִירֽוּשָׁלִָֽם׃,"יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם",H3389,643
291722,Michée,1,2,שִׁמְעוּ֙,שָׁמַע,H8085,1160
291723,Michée,1,2,עַמִּ֣ים,עַם,H5971,1872
291724,Michée,1,2,כֻּלָּ֔ם,כֹּל,H3605,5415
291725,Michée,1,2,הַקְשִׁ֖יבִי,קָשַׁב,H7181,46
291726,Michée,1,2,אֶ֣רֶץ,אֶ֫רֶץ,H0776,2504
291727,Michée,1,2,וּמְלֹאָ֑הּ,מְלֹא,H4393,38
291728,Michée,1,2,וִיהִי֩,הָיָה,H1961,3562
