Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
293076,Nahum,1,1,מַשָּׂ֖א,מַשָּׂא,H4853,66
293077,Nahum,1,1,נִֽינְוֵ֑ה,נִינְוֵה,H5210,17
293078,Nahum,1,1,סֵ֧פֶר,סֵ֫פֶר,H5612,186
293079,Nahum,1,1,חֲז֛וֹן,חָזוֹן,H2377,35
293080,Nahum,1,1,נַח֖וּם,נַחוּם,H5151,1
293081,Nahum,1,1,הָאֶלְקֹשִֽׁי׃,אֶלְקֹשִׁי,H0512,1
293082,Nahum,1,2,אֵ֣ל,אֵל,H0410,241
293083,Nahum,1,2,קַנּ֤וֹא,קַנּוֹא,H7072,2
293084,Nahum,1,2,וְנֹקֵם֙,נָקַם,H5358,35
293085,Nahum,1,2,יְהוָ֔ה,יהוה,H3068,6528
293086,Nahum,1,2,נֹקֵ֥ם,נָקַם,H5358,35
293087,Nahum,1,2,יְהוָ֖ה,יהוה,H3068,6528
293088,Nahum,1,2,וּבַ֣עַל,בַּעַל,H1167,84
293089,Nahum,1,2,חֵמָ֑ה,חֵמָה,H2534,125
293090,Nahum,1,2,נֹקֵ֤ם,נָקַם,H5358,35
293091,Nahum,1,2,יְהוָה֙,יהוה,H3068,6528
293092,Nahum,1,2,לְצָרָ֔יו,צַר,H6862,109
293093,Nahum,1,2,וְנוֹטֵ֥ר,נָטַר,H5201,9
293094,Nahum,1,2,ה֖וּא,הוּא,H1931,1878
293095,Nahum,1,2,לְאֹיְבָֽיו׃,אֹיֵב,H0341,283
293096,Nahum,1,3,יְהֹוָ֗ה,יהוה,H3068,6528
293097,Nahum,1,3,אֶ֤רֶךְ,אָרֵךְ,H0750,15
293098,Nahum,1,3,אַפַּ֙יִם֙,אַף,H0639,276
293099,Nahum,1,3,וּגְדָול־,גַּל,H1419,526
293100,Nahum,1,3,כֹּ֔חַ,כֹּחַ,H3581,126
293101,Nahum,1,3,וְנַקֵּ֖ה,נָקָה,H5352,44
293102,Nahum,1,3,לֹ֣א,לֹא,H3808,5170
293103,Nahum,1,3,יְנַקֶּ֑ה,נָקָה,H5352,44
293104,Nahum,1,3,יְהוָ֗ה,יהוה,H3068,6528
293105,Nahum,1,3,בְּסוּפָ֤ה,סוּפָה,H5492,16
293106,Nahum,1,3,וּבִשְׂעָרָה֙,שְׂעָרָה,H8183,2
293107,Nahum,1,3,דַּרְכּ֔וֹ,דֶּ֫רֶךְ,H1870,708
293108,Nahum,1,3,וְעָנָ֖ן,עָנָן,H6051,87
293109,Nahum,1,3,אֲבַ֥ק,אָבָק,H0080,6
293110,Nahum,1,3,רַגְלָֽיו׃,רֶ֫גֶל,H7272,245
293111,Nahum,1,4,גּוֹעֵ֤ר,גָּעַר,H1605,14
293112,Nahum,1,4,בַּיָּם֙,יָם,H3220,396
293113,Nahum,1,4,וַֽיַּבְּשֵׁ֔הוּ,יָבֵשׁ,H3001,60
293114,Nahum,1,4,וְכָל־,כֹּל,H3605,5415
293115,Nahum,1,4,הַנְּהָר֖וֹת,נָהָר,H5104,119
293116,Nahum,1,4,הֶֽחֱרִ֑יב,חָרֵב,H2717,40
293117,Nahum,1,4,אֻמְלַ֤ל,אָמַל,H0535,16
293118,Nahum,1,4,בָּשָׁן֙,בָּשָׁן,H1316,60
293119,Nahum,1,4,וְכַרְמֶ֔ל,כַּרְמֶל,H3760,22
293120,Nahum,1,4,וּפֶ֥רַח,פֶּ֫רַח,H6525,17
293121,Nahum,1,4,לְבָנ֖וֹן,לְבָנוֹן,H3844,71
293122,Nahum,1,4,אֻמְלָֽל׃,אָמַל,H0535,16
293123,Nahum,1,5,הָרִים֙,הַר,H2022,547
293124,Nahum,1,5,רָעֲשׁ֣וּ,רָעַשׁ,H7493,30
293125,Nahum,1,5,מִמֶּ֔נּוּ,מִן־,H4480,1190
293126,Nahum,1,5,וְהַגְּבָע֖וֹת,גִּבְעָה,H1389,68
293127,Nahum,1,5,הִתְמֹגָ֑גוּ,מוּג,H4127,17
293128,Nahum,1,5,וַתִּשָּׂ֤א,נָשָׂא,H5375,656
293129,Nahum,1,5,הָאָ֙רֶץ֙,אֶ֫רֶץ,H0776,2504
293130,Nahum,1,5,מִפָּנָ֔יו,פָּנֶה,H6440,2127
293131,Nahum,1,5,וְתֵבֵ֖ל,תֵּבֵל,H8398,36
293132,Nahum,1,5,וְכָל־,כֹּל,H3605,5415
293133,Nahum,1,5,יֹ֥שְׁבֵי,יָשַׁב,H3427,1078
293134,Nahum,1,6,לִפְנֵ֤י,פָּנֶה,H6440,2127
293135,Nahum,1,6,זַעְמוֹ֙,זַ֫עַם,H2195,22
293136,Nahum,1,6,מִ֣י,מִי,H4310,424
293137,Nahum,1,6,יַֽעֲמ֔וֹד,עָמַד,H5975,521
293138,Nahum,1,6,וּמִ֥י,מִי,H4310,424
293139,Nahum,1,6,יָק֖וּם,קוּם,H6965,628
293140,Nahum,1,6,בַּחֲר֣וֹן,חָרוֹן,H2740,41
293141,Nahum,1,6,אַפּ֑וֹ,אַף,H0639,276
293142,Nahum,1,6,חֲמָתוֹ֙,חֵמָה,H2534,125
293143,Nahum,1,6,נִתְּכָ֣ה,נָתַךְ,H5413,21
293144,Nahum,1,6,כָאֵ֔שׁ,אֵשׁ,H0784,378
293145,Nahum,1,6,וְהַצֻּרִ֖ים,צוּר,H6697,78
293146,Nahum,1,6,נִתְּצ֥וּ,נָתַץ,H5422,42
293147,Nahum,1,6,מִמֶּֽנּוּ׃,מִן־,H4480,1190
293148,Nahum,1,7,ט֣וֹב,טוֹב,H2896,562
293149,Nahum,1,7,יְהוָ֔ה,יהוה,H3068,6528
293150,Nahum,1,7,לְמָע֖וֹז,מָעוֹז,H4581,36
293151,Nahum,1,7,בְּי֣וֹם,יוֹם,H3117,2306
293152,Nahum,1,7,צָרָ֑ה,צָרָה,H6869,73
293153,Nahum,1,7,וְיֹדֵ֖עַ,יָדַע,H3045,946
293154,Nahum,1,7,חֹ֥סֵי,חָסָה,H2620,37
293155,Nahum,1,8,וּבְשֶׁ֣טֶף,שֶׁ֫טֶף,H7858,6
293156,Nahum,1,8,עֹבֵ֔ר,עָבַר,H5674,556
293157,Nahum,1,8,כָּלָ֖ה,כָּלָה,H3617,21
293158,Nahum,1,8,יַעֲשֶׂ֣ה,עָשָׂה,H6213,2629
293159,Nahum,1,8,מְקוֹמָ֑הּ,מָקוֹם,H4725,401
293160,Nahum,1,8,וְאֹיְבָ֖יו,אֹיֵב,H0341,283
293161,Nahum,1,8,יְרַדֶּף־,רָדַף,H7291,143
293162,Nahum,1,8,חֹֽשֶׁךְ׃,חֹ֫שֶׁךְ,H2822,80
293163,Nahum,1,9,מַה־,מָה,H4100,753
293164,Nahum,1,9,תְּחַשְּׁבוּן֙,חָשַׁב,H2803,124
293165,Nahum,1,9,אֶל־,אֶל,H0413,5515
293166,Nahum,1,9,יְהוָ֔ה,יהוה,H3068,6528
293167,Nahum,1,9,כָּלָ֖ה,כָּלָה,H3617,21
293168,Nahum,1,9,ה֣וּא,הוּא,H1931,1878
293169,Nahum,1,9,עֹשֶׂ֑ה,עָשָׂה,H6213,2629
293170,Nahum,1,9,לֹֽא־,לֹא,H3808,5170
293171,Nahum,1,9,תָק֥וּם,קוּם,H6965,628
293172,Nahum,1,9,פַּעֲמַ֖יִם,פַּ֫עַם,H6471,118
293173,Nahum,1,9,צָרָֽה׃,צָרָה,H6869,73
293174,Nahum,1,10,כִּ֚י,כִּי,H3588,4485
293175,Nahum,1,10,עַד־,עַד,H5704,1261
293176,Nahum,1,10,סִירִ֣ים,סִיר,H5518,34
293177,Nahum,1,10,סְבֻכִ֔ים,סָבַךְ,H5440,2
293178,Nahum,1,10,וּכְסָבְאָ֖ם,סֹ֫בֶא,H5435,3
293179,Nahum,1,10,סְבוּאִ֑ים,סָבָא,H5433,5
293180,Nahum,1,10,אֻ֨כְּל֔וּ,אָכַל,H0398,810
293181,Nahum,1,10,כְּקַ֥שׁ,קַשׁ,H7179,16
293182,Nahum,1,10,יָבֵ֖שׁ,יָבֵשׁ,H3002,10
293183,Nahum,1,10,מָלֵֽא׃,מָלֵא,H4392,66
293184,Nahum,1,11,מִמֵּ֣ךְ,מִן־,H4480,1190
293185,Nahum,1,11,יָצָ֔א,יָצָא,H3318,1067
293186,Nahum,1,11,חֹשֵׁ֥ב,חָשַׁב,H2803,124
293187,Nahum,1,11,עַל־,עַל,H5921,5774
293188,Nahum,1,11,יְהוָ֖ה,יהוה,H3068,6528
293189,Nahum,1,11,רָעָ֑ה,רָעָה,H7451,665
293190,Nahum,1,11,יֹעֵ֖ץ,יָעַץ,H3289,79
293191,Nahum,1,11,בְּלִיָּֽעַל׃ ס,בְּלִיַּ֫עַל,H1100,27
293192,Nahum,1,12,כֹּ֣ה׀,כֹּה,H3541,577
293193,Nahum,1,12,אָמַ֣ר,אָמַר,H0559,5309
293194,Nahum,1,12,יְהוָ֗ה,יהוה,H3068,6528
293195,Nahum,1,12,אִם־,אִם,H0518,1073
293196,Nahum,1,12,שְׁלֵמִים֙,שָׁלֵם,H8003,28
293197,Nahum,1,12,וְכֵ֣ן,כֵּן,H3651,765
293198,Nahum,1,12,רַבִּ֔ים,רַב,H7227,454
293199,Nahum,1,12,וְכֵ֥ן,כֵּן,H3651,765
293200,Nahum,1,12,נָגֹ֖זּוּ,גָּזַז,H1494,15
293201,Nahum,1,12,וְעָבָ֑ר,עָבַר,H5674,556
293202,Nahum,1,12,וְעִ֨נִּתִ֔ךְ,עָנָה,H6031,82
293203,Nahum,1,12,לֹ֥א,לֹא,H3808,5170
293204,Nahum,1,12,אֲעַנֵּ֖ךְ,עָנָה,H6031,82
293205,Nahum,1,12,עֽוֹד׃,עוֹד,H5750,490
293206,Nahum,1,13,וְעַתָּ֕ה,עַתָּ֫ה,H6258,433
293207,Nahum,1,13,אֶשְׁבֹּ֥ר,שָׁבַר,H7665,147
293208,Nahum,1,13,מֹטֵ֖הוּ,מוֹט,H4132,6
293209,Nahum,1,13,מֵֽעָלָ֑יִךְ,עַל,H5921,5774
293210,Nahum,1,13,וּמוֹסְרֹתַ֖יִךְ,מוֹסֵר,H4147,11
293211,Nahum,1,13,אֲנַתֵּֽק׃,נָתַק,H5423,27
293212,Nahum,1,14,וְצִוָּ֤ה,צָוָה,H6680,494
293213,Nahum,1,14,עָלֶ֙יךָ֙,עַל,H5921,5774
293214,Nahum,1,14,יְהוָ֔ה,יהוה,H3068,6528
293215,Nahum,1,14,לֹֽא־,לֹא,H3808,5170
293216,Nahum,1,14,יִזָּרַ֥ע,זָרַע,H2232,56
293217,Nahum,1,14,מִשִּׁמְךָ֖,שֵׁם,H8034,864
293218,Nahum,1,14,ע֑וֹד,עוֹד,H5750,490
293219,Nahum,1,14,מִבֵּ֨ית,בַּ֫יִת,H1004,2049
293220,Nahum,1,14,אֱלֹהֶ֜יךָ,אֱלֹהִים,H0430,2603
293221,Nahum,1,14,אַכְרִ֨ית,כָּרַת,H3772,288
293222,Nahum,1,14,פֶּ֧סֶל,פֶּ֫סֶל,H6459,31
293223,Nahum,1,14,וּמַסֵּכָ֛ה,מַסֵּכָה,H4541,28
293224,Nahum,1,14,אָשִׂ֥ים,שׂוּם,H7760,585
293225,Nahum,1,14,קִבְרֶ֖ךָ,קֶ֫בֶר,H6913,67
293226,Nahum,1,14,כִּ֥י,כִּי,H3588,4485
293227,Nahum,1,14,קַלּֽוֹתָ׃ פ,קָלַל,H7043,82
293228,Nahum,2,1,הִנֵּ֨ה,הִנֵּה,H2009,843
293229,Nahum,2,1,עַל־,עַל,H5921,5774
293230,Nahum,2,1,הֶהָרִ֜ים,הַר,H2022,547
293231,Nahum,2,1,רַגְלֵ֤י,רֶ֫גֶל,H7272,245
293232,Nahum,2,1,מְבַשֵּׂר֙,בָּשַׂר,H1319,24
293233,Nahum,2,1,מַשְׁמִ֣יעַ,שָׁמַע,H8085,1160
