Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
48251,Nombres,1,1,וַיְדַבֵּ֨ר,דָבַר,H1696,1142
48252,Nombres,1,1,יְהוָ֧ה,יהוה,H3068,6528
48253,Nombres,1,1,אֶל־,אֶל,H0413,5515
48254,Nombres,1,1,מֹשֶׁ֛ה,מֹשֶׁה,H4872,766
48255,Nombres,1,1,בְּמִדְבַּ֥ר,מִדְבָּר,H4057,271
48256,Nombres,1,1,סִינַ֖י,סִינַי,H5514,35
48257,Nombres,1,1,בְּאֹ֣הֶל,אֹ֫הֶל,H0168,345
48258,Nombres,1,1,מוֹעֵ֑ד,מוֹעֵד,H4150,223
48259,Nombres,1,1,בְּאֶחָד֩,אֶחָד,H0259,971
48260,Nombres,1,1,לַחֹ֨דֶשׁ,חֹ֫דֶשׁ,H2320,285
48261,Nombres,1,1,הַשֵּׁנִ֜י,שֵׁנִי,H8145,156
48262,Nombres,1,1,בַּשָּׁנָ֣ה,שָׁנָה,H8141,877
48263,Nombres,1,1,הַשֵּׁנִ֗ית,שֵׁנִי,H8145,156
48264,Nombres,1,1,לְצֵאתָ֛ם,יָצָא,H3318,1067
48265,Nombres,1,1,מֵאֶ֥רֶץ,אֶ֫רֶץ,H0776,2504
48266,Nombres,1,1,מִצְרַ֖יִם,מִצְרַ֫יִם,H4714,641
48267,Nombres,1,1,לֵאמֹֽר׃,אָמַר,H0559,5309
48268,Nombres,1,2,שְׂא֗וּ,נָשָׂא,H5375,656
48269,Nombres,1,2,אֶת־,אֵת,H0853,10947
48270,Nombres,1,2,רֹאשׁ֙,רֹאשׁ,H7218,600
48271,Nombres,1,2,כָּל־,כֹּל,H3605,5415
48272,Nombres,1,2,עֲדַ֣ת,עֵדָה,H5712,149
48273,Nombres,1,2,בְּנֵֽי־,בֵּן,H1121,4959
48274,Nombres,1,2,יִשְׂרָאֵ֔ל,יִשְׂרָאֵל,H3478,2508
48275,Nombres,1,2,לְמִשְׁפְּחֹתָ֖ם,מִשְׁפָּחָה,H4940,303
48276,Nombres,1,2,לְבֵ֣ית,בַּ֫יִת,H1004,2049
48277,Nombres,1,2,אֲבֹתָ֑ם,אָב,H0001,1213
48278,Nombres,1,2,בְּמִסְפַּ֣ר,מִסְפָּר,H4557,134
48279,Nombres,1,2,שֵׁמ֔וֹת,שֵׁם,H8034,864
48280,Nombres,1,2,כָּל־,כֹּל,H3605,5415
48281,Nombres,1,2,זָכָ֖ר,זָכָר,H2145,82
48282,Nombres,1,2,לְגֻלְגְּלֹתָֽם׃,גֻּלְגֹּ֫לֶת,H1538,12
48283,Nombres,1,3,מִבֶּ֨ן,בֵּן,H1121,4959
48284,Nombres,1,3,עֶשְׂרִ֤ים,עֶשְׂרִים,H6242,315
48285,Nombres,1,3,שָׁנָה֙,שָׁנָה,H8141,877
48286,Nombres,1,3,וָמַ֔עְלָה,מַ֫עַל,H4605,140
48287,Nombres,1,3,כָּל־,כֹּל,H3605,5415
48288,Nombres,1,3,יֹצֵ֥א,יָצָא,H3318,1067
48289,Nombres,1,3,צָבָ֖א,צָבָא,H6635,484
48290,Nombres,1,3,בְּיִשְׂרָאֵ֑ל,יִשְׂרָאֵל,H3478,2508
48291,Nombres,1,3,תִּפְקְד֥וּ,פָּקַד,H6485,303
48292,Nombres,1,3,אֹתָ֛ם,אֵת,H0853,10947
48293,Nombres,1,3,לְצִבְאֹתָ֖ם,צָבָא,H6635,484
48294,Nombres,1,3,אַתָּ֥ה,אַתָּ֫ה,H0859,1094
48295,Nombres,1,3,וְאַהֲרֹֽן׃,אַהֲרֹן,H0175,347
48296,Nombres,1,4,וְאִתְּכֶ֣ם,אֵת,H0854,929
48297,Nombres,1,4,יִהְי֔וּ,הָיָה,H1961,3562
48298,Nombres,1,4,אִ֥ישׁ,אִישׁ,H0376,1663
48299,Nombres,1,4,אִ֖ישׁ,אִישׁ,H0376,1663
48300,Nombres,1,4,לַמַּטֶּ֑ה,מַטֶּה,H4294,252
48301,Nombres,1,4,אִ֛ישׁ,אִישׁ,H0376,1663
48302,Nombres,1,4,רֹ֥אשׁ,רֹאשׁ,H7218,600
48303,Nombres,1,4,לְבֵית־,בַּ֫יִת,H1004,2049
48304,Nombres,1,4,אֲבֹתָ֖יו,אָב,H0001,1213
48305,Nombres,1,4,הֽוּא׃,הוּא,H1931,1878
48306,Nombres,1,5,וְאֵ֙לֶּה֙,אֵ֫לֶּה,H0428,746
48307,Nombres,1,5,שְׁמ֣וֹת,שֵׁם,H8034,864
48308,Nombres,1,5,הָֽאֲנָשִׁ֔ים,אֱנוֹשׁ,H0582,566
48309,Nombres,1,5,אֲשֶׁ֥ר,אֲשֶׁר,H0834,5499
48310,Nombres,1,5,יַֽעַמְד֖וּ,עָמַד,H5975,521
48311,Nombres,1,5,אִתְּכֶ֑ם,אֵת,H0854,929
48312,Nombres,1,5,לִרְאוּבֵ֕ן,רְאוּבֵן,H7205,72
48313,Nombres,1,5,אֱלִיצ֖וּר,אֱלִיצוּר,H0468,5
48314,Nombres,1,5,בֶּן־,בֵּן,H1121,4959
48315,Nombres,1,5,שְׁדֵיאֽוּר׃,שְׁדֵיאוּר,H7707,5
48316,Nombres,1,6,לְשִׁמְע֕וֹן,שִׁמְעוֹן,H8095,44
48317,Nombres,1,6,שְׁלֻמִיאֵ֖ל,שְׁלֻמִיאֵל,H8017,5
48318,Nombres,1,6,בֶּן־,בֵּן,H1121,4959
48319,Nombres,1,6,צוּרִֽישַׁדָּֽי׃,צוּרִישַׁדָּ֑י,H6701,7
48320,Nombres,1,7,לִֽיהוּדָ֕ה,יְהוּדָה,H3063,820
