Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
175314,Néhémie,1,1,דִּבְרֵ֥י,דָּבָר,H1697,1442
175315,Néhémie,1,1,נְחֶמְיָ֖ה,נְחֶמְיָה,H5166,8
175316,Néhémie,1,1,בֶּן־,בֵּן,H1121,4959
175317,Néhémie,1,1,חֲכַלְיָ֑ה,חֲכַלְיָה,H2446,2
175318,Néhémie,1,1,וַיְהִ֤י,הָיָה,H1961,3562
175319,Néhémie,1,1,בְחֹֽדֶשׁ־,חֹ֫דֶשׁ,H2320,285
175320,Néhémie,1,1,כִּסְלֵו֙,כִּסְלֵו,H3691,2
175321,Néhémie,1,1,שְׁנַ֣ת,שָׁנָה,H8141,877
175322,Néhémie,1,1,עֶשְׂרִ֔ים,עֶשְׂרִים,H6242,315
175323,Néhémie,1,1,וַאֲנִ֥י,"אֲנִי, אָֽנֹכִ֫י",H0589,874
175324,Néhémie,1,1,הָיִ֖יתִי,הָיָה,H1961,3562
175325,Néhémie,1,1,בְּשׁוּשַׁ֥ן,שׁוּשַׁן,H7800,21
175326,Néhémie,1,1,הַבִּירָֽה׃,בִּירָה,H1002,16
175327,Néhémie,1,2,וַיָּבֹ֨א,בּוֹא,H0935,2572
175328,Néhémie,1,2,חֲנָ֜נִי,חֲנָנִי,H2607,11
175329,Néhémie,1,2,אֶחָ֧ד,אֶחָד,H0259,971
175330,Néhémie,1,2,מֵאַחַ֛י,אָח,H0251,630
175331,Néhémie,1,2,ה֥וּא,הוּא,H1931,1878
175332,Néhémie,1,2,וַאֲנָשִׁ֖ים,אֱנוֹשׁ,H0582,566
175333,Néhémie,1,2,מִֽיהוּדָ֑ה,יְהוּדָה,H3063,820
175334,Néhémie,1,2,וָאֶשְׁאָלֵ֞ם,שָׁאַל,H7592,173
175335,Néhémie,1,2,עַל־,עַל,H5921,5774
175336,Néhémie,1,2,הַיְּהוּדִ֧ים,יְהוּדִי,H3064,75
175337,Néhémie,1,2,הַפְּלֵיטָ֛ה,פְּלֵיטָה,H6413,28
175338,Néhémie,1,2,אֲשֶֽׁר־,אֲשֶׁר,H0834,5499
175339,Néhémie,1,2,נִשְׁאֲר֥וּ,שָׁאַר,H7604,133
175340,Néhémie,1,2,מִן־,מִן־,H4480,1190
175341,Néhémie,1,2,הַשֶּׁ֖בִי,שְׁבִי,H7628,50
175342,Néhémie,1,2,וְעַל־,עַל,H5921,5774
175343,Néhémie,1,2,יְרוּשָׁלִָֽם׃,"יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם",H3389,643
175344,Néhémie,1,3,וַיֹּאמְרוּ֮,אָמַר,H0559,5309
175345,Néhémie,1,3,הַֽנִּשְׁאָרִ֞ים,שָׁאַר,H7604,133
175346,Néhémie,1,3,אֲשֶֽׁר־,אֲשֶׁר,H0834,5499
175347,Néhémie,1,3,נִשְׁאֲר֤וּ,שָׁאַר,H7604,133
175348,Néhémie,1,3,מִן־,מִן־,H4480,1190
175349,Néhémie,1,3,הַשְּׁבִי֙,שְׁבִי,H7628,50
175350,Néhémie,1,3,שָׁ֣ם,שָׁם,H8033,834
175351,Néhémie,1,3,בַּמְּדִינָ֔ה,מְדִינָה,H4082,53
175352,Néhémie,1,3,בְּרָעָ֥ה,רָעָה,H7451,665
175353,Néhémie,1,3,גְדֹלָ֖ה,גַּל,H1419,526
175354,Néhémie,1,3,וּבְחֶרְפָּ֑ה,חֶרְפָּה,H2781,73
175355,Néhémie,1,3,וְחוֹמַ֤ת,חוֹמָה,H2346,133
175356,Néhémie,1,3,יְרוּשָׁלִַ֙ם֙,"יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם",H3389,643
175357,Néhémie,1,3,מְפֹרָ֔צֶת,פָּרַץ,H6555,48
175358,Néhémie,1,3,וּשְׁעָרֶ֖יהָ,שַׁ֫עַר,H8179,374
175359,Néhémie,1,3,נִצְּת֥וּ,יָצַת,H3341,29
175360,Néhémie,1,3,בָאֵֽשׁ׃,אֵשׁ,H0784,378
175361,Néhémie,1,4,וַיְהִ֞י,הָיָה,H1961,3562
175362,Néhémie,1,4,כְּשָׁמְעִ֣י׀,שָׁמַע,H8085,1160
175363,Néhémie,1,4,אֶת־,אֵת,H0853,10947
175364,Néhémie,1,4,הַדְּבָרִ֣ים,דָּבָר,H1697,1442
175365,Néhémie,1,4,הָאֵ֗לֶּה,אֵ֫לֶּה,H0428,746
175366,Néhémie,1,4,יָשַׁ֙בְתִּי֙,יָשַׁב,H3427,1078
175367,Néhémie,1,4,וָֽאֶבְכֶּ֔ה,בָּכָה,H1058,114
175368,Néhémie,1,4,וָאֶתְאַבְּלָ֖ה,אָבַל,H0056,39
175369,Néhémie,1,4,יָמִ֑ים,יוֹם,H3117,2306
175370,Néhémie,1,4,וָֽאֱהִ֥י,הָיָה,H1961,3562
175371,Néhémie,1,4,צָם֙,צוּם,H6684,21
175372,Néhémie,1,4,וּמִתְפַּלֵּ֔ל,פָּלַל,H6419,84
175373,Néhémie,1,4,לִפְנֵ֖י,פָּנֶה,H6440,2127
175374,Néhémie,1,4,אֱלֹהֵ֥י,אֱלֹהִים,H0430,2603
175375,Néhémie,1,4,הַשָּׁמָֽיִם׃,שָׁמַיִם,H8064,421
175376,Néhémie,1,5,וָאֹמַ֗ר,אָמַר,H0559,5309
175377,Néhémie,1,5,אָֽנָּ֤א,אָֽנָּ֫א,H0577,13
175378,Néhémie,1,5,יְהוָה֙,יהוה,H3068,6528
175379,Néhémie,1,5,אֱלֹהֵ֣י,אֱלֹהִים,H0430,2603
175380,Néhémie,1,5,הַשָּׁמַ֔יִם,שָׁמַיִם,H8064,421
