Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
285498,Osée,1,1,דְּבַר־,דָּבָר,H1697,1442
285499,Osée,1,1,יְהוָ֣ה׀,יהוה,H3068,6528
285500,Osée,1,1,אֲשֶׁ֣ר,אֲשֶׁר,H0834,5499
285501,Osée,1,1,הָיָ֗ה,הָיָה,H1961,3562
285502,Osée,1,1,אֶל־,אֶל,H0413,5515
285503,Osée,1,1,הוֹשֵׁ֙עַ֙,הוֹשֵׁעַ,H1954,16
285504,Osée,1,1,בֶּן־,בֵּן,H1121,4959
285505,Osée,1,1,בְּאֵרִ֔י,בְּאֵרִי,H0882,2
285506,Osée,1,1,בִּימֵ֨י,יוֹם,H3117,2306
285507,Osée,1,1,עֻזִּיָּ֥ה,עֻזִּיָּהוּ,H5818,27
285508,Osée,1,1,יוֹתָ֛ם,יוֹתָם,H3147,24
285509,Osée,1,1,אָחָ֥ז,אָחָז,H0271,42
285510,Osée,1,1,יְחִזְקִיָּ֖ה,יְחִזְקִיָּה,H3169,4
285511,Osée,1,1,מַלְכֵ֣י,מֶ֫לֶךְ,H4428,2526
285512,Osée,1,1,יְהוּדָ֑ה,יְהוּדָה,H3063,820
285513,Osée,1,1,וּבִימֵ֛י,יוֹם,H3117,2306
285514,Osée,1,1,יָרָבְעָ֥ם,יָֽרָבְעָם,H3379,104
285515,Osée,1,1,בֶּן־,בֵּן,H1121,4959
285516,Osée,1,1,יוֹאָ֖שׁ,יוֹאָשׁ,H3101,47
285517,Osée,1,1,מֶ֥לֶךְ,מֶ֫לֶךְ,H4428,2526
285518,Osée,1,1,יִשְׂרָאֵֽל׃,יִשְׂרָאֵל,H3478,2508
285519,Osée,1,2,תְּחִלַּ֥ת,תְּחִלָּה,H8462,22
285520,Osée,1,2,דִּבֶּר־,דָבַר,H1696,1142
285521,Osée,1,2,יְהוָ֖ה,יהוה,H3068,6528
285522,Osée,1,2,בְּהוֹשֵׁ֑עַ פ,הוֹשֵׁעַ,H1954,16
285523,Osée,1,2,וַיֹּ֨אמֶר,אָמַר,H0559,5309
285524,Osée,1,2,יְהוָ֜ה,יהוה,H3068,6528
285525,Osée,1,2,אֶל־,אֶל,H0413,5515
285526,Osée,1,2,הוֹשֵׁ֗עַ,הוֹשֵׁעַ,H1954,16
285527,Osée,1,2,לֵ֣ךְ,הָלַךְ,H1980,1549
285528,Osée,1,2,קַח־,לָקַח,H3947,966
285529,Osée,1,2,אֵ֤שֶׁת,אִשָּׁה,H0802,781
285530,Osée,1,2,זְנוּנִים֙,זְנוּנִים,H2183,12
285531,Osée,1,2,וְיַלְדֵ֣י,יֶ֫לֶד,H3206,89
285532,Osée,1,2,זְנוּנִ֔ים,זְנוּנִים,H2183,12
285533,Osée,1,2,כִּֽי־,כִּי,H3588,4485
285534,Osée,1,2,זָנֹ֤ה,זָנָה,H2181,94
285535,Osée,1,2,תִזְנֶה֙,זָנָה,H2181,94
285536,Osée,1,2,הָאָ֔רֶץ,אֶ֫רֶץ,H0776,2504
285537,Osée,1,2,מֵֽאַחֲרֵ֖י,אַחַר,H0310,716
285538,Osée,1,2,יְהוָֽה׃,יהוה,H3068,6528
285539,Osée,1,3,וַיֵּ֙לֶךְ֙,הָלַךְ,H1980,1549
285540,Osée,1,3,וַיִּקַּ֔ח,לָקַח,H3947,966
285541,Osée,1,3,אֶת־,אֵת,H0853,10947
285542,Osée,1,3,גֹּ֖מֶר,גֹּ֫מֶר,H1586,6
285543,Osée,1,3,בַּת־,בַּת,H1323,588
285544,Osée,1,3,דִּבְלָ֑יִם,דִּבְלַ֫יִם,H1691,1
285545,Osée,1,3,וַתַּ֥הַר,הָרָה,H2029,43
285546,Osée,1,3,וַתֵּֽלֶד־,יָלַד,H3205,496
285547,Osée,1,3,בֵּֽן׃,בֵּן,H1121,4959
285548,Osée,1,4,וַיֹּ֤אמֶר,אָמַר,H0559,5309
285549,Osée,1,4,יְהוָה֙,יהוה,H3068,6528
285550,Osée,1,4,אֵלָ֔יו,אֶל,H0413,5515
285551,Osée,1,4,קְרָ֥א,קָרָא,H7121,733
285552,Osée,1,4,שְׁמ֖וֹ,שֵׁם,H8034,864
285553,Osée,1,4,יִזְרְעֶ֑אל,יִזְרְעֶאל,H3157,36
285554,Osée,1,4,כִּי־,כִּי,H3588,4485
285555,Osée,1,4,ע֣וֹד,עוֹד,H5750,490
285556,Osée,1,4,מְעַ֗ט,מְעַט,H4592,101
285557,Osée,1,4,וּפָ֨קַדְתִּ֜י,פָּקַד,H6485,303
285558,Osée,1,4,אֶת־,אֵת,H0853,10947
285559,Osée,1,4,דְּמֵ֤י,דָּם,H1818,360
285560,Osée,1,4,יִזְרְעֶאל֙,יִזְרְעֶאל,H3157,36
285561,Osée,1,4,עַל־,עַל,H5921,5774
285562,Osée,1,4,בֵּ֣ית,בַּ֫יִת,H1004,2049
