tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
109522,Philippiens,1,1,Παῦλος,Παῦλος,G3972,158
109523,Philippiens,1,1,καὶ,καί,G2532,9108
109524,Philippiens,1,1,Τιμόθεος,Τιμόθεος,G5095,24
109525,Philippiens,1,1,δοῦλοι,δοῦλος,G1401,129
109526,Philippiens,1,1,Χριστοῦ,Χριστός,G5547,529
109527,Philippiens,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
109528,Philippiens,1,1,πᾶσιν,πᾶς,G3956,1236
109529,Philippiens,1,1,τοῖς,ὁ,G3588,19785
109530,Philippiens,1,1,ἁγίοις,ἅγιος,G0040,224
109531,Philippiens,1,1,ἐν,ἐν,G1722,2728
109532,Philippiens,1,1,Χριστῷ,Χριστός,G5547,529
109533,Philippiens,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
109534,Philippiens,1,1,τοῖς,ὁ,G3588,19785
109535,Philippiens,1,1,οὖσιν,εἰμί,G1510,2458
109536,Philippiens,1,1,ἐν,ἐν,G1722,2728
109537,Philippiens,1,1,Φιλίπποις,Φίλιπποι,G5375,4
109538,Philippiens,1,1,σὺν,σύν,G4862,127
109539,Philippiens,1,1,ἐπισκόποις,ἐπίσκοπος,G1985,5
109540,Philippiens,1,1,καὶ,καί,G2532,9108
109541,Philippiens,1,1,διακόνοις,διάκονος,G1249,30
109542,Philippiens,1,2,χάρις,χάρις,G5485,154
109543,Philippiens,1,2,ὑμῖν,σύ,G4771,2896
109544,Philippiens,1,2,καὶ,καί,G2532,9108
109545,Philippiens,1,2,εἰρήνη,εἰρήνη,G1515,92
109546,Philippiens,1,2,ἀπὸ,ἀπό,G0575,640
109547,Philippiens,1,2,θεοῦ,θεός,G2316,1311
109548,Philippiens,1,2,πατρὸς,πατήρ,G3962,414
109549,Philippiens,1,2,ἡμῶν,ἐγώ,G1473,2462
109550,Philippiens,1,2,καὶ,καί,G2532,9108
109551,Philippiens,1,2,κυρίου,κύριος,G2962,716
109552,Philippiens,1,2,Ἰησοῦ,Ἰησοῦς,G2424,910
109553,Philippiens,1,2,Χριστοῦ,Χριστός,G5547,529
109554,Philippiens,1,3,Εὐχαριστῶ,εὐχαριστέω,G2168,38
109555,Philippiens,1,3,τῷ,ὁ,G3588,19785
109556,Philippiens,1,3,θεῷ,θεός,G2316,1311
109557,Philippiens,1,3,μου,ἐγώ,G1473,2462
109558,Philippiens,1,3,ἐπὶ,ἐπί,G1909,884
109559,Philippiens,1,3,πάσῃ,πᾶς,G3956,1236
109560,Philippiens,1,3,τῆ,ὁ,G3588,19785
109561,Philippiens,1,3,μνείᾳ,μνεία,G3417,7
109562,Philippiens,1,3,ὑμῶν,σύ,G4771,2896
109563,Philippiens,1,4,πάντοτε,πάντοτε,G3842,41
109564,Philippiens,1,4,ἐν,ἐν,G1722,2728
109565,Philippiens,1,4,πάσῃ,πᾶς,G3956,1236
109566,Philippiens,1,4,δεήσει,δέησις,G1162,18
109567,Philippiens,1,4,μου,ἐγώ,G1473,2462
109568,Philippiens,1,4,ὑπὲρ,ὑπέρ,G5228,153
109569,Philippiens,1,4,πάντων,πᾶς,G3956,1236
109570,Philippiens,1,4,ὑμῶν,σύ,G4771,2896
109571,Philippiens,1,4,μετὰ,μετά,G3326,468
109572,Philippiens,1,4,χαρᾶς,χαρά,G5479,59
109573,Philippiens,1,4,τὴν,ὁ,G3588,19785
109574,Philippiens,1,4,δέησιν,δέησις,G1162,18
109575,Philippiens,1,4,ποιούμενος,ποιέω,G4160,568
109576,Philippiens,1,5,ἐπὶ,ἐπί,G1909,884
109577,Philippiens,1,5,τῆ,ὁ,G3588,19785
109578,Philippiens,1,5,κοινωνίᾳ,κοινωνία,G2842,19
109579,Philippiens,1,5,ὑμῶν,σύ,G4771,2896
109580,Philippiens,1,5,εἰς,εἰς,G1519,1757
109581,Philippiens,1,5,τὸ,ὁ,G3588,19785
109582,Philippiens,1,5,εὐαγγέλιον,εὐαγγέλιον,G2098,76
109583,Philippiens,1,5,ἀπὸ,ἀπό,G0575,640
109584,Philippiens,1,5,τῆς,ὁ,G3588,19785
109585,Philippiens,1,5,πρώτης,πρῶτος,G4413,154
109586,Philippiens,1,5,ἡμέρας,ἡμέρα,G2250,388
109587,Philippiens,1,5,ἄχρι,ἄχρι,G0891,49
109588,Philippiens,1,5,τοῦ,ὁ,G3588,19785
109589,Philippiens,1,5,νῦν,νῦν,G3568,144
109590,Philippiens,1,6,πεποιθὼς,πείθω,G3982,52
109591,Philippiens,1,6,αὐτὸ,αὐτός,G0846,5558
109592,Philippiens,1,6,τοῦτο,οὗτος,G3778,1380
109593,Philippiens,1,6,ὅτι,ὅτι,G3754,1291
109594,Philippiens,1,6,ὁ,ὁ,G3588,19785
109595,Philippiens,1,6,ἐναρξάμενος,ἐνάρχομαι,G1728,2
109596,Philippiens,1,6,ἐν,ἐν,G1722,2728
109597,Philippiens,1,6,ὑμῖν,σύ,G4771,2896
109598,Philippiens,1,6,ἔργον,ἔργον,G2041,169
109599,Philippiens,1,6,ἀγαθὸν,ἀγαθός,G0018,102
109600,Philippiens,1,6,ἐπιτελέσει,ἐπιτελέω,G2005,10
109601,Philippiens,1,6,ἄχρι,ἄχρι,G0891,49
109602,Philippiens,1,6,ἡμέρας,ἡμέρα,G2250,388
109603,Philippiens,1,6,Χριστοῦ,Χριστός,G5547,529
109604,Philippiens,1,6,Ἰησοῦ,Ἰησοῦς,G2424,910
109605,Philippiens,1,7,καθώς,καθώς,G2531,182
109606,Philippiens,1,7,ἐστιν,εἰμί,G1510,2458
109607,Philippiens,1,7,δίκαιον,δίκαιος,G1342,80
109608,Philippiens,1,7,ἐμοὶ,ἐγώ,G1473,2462
109609,Philippiens,1,7,τοῦτο,οὗτος,G3778,1380
109610,Philippiens,1,7,φρονεῖν,φρονέω,G5426,26
109611,Philippiens,1,7,ὑπὲρ,ὑπέρ,G5228,153
109612,Philippiens,1,7,πάντων,πᾶς,G3956,1236
109613,Philippiens,1,7,ὑμῶν,σύ,G4771,2896
109614,Philippiens,1,7,διὰ,διά,G1223,666
109615,Philippiens,1,7,τὸ,ὁ,G3588,19785
109616,Philippiens,1,7,ἔχειν,ἔχω,G2192,706
109617,Philippiens,1,7,με,ἐγώ,G1473,2462
109618,Philippiens,1,7,ἐν,ἐν,G1722,2728
109619,Philippiens,1,7,τῆ,ὁ,G3588,19785
109620,Philippiens,1,7,καρδίᾳ,καρδία,G2588,155
109621,Philippiens,1,7,ὑμᾶς,σύ,G4771,2896
109622,Philippiens,1,7,ἔν,ἐν,G1722,2728
109623,Philippiens,1,7,τε,τε,G5037,212
109624,Philippiens,1,7,τοῖς,ὁ,G3588,19785
109625,Philippiens,1,7,δεσμοῖς,δεσμός,G1199,18
109626,Philippiens,1,7,μου,ἐγώ,G1473,2462
109627,Philippiens,1,7,καὶ,καί,G2532,9108
109628,Philippiens,1,7,ἐν,ἐν,G1722,2728
109629,Philippiens,1,7,τῆ,ὁ,G3588,19785
109630,Philippiens,1,7,ἀπολογίᾳ,ἀπολογία,G0627,8
109631,Philippiens,1,7,καὶ,καί,G2532,9108
109632,Philippiens,1,7,βεβαιώσει,βεβαίωσις,G0951,2
109633,Philippiens,1,7,τοῦ,ὁ,G3588,19785
109634,Philippiens,1,7,εὐαγγελίου,εὐαγγέλιον,G2098,76
109635,Philippiens,1,7,συγκοινωνούς,συγκοινωνός,G4791,4
109636,Philippiens,1,7,μου,ἐγώ,G1473,2462
109637,Philippiens,1,7,τῆς,ὁ,G3588,19785
109638,Philippiens,1,7,χάριτος,χάρις,G5485,154
109639,Philippiens,1,7,πάντας,πᾶς,G3956,1236
109640,Philippiens,1,7,ὑμᾶς,σύ,G4771,2896
109641,Philippiens,1,7,ὄντας,εἰμί,G1510,2458
109642,Philippiens,1,8,Μάρτυς,μάρτυς,G3144,35
109643,Philippiens,1,8,γάρ,γάρ,G1063,1039
109644,Philippiens,1,8,μου,ἐγώ,G1473,2462
109646,Philippiens,1,8,ὁ,ὁ,G3588,19785
109647,Philippiens,1,8,θεός,θεός,G2316,1311
109648,Philippiens,1,8,ὡς,ὡς,G5613,501
109649,Philippiens,1,8,ἐπιποθῶ,ἐπιποθέω,G1971,9
109650,Philippiens,1,8,πάντας,πᾶς,G3956,1236
