tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
118768,Philémon,1,1,Παῦλος,Παῦλος,G3972,158
118769,Philémon,1,1,δέσμιος,δέσμιος,G1198,16
118770,Philémon,1,1,Χριστοῦ,Χριστός,G5547,529
118771,Philémon,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
118772,Philémon,1,1,καὶ,καί,G2532,9108
118773,Philémon,1,1,Τιμόθεος,Τιμόθεος,G5095,24
118774,Philémon,1,1,ὁ,ὁ,G3588,19785
118775,Philémon,1,1,ἀδελφὸς,ἀδελφός,G0080,343
118776,Philémon,1,1,Φιλήμονι,Φιλήμων,G5371,1
118777,Philémon,1,1,τῷ,ὁ,G3588,19785
118778,Philémon,1,1,ἀγαπητῷ,ἀγαπητός,G0027,61
118779,Philémon,1,1,καὶ,καί,G2532,9108
118780,Philémon,1,1,συνεργῷ,συνεργός,G4904,12
118781,Philémon,1,1,ἡμῶν,ἐγώ,G1473,2462
118782,Philémon,1,2,καὶ,καί,G2532,9108
118783,Philémon,1,2,Ἀπφίᾳ,Ἀπφία,G0682,1
118784,Philémon,1,2,τῆ,ὁ,G3588,19785
118785,Philémon,1,2,ἀδελφῆ,ἀδελφή,G0079,25
118786,Philémon,1,2,καὶ,καί,G2532,9108
118787,Philémon,1,2,Ἀρχίππῳ,Ἄρχιππος,G0751,2
118788,Philémon,1,2,τῷ,ὁ,G3588,19785
118789,Philémon,1,2,συστρατιώτῃ,συστρατιώτης,G4961,2
118790,Philémon,1,2,ἡμῶν,ἐγώ,G1473,2462
118791,Philémon,1,2,καὶ,καί,G2532,9108
118792,Philémon,1,2,τῆ,ὁ,G3588,19785
118793,Philémon,1,2,κατ᾽,κατά,G2596,472
118794,Philémon,1,2,οἶκόν,οἶκος,G3624,112
118795,Philémon,1,2,σου,σύ,G4771,2896
118796,Philémon,1,2,ἐκκλησίᾳ,ἐκκλησία,G1577,114
118797,Philémon,1,3,χάρις,χάρις,G5485,154
118798,Philémon,1,3,ὑμῖν,σύ,G4771,2896
118799,Philémon,1,3,καὶ,καί,G2532,9108
118800,Philémon,1,3,εἰρήνη,εἰρήνη,G1515,92
118801,Philémon,1,3,ἀπὸ,ἀπό,G0575,640
118802,Philémon,1,3,θεοῦ,θεός,G2316,1311
118803,Philémon,1,3,πατρὸς,πατήρ,G3962,414
118804,Philémon,1,3,ἡμῶν,ἐγώ,G1473,2462
118805,Philémon,1,3,καὶ,καί,G2532,9108
118806,Philémon,1,3,κυρίου,κύριος,G2962,716
118807,Philémon,1,3,Ἰησοῦ,Ἰησοῦς,G2424,910
118808,Philémon,1,3,Χριστοῦ,Χριστός,G5547,529
118809,Philémon,1,4,Εὐχαριστῶ,εὐχαριστέω,G2168,38
118810,Philémon,1,4,τῷ,ὁ,G3588,19785
118811,Philémon,1,4,θεῷ,θεός,G2316,1311
118812,Philémon,1,4,μου,ἐγώ,G1473,2462
118813,Philémon,1,4,πάντοτε,πάντοτε,G3842,41
118814,Philémon,1,4,μνείαν,μνεία,G3417,7
118815,Philémon,1,4,σου,σύ,G4771,2896
118816,Philémon,1,4,ποιούμενος,ποιέω,G4160,568
118817,Philémon,1,4,ἐπὶ,ἐπί,G1909,884
118818,Philémon,1,4,τῶν,ὁ,G3588,19785
118819,Philémon,1,4,προσευχῶν,προσευχή,G4335,36
118820,Philémon,1,4,μου,ἐγώ,G1473,2462
118821,Philémon,1,5,ἀκούων,ἀκούω,G0191,426
118822,Philémon,1,5,σου,σύ,G4771,2896
118823,Philémon,1,5,τὴν,ὁ,G3588,19785
118824,Philémon,1,5,ἀγάπην,ἀγάπη,G0026,116
118825,Philémon,1,5,καὶ,καί,G2532,9108
118826,Philémon,1,5,τὴν,ὁ,G3588,19785
118827,Philémon,1,5,πίστιν,πίστις,G4102,242
118828,Philémon,1,5,ἣν,ὅς,G3739,1408
118829,Philémon,1,5,ἔχεις,ἔχω,G2192,706
118830,Philémon,1,5,πρὸς,πρός,G4314,699
