Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
210861,Proverbes,1,1,מִ֭שְׁלֵי,מָשָׁל,H4912,39
210862,Proverbes,1,1,שְׁלֹמֹ֣ה,שְׁלֹמֹה,H8010,293
210863,Proverbes,1,1,בֶן־,בֵּן,H1121,4959
210864,Proverbes,1,1,דָּוִ֑ד,דָּוִד,H1732,1075
210865,Proverbes,1,1,מֶ֝֗לֶךְ,מֶ֫לֶךְ,H4428,2526
210866,Proverbes,1,1,יִשְׂרָאֵֽל׃,יִשְׂרָאֵל,H3478,2508
210867,Proverbes,1,2,לָדַ֣עַת,יָדַע,H3045,946
210868,Proverbes,1,2,חָכְמָ֣ה,חׇכְמָה,H2451,153
210869,Proverbes,1,2,וּמוּסָ֑ר,מוּסָר,H4148,50
210870,Proverbes,1,2,לְ֝הָבִ֗ין,בִּין,H0995,170
210871,Proverbes,1,2,אִמְרֵ֥י,אֵמֶר,H0561,49
210872,Proverbes,1,2,בִינָֽה׃,בִּינָה,H0998,38
210873,Proverbes,1,3,לָ֭קַחַת,לָקַח,H3947,966
210874,Proverbes,1,3,מוּסַ֣ר,מוּסָר,H4148,50
210875,Proverbes,1,3,הַשְׂכֵּ֑ל,שָׂכַל,H7919,62
210876,Proverbes,1,3,צֶ֥דֶק,צֶ֫דֶק,H6664,119
210877,Proverbes,1,3,וּ֝מִשְׁפָּ֗ט,מִשְׁפָּט,H4941,422
210878,Proverbes,1,3,וּמֵישָׁרִֽים׃,מֵישָׁר,H4339,19
210879,Proverbes,1,4,לָתֵ֣ת,נָתַן,H5414,2011
210880,Proverbes,1,4,לִפְתָאיִ֣ם,פֶּ֫תִי,H6612,19
210881,Proverbes,1,4,עָרְמָ֑ה,עׇרְמָה,H6195,5
210882,Proverbes,1,4,לְ֝נַ֗עַר,נַ֫עַר,H5288,239
210883,Proverbes,1,4,דַּ֣עַת,דַּ֫עַת,H1847,91
210884,Proverbes,1,4,וּמְזִמָּֽה׃,מְזִמָּה,H4209,19
210885,Proverbes,1,5,יִשְׁמַ֣ע,שָׁמַע,H8085,1160
210886,Proverbes,1,5,חָ֭כָם,חָכָם,H2450,138
210887,Proverbes,1,5,וְי֣וֹסֶף,יָסַף,H3254,212
210888,Proverbes,1,5,לֶ֑קַח,לֶ֫קַח,H3948,9
210889,Proverbes,1,5,וְ֝נָב֗וֹן,בִּין,H0995,170
210890,Proverbes,1,5,תַּחְבֻּל֥וֹת,תַּחְבֻּלָה,H8458,6
210891,Proverbes,1,5,יִקְנֶֽה׃,קָנָה,H7069,84
210892,Proverbes,1,6,לְהָבִ֣ין,בִּין,H0995,170
210893,Proverbes,1,6,מָ֭שָׁל,מָשָׁל,H4912,39
210894,Proverbes,1,6,וּמְלִיצָ֑ה,מְלִיצָה,H4426,2
210895,Proverbes,1,6,דִּבְרֵ֥י,דָּבָר,H1697,1442
210896,Proverbes,1,6,חֲ֝כָמִ֗ים,חָכָם,H2450,138
210897,Proverbes,1,6,וְחִידֹתָֽם׃,חִידָה,H2420,17
210898,Proverbes,1,7,יִרְאַ֣ת,יִרְאָה,H3374,45
210899,Proverbes,1,7,יְ֭הוָה,יהוה,H3068,6528
210900,Proverbes,1,7,רֵאשִׁ֣ית,רֵאשִׁית,H7225,51
210901,Proverbes,1,7,דָּ֑עַת,דַּ֫עַת,H1847,91
210902,Proverbes,1,7,חָכְמָ֥ה,חׇכְמָה,H2451,153
210903,Proverbes,1,7,וּ֝מוּסָ֗ר,מוּסָר,H4148,50
210904,Proverbes,1,7,אֱוִילִ֥ים,אֱוִיל,H0191,26
210905,Proverbes,1,7,בָּֽזוּ׃ פ,בּוּז,H0936,12
210906,Proverbes,1,8,שְׁמַ֣ע,שָׁמַע,H8085,1160
210907,Proverbes,1,8,בְּ֭נִי,בֵּן,H1121,4959
210908,Proverbes,1,8,מוּסַ֣ר,מוּסָר,H4148,50
210909,Proverbes,1,8,אָבִ֑יךָ,אָב,H0001,1213
210910,Proverbes,1,8,וְאַל־,אַל,H0408,725
210911,Proverbes,1,8,תִּ֝טֹּ֗שׁ,נָטַשׁ,H5203,40
210912,Proverbes,1,8,תּוֹרַ֥ת,תּוֹרָה,H8451,219
210913,Proverbes,1,8,אִמֶּֽךָ׃,אֵם,H0517,220
210914,Proverbes,1,9,כִּ֤י׀,כִּי,H3588,4485
210915,Proverbes,1,9,לִוְיַ֤ת,לִוְיָה,H3880,2
210916,Proverbes,1,9,חֵ֓ן,חֵן,H2580,69
210917,Proverbes,1,9,הֵ֬ם,הֵ֫מָּה,H1992,552
210918,Proverbes,1,9,לְרֹאשֶׁ֑ךָ,רֹאשׁ,H7218,600
210919,Proverbes,1,9,וַ֝עֲנָקִ֗ים,עֲנָק,H6060,3
210920,Proverbes,1,9,לְגַרְגְּרֹתֶֽיךָ׃,גַּרְגְּרוֹת,H1621,4
210921,Proverbes,1,10,בְּנִ֡י,בֵּן,H1121,4959
210922,Proverbes,1,10,אִם־,אִם,H0518,1073
210923,Proverbes,1,10,יְפַתּ֥וּךָ,פָּתָה,H6601,28
210924,Proverbes,1,10,חַ֝טָּאִ֗ים,חַטָּא,H2400,19
