Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
191691,Psaumes,1,1,אַ֥שְֽׁרֵי־,אֶ֫שֶׁר,H0835,45
191692,Psaumes,1,1,הָאִ֗ישׁ,אִישׁ,H0376,1663
191693,Psaumes,1,1,אֲשֶׁ֤ר׀,אֲשֶׁר,H0834,5499
191694,Psaumes,1,1,לֹ֥א,לֹא,H3808,5170
191695,Psaumes,1,1,הָלַךְ֮,הָלַךְ,H1980,1549
191696,Psaumes,1,1,בַּעֲצַ֪ת,עֵצָה,H6098,89
191697,Psaumes,1,1,רְשָׁ֫עִ֥ים,רָשָׁע,H7563,263
191698,Psaumes,1,1,וּבְדֶ֣רֶךְ,דֶּ֫רֶךְ,H1870,708
191699,Psaumes,1,1,חַ֭טָּאִים,חַטָּא,H2400,19
191700,Psaumes,1,1,לֹ֥א,לֹא,H3808,5170
191701,Psaumes,1,1,עָמָ֑ד,עָמַד,H5975,521
191702,Psaumes,1,1,וּבְמוֹשַׁ֥ב,מוֹשָׁב,H4186,44
191703,Psaumes,1,1,לֵ֝צִ֗ים,לִיץ,H3887,28
191704,Psaumes,1,1,לֹ֣א,לֹא,H3808,5170
191705,Psaumes,1,1,יָשָֽׁב׃,יָשַׁב,H3427,1078
191706,Psaumes,1,2,כִּ֤י,כִּי [אם],H3588,4485
191707,Psaumes,1,2,אִ֥ם,[כִּי] אם,H0518,1073
191708,Psaumes,1,2,בְּתוֹרַ֥ת,תּוֹרָה,H8451,219
191709,Psaumes,1,2,יְהוָ֗ה,יהוה,H3068,6528
191710,Psaumes,1,2,חֶ֫פְצ֥וֹ,חֵ֫פֶץ,H2656,39
191711,Psaumes,1,2,וּֽבְתוֹרָת֥וֹ,תּוֹרָה,H8451,219
191712,Psaumes,1,2,יֶהְגֶּ֗ה,הָגָה,H1897,25
191713,Psaumes,1,2,יוֹמָ֥ם,יוֹמָם,H3119,50
191714,Psaumes,1,2,וָלָֽיְלָה׃,לַ֫יְלָה,H3915,233
191715,Psaumes,1,3,וְֽהָיָ֗ה,הָיָה,H1961,3562
191716,Psaumes,1,3,כְּעֵץ֮,עֵץ,H6086,330
191717,Psaumes,1,3,שָׁת֪וּל,שָׁתַל,H8362,10
191718,Psaumes,1,3,עַֽל־,עַל,H5921,5774
191719,Psaumes,1,3,פַּלְגֵ֫י,פֶּ֫לֶג,H6388,10
191720,Psaumes,1,3,מָ֥יִם,מַי,H4325,581
191721,Psaumes,1,3,אֲשֶׁ֤ר,אֲשֶׁר,H0834,5499
191722,Psaumes,1,3,פִּרְי֨וֹ׀,פְּרִי,H6529,119
191723,Psaumes,1,3,יִתֵּ֬ן,נָתַן,H5414,2011
