tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
85974,Romains,1,1,Παῦλος,Παῦλος,G3972,158
85975,Romains,1,1,δοῦλος,δοῦλος,G1401,129
85976,Romains,1,1,Χριστοῦ,Χριστός,G5547,529
85977,Romains,1,1,Ἰησοῦ,Ἰησοῦς,G2424,910
85978,Romains,1,1,κλητὸς,κλητός,G2822,10
85979,Romains,1,1,ἀπόστολος,ἀπόστολος,G0652,79
85980,Romains,1,1,ἀφωρισμένος,ἀφορίζω,G0873,10
85981,Romains,1,1,εἰς,εἰς,G1519,1757
85982,Romains,1,1,εὐαγγέλιον,εὐαγγέλιον,G2098,76
85983,Romains,1,1,θεοῦ,θεός,G2316,1311
85984,Romains,1,2,ὃ,ὅς,G3739,1408
85985,Romains,1,2,προεπηγγείλατο,προεπαγγέλλω,G4279,2
85986,Romains,1,2,διὰ,διά,G1223,666
85987,Romains,1,2,τῶν,ὁ,G3588,19785
85988,Romains,1,2,προφητῶν,προφήτης,G4396,144
85989,Romains,1,2,αὐτοῦ,αὐτός,G0846,5558
85990,Romains,1,2,ἐν,ἐν,G1722,2728
85991,Romains,1,2,γραφαῖς,γραφή,G1124,50
85992,Romains,1,2,ἁγίαις,ἅγιος,G0040,224
85993,Romains,1,3,περὶ,περί,G4012,331
85994,Romains,1,3,τοῦ,ὁ,G3588,19785
85995,Romains,1,3,υἱοῦ,υἱός,G5207,372
85996,Romains,1,3,αὐτοῦ,αὐτός,G0846,5558
85997,Romains,1,3,τοῦ,ὁ,G3588,19785
85998,Romains,1,3,γενομένου,γίνομαι,G1096,662
85999,Romains,1,3,ἐκ,ἐκ,G1537,912
86000,Romains,1,3,σπέρματος,σπέρμα,G4690,43
86001,Romains,1,3,Δαυὶδ,Δαυείδ,G1138,59
86002,Romains,1,3,κατὰ,κατά,G2596,472
86003,Romains,1,3,σάρκα,σάρξ,G4561,147
86004,Romains,1,4,τοῦ,ὁ,G3588,19785
86005,Romains,1,4,ὁρισθέντος,ὁρίζω,G3724,8
86006,Romains,1,4,υἱοῦ,υἱός,G5207,372
86007,Romains,1,4,θεοῦ,θεός,G2316,1311
86008,Romains,1,4,ἐν,ἐν,G1722,2728
86009,Romains,1,4,δυνάμει,δύναμις,G1411,119
86010,Romains,1,4,κατὰ,κατά,G2596,472
86011,Romains,1,4,πνεῦμα,πνεῦμα,G4151,378
86012,Romains,1,4,ἁγιωσύνης,ἁγιωσύνη,G0042,3
86013,Romains,1,4,ἐξ,ἐκ,G1537,912
86014,Romains,1,4,ἀναστάσεως,ἀνάστασις,G0386,42
86015,Romains,1,4,νεκρῶν,νεκρός,G3498,128
86016,Romains,1,4,Ἰησοῦ,Ἰησοῦς,G2424,910
86017,Romains,1,4,Χριστοῦ,Χριστός,G5547,529
86018,Romains,1,4,τοῦ,ὁ,G3588,19785
86019,Romains,1,4,κυρίου,κύριος,G2962,716
86020,Romains,1,4,ἡμῶν,ἐγώ,G1473,2462
86021,Romains,1,5,δι᾽,διά,G1223,666
