Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
97707,Ruth,1,1,וַיְהִ֗י,הָיָה,H1961,3562
97708,Ruth,1,1,בִּימֵי֙,יוֹם,H3117,2306
97709,Ruth,1,1,שְׁפֹ֣ט,שָׁפַט,H8199,202
97710,Ruth,1,1,הַשֹּׁפְטִ֔ים,שָׁפַט,H8199,202
97711,Ruth,1,1,וַיְהִ֥י,הָיָה,H1961,3562
97712,Ruth,1,1,רָעָ֖ב,רָעָב,H7458,101
97713,Ruth,1,1,בָּאָ֑רֶץ,אֶ֫רֶץ,H0776,2504
97714,Ruth,1,1,וַיֵּ֨לֶךְ,הָלַךְ,H1980,1549
97715,Ruth,1,1,אִ֜ישׁ,אִישׁ,H0376,1663
97716,Ruth,1,1,מִבֵּ֧ית,בֵּית לֶ֫חֶם,H1035,82
97717,Ruth,1,1,לֶ֣חֶם,בֵּית לֶ֫חֶם,H1035,82
97718,Ruth,1,1,יְהוּדָ֗ה,יְהוּדָה,H3063,820
97719,Ruth,1,1,לָגוּר֙,גּוּר,H1481,97
97720,Ruth,1,1,בִּשְׂדֵ֣י,שָׂדֶה,H7704,334
97721,Ruth,1,1,מוֹאָ֔ב,מוֹאָב,H4124,181
97722,Ruth,1,1,ה֥וּא,הוּא,H1931,1878
97723,Ruth,1,1,וְאִשְׁתּ֖וֹ,אִשָּׁה,H0802,781
97724,Ruth,1,1,וּשְׁנֵ֥י,שְׁנַ֫יִם,H8147,769
97725,Ruth,1,1,בָנָֽיו׃,בֵּן,H1121,4959
97726,Ruth,1,2,וְשֵׁ֣ם,שֵׁם,H8034,864
97727,Ruth,1,2,הָאִ֣ישׁ,אִישׁ,H0376,1663
97728,Ruth,1,2,אֱֽלִימֶ֡לֶךְ,אֱלִימֶ֫לֶךְ,H0458,6
97729,Ruth,1,2,וְשֵׁם֩,שֵׁם,H8034,864
97730,Ruth,1,2,אִשְׁתּ֨וֹ,אִשָּׁה,H0802,781
97731,Ruth,1,2,נָעֳמִ֜י,נׇעֳמִי,H5281,21
97732,Ruth,1,2,וְשֵׁ֥ם,שֵׁם,H8034,864
97733,Ruth,1,2,שְׁנֵֽי־,שְׁנַ֫יִם,H8147,769
97734,Ruth,1,2,בָנָ֣יו׀,בֵּן,H1121,4959
97735,Ruth,1,2,מַחְל֤וֹן,מַחְלוֹן,H4248,4
97736,Ruth,1,2,וְכִלְיוֹן֙,כִּלְיוֹן,H3630,3
97737,Ruth,1,2,אֶפְרָתִ֔ים,אֶפְרָתִי,H0673,5
97738,Ruth,1,2,מִבֵּ֥ית,בֵּית לֶ֫חֶם,H1035,82
97739,Ruth,1,2,לֶ֖חֶם,בֵּית לֶ֫חֶם,H1035,82
97740,Ruth,1,2,יְהוּדָ֑ה,יְהוּדָה,H3063,820
97741,Ruth,1,2,וַיָּבֹ֥אוּ,בּוֹא,H0935,2572
97742,Ruth,1,2,שְׂדֵי־,שָׂדֶה,H7704,334
97743,Ruth,1,2,מוֹאָ֖ב,מוֹאָב,H4124,181
97744,Ruth,1,2,וַיִּֽהְיוּ־,הָיָה,H1961,3562
97745,Ruth,1,2,שָֽׁם׃,שָׁם,H8033,834
97746,Ruth,1,3,וַיָּ֥מָת,מוּת,H4191,840
97747,Ruth,1,3,אֱלִימֶ֖לֶךְ,אֱלִימֶ֫לֶךְ,H0458,6
97748,Ruth,1,3,אִ֣ישׁ,אִישׁ,H0376,1663
97749,Ruth,1,3,נָעֳמִ֑י,נׇעֳמִי,H5281,21
97750,Ruth,1,3,וַתִּשָּׁאֵ֥ר,שָׁאַר,H7604,133
97751,Ruth,1,3,הִ֖יא,הוּא,H1931,1878
97752,Ruth,1,3,וּשְׁנֵ֥י,שְׁנַ֫יִם,H8147,769
97753,Ruth,1,3,בָנֶֽיהָ׃,בֵּן,H1121,4959
97754,Ruth,1,4,וַיִּשְׂא֣וּ,נָשָׂא,H5375,656
97755,Ruth,1,4,נָשִׁים֙,אִשָּׁה,H0802,781
97756,Ruth,1,4,מֹֽאֲבִיּ֔וֹת,מוֹאָבִי,H4125,16
97757,Ruth,1,4,שֵׁ֤ם,שֵׁם,H8034,864
97758,Ruth,1,4,הָֽאַחַת֙,אֶחָד,H0259,971
97759,Ruth,1,4,עָרְפָּ֔ה,עׇרְפָּה,H6204,2
97760,Ruth,1,4,וְשֵׁ֥ם,שֵׁם,H8034,864
97761,Ruth,1,4,הַשֵּׁנִ֖ית,שֵׁנִי,H8145,156
97762,Ruth,1,4,ר֑וּת,רוּת,H7327,12
97763,Ruth,1,4,וַיֵּ֥שְׁבוּ,יָשַׁב,H3427,1078
97764,Ruth,1,4,שָׁ֖ם,שָׁם,H8033,834
97765,Ruth,1,4,כְּעֶ֥שֶׂר,עֶשֶׂר,H6235,176
97766,Ruth,1,4,שָׁנִֽים׃,שָׁנָה,H8141,877
97767,Ruth,1,5,וַיָּמ֥וּתוּ,מוּת,H4191,840
97768,Ruth,1,5,גַם־,גַּם,H1571,769
97769,Ruth,1,5,שְׁנֵיהֶ֖ם,שְׁנַ֫יִם,H8147,769
97770,Ruth,1,5,מַחְל֣וֹן,מַחְלוֹן,H4248,4
97771,Ruth,1,5,וְכִלְי֑וֹן,כִּלְיוֹן,H3630,3
97772,Ruth,1,5,וַתִּשָּׁאֵר֙,שָׁאַר,H7604,133
97773,Ruth,1,5,הָֽאִשָּׁ֔ה,אִשָּׁה,H0802,781
97774,Ruth,1,5,מִשְּׁנֵ֥י,שְׁנַ֫יִם,H8147,769
97775,Ruth,1,5,יְלָדֶ֖יהָ,יֶ֫לֶד,H3206,89
97776,Ruth,1,5,וּמֵאִישָֽׁהּ׃,אִישׁ,H0376,1663
97777,Ruth,1,6,וַתָּ֤קָם,קוּם,H6965,628
97778,Ruth,1,6,הִיא֙,הוּא,H1931,1878
97779,Ruth,1,6,וְכַלֹּתֶ֔יהָ,כַּלָּה,H3618,34
97780,Ruth,1,6,וַתָּ֖שָׁב,שׁוּב,H7725,1057
97781,Ruth,1,6,מִשְּׂדֵ֣י,שָׂדֶה,H7704,334
97782,Ruth,1,6,מוֹאָ֑ב,מוֹאָב,H4124,181
97783,Ruth,1,6,כִּ֤י,כִּי,H3588,4485
97784,Ruth,1,6,שָֽׁמְעָה֙,שָׁמַע,H8085,1160
97785,Ruth,1,6,בִּשְׂדֵ֣ה,שָׂדֶה,H7704,334
97786,Ruth,1,6,מוֹאָ֔ב,מוֹאָב,H4124,181
97787,Ruth,1,6,כִּֽי־,כִּי,H3588,4485
97788,Ruth,1,6,פָקַ֤ד,פָּקַד,H6485,303
97789,Ruth,1,6,יְהוָה֙,יהוה,H3068,6528
97790,Ruth,1,6,אֶת־,אֵת,H0853,10947
97791,Ruth,1,6,עַמּ֔וֹ,עַם,H5971,1872
97792,Ruth,1,6,לָתֵ֥ת,נָתַן,H5414,2011
97793,Ruth,1,6,לָֽחֶם׃,לֶ֫חֶם,H3899,298
97794,Ruth,1,7,וַתֵּצֵ֗א,יָצָא,H3318,1067
97795,Ruth,1,7,מִן־,מִן־,H4480,1190
97796,Ruth,1,7,הַמָּקוֹם֙,מָקוֹם,H4725,401
97797,Ruth,1,7,אֲשֶׁ֣ר,אֲשֶׁר,H0834,5499
97798,Ruth,1,7,הָיְתָה־,הָיָה,H1961,3562
97799,Ruth,1,7,שָׁ֔מָּה,שָׁם,H8033,834
97800,Ruth,1,7,וּשְׁתֵּ֥י,שְׁנַ֫יִם,H8147,769
97801,Ruth,1,7,כַלֹּתֶ֖יהָ,כַּלָּה,H3618,34
97802,Ruth,1,7,עִמָּ֑הּ,עִם,H5973,1052
97803,Ruth,1,7,וַתֵּלַ֣כְנָה,הָלַךְ,H1980,1549
97804,Ruth,1,7,בַדֶּ֔רֶךְ,דֶּ֫רֶךְ,H1870,708
97805,Ruth,1,7,לָשׁ֖וּב,שׁוּב,H7725,1057
97806,Ruth,1,7,אֶל־,אֶל,H0413,5515
97807,Ruth,1,7,אֶ֥רֶץ,אֶ֫רֶץ,H0776,2504
97808,Ruth,1,7,יְהוּדָֽה׃,יְהוּדָה,H3063,820
97809,Ruth,1,8,וַתֹּ֤אמֶר,אָמַר,H0559,5309
97810,Ruth,1,8,נָעֳמִי֙,נׇעֳמִי,H5281,21
97811,Ruth,1,8,לִשְׁתֵּ֣י,שְׁנַ֫יִם,H8147,769
97812,Ruth,1,8,כַלֹּתֶ֔יהָ,כַּלָּה,H3618,34
97813,Ruth,1,8,לֵ֣כְנָה,הָלַךְ,H1980,1549
97814,Ruth,1,8,שֹּׁ֔בְנָה,שׁוּב,H7725,1057
97815,Ruth,1,8,אִשָּׁ֖ה,אִשָּׁה,H0802,781
97816,Ruth,1,8,לְבֵ֣ית,בַּ֫יִת,H1004,2049
97817,Ruth,1,8,אִמָּ֑הּ,אֵם,H0517,220
97818,Ruth,1,8,יַ֣עַשׂה,עָשָׂה,H6213,2629
97819,Ruth,1,8,יְהוָ֤ה,יהוה,H3068,6528
97820,Ruth,1,8,עִמָּכֶם֙,עִם,H5973,1052
97821,Ruth,1,8,חֶ֔סֶד,חֶ֫סֶד,H2617,247
97822,Ruth,1,8,כַּאֲשֶׁ֧ר,כַּאֲשֶׁר,H0834,5499
97823,Ruth,1,8,עֲשִׂיתֶ֛ם,עָשָׂה,H6213,2629
97824,Ruth,1,8,עִם־,עִם,H5973,1052
97825,Ruth,1,8,הַמֵּתִ֖ים,מוּת,H4191,840
97826,Ruth,1,8,וְעִמָּדִֽי׃,עִם,H5973,1052
97827,Ruth,1,9,יִתֵּ֤ן,נָתַן,H5414,2011
97828,Ruth,1,9,יְהוָה֙,יהוה,H3068,6528
97829,Ruth,1,9,וּמְצֶ֣אןָ,מָצָא,H4672,455
97830,Ruth,1,9,מְנוּחָ֔ה,מְנוּחָה,H4496,22
