Unnamed: 0,book,chapter,verse,orig,lex,strong,freq
294283,Sophonie,1,1,דְּבַר־,דָּבָר,H1697,1442
294284,Sophonie,1,1,יְהוָ֣ה׀,יהוה,H3068,6528
294285,Sophonie,1,1,אֲשֶׁ֣ר,אֲשֶׁר,H0834,5499
294286,Sophonie,1,1,הָיָ֗ה,הָיָה,H1961,3562
294287,Sophonie,1,1,אֶל־,אֶל,H0413,5515
294288,Sophonie,1,1,צְפַנְיָה֙,צְפַנְיָהוּ,H6846,10
294289,Sophonie,1,1,בֶּן־,בֵּן,H1121,4959
294290,Sophonie,1,1,כּוּשִׁ֣י,כּוּשִׁי,H3569,26
294291,Sophonie,1,1,בֶן־,בֵּן,H1121,4959
294292,Sophonie,1,1,גְּדַלְיָ֔ה,גְּדַלְיָה,H1436,32
294293,Sophonie,1,1,בֶּן־,בֵּן,H1121,4959
294294,Sophonie,1,1,אֲמַרְיָ֖ה,אֲמַרְיָ֫הוּ,H0568,16
294295,Sophonie,1,1,בֶּן־,בֵּן,H1121,4959
294296,Sophonie,1,1,חִזְקִיָּ֑ה,חִזְקִיָּהוּ,H2396,127
294297,Sophonie,1,1,בִּימֵ֛י,יוֹם,H3117,2306
294298,Sophonie,1,1,יֹאשִׁיָּ֥הוּ,יֹאשִׁיָּ֫הוּ,H2977,53
294299,Sophonie,1,1,בֶן־,בֵּן,H1121,4959
294300,Sophonie,1,1,אָמ֖וֹן,אָמוֹן,H0526,17
294301,Sophonie,1,1,מֶ֥לֶךְ,מֶ֫לֶךְ,H4428,2526
294302,Sophonie,1,1,יְהוּדָֽה׃,יְהוּדָה,H3063,820
294303,Sophonie,1,2,אָסֹ֨ף,אָסַף,H0622,200
294304,Sophonie,1,2,אָסֵ֜ף,סוּף,H5486,7
294305,Sophonie,1,2,כֹּ֗ל,כֹּל,H3605,5415
294306,Sophonie,1,2,מֵעַ֛ל,עַל,H5921,5774
294307,Sophonie,1,2,פְּנֵ֥י,פָּנֶה,H6440,2127
294308,Sophonie,1,2,הָאֲדָמָ֖ה,אֲדָמָה,H0127,225
294309,Sophonie,1,2,נְאֻם־,נְאֻם,H5002,376
294310,Sophonie,1,2,יְהוָֽה׃,יהוה,H3068,6528
294311,Sophonie,1,3,אָסֵ֨ף,סוּף,H5486,7
294312,Sophonie,1,3,אָדָ֜ם,אָדָם,H0120,551
294313,Sophonie,1,3,וּבְהֵמָ֗ה,בְּהֵמָה,H0929,190
294314,Sophonie,1,3,אָסֵ֤ף,סוּף,H5486,7
294315,Sophonie,1,3,עוֹף־,עוֹף,H5775,71
294316,Sophonie,1,3,הַשָּׁמַ֙יִם֙,שָׁמַיִם,H8064,421
294317,Sophonie,1,3,וּדְגֵ֣י,דָּג,H1709,19
294318,Sophonie,1,3,הַיָּ֔ם,יָם,H3220,396
294319,Sophonie,1,3,וְהַמַּכְשֵׁל֖וֹת,מַכְשֵׁלָה,H4384,2
294320,Sophonie,1,3,אֶת־,אֵת,H0854,929
294321,Sophonie,1,3,הָרְשָׁעִ֑ים,רָשָׁע,H7563,263
294322,Sophonie,1,3,וְהִכְרַתִּ֣י,כָּרַת,H3772,288
294323,Sophonie,1,3,אֶת־,אֵת,H0853,10947
294324,Sophonie,1,3,הָאָדָ֗ם,אָדָם,H0120,551
294325,Sophonie,1,3,מֵעַ֛ל,עַל,H5921,5774
294326,Sophonie,1,3,פְּנֵ֥י,פָּנֶה,H6440,2127
294327,Sophonie,1,3,הָאֲדָמָ֖ה,אֲדָמָה,H0127,225
294328,Sophonie,1,3,נְאֻם־,נְאֻם,H5002,376
294329,Sophonie,1,3,יְהוָֽה׃,יהוה,H3068,6528
294330,Sophonie,1,4,וְנָטִ֤יתִי,נָטָה,H5186,214
294331,Sophonie,1,4,יָדִי֙,יָד,H3027,1619
294332,Sophonie,1,4,עַל־,עַל,H5921,5774
294333,Sophonie,1,4,יְהוּדָ֔ה,יְהוּדָה,H3063,820
294334,Sophonie,1,4,וְעַ֖ל,עַל,H5921,5774
294335,Sophonie,1,4,כָּל־,כֹּל,H3605,5415
294336,Sophonie,1,4,יוֹשְׁבֵ֣י,יָשַׁב,H3427,1078
294337,Sophonie,1,4,יְרוּשָׁלִָ֑ם,"יְרוּשָׁלִַ֫ם, יְרוּשְׁלֵם",H3389,643
294338,Sophonie,1,4,וְהִכְרַתִּ֞י,כָּרַת,H3772,288
294339,Sophonie,1,4,מִן־,מִן־,H4480,1190
294340,Sophonie,1,4,הַמָּק֤וֹם,מָקוֹם,H4725,401
294341,Sophonie,1,4,הַזֶּה֙,זֶה,H2088,1179
294342,Sophonie,1,4,אֶת־,אֵת,H0853,10947
294343,Sophonie,1,4,שְׁאָ֣ר,שְׁאָר,H7605,26
294344,Sophonie,1,4,הַבַּ֔עַל,בַּעַל,H1168,82
294345,Sophonie,1,4,אֶת־,אֵת,H0853,10947
294346,Sophonie,1,4,שֵׁ֥ם,שֵׁם,H8034,864
294347,Sophonie,1,4,הַכְּמָרִ֖ים,כֹּ֫מֶר,H3649,3
294348,Sophonie,1,4,עִם־,עִם,H5973,1052
294349,Sophonie,1,4,הַכֹּהֲנִֽים׃,כֹּהֵן,H3548,750
294350,Sophonie,1,5,וְאֶת־,אֵת,H0853,10947
294351,Sophonie,1,5,הַמִּשְׁתַּחֲוִ֥ים,שָׁחָה,H7812,172
294352,Sophonie,1,5,עַל־,עַל,H5921,5774
294353,Sophonie,1,5,הַגַּגּ֖וֹת,גָּג,H1406,30
294354,Sophonie,1,5,לִצְבָ֣א,צָבָא,H6635,484
294355,Sophonie,1,5,הַשָּׁמָ֑יִם,שָׁמַיִם,H8064,421
294356,Sophonie,1,5,וְאֶת־,אֵת,H0853,10947
294357,Sophonie,1,5,הַמִּֽשְׁתַּחֲוִים֙,שָׁחָה,H7812,172
294358,Sophonie,1,5,הַנִּשְׁבָּעִ֣ים,שָׁבַע,H7650,186
294359,Sophonie,1,5,לַֽיהוָ֔ה,יהוה,H3068,6528
294360,Sophonie,1,5,וְהַנִּשְׁבָּעִ֖ים,שָׁבַע,H7650,186
294361,Sophonie,1,5,בְּמַלְכָּֽם׃,מֶ֫לֶךְ,H4428,2526
294362,Sophonie,1,6,וְאֶת־,אֵת,H0853,10947
294363,Sophonie,1,6,הַנְּסוֹגִ֖ים,סוּג,H5472,14
294364,Sophonie,1,6,מֵאַחֲרֵ֣י,אַחַר,H0310,716
294365,Sophonie,1,6,יְהוָ֑ה,יהוה,H3068,6528
294366,Sophonie,1,6,וַאֲשֶׁ֛ר,אֲשֶׁר,H0834,5499
294367,Sophonie,1,6,לֹֽא־,לֹא,H3808,5170
294368,Sophonie,1,6,בִקְשׁ֥וּ,בָּקַשׁ,H1245,225
294369,Sophonie,1,6,אֶת־,אֵת,H0853,10947
294370,Sophonie,1,6,יְהוָ֖ה,יהוה,H3068,6528
294371,Sophonie,1,6,וְלֹ֥א,לֹא,H3808,5170
294372,Sophonie,1,6,דְרָשֻֽׁהוּ׃,דָּרַשׁ,H1875,164
294373,Sophonie,1,7,הַ֕ס,הַס,H2013,8
294374,Sophonie,1,7,מִפְּנֵ֖י,פָּנֶה,H6440,2127
294375,Sophonie,1,7,אֲדֹנָ֣י,אֲדֹנָי,H0136,440
294376,Sophonie,1,7,יְהוִ֑ה,יְהֹוִה,H3069,306
294377,Sophonie,1,7,כִּ֤י,כִּי,H3588,4485
294378,Sophonie,1,7,קָרוֹב֙,קָרֹב,H7138,77
294379,Sophonie,1,7,י֣וֹם,יוֹם,H3117,2306
294380,Sophonie,1,7,יְהוָ֔ה,יהוה,H3068,6528
294381,Sophonie,1,7,כִּֽי־,כִּי,H3588,4485
294382,Sophonie,1,7,הֵכִ֧ין,כּוּן,H3559,217
294383,Sophonie,1,7,יְהוָ֛ה,יהוה,H3068,6528
294384,Sophonie,1,7,זֶ֖בַח,זֶ֫בַח,H2077,162
294385,Sophonie,1,7,הִקְדִּ֥ישׁ,קָדַשׁ,H6942,171
294386,Sophonie,1,7,קְרֻאָֽיו׃,קָרָא,H7121,733
294387,Sophonie,1,8,וְהָיָ֗ה,הָיָה,H1961,3562
294388,Sophonie,1,8,בְּיוֹם֙,יוֹם,H3117,2306
294389,Sophonie,1,8,זֶ֣בַח,זֶ֫בַח,H2077,162
294390,Sophonie,1,8,יְהוָ֔ה,יהוה,H3068,6528
294391,Sophonie,1,8,וּפָקַדְתִּ֥י,פָּקַד,H6485,303
294392,Sophonie,1,8,עַל־,עַל,H5921,5774
294393,Sophonie,1,8,הַשָּׂרִ֖ים,שַׂר,H8269,421
294394,Sophonie,1,8,וְעַל־,עַל,H5921,5774
294395,Sophonie,1,8,בְּנֵ֣י,בֵּן,H1121,4959
294396,Sophonie,1,8,הַמֶּ֑לֶךְ,מֶ֫לֶךְ,H4428,2526
294397,Sophonie,1,8,וְעַ֥ל,עַל,H5921,5774
294398,Sophonie,1,8,כָּל־,כֹּל,H3605,5415
294399,Sophonie,1,8,הַלֹּבְשִׁ֖ים,לָבֵשׁ,H3847,110
294400,Sophonie,1,8,מַלְבּ֥וּשׁ,מַלְבּוּשׁ,H4403,8
294401,Sophonie,1,8,נָכְרִֽי׃,נׇכְרִי,H5237,45
294402,Sophonie,1,9,וּפָקַדְתִּ֗י,פָּקַד,H6485,303
294403,Sophonie,1,9,עַ֧ל,עַל,H5921,5774
294404,Sophonie,1,9,כָּל־,כֹּל,H3605,5415
294405,Sophonie,1,9,הַדּוֹלֵ֛ג,דָּלַג,H1801,5
294406,Sophonie,1,9,עַל־,עַל,H5921,5774
294407,Sophonie,1,9,הַמִּפְתָּ֖ן,מִפְתָּן,H4670,8
294408,Sophonie,1,9,בַּיּ֣וֹם,יוֹם,H3117,2306
294409,Sophonie,1,9,הַה֑וּא,הוּא,H1931,1878
294410,Sophonie,1,9,הַֽמְמַלְאִ֛ים,מָלֵא,H4390,247
294411,Sophonie,1,9,בֵּ֥ית,בַּ֫יִת,H1004,2049
294412,Sophonie,1,9,אֲדֹנֵיהֶ֖ם,אָדוֹן,H0113,333
294413,Sophonie,1,9,חָמָ֥ס,חָמָס,H2555,60
294414,Sophonie,1,9,וּמִרְמָֽה׃ ס,מִרְמָה,H4820,39
294415,Sophonie,1,10,וְהָיָה֩,הָיָה,H1961,3562
294416,Sophonie,1,10,בַיּ֨וֹם,יוֹם,H3117,2306
294417,Sophonie,1,10,הַה֜וּא,הוּא,H1931,1878
294418,Sophonie,1,10,נְאֻם־,נְאֻם,H5002,376
294419,Sophonie,1,10,יְהוָ֗ה,יהוה,H3068,6528
294420,Sophonie,1,10,ק֤וֹל,קוֹל,H6963,506
294421,Sophonie,1,10,צְעָקָה֙,צְעָקָה,H6818,21
294422,Sophonie,1,10,מִשַּׁ֣עַר,שַׁ֫עַר,H8179,374
294423,Sophonie,1,10,הַדָּגִ֔ים,דָּג,H1709,19
294424,Sophonie,1,10,וִֽילָלָ֖ה,יְלָלָה,H3215,5
294425,Sophonie,1,10,מִן־,מִן־,H4480,1190
294426,Sophonie,1,10,הַמִּשְׁנֶ֑ה,מִשְׁנֶה,H4932,35
294427,Sophonie,1,10,וְשֶׁ֥בֶר,שֶׁ֫בֶר,H7667,45
